Prompt	Ans	Candidate Ans	Subject
Карл II Зачарований народився в <mask>.	Мадрид	Торонто, Лондон, Белград, Манчестер, Неаполь, Бруклін, Відень, Стамбул, Женева, Мадрид	Карл II Зачарований
Девід Култхард народився в <mask>.	Шотландія	Бруклін, Відень, Пекін, Белфаст, Париж, Стамбул, Х'юстон, Мілан, Вестмінстер, Шотландія	Девід Култхард
Крістіна Россетті народився в <mask>.	Лондон	Белфаст, Комо, Москва, Стамбул, Берлін, Шотландія, Рим, Манчестер, Вірменія, Лондон	Крістіна Россетті
Кенні Роджерс народився в <mask>.	Х'юстон	Стамбул, Белград, Чикаго, Мадрид, Париж, Лондон, Мілан, Відень, Бруклін, Х'юстон	Кенні Роджерс
Хусейн ібн Алі народився в <mask>.	Медіна	Париж, Москва, Берлін, Женева, Бруклін, Рим, Шотландія, Пекін, Белград, Медіна	Хусейн ібн Алі
Вільям Томсон народився в <mask>.	Белфаст	Москва, Женева, Мадрид, Вестмінстер, Париж, Медіна, Белград, Пекін, Рим, Белфаст	Вільям Томсон
Альфред Адлер народився в <mask>.	Відень	Париж, Мадрид, Торонто, Кельн, Комо, Лондон, Белфаст, Стамбул, Мюнхен, Відень	Альфред Адлер
Чус Лампреаве народився в <mask>.	Мадрид	Неаполь, Рим, Мекка, Чикаго, Вірменія, Лондон, Комо, Шотландія, Стамбул, Мадрид	Чус Лампреаве
Лавров Сергій Вікторович народився в <mask>.	Москва	Пекін, Женева, Медіна, Стамбул, Белфаст, Белград, Мадрид, Вестмінстер, Лондон, Москва	Лавров Сергій Вікторович
Конрад Лоренц народився в <mask>.	Відень	Мекка, Мілан, Берлін, Белград, Лондон, Чикаго, Пекін, Стамбул, Белфаст, Відень	Конрад Лоренц
Лу Рід народився в <mask>.	Бруклін	Х'юстон, Женева, Мюнхен, Рим, Відень, Медіна, Вестмінстер, Кельн, Берлін, Бруклін	Лу Рід
Лев V Вірменин народився в <mask>.	Вірменія	Берлін, Торонто, Кельн, Мекка, Манчестер, Москва, Комо, Стамбул, Мадрид, Вірменія	Лев V Вірменин
Марко Дельвеккіо народився в <mask>.	Мілан	Мекка, Мюнхен, Вестмінстер, Кельн, Пекін, Белград, Женева, Торонто, Вірменія, Мілан	Марко Дельвеккіо
Карл Орф народився в <mask>.	Мюнхен	Рим, Торонто, Х'юстон, Манчестер, Відень, Пекін, Кельн, Чикаго, Берлін, Мюнхен	Карл Орф
Пліній Старший народився в <mask>.	Комо	Торонто, Мюнхен, Женева, Париж, Мілан, Вестмінстер, Манчестер, Берлін, Лондон, Комо	Пліній Старший
Фрідріх Вільгельм II народився в <mask>.	Берлін	Вірменія, Мадрид, Торонто, Белфаст, Вестмінстер, Шотландія, Х'юстон, Париж, Кельн, Берлін	Фрідріх Вільгельм II
Боніфацій III народився в <mask>.	Рим	Бруклін, Неаполь, Х'юстон, Комо, Москва, Манчестер, Мілан, Белград, Париж, Рим	Боніфацій III
Клаудіо Аббадо народився в <mask>.	Мілан	Мадрид, Кельн, Белград, Белфаст, Відень, Чикаго, Пекін, Лондон, Берлін, Мілан	Клаудіо Аббадо
Енріко Карузо народився в <mask>.	Неаполь	Кельн, Рим, Комо, Манчестер, Відень, Берлін, Париж, Шотландія, Х'юстон, Неаполь	Енріко Карузо
Мехмед VI народився в <mask>.	Стамбул	Мадрид, Вестмінстер, Мюнхен, Белфаст, Белград, Москва, Женева, Торонто, Х'юстон, Стамбул	Мехмед VI
Денніс Фаріна народився в <mask>.	Чикаго	Москва, Белфаст, Торонто, Берлін, Мадрид, Мілан, Вірменія, Неаполь, Стамбул, Чикаго	Денніс Фаріна
Марк Стронг народився в <mask>.	Лондон	Мілан, Мадрид, Белфаст, Женева, Рим, Бруклін, Торонто, Париж, Х'юстон, Лондон	Марк Стронг
