Prompt	Ans	Candidate Ans	Subject
ولد كارلوس الثاني ملك إسبانيا في <mask>.	مدريد	تورونتو, لندن, بلغراد, مانشستر, نابولي, بروكلين, فيينا, إسطنبول, جنيف, مدريد	كارلوس الثاني ملك إسبانيا
ولد ديفيد كولتهارد في <mask>.	اسكتلندا	بروكلين, فيينا, بكين, بلفاست, باريس, إسطنبول, هيوستن, ميلانو, وستمنستر, اسكتلندا	ديفيد كولتهارد
ولد كريستينا روسيتي في <mask>.	لندن	بلفاست, كومو, موسكو, إسطنبول, برلين, اسكتلندا, روما, مانشستر, أرمينيا, لندن	كريستينا روسيتي
ولد كيني روجرز في <mask>.	هيوستن	إسطنبول, بلغراد, شيكاغو, مدريد, باريس, لندن, ميلانو, فيينا, بروكلين, هيوستن	كيني روجرز
ولد الحسين بن علي في <mask>.	المدينة المنورة	باريس, موسكو, برلين, جنيف, بروكلين, روما, اسكتلندا, بكين, بلغراد, المدينة المنورة	الحسين بن علي
ولد لورد كلفن في <mask>.	بلفاست	موسكو, جنيف, مدريد, وستمنستر, باريس, المدينة المنورة, بلغراد, بكين, روما, بلفاست	لورد كلفن
ولد ألفرد أدلر في <mask>.	فيينا	باريس, مدريد, تورونتو, كولونيا, كومو, لندن, بلفاست, إسطنبول, ميونخ, فيينا	ألفرد أدلر
ولد تشاس لامبريف في <mask>.	مدريد	نابولي, روما, مكة المكرمة, شيكاغو, أرمينيا, لندن, كومو, اسكتلندا, إسطنبول, مدريد	تشاس لامبريف
ولد سيرغي لافروف في <mask>.	موسكو	بكين, جنيف, المدينة المنورة, إسطنبول, بلفاست, بلغراد, مدريد, وستمنستر, لندن, موسكو	سيرغي لافروف
ولد كونراد لورنتس في <mask>.	فيينا	مكة المكرمة, ميلانو, برلين, بلغراد, لندن, شيكاغو, بكين, إسطنبول, بلفاست, فيينا	كونراد لورنتس
ولد لو ريد في <mask>.	بروكلين	هيوستن, جنيف, ميونخ, روما, فيينا, المدينة المنورة, وستمنستر, كولونيا, برلين, بروكلين	لو ريد
ولد ليون الخامس الأرمني في <mask>.	أرمينيا	برلين, تورونتو, كولونيا, مكة المكرمة, مانشستر, موسكو, كومو, إسطنبول, مدريد, أرمينيا	ليون الخامس الأرمني
ولد ماركو دلفيكيو في <mask>.	ميلانو	مكة المكرمة, ميونخ, وستمنستر, كولونيا, بكين, بلغراد, جنيف, تورونتو, أرمينيا, ميلانو	ماركو دلفيكيو
ولد كارل أورف في <mask>.	ميونخ	روما, تورونتو, هيوستن, مانشستر, فيينا, بكين, كولونيا, شيكاغو, برلين, ميونخ	كارل أورف
ولد بلينيوس الأكبر في <mask>.	كومو	تورونتو, ميونخ, جنيف, باريس, ميلانو, وستمنستر, مانشستر, برلين, لندن, كومو	بلينيوس الأكبر
ولد فريدرش فيلهلم الثاني ملك بروسيا في <mask>.	برلين	أرمينيا, مدريد, تورونتو, بلفاست, وستمنستر, اسكتلندا, هيوستن, باريس, كولونيا, برلين	فريدرش فيلهلم الثاني ملك بروسيا
ولد بونيفاس الثالث في <mask>.	روما	بروكلين, نابولي, هيوستن, كومو, موسكو, مانشستر, ميلانو, بلغراد, باريس, روما	بونيفاس الثالث
ولد كلاوديو أبادو في <mask>.	ميلانو	مدريد, كولونيا, بلغراد, بلفاست, فيينا, شيكاغو, بكين, لندن, برلين, ميلانو	كلاوديو أبادو
ولد إنريكو كاروسو في <mask>.	نابولي	كولونيا, روما, كومو, مانشستر, فيينا, برلين, باريس, اسكتلندا, هيوستن, نابولي	إنريكو كاروسو
ولد محمد السادس العثماني في <mask>.	إسطنبول	مدريد, وستمنستر, ميونخ, بلفاست, بلغراد, موسكو, جنيف, تورونتو, هيوستن, إسطنبول	محمد السادس العثماني
ولد دنيس فارينا في <mask>.	شيكاغو	موسكو, بلفاست, تورونتو, برلين, مدريد, ميلانو, أرمينيا, نابولي, إسطنبول, شيكاغو	دنيس فارينا
ولد مارك سترونج في <mask>.	لندن	ميلانو, مدريد, بلفاست, جنيف, روما, بروكلين, تورونتو, باريس, هيوستن, لندن	مارك سترونج
ولد إدوارد الأول ملك إنجلترا في <mask>.	وستمنستر	كولونيا, بروكلين, موسكو, جنيف, ميلانو, تورونتو, فيينا, أرمينيا, المدينة المنورة, وستمنستر	إدوارد الأول ملك إنجلترا
ولد ذا ويكند في <mask>.	تورونتو	مانشستر, ميلانو, لندن, كولونيا, مكة المكرمة, وستمنستر, برلين, مدريد, هيوستن, تورونتو	ذا ويكند
ولد لاري كينغ في <mask>.	بروكلين	جنيف, كومو, روما, المدينة المنورة, باريس, برلين, كولونيا, ميونخ, شيكاغو, بروكلين	لاري كينغ
ولد آرثر هاردن في <mask>.	مانشستر	لندن, روما, كولونيا, بلفاست, اسكتلندا, مكة المكرمة, إسطنبول, تورونتو, موسكو, مانشستر	آرثر هاردن
ولد ماركيز دي ساد في <mask>.	باريس	المدينة المنورة, ميلانو, هيوستن, مانشستر, نابولي, إسطنبول, تورونتو, مكة المكرمة, روما, باريس	ماركيز دي ساد
ولد زانج زيي في <mask>.	بكين	نابولي, المدينة المنورة, شيكاغو, برلين, بلغراد, مدريد, روما, موسكو, مكة المكرمة, بكين	زانج زيي
ولد كونراد أديناور في <mask>.	كولونيا	بلغراد, تورونتو, جنيف, كومو, موسكو, هيوستن, ميلانو, لندن, المدينة المنورة, كولونيا	كونراد أديناور
ولد فرديناند دو سوسور في <mask>.	جنيف	إسطنبول, ميونخ, موسكو, كومو, نابولي, كولونيا, بلغراد, مدريد, لندن, جنيف	فرديناند دو سوسور
ولد فاسيلي إيفانوفيتش في <mask>.	موسكو	ميلانو, تورونتو, مكة المكرمة, برلين, روما, بكين, إسطنبول, مدريد, جنيف, موسكو	فاسيلي إيفانوفيتش
ولد جورج دوهاميل في <mask>.	باريس	فيينا, ميلانو, وستمنستر, بلفاست, مكة المكرمة, أرمينيا, مانشستر, المدينة المنورة, تورونتو, باريس	جورج دوهاميل
ولد عائشة بنت أبي بكر في <mask>.	مكة المكرمة	كومو, كولونيا, باريس, بروكلين, بلفاست, هيوستن, اسكتلندا, فيينا, مدريد, مكة المكرمة	عائشة بنت أبي بكر
ولد بيتر الأول ملك صربيا في <mask>.	بلغراد	فيينا, بكين, ميلانو, جنيف, أرمينيا, بروكلين, شيكاغو, نابولي, بلفاست, بلغراد	بيتر الأول ملك صربيا
ولد بينغ كروسبي في <mask>.	تاكوما، واشنطن	شيكاغو, هيوستن, فيينا, إسطنبول, كومو, لندن, المدينة المنورة, بروكلين, نابولي, تاكوما، واشنطن	بينغ كروسبي
توفي ميكيلانجيلو في <mask>.	روما	براغ, وارسو, سري, فلورنسا, بلغراد, إسطنبول, ليون, هلسنكي, الموقع الأثري بقرطاج, روما	ميكيلانجيلو
توفي كوكو شانيل في <mask>.	باريس	سري, روما, المدينة المنورة, لندن, طوكيو, دمشق, ستوكهولم, وارسو, بلغراد, باريس	كوكو شانيل
توفي كليمنت الرابع عشر في <mask>.	روما	نورنبرغ, ليون, هلسنكي, كابل, ماديسون، ويسكنسن, لندن, باريس, القاهرة, موسكو, روما	كليمنت الرابع عشر
توفي عمر بن الخطاب في <mask>.	المدينة المنورة	موسكو, بلغراد, الموقع الأثري بقرطاج, وارسو, سري, ستوكهولم, فلورنسا, البندقية, لندن, المدينة المنورة	عمر بن الخطاب
توفي كليمنت الثالث في <mask>.	روما	ستوكهولم, المدينة المنورة, لندن, بغداد, وارسو, بلغراد, البندقية, دمشق, سري, روما	كليمنت الثالث
توفي بلبنوس في <mask>.	روما	إسطنبول, ستوكهولم, براغ, برلين, القاهرة, مدريد, كابل, نورنبرغ, ماديسون، ويسكنسن, روما	بلبنوس
توفي هرانت دينك في <mask>.	إسطنبول	القدس, طوكيو, موسكو, هلسنكي, روما, لندن, كابل, فلورنسا, مدريد, إسطنبول	هرانت دينك
توفي نقفور الثالث بوتانياتيس في <mask>.	القسطنطينية	تايبيه, موسكو, ستوكهولم, أثينا, كابل, نورنبرغ, دمشق, باريس, سري, القسطنطينية	نقفور الثالث بوتانياتيس
توفي يوهان باتشيلبيل في <mask>.	نورنبرغ	ديترويت, أثينا, مدريد, طوكيو, بلغراد, كابل, روما, براغ, موسكو, نورنبرغ	يوهان باتشيلبيل
توفي فاسلاف نغينسكاي في <mask>.	لندن	روما, طوكيو, ماديسون، ويسكنسن, إسطنبول, المدينة المنورة, القسطنطينية, البندقية, سري, بغداد, لندن	فاسلاف نغينسكاي
توفي ليو العاشر في <mask>.	روما	بلغراد, الموقع الأثري بقرطاج, سري, القاهرة, ماديسون، ويسكنسن, باريس, القدس, البندقية, تايبيه, روما	ليو العاشر
توفي دوناتيلو في <mask>.	فلورنسا	ديترويت, ستوكهولم, أثينا, وارسو, كابل, بغداد, لندن, القدس, المدينة المنورة, فلورنسا	دوناتيلو
توفي تشيانغ تشينغ كو في <mask>.	تايبيه	بغداد, دمشق, أثينا, برلين, هلسنكي, ليون, ديترويت, نورنبرغ, مدريد, تايبيه	تشيانغ تشينغ كو
توفي روبرت هوك في <mask>.	لندن	إسطنبول, القاهرة, القسطنطينية, برلين, طوكيو, مدريد, سري, ليون, تايبيه, لندن	روبرت هوك
توفي روزا باركس في <mask>.	ديترويت	باريس, إسطنبول, مدريد, بغداد, برلين, ستوكهولم, ماديسون، ويسكنسن, القاهرة, أثينا, ديترويت	روزا باركس
توفي يوحنا الثامن باليولوج في <mask>.	القسطنطينية	ستوكهولم, وارسو, موسكو, أثينا, بغداد, تايبيه, القاهرة, فلورنسا, إسطنبول, القسطنطينية	يوحنا الثامن باليولوج
توفي جون دي في <mask>.	سري	روما, وارسو, بغداد, القسطنطينية, طوكيو, فلورنسا, ليون, ديترويت, براغ, سري	جون دي
توفي فرناندل في <mask>.	باريس	وارسو, سري, القاهرة, أثينا, القدس, براغ, البندقية, ليون, هلسنكي, باريس	فرناندل
توفي ميخائيل الثاني في <mask>.	القسطنطينية	وارسو, إسطنبول, طوكيو, نورنبرغ, موسكو, القاهرة, البندقية, ليون, سري, القسطنطينية	ميخائيل الثاني
توفي كارل ليبكنخت في <mask>.	برلين	هلسنكي, القاهرة, تايبيه, لندن, باريس, وارسو, إسطنبول, مدريد, دمشق, برلين	كارل ليبكنخت
توفي ريتشارد فاغنر في <mask>.	البندقية	موسكو, بلغراد, القدس, وارسو, سري, باريس, ديترويت, بغداد, دمشق, البندقية	ريتشارد فاغنر
توفي أنتيستنيس في <mask>.	أثينا	موسكو, القاهرة, المدينة المنورة, القسطنطينية, هلسنكي, سري, كابل, باريس, فلورنسا, أثينا	أنتيستنيس
توفي ماكس إرنست في <mask>.	باريس	لندن, ستوكهولم, طوكيو, نورنبرغ, روما, أثينا, البندقية, موسكو, بلغراد, باريس	ماكس إرنست
توفي مارتن بوبر في <mask>.	القدس	كابل, بغداد, ستوكهولم, موسكو, إسطنبول, سري, ليون, نورنبرغ, بلغراد, القدس	مارتن بوبر
توفي يوزف غوبلز في <mask>.	برلين	لندن, الموقع الأثري بقرطاج, براغ, أثينا, القسطنطينية, المدينة المنورة, روما, كابل, ماديسون، ويسكنسن, برلين	يوزف غوبلز
توفي مونتسكيو في <mask>.	باريس	ستوكهولم, كابل, القاهرة, بغداد, نورنبرغ, القسطنطينية, دمشق, المدينة المنورة, ليون, باريس	مونتسكيو
توفي نقولا الخامس في <mask>.	روما	موسكو, سري, ليون, ديترويت, نورنبرغ, بغداد, القاهرة, ماديسون، ويسكنسن, دمشق, روما	نقولا الخامس
توفي شارلوت كورديه في <mask>.	باريس	بغداد, وارسو, القدس, كابل, إسطنبول, القاهرة, طوكيو, المدينة المنورة, تايبيه, باريس	شارلوت كورديه
توفي محمد ظاهر شاه في <mask>.	كابل	المدينة المنورة, القدس, دمشق, البندقية, ماديسون، ويسكنسن, ديترويت, موسكو, فلورنسا, سري, كابل	محمد ظاهر شاه
