Prompt	Ans	Candidate Ans	Subject
Միքելանջելո մահացավ <mask> -ում:	Հռոմ	Վենետիկ, Հռոմ	Միքելանջելո
Ռիխարդ Վագներ մահացավ <mask> -ում:	Վենետիկ	Հռոմ, Վենետիկ	Ռիխարդ Վագներ
արաբերենի այբուբեն <mask> ենթադաս է:	այբուբեն	կենսաբանություն, այբուբեն	արաբերենի այբուբեն
էկոլոգիա <mask> ենթադաս է:	կենսաբանություն	այբուբեն, կենսաբանություն	էկոլոգիա
Ֆրանսիական Պոլինեզիա -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	ալբաներեն, ինդոնեզերեն, ռումիներեն, սերբերեն, եբրայերեն, թուրքերեն, վրացերեն, բուլղարերեն, գերմաներեն, ֆրանսերեն	Ֆրանսիական Պոլինեզիա
Ուտար Պրադեշ -ի պաշտոնական լեզուն <mask> է:	Ուրդու	ճապոներեն, ռուսերեն, թուրքերեն, լատիներեն, սլովեներեն, խորվաթերեն, թայերեն, կատալաներեն, ալբաներեն, Ուրդու	Ուտար Պրադեշ
Եվրոպական Միություն -ի պաշտոնական լեզուն <mask> է:	ֆիններեն	թուրքերեն, չեխերեն, ֆրանսերեն, իսպաներեն, շվեդերեն, հոլանդերեն, հունարեն, լեհերեն, էստոներեն, ֆիններեն	Եվրոպական Միություն
Եվրոպական Միություն -ի պաշտոնական լեզուն <mask> է:	սլովեներեն	լատիներեն, հունարեն, կորեերեն, անգլերեն, սլովակերեն, խորվաթերեն, լեհերեն, Ուրդու, գերմաներեն, սլովեներեն	Եվրոպական Միություն
Հայիթի -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	ռուսերեն, գերմաներեն, խորվաթերեն, Ուրդու, պարսկերեն, վրացերեն, հոլանդերեն, թուրքերեն, հայերեն, ֆրանսերեն	Հայիթի
Վայոմինգ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ուկրաիներեն, խորվաթերեն, սլովակերեն, չեխերեն, լիտվերեն, ֆիններեն, ճապոներեն, Ուրդու, թուրքերեն, անգլերեն	Վայոմինգ
Ուրուգվայ -ի պաշտոնական լեզուն <mask> է:	իսպաներեն	գերմաներեն, թուրքերեն, սերբերեն, հոլանդերեն, Ուրդու, թայերեն, անգլերեն, շվեդերեն, էստոներեն, իսպաներեն	Ուրուգվայ
Հարավային Օսիա -ի պաշտոնական լեզուն <mask> է:	վրացերեն	բուլղարերեն, անգլերեն, չեխերեն, սլովակերեն, թուրքերեն, հոլանդերեն, պորտուգալերեն, հայերեն, կորեերեն, վրացերեն	Հարավային Օսիա
Կոնգոյի Հանրապետություն -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	լեհերեն, եբրայերեն, թայերեն, խորվաթերեն, էստոներեն, լատիներեն, հունարեն, ճապոներեն, թուրքերեն, ֆրանսերեն	Կոնգոյի Հանրապետություն
Սողոմոնյան կղզիներ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ֆրանսերեն, հունգարերեն, թայերեն, սլովակերեն, իսլանդերեն, բուլղարերեն, կորեերեն, չինարեն, ռուսերեն, անգլերեն	Սողոմոնյան կղզիներ
Զատկի կղզի -ի պաշտոնական լեզուն <mask> է:	իսպաներեն	ռուսերեն, չեխերեն, լատիներեն, դանիերեն, ճապոներեն, հունգարերեն, իսլանդերեն, վրացերեն, շվեդերեն, իսպաներեն	Զատկի կղզի
Բրազիլիա -ի պաշտոնական լեզուն <mask> է:	պորտուգալերեն	Ուրդու, իսլանդերեն, սերբերեն, թայերեն, ֆիններեն, վրացերեն, բասկերեն, սլովակերեն, լիտվերեն, պորտուգալերեն	Բրազիլիա
Մեքսիկա -ի պաշտոնական լեզուն <mask> է:	իսպաներեն	իտալերեն, չինարեն, էստոներեն, ռումիներեն, հայերեն, կատալաներեն, բասկերեն, ֆրանսերեն, Ուրդու, իսպաներեն	Մեքսիկա
Գամբիա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	սերբերեն, ռուսերեն, ադրբեջաներեն, լեհերեն, իսպաներեն, էստոներեն, իտալերեն, լատիներեն, սլովակերեն, անգլերեն	Գամբիա
Մեն -ի պաշտոնական լեզուն <mask> է:	անգլերեն	խորվաթերեն, կորեերեն, ֆիններեն, չինարեն, ֆրանսերեն, թայերեն, ճապոներեն, սերբերեն, բասկերեն, անգլերեն	Մեն
Միսսիսիպի -ի պաշտոնական լեզուն <mask> է:	անգլերեն	հունարեն, ճապոներեն, դանիերեն, չինարեն, ռումիներեն, հոլանդերեն, խորվաթերեն, Ուրդու, հայերեն, անգլերեն	Միսսիսիպի
Մակաու -ի պաշտոնական լեզուն <mask> է:	չինարեն	շվեդերեն, ալբաներեն, չեխերեն, ինդոնեզերեն, ֆրանսերեն, գերմաներեն, թայերեն, խորվաթերեն, ռումիներեն, չինարեն	Մակաու
Իսրայել -ի պաշտոնական լեզուն <mask> է:	եբրայերեն	իսլանդերեն, ռումիներեն, անգլերեն, կատալաներեն, սլովակերեն, հունարեն, հունգարերեն, լեհերեն, բուլղարերեն, եբրայերեն	Իսրայել
Սամոա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	եբրայերեն, սլովակերեն, հայերեն, իսպաներեն, հունգարերեն, կորեերեն, Ուրդու, չինարեն, ճապոներեն, անգլերեն	Սամոա
Շվեյցարիա -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	խորվաթերեն, եբրայերեն, լատիներեն, գերմաներեն, հունգարերեն, ադրբեջաներեն, իսպաներեն, ուկրաիներեն, հոլանդերեն, ֆրանսերեն	Շվեյցարիա
Բելգիա -ի պաշտոնական լեզուն <mask> է:	գերմաներեն	ֆիններեն, իտալերեն, ադրբեջաներեն, իսլանդերեն, հունարեն, չինարեն, հայերեն, վրացերեն, ալբաներեն, գերմաներեն	Բելգիա
Նաուրու -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ադրբեջաներեն, հունգարերեն, ուկրաիներեն, ալբաներեն, եբրայերեն, խորվաթերեն, դանիերեն, ֆրանսերեն, իտալերեն, անգլերեն	Նաուրու
Ֆոլկլենդյան կղզիներ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ինդոնեզերեն, հունարեն, եբրայերեն, լատիներեն, սլովակերեն, չինարեն, հայերեն, վրացերեն, իսլանդերեն, անգլերեն	Ֆոլկլենդյան կղզիներ
Գվինեա -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	չեխերեն, ճապոներեն, ռումիներեն, էստոներեն, թուրքերեն, իսլանդերեն, ինդոնեզերեն, ֆիններեն, իսպաներեն, ֆրանսերեն	Գվինեա
Ավստրալիա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	շվեդերեն, իսլանդերեն, սլովակերեն, լատիներեն, կորեերեն, խորվաթերեն, թուրքերեն, ֆրանսերեն, ադրբեջաներեն, անգլերեն	Ավստրալիա
Պերու -ի պաշտոնական լեզուն <mask> է:	իսպաներեն	լեհերեն, հունգարերեն, իսլանդերեն, հոլանդերեն, հայերեն, շվեդերեն, բուլղարերեն, եբրայերեն, չեխերեն, իսպաներեն	Պերու
Լեսոթո -ի պաշտոնական լեզուն <mask> է:	անգլերեն	էստոներեն, լիտվերեն, սերբերեն, պորտուգալերեն, ֆիններեն, ռուսերեն, ֆրանսերեն, թայերեն, հունգարերեն, անգլերեն	Լեսոթո
Հնդկաստան -ի պաշտոնական լեզուն <mask> է:	անգլերեն	բուլղարերեն, լիտվերեն, թայերեն, ալբաներեն, հոլանդերեն, չինարեն, լեհերեն, էստոներեն, իսպաներեն, անգլերեն	Հնդկաստան
Զիմբաբվե -ի պաշտոնական լեզուն <mask> է:	անգլերեն	եբրայերեն, լիտվերեն, ալբաներեն, բուլղարերեն, լեհերեն, վրացերեն, թուրքերեն, դանիերեն, ֆրանսերեն, անգլերեն	Զիմբաբվե
Ջիբութի -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	սլովեներեն, հոլանդերեն, անգլերեն, իսլանդերեն, եբրայերեն, իտալերեն, ուկրաիներեն, սլովակերեն, ֆիններեն, ֆրանսերեն	Ջիբութի
Մոնտանա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	սլովակերեն, ադրբեջաներեն, չեխերեն, ալբաներեն, բուլղարերեն, ռուսերեն, ճապոներեն, հոլանդերեն, սլովեներեն, անգլերեն	Մոնտանա
Բահամյան Կղզիներ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	սերբերեն, բասկերեն, պարսկերեն, ինդոնեզերեն, բուլղարերեն, վրացերեն, իսպաներեն, հունգարերեն, ուկրաիներեն, անգլերեն	Բահամյան Կղզիներ
Օնտարիո -ի պաշտոնական լեզուն <mask> է:	անգլերեն	գերմաներեն, հունգարերեն, կորեերեն, չեխերեն, Ուրդու, սերբերեն, իտալերեն, ռուսերեն, լեհերեն, անգլերեն	Օնտարիո
Ալբերտա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	հունարեն, չեխերեն, դանիերեն, լատիներեն, ուկրաիներեն, գերմաներեն, սլովեներեն, շվեդերեն, կատալաներեն, անգլերեն	Ալբերտա
Չեռնոգորիա -ի պաշտոնական լեզուն <mask> է:	սերբերեն	էստոներեն, լատիներեն, իտալերեն, Ուրդու, կատալաներեն, ադրբեջաներեն, ֆրանսերեն, վրացերեն, իսպաներեն, սերբերեն	Չեռնոգորիա
Էսվատինի -ի պաշտոնական լեզուն <mask> է:	անգլերեն	եբրայերեն, պարսկերեն, բուլղարերեն, բասկերեն, ալբաներեն, շվեդերեն, ֆրանսերեն, կորեերեն, սլովակերեն, անգլերեն	Էսվատինի
Եվրոպական Միություն -ի պաշտոնական լեզուն <mask> է:	հոլանդերեն	հունարեն, լիտվերեն, իսլանդերեն, լատիներեն, ուկրաիներեն, լեհերեն, խորվաթերեն, անգլերեն, էստոներեն, հոլանդերեն	Եվրոպական Միություն
Գրենադա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	հունգարերեն, լիտվերեն, սերբերեն, լատիներեն, պորտուգալերեն, եբրայերեն, հայերեն, բուլղարերեն, հունարեն, անգլերեն	Գրենադա
Չեչնիա -ի պաշտոնական լեզուն <mask> է:	ռուսերեն	ֆիններեն, պորտուգալերեն, սլովակերեն, բասկերեն, հունգարերեն, լատիներեն, ադրբեջաներեն, թայերեն, ռումիներեն, ռուսերեն	Չեչնիա
Ռուանդա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ինդոնեզերեն, լեհերեն, պորտուգալերեն, Ուրդու, թայերեն, եբրայերեն, հունարեն, շվեդերեն, ֆրանսերեն, անգլերեն	Ռուանդա
Ֆինլանդիա -ի պաշտոնական լեզուն <mask> է:	ֆիններեն	շվեդերեն, էստոներեն, կորեերեն, ճապոներեն, իսլանդերեն, չինարեն, եբրայերեն, ադրբեջաներեն, դանիերեն, ֆիններեն	Ֆինլանդիա
Նեբրասկա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	չեխերեն, բուլղարերեն, լիտվերեն, ռուսերեն, ֆիններեն, չինարեն, կատալաներեն, կորեերեն, հայերեն, անգլերեն	Նեբրասկա
Լեհաստան -ի պաշտոնական լեզուն <mask> է:	լեհերեն	սլովեներեն, շվեդերեն, թայերեն, խորվաթերեն, չեխերեն, անգլերեն, չինարեն, հայերեն, իտալերեն, լեհերեն	Լեհաստան
Բազել -ի պաշտոնական լեզուն <mask> է:	գերմաներեն	ֆիններեն, ռումիներեն, սերբերեն, դանիերեն, չինարեն, Ուրդու, էստոներեն, պարսկերեն, ճապոներեն, գերմաներեն	Բազել
Արկանզաս -ի պաշտոնական լեզուն <mask> է:	անգլերեն	իտալերեն, բասկերեն, իսլանդերեն, չեխերեն, չինարեն, հունգարերեն, սլովակերեն, սերբերեն, դանիերեն, անգլերեն	Արկանզաս
Ռումինիա -ի պաշտոնական լեզուն <mask> է:	ռումիներեն	ռուսերեն, ալբաներեն, հոլանդերեն, լատիներեն, չինարեն, անգլերեն, Ուրդու, ուկրաիներեն, դանիերեն, ռումիներեն	Ռումինիա
Եվրոպական Միություն -ի պաշտոնական լեզուն <mask> է:	հունարեն	իսլանդերեն, ուկրաիներեն, բասկերեն, չինարեն, պորտուգալերեն, ֆիններեն, դանիերեն, ադրբեջաներեն, շվեդերեն, հունարեն	Եվրոպական Միություն
Քենիա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	լիտվերեն, գերմաներեն, բասկերեն, ինդոնեզերեն, եբրայերեն, խորվաթերեն, ուկրաիներեն, իսպաներեն, ֆիններեն, անգլերեն	Քենիա
Գանա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	ռումիներեն, վրացերեն, իտալերեն, էստոներեն, դանիերեն, բուլղարերեն, չեխերեն, ինդոնեզերեն, հունգարերեն, անգլերեն	Գանա
Սլովենիա -ի պաշտոնական լեզուն <mask> է:	սլովեներեն	սերբերեն, հայերեն, պարսկերեն, իսլանդերեն, թուրքերեն, լեհերեն, էստոներեն, Ուրդու, ուկրաիներեն, սլովեներեն	Սլովենիա
Մոլդովա -ի պաշտոնական լեզուն <mask> է:	ռումիներեն	բասկերեն, ֆրանսերեն, շվեդերեն, պորտուգալերեն, կորեերեն, գերմաներեն, սերբերեն, ճապոներեն, դանիերեն, ռումիներեն	Մոլդովա
Ֆրանսիական Գվիանա -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	իսպաներեն, վրացերեն, սերբերեն, ինդոնեզերեն, Ուրդու, իտալերեն, իսլանդերեն, բասկերեն, հունարեն, ֆրանսերեն	Ֆրանսիական Գվիանա
Լիտվա -ի պաշտոնական լեզուն <mask> է:	լիտվերեն	ռուսերեն, սլովեներեն, կատալաներեն, սլովակերեն, ռումիներեն, պորտուգալերեն, բասկերեն, ուկրաիներեն, գերմաներեն, լիտվերեն	Լիտվա
Բելիզ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	հոլանդերեն, թուրքերեն, ռումիներեն, իտալերեն, բասկերեն, սերբերեն, խորվաթերեն, ռուսերեն, բուլղարերեն, անգլերեն	Բելիզ
Իսպանիա -ի պաշտոնական լեզուն <mask> է:	կատալաներեն	չեխերեն, ֆրանսերեն, հոլանդերեն, ինդոնեզերեն, բասկերեն, ուկրաիներեն, ռումիներեն, իտալերեն, հունգարերեն, կատալաներեն	Իսպանիա
Բարբադոս -ի պաշտոնական լեզուն <mask> է:	անգլերեն	պորտուգալերեն, իտալերեն, ճապոներեն, վրացերեն, կատալաներեն, բասկերեն, սլովեներեն, ռումիներեն, թուրքերեն, անգլերեն	Բարբադոս
Կոլումբիա -ի պաշտոնական լեզուն <mask> է:	իսպաներեն	վրացերեն, պորտուգալերեն, հոլանդերեն, ռումիներեն, լատիներեն, հունգարերեն, ֆիններեն, ուկրաիներեն, խորվաթերեն, իսպաներեն	Կոլումբիա
Բրունեյ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	սլովեներեն, հունգարերեն, թուրքերեն, չինարեն, վրացերեն, սլովակերեն, չեխերեն, էստոներեն, լատիներեն, անգլերեն	Բրունեյ
Պակիստան -ի պաշտոնական լեզուն <mask> է:	Ուրդու	հունգարերեն, պարսկերեն, գերմաներեն, ֆրանսերեն, պորտուգալերեն, խորվաթերեն, սլովեներեն, ճապոներեն, թայերեն, Ուրդու	Պակիստան
Սենեգալ -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	ռումիներեն, բուլղարերեն, սլովեներեն, թուրքերեն, էստոներեն, ուկրաիներեն, բասկերեն, պորտուգալերեն, իսպաներեն, ֆրանսերեն	Սենեգալ
Նունավութ -ի պաշտոնական լեզուն <mask> է:	անգլերեն	վրացերեն, չինարեն, սերբերեն, լիտվերեն, իտալերեն, խորվաթերեն, ինդոնեզերեն, կատալաներեն, կորեերեն, անգլերեն	Նունավութ
Ժնև -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	կորեերեն, ադրբեջաներեն, թուրքերեն, ճապոներեն, հոլանդերեն, ուկրաիներեն, էստոներեն, պորտուգալերեն, կատալաներեն, ֆրանսերեն	Ժնև
Եվրոպական Միություն -ի պաշտոնական լեզուն <mask> է:	բուլղարերեն	սերբերեն, վրացերեն, էստոներեն, Ուրդու, ինդոնեզերեն, իսլանդերեն, ճապոներեն, հայերեն, ֆիններեն, բուլղարերեն	Եվրոպական Միություն
Բոսնիա և Հերցեգովինա -ի պաշտոնական լեզուն <mask> է:	սերբերեն	կորեերեն, իսպաներեն, ռումիներեն, շվեդերեն, կատալաներեն, բասկերեն, հունգարերեն, հունարեն, ալբաներեն, սերբերեն	Բոսնիա և Հերցեգովինա
Ֆինլանդիա -ի պաշտոնական լեզուն <mask> է:	շվեդերեն	ֆիններեն, հոլանդերեն, ռուսերեն, ալբաներեն, գերմաներեն, թայերեն, իսպաներեն, ֆրանսերեն, դանիերեն, շվեդերեն	Ֆինլանդիա
Պապուա Նոր Գվինեա -ի պաշտոնական լեզուն <mask> է:	անգլերեն	պորտուգալերեն, Ուրդու, պարսկերեն, ինդոնեզերեն, չեխերեն, լեհերեն, ֆիններեն, դանիերեն, եբրայերեն, անգլերեն	Պապուա Նոր Գվինեա
Ռուանդա -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	ռումիներեն, կորեերեն, ադրբեջաներեն, բասկերեն, լատիներեն, սլովեներեն, Ուրդու, ռուսերեն, թայերեն, ֆրանսերեն	Ռուանդա
Չադ -ի պաշտոնական լեզուն <mask> է:	ֆրանսերեն	սլովեներեն, ֆիններեն, գերմաներեն, բասկերեն, անգլերեն, սլովակերեն, էստոներեն, ադրբեջաներեն, ռուսերեն, ֆրանսերեն	Չադ
Երևան -ի պաշտոնական լեզուն <mask> է:	հայերեն	եբրայերեն, անգլերեն, դանիերեն, հոլանդերեն, ֆիններեն, լիտվերեն, ալբաներեն, կորեերեն, սերբերեն, հայերեն	Երևան
