Prompt	Ans	Candidate Ans	Subject
카를로스 2세는 <mask>에서 태어났습니다.	마드리드	토론토, 런던, 베오그라드, 맨체스터, 나폴리, 브루클린, 빈, 이스탄불, 제네바, 마드리드	카를로스 2세
데이비드 쿨사드는 <mask>에서 태어났습니다.	스코틀랜드	브루클린, 빈, 베이징시, 벨파스트, 파리, 이스탄불, 휴스턴, 밀라노, 웨스트민스터, 스코틀랜드	데이비드 쿨사드
크리스티나 로제티는 <mask>에서 태어났습니다.	런던	벨파스트, 코모, 모스크바, 이스탄불, 베를린, 스코틀랜드, 로마, 맨체스터, 아르메니아, 런던	크리스티나 로제티
케니 로저스는 <mask>에서 태어났습니다.	휴스턴	이스탄불, 베오그라드, 시카고, 마드리드, 파리, 런던, 밀라노, 빈, 브루클린, 휴스턴	케니 로저스
후사인 이븐 알리는 <mask>에서 태어났습니다.	메디나	파리, 모스크바, 베를린, 제네바, 브루클린, 로마, 스코틀랜드, 베이징시, 베오그라드, 메디나	후사인 이븐 알리
켈빈 남작 1세 윌리엄 톰슨는 <mask>에서 태어났습니다.	벨파스트	모스크바, 제네바, 마드리드, 웨스트민스터, 파리, 메디나, 베오그라드, 베이징시, 로마, 벨파스트	켈빈 남작 1세 윌리엄 톰슨
알프레드 아들러는 <mask>에서 태어났습니다.	빈	파리, 마드리드, 토론토, 쾰른, 코모, 런던, 벨파스트, 이스탄불, 뮌헨, 빈	알프레드 아들러
추스 람프레아베는 <mask>에서 태어났습니다.	마드리드	나폴리, 로마, 메카, 시카고, 아르메니아, 런던, 코모, 스코틀랜드, 이스탄불, 마드리드	추스 람프레아베
세르게이 라브로프는 <mask>에서 태어났습니다.	모스크바	베이징시, 제네바, 메디나, 이스탄불, 벨파스트, 베오그라드, 마드리드, 웨스트민스터, 런던, 모스크바	세르게이 라브로프
콘라트 로렌츠는 <mask>에서 태어났습니다.	빈	메카, 밀라노, 베를린, 베오그라드, 런던, 시카고, 베이징시, 이스탄불, 벨파스트, 빈	콘라트 로렌츠
루 리드는 <mask>에서 태어났습니다.	브루클린	휴스턴, 제네바, 뮌헨, 로마, 빈, 메디나, 웨스트민스터, 쾰른, 베를린, 브루클린	루 리드
레오 5세는 <mask>에서 태어났습니다.	아르메니아	베를린, 토론토, 쾰른, 메카, 맨체스터, 모스크바, 코모, 이스탄불, 마드리드, 아르메니아	레오 5세
마르코 델베키오는 <mask>에서 태어났습니다.	밀라노	메카, 뮌헨, 웨스트민스터, 쾰른, 베이징시, 베오그라드, 제네바, 토론토, 아르메니아, 밀라노	마르코 델베키오
카를 오르프는 <mask>에서 태어났습니다.	뮌헨	로마, 토론토, 휴스턴, 맨체스터, 빈, 베이징시, 쾰른, 시카고, 베를린, 뮌헨	카를 오르프
대 플리니우스는 <mask>에서 태어났습니다.	코모	토론토, 뮌헨, 제네바, 파리, 밀라노, 웨스트민스터, 맨체스터, 베를린, 런던, 코모	대 플리니우스
프리드리히 빌헬름 2세는 <mask>에서 태어났습니다.	베를린	아르메니아, 마드리드, 토론토, 벨파스트, 웨스트민스터, 스코틀랜드, 휴스턴, 파리, 쾰른, 베를린	프리드리히 빌헬름 2세
교황 보니파시오 3세는 <mask>에서 태어났습니다.	로마	브루클린, 나폴리, 휴스턴, 코모, 모스크바, 맨체스터, 밀라노, 베오그라드, 파리, 로마	교황 보니파시오 3세
클라우디오 아바도는 <mask>에서 태어났습니다.	밀라노	마드리드, 쾰른, 베오그라드, 벨파스트, 빈, 시카고, 베이징시, 런던, 베를린, 밀라노	클라우디오 아바도
엔리코 카루소는 <mask>에서 태어났습니다.	나폴리	쾰른, 로마, 코모, 맨체스터, 빈, 베를린, 파리, 스코틀랜드, 휴스턴, 나폴리	엔리코 카루소
메흐메트 6세는 <mask>에서 태어났습니다.	이스탄불	마드리드, 웨스트민스터, 뮌헨, 벨파스트, 베오그라드, 모스크바, 제네바, 토론토, 휴스턴, 이스탄불	메흐메트 6세
데니스 패리나는 <mask>에서 태어났습니다.	시카고	모스크바, 벨파스트, 토론토, 베를린, 마드리드, 밀라노, 아르메니아, 나폴리, 이스탄불, 시카고	데니스 패리나
마크 스트롱는 <mask>에서 태어났습니다.	런던	밀라노, 마드리드, 벨파스트, 제네바, 로마, 브루클린, 토론토, 파리, 휴스턴, 런던	마크 스트롱
에드워드 1세는 <mask>에서 태어났습니다.	웨스트민스터	쾰른, 브루클린, 모스크바, 제네바, 밀라노, 토론토, 빈, 아르메니아, 메디나, 웨스트민스터	에드워드 1세
위켄드는 <mask>에서 태어났습니다.	토론토	맨체스터, 밀라노, 런던, 쾰른, 메카, 웨스트민스터, 베를린, 마드리드, 휴스턴, 토론토	위켄드
래리 킹는 <mask>에서 태어났습니다.	브루클린	제네바, 코모, 로마, 메디나, 파리, 베를린, 쾰른, 뮌헨, 시카고, 브루클린	래리 킹
아서 하든는 <mask>에서 태어났습니다.	맨체스터	런던, 로마, 쾰른, 벨파스트, 스코틀랜드, 메카, 이스탄불, 토론토, 모스크바, 맨체스터	아서 하든
사드 후작는 <mask>에서 태어났습니다.	파리	메디나, 밀라노, 휴스턴, 맨체스터, 나폴리, 이스탄불, 토론토, 메카, 로마, 파리	사드 후작
장쯔이는 <mask>에서 태어났습니다.	베이징시	나폴리, 메디나, 시카고, 베를린, 베오그라드, 마드리드, 로마, 모스크바, 메카, 베이징시	장쯔이
콘라트 아데나워는 <mask>에서 태어났습니다.	쾰른	베오그라드, 토론토, 제네바, 코모, 모스크바, 휴스턴, 밀라노, 런던, 메디나, 쾰른	콘라트 아데나워
페르디낭 드 소쉬르는 <mask>에서 태어났습니다.	제네바	이스탄불, 뮌헨, 모스크바, 코모, 나폴리, 쾰른, 베오그라드, 마드리드, 런던, 제네바	페르디낭 드 소쉬르
바실리 3세는 <mask>에서 태어났습니다.	모스크바	밀라노, 토론토, 메카, 베를린, 로마, 베이징시, 이스탄불, 마드리드, 제네바, 모스크바	바실리 3세
조르주 뒤아멜는 <mask>에서 태어났습니다.	파리	빈, 밀라노, 웨스트민스터, 벨파스트, 메카, 아르메니아, 맨체스터, 메디나, 토론토, 파리	조르주 뒤아멜
아이샤는 <mask>에서 태어났습니다.	메카	코모, 쾰른, 파리, 브루클린, 벨파스트, 휴스턴, 스코틀랜드, 빈, 마드리드, 메카	아이샤
페타르 1세는 <mask>에서 태어났습니다.	베오그라드	빈, 베이징시, 밀라노, 제네바, 아르메니아, 브루클린, 시카고, 나폴리, 벨파스트, 베오그라드	페타르 1세
빙 크로스비는 <mask>에서 태어났습니다.	터코마	시카고, 휴스턴, 빈, 이스탄불, 코모, 런던, 메디나, 브루클린, 나폴리, 터코마	빙 크로스비
미켈란젤로 부오나로티는 <mask>에서 사망했습니다.	로마	프라하, 바르샤바, 서리주, 피렌체, 베오그라드, 이스탄불, 리옹, 헬싱키, 카르타고, 로마	미켈란젤로 부오나로티
코코 샤넬는 <mask>에서 사망했습니다.	파리	서리주, 로마, 메디나, 런던, 도쿄도, 다마스쿠스, 스톡홀름, 바르샤바, 베오그라드, 파리	코코 샤넬
교황 클레멘스 14세는 <mask>에서 사망했습니다.	로마	뉘른베르크, 리옹, 헬싱키, 카불, 매디슨, 런던, 파리, 카이로, 모스크바, 로마	교황 클레멘스 14세
우마르는 <mask>에서 사망했습니다.	메디나	모스크바, 베오그라드, 카르타고, 바르샤바, 서리주, 스톡홀름, 피렌체, 베네치아, 런던, 메디나	우마르
교황 클레멘스 3세는 <mask>에서 사망했습니다.	로마	스톡홀름, 메디나, 런던, 바그다드, 바르샤바, 베오그라드, 베네치아, 다마스쿠스, 서리주, 로마	교황 클레멘스 3세
발비누스는 <mask>에서 사망했습니다.	로마	이스탄불, 스톡홀름, 프라하, 베를린, 카이로, 마드리드, 카불, 뉘른베르크, 매디슨, 로마	발비누스
흐란트 딘크는 <mask>에서 사망했습니다.	이스탄불	예루살렘, 도쿄도, 모스크바, 헬싱키, 로마, 런던, 카불, 피렌체, 마드리드, 이스탄불	흐란트 딘크
니케포루스 3세는 <mask>에서 사망했습니다.	콘스탄티노폴리스	타이베이시, 모스크바, 스톡홀름, 아테네, 카불, 뉘른베르크, 다마스쿠스, 파리, 서리주, 콘스탄티노폴리스	니케포루스 3세
