Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti a murit în <mask>.	Roma	Veneția, Roma	Michelangelo Buonarroti
Richard Wagner a murit în <mask>.	Veneția	Roma, Veneția	Richard Wagner
alfabetul arab este o subclasă a lui <mask>.	alfabet	biologie, alfabet	alfabetul arab
ecologie este o subclasă a lui <mask>.	biologie	alfabet, biologie	ecologie
Limba oficială a lui Polinezia Franceză este <mask>.	limba franceză	Limba albaneză, Limba indoneziană, limba română, limba sârbă, limba ebraică, limba turcă, limba georgiană, limba bulgară, limba germană, limba franceză	Polinezia Franceză
Limba oficială a lui Uttar Pradesh este <mask>.	limba urdu	limba japoneză, limba rusă, limba turcă, limba latină, limba slovenă, Limba croată, limba thailandeză, Limba catalană, Limba albaneză, limba urdu	Uttar Pradesh
Limba oficială a lui Uniunea Europeană este <mask>.	limba finlandeză	limba turcă, limba cehă, limba franceză, limba spaniolă, limba suedeză, limba neerlandeză, limba greacă, limba poloneză, limba estonă, limba finlandeză	Uniunea Europeană
Limba oficială a lui Uniunea Europeană este <mask>.	limba slovenă	limba latină, limba greacă, limba coreeană, limba engleză, limba slovacă, Limba croată, limba poloneză, limba urdu, limba germană, limba slovenă	Uniunea Europeană
Limba oficială a lui Haiti este <mask>.	limba franceză	limba rusă, limba germană, Limba croată, limba urdu, limba persană, limba georgiană, limba neerlandeză, limba turcă, limba armeană, limba franceză	Haiti
Limba oficială a lui Wyoming este <mask>.	limba engleză	limba ucraineană, Limba croată, limba slovacă, limba cehă, limba lituaniană, limba finlandeză, limba japoneză, limba urdu, limba turcă, limba engleză	Wyoming
Limba oficială a lui Uruguay este <mask>.	limba spaniolă	limba germană, limba turcă, limba sârbă, limba neerlandeză, limba urdu, limba thailandeză, limba engleză, limba suedeză, limba estonă, limba spaniolă	Uruguay
Limba oficială a lui Osetia de Sud este <mask>.	limba georgiană	limba bulgară, limba engleză, limba cehă, limba slovacă, limba turcă, limba neerlandeză, limba portugheză, limba armeană, limba coreeană, limba georgiană	Osetia de Sud
Limba oficială a lui Republica Congo este <mask>.	limba franceză	limba poloneză, limba ebraică, limba thailandeză, Limba croată, limba estonă, limba latină, limba greacă, limba japoneză, limba turcă, limba franceză	Republica Congo
Limba oficială a lui Insulele Solomon este <mask>.	limba engleză	limba franceză, limba maghiară, limba thailandeză, limba slovacă, Limba islandeză, limba bulgară, limba coreeană, limba chineză, limba rusă, limba engleză	Insulele Solomon
Limba oficială a lui Insula Paștelui este <mask>.	limba spaniolă	limba rusă, limba cehă, limba latină, Limba daneză, limba japoneză, limba maghiară, Limba islandeză, limba georgiană, limba suedeză, limba spaniolă	Insula Paștelui
Limba oficială a lui Brazilia este <mask>.	limba portugheză	limba urdu, Limba islandeză, limba sârbă, limba thailandeză, limba finlandeză, limba georgiană, limba bască, limba slovacă, limba lituaniană, limba portugheză	Brazilia
Limba oficială a lui Mexic este <mask>.	limba spaniolă	limba italiană, limba chineză, limba estonă, limba română, limba armeană, Limba catalană, limba bască, limba franceză, limba urdu, limba spaniolă	Mexic
Limba oficială a lui Gambia este <mask>.	limba engleză	limba sârbă, limba rusă, limba azeră, limba poloneză, limba spaniolă, limba estonă, limba italiană, limba latină, limba slovacă, limba engleză	Gambia
Limba oficială a lui Insula Man este <mask>.	limba engleză	Limba croată, limba coreeană, limba finlandeză, limba chineză, limba franceză, limba thailandeză, limba japoneză, limba sârbă, limba bască, limba engleză	Insula Man
Limba oficială a lui Mississippi este <mask>.	limba engleză	limba greacă, limba japoneză, Limba daneză, limba chineză, limba română, limba neerlandeză, Limba croată, limba urdu, limba armeană, limba engleză	Mississippi
Limba oficială a lui Macao este <mask>.	limba chineză	limba suedeză, Limba albaneză, limba cehă, Limba indoneziană, limba franceză, limba germană, limba thailandeză, Limba croată, limba română, limba chineză	Macao
Limba oficială a lui Israel este <mask>.	limba ebraică	Limba islandeză, limba română, limba engleză, Limba catalană, limba slovacă, limba greacă, limba maghiară, limba poloneză, limba bulgară, limba ebraică	Israel
Limba oficială a lui Samoa este <mask>.	limba engleză	limba ebraică, limba slovacă, limba armeană, limba spaniolă, limba maghiară, limba coreeană, limba urdu, limba chineză, limba japoneză, limba engleză	Samoa
Limba oficială a lui Elveția este <mask>.	limba franceză	Limba croată, limba ebraică, limba latină, limba germană, limba maghiară, limba azeră, limba spaniolă, limba ucraineană, limba neerlandeză, limba franceză	Elveția
Limba oficială a lui Belgia este <mask>.	limba germană	limba finlandeză, limba italiană, limba azeră, Limba islandeză, limba greacă, limba chineză, limba armeană, limba georgiană, Limba albaneză, limba germană	Belgia
Limba oficială a lui Nauru este <mask>.	limba engleză	limba azeră, limba maghiară, limba ucraineană, Limba albaneză, limba ebraică, Limba croată, Limba daneză, limba franceză, limba italiană, limba engleză	Nauru
Limba oficială a lui Insulele Falkland este <mask>.	limba engleză	Limba indoneziană, limba greacă, limba ebraică, limba latină, limba slovacă, limba chineză, limba armeană, limba georgiană, Limba islandeză, limba engleză	Insulele Falkland
Limba oficială a lui Guineea este <mask>.	limba franceză	limba cehă, limba japoneză, limba română, limba estonă, limba turcă, Limba islandeză, Limba indoneziană, limba finlandeză, limba spaniolă, limba franceză	Guineea
Limba oficială a lui Australia este <mask>.	limba engleză	limba suedeză, Limba islandeză, limba slovacă, limba latină, limba coreeană, Limba croată, limba turcă, limba franceză, limba azeră, limba engleză	Australia
Limba oficială a lui Peru este <mask>.	limba spaniolă	limba poloneză, limba maghiară, Limba islandeză, limba neerlandeză, limba armeană, limba suedeză, limba bulgară, limba ebraică, limba cehă, limba spaniolă	Peru
Limba oficială a lui Lesotho este <mask>.	limba engleză	limba estonă, limba lituaniană, limba sârbă, limba portugheză, limba finlandeză, limba rusă, limba franceză, limba thailandeză, limba maghiară, limba engleză	Lesotho
Limba oficială a lui India este <mask>.	limba engleză	limba bulgară, limba lituaniană, limba thailandeză, Limba albaneză, limba neerlandeză, limba chineză, limba poloneză, limba estonă, limba spaniolă, limba engleză	India
Limba oficială a lui Zimbabwe este <mask>.	limba engleză	limba ebraică, limba lituaniană, Limba albaneză, limba bulgară, limba poloneză, limba georgiană, limba turcă, Limba daneză, limba franceză, limba engleză	Zimbabwe
Limba oficială a lui Djibouti este <mask>.	limba franceză	limba slovenă, limba neerlandeză, limba engleză, Limba islandeză, limba ebraică, limba italiană, limba ucraineană, limba slovacă, limba finlandeză, limba franceză	Djibouti
Limba oficială a lui Montana este <mask>.	limba engleză	limba slovacă, limba azeră, limba cehă, Limba albaneză, limba bulgară, limba rusă, limba japoneză, limba neerlandeză, limba slovenă, limba engleză	Montana
Limba oficială a lui Bahamas este <mask>.	limba engleză	limba sârbă, limba bască, limba persană, Limba indoneziană, limba bulgară, limba georgiană, limba spaniolă, limba maghiară, limba ucraineană, limba engleză	Bahamas
Limba oficială a lui Ontario este <mask>.	limba engleză	limba germană, limba maghiară, limba coreeană, limba cehă, limba urdu, limba sârbă, limba italiană, limba rusă, limba poloneză, limba engleză	Ontario
Limba oficială a lui Alberta este <mask>.	limba engleză	limba greacă, limba cehă, Limba daneză, limba latină, limba ucraineană, limba germană, limba slovenă, limba suedeză, Limba catalană, limba engleză	Alberta
Limba oficială a lui Muntenegru este <mask>.	limba sârbă	limba estonă, limba latină, limba italiană, limba urdu, Limba catalană, limba azeră, limba franceză, limba georgiană, limba spaniolă, limba sârbă	Muntenegru
Limba oficială a lui eSwatini este <mask>.	limba engleză	limba ebraică, limba persană, limba bulgară, limba bască, Limba albaneză, limba suedeză, limba franceză, limba coreeană, limba slovacă, limba engleză	eSwatini
Limba oficială a lui Uniunea Europeană este <mask>.	limba neerlandeză	limba greacă, limba lituaniană, Limba islandeză, limba latină, limba ucraineană, limba poloneză, Limba croată, limba engleză, limba estonă, limba neerlandeză	Uniunea Europeană
Limba oficială a lui Grenada este <mask>.	limba engleză	limba maghiară, limba lituaniană, limba sârbă, limba latină, limba portugheză, limba ebraică, limba armeană, limba bulgară, limba greacă, limba engleză	Grenada
Limba oficială a lui Cecenia este <mask>.	limba rusă	limba finlandeză, limba portugheză, limba slovacă, limba bască, limba maghiară, limba latină, limba azeră, limba thailandeză, limba română, limba rusă	Cecenia
Limba oficială a lui Rwanda este <mask>.	limba engleză	Limba indoneziană, limba poloneză, limba portugheză, limba urdu, limba thailandeză, limba ebraică, limba greacă, limba suedeză, limba franceză, limba engleză	Rwanda
Limba oficială a lui Finlanda este <mask>.	limba finlandeză	limba suedeză, limba estonă, limba coreeană, limba japoneză, Limba islandeză, limba chineză, limba ebraică, limba azeră, Limba daneză, limba finlandeză	Finlanda
Limba oficială a lui Nebraska este <mask>.	limba engleză	limba cehă, limba bulgară, limba lituaniană, limba rusă, limba finlandeză, limba chineză, Limba catalană, limba coreeană, limba armeană, limba engleză	Nebraska
Limba oficială a lui Polonia este <mask>.	limba poloneză	limba slovenă, limba suedeză, limba thailandeză, Limba croată, limba cehă, limba engleză, limba chineză, limba armeană, limba italiană, limba poloneză	Polonia
Limba oficială a lui Basel este <mask>.	limba germană	limba finlandeză, limba română, limba sârbă, Limba daneză, limba chineză, limba urdu, limba estonă, limba persană, limba japoneză, limba germană	Basel
Limba oficială a lui Arkansas este <mask>.	limba engleză	limba italiană, limba bască, Limba islandeză, limba cehă, limba chineză, limba maghiară, limba slovacă, limba sârbă, Limba daneză, limba engleză	Arkansas
Limba oficială a lui România este <mask>.	limba română	limba rusă, Limba albaneză, limba neerlandeză, limba latină, limba chineză, limba engleză, limba urdu, limba ucraineană, Limba daneză, limba română	România
