Prompt	Ans	Candidate Ans	Subject
Michelangelo <mask> hil zen.	Erroma	Venezia, Erroma	Michelangelo
Richard Wagner <mask> hil zen.	Venezia	Erroma, Venezia	Richard Wagner
arabiar alfabeto <mask> azpi-klasea da.	alfabeto	biologia, alfabeto	arabiar alfabeto
Ekologia <mask> azpi-klasea da.	biologia	alfabeto, biologia	Ekologia
Polinesia Frantsesa hizkuntza ofiziala <mask> da.	frantses	albaniera, Indonesiera, errumaniera, serbiera, hebreera, turkiera, georgiera, bulgariera, aleman, frantses	Polinesia Frantsesa
Uttar Pradesh hizkuntza ofiziala <mask> da.	Urdu	japoniera, errusiera, turkiera, latin, esloveniera, Kroaziera, Thailandiera, katalana, albaniera, Urdu	Uttar Pradesh
Europar Batasuna hizkuntza ofiziala <mask> da.	finlandiera	turkiera, txekiera, frantses, gaztelania, suediera, nederlandera, greziera, poloniera, Estoniera, finlandiera	Europar Batasuna
Europar Batasuna hizkuntza ofiziala <mask> da.	esloveniera	latin, greziera, koreera, ingeles, eslovakiera, Kroaziera, poloniera, Urdu, aleman, esloveniera	Europar Batasuna
Haiti hizkuntza ofiziala <mask> da.	frantses	errusiera, aleman, Kroaziera, Urdu, persiera, georgiera, nederlandera, turkiera, armeniera, frantses	Haiti
Wyoming hizkuntza ofiziala <mask> da.	ingeles	ukrainera, Kroaziera, eslovakiera, txekiera, lituaniera, finlandiera, japoniera, Urdu, turkiera, ingeles	Wyoming
Uruguai hizkuntza ofiziala <mask> da.	gaztelania	aleman, turkiera, serbiera, nederlandera, Urdu, Thailandiera, ingeles, suediera, Estoniera, gaztelania	Uruguai
Hego Osetia hizkuntza ofiziala <mask> da.	georgiera	bulgariera, ingeles, txekiera, eslovakiera, turkiera, nederlandera, portugesa, armeniera, koreera, georgiera	Hego Osetia
Kongoko Errepublika hizkuntza ofiziala <mask> da.	frantses	poloniera, hebreera, Thailandiera, Kroaziera, Estoniera, latin, greziera, japoniera, turkiera, frantses	Kongoko Errepublika
Salomon uharteak hizkuntza ofiziala <mask> da.	ingeles	frantses, Hungariera, Thailandiera, eslovakiera, Islandiera, bulgariera, koreera, txinera, errusiera, ingeles	Salomon uharteak
Isla de Pascua hizkuntza ofiziala <mask> da.	gaztelania	errusiera, txekiera, latin, daniera, japoniera, Hungariera, Islandiera, georgiera, suediera, gaztelania	Isla de Pascua
Brasil hizkuntza ofiziala <mask> da.	portugesa	Urdu, Islandiera, serbiera, Thailandiera, finlandiera, georgiera, euskara, eslovakiera, lituaniera, portugesa	Brasil
Mexiko hizkuntza ofiziala <mask> da.	gaztelania	italiera, txinera, Estoniera, errumaniera, armeniera, katalana, euskara, frantses, Urdu, gaztelania	Mexiko
Gambia hizkuntza ofiziala <mask> da.	ingeles	serbiera, errusiera, Azerbaijanera, poloniera, gaztelania, Estoniera, italiera, latin, eslovakiera, ingeles	Gambia
Man hizkuntza ofiziala <mask> da.	ingeles	Kroaziera, koreera, finlandiera, txinera, frantses, Thailandiera, japoniera, serbiera, euskara, ingeles	Man
Mississippi hizkuntza ofiziala <mask> da.	ingeles	greziera, japoniera, daniera, txinera, errumaniera, nederlandera, Kroaziera, Urdu, armeniera, ingeles	Mississippi
Macao hizkuntza ofiziala <mask> da.	txinera	suediera, albaniera, txekiera, Indonesiera, frantses, aleman, Thailandiera, Kroaziera, errumaniera, txinera	Macao
Israel hizkuntza ofiziala <mask> da.	hebreera	Islandiera, errumaniera, ingeles, katalana, eslovakiera, greziera, Hungariera, poloniera, bulgariera, hebreera	Israel
Samoa hizkuntza ofiziala <mask> da.	ingeles	hebreera, eslovakiera, armeniera, gaztelania, Hungariera, koreera, Urdu, txinera, japoniera, ingeles	Samoa
Suitza hizkuntza ofiziala <mask> da.	frantses	Kroaziera, hebreera, latin, aleman, Hungariera, Azerbaijanera, gaztelania, ukrainera, nederlandera, frantses	Suitza
Belgika hizkuntza ofiziala <mask> da.	aleman	finlandiera, italiera, Azerbaijanera, Islandiera, greziera, txinera, armeniera, georgiera, albaniera, aleman	Belgika
Nauru hizkuntza ofiziala <mask> da.	ingeles	Azerbaijanera, Hungariera, ukrainera, albaniera, hebreera, Kroaziera, daniera, frantses, italiera, ingeles	Nauru
Falkland uharteak hizkuntza ofiziala <mask> da.	ingeles	Indonesiera, greziera, hebreera, latin, eslovakiera, txinera, armeniera, georgiera, Islandiera, ingeles	Falkland uharteak
Ginea hizkuntza ofiziala <mask> da.	frantses	txekiera, japoniera, errumaniera, Estoniera, turkiera, Islandiera, Indonesiera, finlandiera, gaztelania, frantses	Ginea
Australia hizkuntza ofiziala <mask> da.	ingeles	suediera, Islandiera, eslovakiera, latin, koreera, Kroaziera, turkiera, frantses, Azerbaijanera, ingeles	Australia
Peru hizkuntza ofiziala <mask> da.	gaztelania	poloniera, Hungariera, Islandiera, nederlandera, armeniera, suediera, bulgariera, hebreera, txekiera, gaztelania	Peru
Lesotho hizkuntza ofiziala <mask> da.	ingeles	Estoniera, lituaniera, serbiera, portugesa, finlandiera, errusiera, frantses, Thailandiera, Hungariera, ingeles	Lesotho
India hizkuntza ofiziala <mask> da.	ingeles	bulgariera, lituaniera, Thailandiera, albaniera, nederlandera, txinera, poloniera, Estoniera, gaztelania, ingeles	India
Zimbabwe hizkuntza ofiziala <mask> da.	ingeles	hebreera, lituaniera, albaniera, bulgariera, poloniera, georgiera, turkiera, daniera, frantses, ingeles	Zimbabwe
Djibuti hizkuntza ofiziala <mask> da.	frantses	esloveniera, nederlandera, ingeles, Islandiera, hebreera, italiera, ukrainera, eslovakiera, finlandiera, frantses	Djibuti
Montana hizkuntza ofiziala <mask> da.	ingeles	eslovakiera, Azerbaijanera, txekiera, albaniera, bulgariera, errusiera, japoniera, nederlandera, esloveniera, ingeles	Montana
Bahamak hizkuntza ofiziala <mask> da.	ingeles	serbiera, euskara, persiera, Indonesiera, bulgariera, georgiera, gaztelania, Hungariera, ukrainera, ingeles	Bahamak
Ontario hizkuntza ofiziala <mask> da.	ingeles	aleman, Hungariera, koreera, txekiera, Urdu, serbiera, italiera, errusiera, poloniera, ingeles	Ontario
Alberta hizkuntza ofiziala <mask> da.	ingeles	greziera, txekiera, daniera, latin, ukrainera, aleman, esloveniera, suediera, katalana, ingeles	Alberta
Montenegro hizkuntza ofiziala <mask> da.	serbiera	Estoniera, latin, italiera, Urdu, katalana, Azerbaijanera, frantses, georgiera, gaztelania, serbiera	Montenegro
Eswatini hizkuntza ofiziala <mask> da.	ingeles	hebreera, persiera, bulgariera, euskara, albaniera, suediera, frantses, koreera, eslovakiera, ingeles	Eswatini
Europar Batasuna hizkuntza ofiziala <mask> da.	nederlandera	greziera, lituaniera, Islandiera, latin, ukrainera, poloniera, Kroaziera, ingeles, Estoniera, nederlandera	Europar Batasuna
Grenada hizkuntza ofiziala <mask> da.	ingeles	Hungariera, lituaniera, serbiera, latin, portugesa, hebreera, armeniera, bulgariera, greziera, ingeles	Grenada
Txetxenia hizkuntza ofiziala <mask> da.	errusiera	finlandiera, portugesa, eslovakiera, euskara, Hungariera, latin, Azerbaijanera, Thailandiera, errumaniera, errusiera	Txetxenia
Ruanda hizkuntza ofiziala <mask> da.	ingeles	Indonesiera, poloniera, portugesa, Urdu, Thailandiera, hebreera, greziera, suediera, frantses, ingeles	Ruanda
Finlandia hizkuntza ofiziala <mask> da.	finlandiera	suediera, Estoniera, koreera, japoniera, Islandiera, txinera, hebreera, Azerbaijanera, daniera, finlandiera	Finlandia
Nebraska hizkuntza ofiziala <mask> da.	ingeles	txekiera, bulgariera, lituaniera, errusiera, finlandiera, txinera, katalana, koreera, armeniera, ingeles	Nebraska
Polonia hizkuntza ofiziala <mask> da.	poloniera	esloveniera, suediera, Thailandiera, Kroaziera, txekiera, ingeles, txinera, armeniera, italiera, poloniera	Polonia
Basilea hizkuntza ofiziala <mask> da.	aleman	finlandiera, errumaniera, serbiera, daniera, txinera, Urdu, Estoniera, persiera, japoniera, aleman	Basilea
Arkansas hizkuntza ofiziala <mask> da.	ingeles	italiera, euskara, Islandiera, txekiera, txinera, Hungariera, eslovakiera, serbiera, daniera, ingeles	Arkansas
Errumania hizkuntza ofiziala <mask> da.	errumaniera	errusiera, albaniera, nederlandera, latin, txinera, ingeles, Urdu, ukrainera, daniera, errumaniera	Errumania
Europar Batasuna hizkuntza ofiziala <mask> da.	greziera	Islandiera, ukrainera, euskara, txinera, portugesa, finlandiera, daniera, Azerbaijanera, suediera, greziera	Europar Batasuna
Kenya hizkuntza ofiziala <mask> da.	ingeles	lituaniera, aleman, euskara, Indonesiera, hebreera, Kroaziera, ukrainera, gaztelania, finlandiera, ingeles	Kenya
Ghana hizkuntza ofiziala <mask> da.	ingeles	errumaniera, georgiera, italiera, Estoniera, daniera, bulgariera, txekiera, Indonesiera, Hungariera, ingeles	Ghana
Eslovenia hizkuntza ofiziala <mask> da.	esloveniera	serbiera, armeniera, persiera, Islandiera, turkiera, poloniera, Estoniera, Urdu, ukrainera, esloveniera	Eslovenia
