Prompt	Ans	Candidate Ans	Subject
Mikelandželas mirė <mask>.	Roma	Venecija, Roma	Mikelandželas
Richard Wagner mirė <mask>.	Venecija	Roma, Venecija	Richard Wagner
Arabų raštas yra <mask> poklasis.	Abėcėlė	Biologija, Abėcėlė	Arabų raštas
Ekologija yra <mask> poklasis.	Biologija	Abėcėlė, Biologija	Ekologija
Oficiali Prancūzijos Polinezija kalba yra <mask>.	prancūzų kalba	Albanų kalba, Indoneziečių kalba, Rumunų kalba, Serbų kalba, Hebrajų kalba, turkų kalba, Gruzinų kalba, bulgarų kalba, Vokiečių kalba, prancūzų kalba	Prancūzijos Polinezija
Oficiali Utar Pradešas kalba yra <mask>.	Urdu	Japonų kalba, rusų kalba, turkų kalba, Lotynų kalba, Slovėnų kalba, Kroatų kalba, Tajų kalba, Katalonų kalba, Albanų kalba, Urdu	Utar Pradešas
Oficiali Europos Sąjunga kalba yra <mask>.	Suomių kalba	turkų kalba, Čekų kalba, prancūzų kalba, Ispanų kalba, Švedų kalba, Olandų kalba, Graikų kalba, Lenkų kalba, Estų kalba, Suomių kalba	Europos Sąjunga
Oficiali Europos Sąjunga kalba yra <mask>.	Slovėnų kalba	Lotynų kalba, Graikų kalba, Korėjiečių kalba, anglų kalba, Slovakų kalba, Kroatų kalba, Lenkų kalba, Urdu, Vokiečių kalba, Slovėnų kalba	Europos Sąjunga
Oficiali Haitis kalba yra <mask>.	prancūzų kalba	rusų kalba, Vokiečių kalba, Kroatų kalba, Urdu, Persų kalba, Gruzinų kalba, Olandų kalba, turkų kalba, armėnų kalba, prancūzų kalba	Haitis
Oficiali Vajomingas kalba yra <mask>.	anglų kalba	Ukrainiečių kalba, Kroatų kalba, Slovakų kalba, Čekų kalba, Lietuvių kalba, Suomių kalba, Japonų kalba, Urdu, turkų kalba, anglų kalba	Vajomingas
Oficiali Urugvajus kalba yra <mask>.	Ispanų kalba	Vokiečių kalba, turkų kalba, Serbų kalba, Olandų kalba, Urdu, Tajų kalba, anglų kalba, Švedų kalba, Estų kalba, Ispanų kalba	Urugvajus
Oficiali Pietų Osetija kalba yra <mask>.	Gruzinų kalba	bulgarų kalba, anglų kalba, Čekų kalba, Slovakų kalba, turkų kalba, Olandų kalba, Portugalų kalba, armėnų kalba, Korėjiečių kalba, Gruzinų kalba	Pietų Osetija
