Prompt	Ans	Candidate Ans	Subject
Miguel Ángel murió en <mask>.	Roma	Venecia, Roma	Miguel Ángel
Richard Wagner murió en <mask>.	Venecia	Roma, Venecia	Richard Wagner
alfabeto árabe es una subclase de <mask>.	alfabeto	biología, alfabeto	alfabeto árabe
ecología es una subclase de <mask>.	biología	alfabeto, biología	ecología
El idioma oficial de Polinesia Francesa es <mask>.	francés	albanés, indonesio, rumano, serbio, hebreo, turco, georgiano, búlgaro, alemán, francés	Polinesia Francesa
El idioma oficial de Uttar Pradesh es <mask>.	urdu	japonés, ruso, turco, latín, esloveno, croata, tailandés, catalán, albanés, urdu	Uttar Pradesh
El idioma oficial de Unión Europea es <mask>.	finés	turco, checo, francés, español, sueco, neerlandés, griego, polaco, estonio, finés	Unión Europea
El idioma oficial de Unión Europea es <mask>.	esloveno	latín, griego, coreano, inglés, eslovaco, croata, polaco, urdu, alemán, esloveno	Unión Europea
El idioma oficial de Haití es <mask>.	francés	ruso, alemán, croata, urdu, persa, georgiano, neerlandés, turco, armenio, francés	Haití
El idioma oficial de Wyoming es <mask>.	inglés	ucraniano, croata, eslovaco, checo, lituano, finés, japonés, urdu, turco, inglés	Wyoming
El idioma oficial de Uruguay es <mask>.	español	alemán, turco, serbio, neerlandés, urdu, tailandés, inglés, sueco, estonio, español	Uruguay
El idioma oficial de Osetia del Sur es <mask>.	georgiano	búlgaro, inglés, checo, eslovaco, turco, neerlandés, portugués, armenio, coreano, georgiano	Osetia del Sur
El idioma oficial de República del Congo es <mask>.	francés	polaco, hebreo, tailandés, croata, estonio, latín, griego, japonés, turco, francés	República del Congo
El idioma oficial de Islas Salomón es <mask>.	inglés	francés, húngaro, tailandés, eslovaco, islandés, búlgaro, coreano, chino, ruso, inglés	Islas Salomón
El idioma oficial de Isla de Pascua es <mask>.	español	ruso, checo, latín, danés, japonés, húngaro, islandés, georgiano, sueco, español	Isla de Pascua
El idioma oficial de Brasil es <mask>.	portugués	urdu, islandés, serbio, tailandés, finés, georgiano, euskera, eslovaco, lituano, portugués	Brasil
El idioma oficial de México es <mask>.	español	italiano, chino, estonio, rumano, armenio, catalán, euskera, francés, urdu, español	México
El idioma oficial de Gambia es <mask>.	inglés	serbio, ruso, azerí, polaco, español, estonio, italiano, latín, eslovaco, inglés	Gambia
El idioma oficial de Isla de Man es <mask>.	inglés	croata, coreano, finés, chino, francés, tailandés, japonés, serbio, euskera, inglés	Isla de Man
El idioma oficial de Misisipi es <mask>.	inglés	griego, japonés, danés, chino, rumano, neerlandés, croata, urdu, armenio, inglés	Misisipi
El idioma oficial de Macao es <mask>.	chino	sueco, albanés, checo, indonesio, francés, alemán, tailandés, croata, rumano, chino	Macao
El idioma oficial de Israel es <mask>.	hebreo	islandés, rumano, inglés, catalán, eslovaco, griego, húngaro, polaco, búlgaro, hebreo	Israel
El idioma oficial de Samoa es <mask>.	inglés	hebreo, eslovaco, armenio, español, húngaro, coreano, urdu, chino, japonés, inglés	Samoa
El idioma oficial de Suiza es <mask>.	francés	croata, hebreo, latín, alemán, húngaro, azerí, español, ucraniano, neerlandés, francés	Suiza
El idioma oficial de Bélgica es <mask>.	alemán	finés, italiano, azerí, islandés, griego, chino, armenio, georgiano, albanés, alemán	Bélgica
El idioma oficial de Nauru es <mask>.	inglés	azerí, húngaro, ucraniano, albanés, hebreo, croata, danés, francés, italiano, inglés	Nauru
El idioma oficial de Islas Malvinas es <mask>.	inglés	indonesio, griego, hebreo, latín, eslovaco, chino, armenio, georgiano, islandés, inglés	Islas Malvinas
El idioma oficial de Guinea es <mask>.	francés	checo, japonés, rumano, estonio, turco, islandés, indonesio, finés, español, francés	Guinea
El idioma oficial de Australia es <mask>.	inglés	sueco, islandés, eslovaco, latín, coreano, croata, turco, francés, azerí, inglés	Australia
El idioma oficial de Perú es <mask>.	español	polaco, húngaro, islandés, neerlandés, armenio, sueco, búlgaro, hebreo, checo, español	Perú
El idioma oficial de Lesoto es <mask>.	inglés	estonio, lituano, serbio, portugués, finés, ruso, francés, tailandés, húngaro, inglés	Lesoto
El idioma oficial de India es <mask>.	inglés	búlgaro, lituano, tailandés, albanés, neerlandés, chino, polaco, estonio, español, inglés	India
El idioma oficial de Zimbabue es <mask>.	inglés	hebreo, lituano, albanés, búlgaro, polaco, georgiano, turco, danés, francés, inglés	Zimbabue
El idioma oficial de Yibuti es <mask>.	francés	esloveno, neerlandés, inglés, islandés, hebreo, italiano, ucraniano, eslovaco, finés, francés	Yibuti
El idioma oficial de Montana es <mask>.	inglés	eslovaco, azerí, checo, albanés, búlgaro, ruso, japonés, neerlandés, esloveno, inglés	Montana
El idioma oficial de Bahamas es <mask>.	inglés	serbio, euskera, persa, indonesio, búlgaro, georgiano, español, húngaro, ucraniano, inglés	Bahamas
El idioma oficial de Ontario es <mask>.	inglés	alemán, húngaro, coreano, checo, urdu, serbio, italiano, ruso, polaco, inglés	Ontario
El idioma oficial de Alberta es <mask>.	inglés	griego, checo, danés, latín, ucraniano, alemán, esloveno, sueco, catalán, inglés	Alberta
El idioma oficial de Montenegro es <mask>.	serbio	estonio, latín, italiano, urdu, catalán, azerí, francés, georgiano, español, serbio	Montenegro
El idioma oficial de Suazilandia es <mask>.	inglés	hebreo, persa, búlgaro, euskera, albanés, sueco, francés, coreano, eslovaco, inglés	Suazilandia
El idioma oficial de Unión Europea es <mask>.	neerlandés	griego, lituano, islandés, latín, ucraniano, polaco, croata, inglés, estonio, neerlandés	Unión Europea
