Prompt	Ans	Candidate Ans	Subject
Michelangelo suri <mask>.	Rooma	Veneetsia, Rooma	Michelangelo
Richard Wagner suri <mask>.	Veneetsia	Rooma, Veneetsia	Richard Wagner
Araabia kiri on punkti <mask> alaklass.	tähestik	bioloogia, tähestik	Araabia kiri
ökoloogia on punkti <mask> alaklass.	bioloogia	tähestik, bioloogia	ökoloogia
Prantsuse Polüneesia ametlik keel on <mask>.	prantsuse keel	Albaania keel, indoneesia keel, rumeenia keel, Serbia keel, heebrea keel, türgi keel, gruusia keel, bulgaaria keel, saksa keel, prantsuse keel	Prantsuse Polüneesia
Uttar Pradesh ametlik keel on <mask>.	urdu keel	jaapani keel, vene keel, türgi keel, ladina keel, Sloveeni keel, Horvaadi keel, tai keel, katalaani keel, Albaania keel, urdu keel	Uttar Pradesh
Euroopa Liit ametlik keel on <mask>.	soome keel	türgi keel, Tšehhi keel, prantsuse keel, hispaania keel, rootsi keel, hollandi keel, kreeka keel, poola keel, eesti keel, soome keel	Euroopa Liit
Euroopa Liit ametlik keel on <mask>.	Sloveeni keel	ladina keel, kreeka keel, korea keel, inglise keel, slovaki keel, Horvaadi keel, poola keel, urdu keel, saksa keel, Sloveeni keel	Euroopa Liit
Haiti ametlik keel on <mask>.	prantsuse keel	vene keel, saksa keel, Horvaadi keel, urdu keel, pärsia keel, gruusia keel, hollandi keel, türgi keel, armeenia keel, prantsuse keel	Haiti
Wyoming ametlik keel on <mask>.	inglise keel	Ukraina keel, Horvaadi keel, slovaki keel, Tšehhi keel, leedu keel, soome keel, jaapani keel, urdu keel, türgi keel, inglise keel	Wyoming
Uruguay ametlik keel on <mask>.	hispaania keel	saksa keel, türgi keel, Serbia keel, hollandi keel, urdu keel, tai keel, inglise keel, rootsi keel, eesti keel, hispaania keel	Uruguay
Lõuna-Osseetia ametlik keel on <mask>.	gruusia keel	bulgaaria keel, inglise keel, Tšehhi keel, slovaki keel, türgi keel, hollandi keel, portugali keel, armeenia keel, korea keel, gruusia keel	Lõuna-Osseetia
Kongo Vabariik ametlik keel on <mask>.	prantsuse keel	poola keel, heebrea keel, tai keel, Horvaadi keel, eesti keel, ladina keel, kreeka keel, jaapani keel, türgi keel, prantsuse keel	Kongo Vabariik
Saalomoni Saared ametlik keel on <mask>.	inglise keel	prantsuse keel, ungari keel, tai keel, slovaki keel, islandi keel, bulgaaria keel, korea keel, hiina keel, vene keel, inglise keel	Saalomoni Saared
Lihavõttesaar ametlik keel on <mask>.	hispaania keel	vene keel, Tšehhi keel, ladina keel, taani keel, jaapani keel, ungari keel, islandi keel, gruusia keel, rootsi keel, hispaania keel	Lihavõttesaar
Brasiilia ametlik keel on <mask>.	portugali keel	urdu keel, islandi keel, Serbia keel, tai keel, soome keel, gruusia keel, baski keel, slovaki keel, leedu keel, portugali keel	Brasiilia
Mehhiko ametlik keel on <mask>.	hispaania keel	itaalia keel, hiina keel, eesti keel, rumeenia keel, armeenia keel, katalaani keel, baski keel, prantsuse keel, urdu keel, hispaania keel	Mehhiko
Gambia ametlik keel on <mask>.	inglise keel	Serbia keel, vene keel, aserbaidžaani keel, poola keel, hispaania keel, eesti keel, itaalia keel, ladina keel, slovaki keel, inglise keel	Gambia
Man ametlik keel on <mask>.	inglise keel	Horvaadi keel, korea keel, soome keel, hiina keel, prantsuse keel, tai keel, jaapani keel, Serbia keel, baski keel, inglise keel	Man
Mississippi osariik ametlik keel on <mask>.	inglise keel	kreeka keel, jaapani keel, taani keel, hiina keel, rumeenia keel, hollandi keel, Horvaadi keel, urdu keel, armeenia keel, inglise keel	Mississippi osariik
Macau ametlik keel on <mask>.	hiina keel	rootsi keel, Albaania keel, Tšehhi keel, indoneesia keel, prantsuse keel, saksa keel, tai keel, Horvaadi keel, rumeenia keel, hiina keel	Macau
Iisrael ametlik keel on <mask>.	heebrea keel	islandi keel, rumeenia keel, inglise keel, katalaani keel, slovaki keel, kreeka keel, ungari keel, poola keel, bulgaaria keel, heebrea keel	Iisrael
