Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti <mask> -ben halt meg.	Róma	Velence, Róma	Michelangelo Buonarroti
Richard Wagner <mask> -ben halt meg.	Velence	Róma, Velence	Richard Wagner
arab ábécé az <mask> alosztálya.	ábécé	biológia, ábécé	arab ábécé
ökológia az <mask> alosztálya.	biológia	ábécé, biológia	ökológia
A Francia Polinézia hivatalos nyelve <mask>.	francia	albán, indonéz, román, szerb, héber, török, grúz, bolgár, német, francia	Francia Polinézia
A Uttar Prades hivatalos nyelve <mask>.	urdu	japán, orosz, török, latin, szlovén, horvát, thai, katalán, albán, urdu	Uttar Prades
A Európai Unió hivatalos nyelve <mask>.	finn	török, cseh, francia, spanyol, svéd, holland, görög, lengyel, észt, finn	Európai Unió
A Európai Unió hivatalos nyelve <mask>.	szlovén	latin, görög, koreai, angol, szlovák, horvát, lengyel, urdu, német, szlovén	Európai Unió
A Haiti hivatalos nyelve <mask>.	francia	orosz, német, horvát, urdu, perzsa, grúz, holland, török, örmény, francia	Haiti
A Wyoming hivatalos nyelve <mask>.	angol	ukrán, horvát, szlovák, cseh, litván, finn, japán, urdu, török, angol	Wyoming
A Uruguay hivatalos nyelve <mask>.	spanyol	német, török, szerb, holland, urdu, thai, angol, svéd, észt, spanyol	Uruguay
A Dél-Oszétia hivatalos nyelve <mask>.	grúz	bolgár, angol, cseh, szlovák, török, holland, portugál, örmény, koreai, grúz	Dél-Oszétia
A Kongói Köztársaság hivatalos nyelve <mask>.	francia	lengyel, héber, thai, horvát, észt, latin, görög, japán, török, francia	Kongói Köztársaság
A Salamon-szigetek hivatalos nyelve <mask>.	angol	francia, magyar, thai, szlovák, izlandi, bolgár, koreai, kínai, orosz, angol	Salamon-szigetek
A Húsvét-sziget hivatalos nyelve <mask>.	spanyol	orosz, cseh, latin, dán, japán, magyar, izlandi, grúz, svéd, spanyol	Húsvét-sziget
A Brazília hivatalos nyelve <mask>.	portugál	urdu, izlandi, szerb, thai, finn, grúz, baszk, szlovák, litván, portugál	Brazília
A Mexikó hivatalos nyelve <mask>.	spanyol	olasz, kínai, észt, román, örmény, katalán, baszk, francia, urdu, spanyol	Mexikó
A Gambia hivatalos nyelve <mask>.	angol	szerb, orosz, azeri, lengyel, spanyol, észt, olasz, latin, szlovák, angol	Gambia
A Man hivatalos nyelve <mask>.	angol	horvát, koreai, finn, kínai, francia, thai, japán, szerb, baszk, angol	Man
A Mississippi hivatalos nyelve <mask>.	angol	görög, japán, dán, kínai, román, holland, horvát, urdu, örmény, angol	Mississippi
A Makaó hivatalos nyelve <mask>.	kínai	svéd, albán, cseh, indonéz, francia, német, thai, horvát, román, kínai	Makaó
A Izrael hivatalos nyelve <mask>.	héber	izlandi, román, angol, katalán, szlovák, görög, magyar, lengyel, bolgár, héber	Izrael
A Szamoa hivatalos nyelve <mask>.	angol	héber, szlovák, örmény, spanyol, magyar, koreai, urdu, kínai, japán, angol	Szamoa
A Svájc hivatalos nyelve <mask>.	francia	horvát, héber, latin, német, magyar, azeri, spanyol, ukrán, holland, francia	Svájc
A Belgium hivatalos nyelve <mask>.	német	finn, olasz, azeri, izlandi, görög, kínai, örmény, grúz, albán, német	Belgium
A Nauru hivatalos nyelve <mask>.	angol	azeri, magyar, ukrán, albán, héber, horvát, dán, francia, olasz, angol	Nauru
A Falkland-szigetek hivatalos nyelve <mask>.	angol	indonéz, görög, héber, latin, szlovák, kínai, örmény, grúz, izlandi, angol	Falkland-szigetek
A Guinea hivatalos nyelve <mask>.	francia	cseh, japán, román, észt, török, izlandi, indonéz, finn, spanyol, francia	Guinea
A Ausztrália hivatalos nyelve <mask>.	angol	svéd, izlandi, szlovák, latin, koreai, horvát, török, francia, azeri, angol	Ausztrália
A Peru hivatalos nyelve <mask>.	spanyol	lengyel, magyar, izlandi, holland, örmény, svéd, bolgár, héber, cseh, spanyol	Peru
A Lesotho hivatalos nyelve <mask>.	angol	észt, litván, szerb, portugál, finn, orosz, francia, thai, magyar, angol	Lesotho
A India hivatalos nyelve <mask>.	angol	bolgár, litván, thai, albán, holland, kínai, lengyel, észt, spanyol, angol	India
A Zimbabwe hivatalos nyelve <mask>.	angol	héber, litván, albán, bolgár, lengyel, grúz, török, dán, francia, angol	Zimbabwe
A Dzsibuti hivatalos nyelve <mask>.	francia	szlovén, holland, angol, izlandi, héber, olasz, ukrán, szlovák, finn, francia	Dzsibuti
A Montana hivatalos nyelve <mask>.	angol	szlovák, azeri, cseh, albán, bolgár, orosz, japán, holland, szlovén, angol	Montana
A Bahama-szigetek hivatalos nyelve <mask>.	angol	szerb, baszk, perzsa, indonéz, bolgár, grúz, spanyol, magyar, ukrán, angol	Bahama-szigetek
A Ontario hivatalos nyelve <mask>.	angol	német, magyar, koreai, cseh, urdu, szerb, olasz, orosz, lengyel, angol	Ontario
A Alberta hivatalos nyelve <mask>.	angol	görög, cseh, dán, latin, ukrán, német, szlovén, svéd, katalán, angol	Alberta
A Montenegró hivatalos nyelve <mask>.	szerb	észt, latin, olasz, urdu, katalán, azeri, francia, grúz, spanyol, szerb	Montenegró
A Szváziföld hivatalos nyelve <mask>.	angol	héber, perzsa, bolgár, baszk, albán, svéd, francia, koreai, szlovák, angol	Szváziföld
A Európai Unió hivatalos nyelve <mask>.	holland	görög, litván, izlandi, latin, ukrán, lengyel, horvát, angol, észt, holland	Európai Unió
A Grenada hivatalos nyelve <mask>.	angol	magyar, litván, szerb, latin, portugál, héber, örmény, bolgár, görög, angol	Grenada
A Csecsenföld hivatalos nyelve <mask>.	orosz	finn, portugál, szlovák, baszk, magyar, latin, azeri, thai, román, orosz	Csecsenföld
A Ruanda hivatalos nyelve <mask>.	angol	indonéz, lengyel, portugál, urdu, thai, héber, görög, svéd, francia, angol	Ruanda
A Finnország hivatalos nyelve <mask>.	finn	svéd, észt, koreai, japán, izlandi, kínai, héber, azeri, dán, finn	Finnország
A Nebraska hivatalos nyelve <mask>.	angol	cseh, bolgár, litván, orosz, finn, kínai, katalán, koreai, örmény, angol	Nebraska
A Lengyelország hivatalos nyelve <mask>.	lengyel	szlovén, svéd, thai, horvát, cseh, angol, kínai, örmény, olasz, lengyel	Lengyelország
