Prompt	Ans	Candidate Ans	Subject
माइकल एंजेलो <mask> में मृत्यु हो गई।	रोम	वेनिस, रोम	माइकल एंजेलो
रिशार्द वाग्नर <mask> में मृत्यु हो गई।	वेनिस	रोम, वेनिस	रिशार्द वाग्नर
अरबी लिपि <mask> का एक उपवर्ग है।	वर्णमाला	जीव विज्ञान, वर्णमाला	अरबी लिपि
पारिस्थितिकी <mask> का एक उपवर्ग है।	जीव विज्ञान	वर्णमाला, जीव विज्ञान	पारिस्थितिकी
फ़्रान्सीसी पॉलिनेशिया की आधिकारिक भाषा <mask> है।	फ़्रान्सीसी भाषा	अल्बेनियन भाषा, इंडोनेशियाई भाषा, रोमानियाई भाषा, सर्बियाई भाषा, इब्रानी भाषा, तुर्कीयाई भाषा, जॉर्जियाई भाषा, बुल्गारियाई भाषा, जर्मन भाषा, फ़्रान्सीसी भाषा	फ़्रान्सीसी पॉलिनेशिया
उत्तर प्रदेश की आधिकारिक भाषा <mask> है।	उर्दू	जापानी भाषा, रूसी भाषा, तुर्कीयाई भाषा, लातिन भाषा, स्लोवेनियाई भाषा, क्रोएशियन भाषा, थाई भाषा, कैटलन भाषा, अल्बेनियन भाषा, उर्दू	उत्तर प्रदेश
यूरोपीय संघ की आधिकारिक भाषा <mask> है।	फ़िनिश भाषा	तुर्कीयाई भाषा, चॅक भाषा, फ़्रान्सीसी भाषा, स्पेनिश भाषा, स्वीडिश भाषा, डच भाषा, यूनानी भाषा, पोलिश भाषा, एस्टोनियाई भाषा, फ़िनिश भाषा	यूरोपीय संघ
यूरोपीय संघ की आधिकारिक भाषा <mask> है।	स्लोवेनियाई भाषा	लातिन भाषा, यूनानी भाषा, कोरियाई भाषा, अंग्रेज़ी भाषा, स्लोवाक भाषा, क्रोएशियन भाषा, पोलिश भाषा, उर्दू, जर्मन भाषा, स्लोवेनियाई भाषा	यूरोपीय संघ
हैती की आधिकारिक भाषा <mask> है।	फ़्रान्सीसी भाषा	रूसी भाषा, जर्मन भाषा, क्रोएशियन भाषा, उर्दू, फ़ारसी भाषा, जॉर्जियाई भाषा, डच भाषा, तुर्कीयाई भाषा, आर्मीनियाई भाषा, फ़्रान्सीसी भाषा	हैती
वायोमिंग की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	यूक्रेनी भाषा एवं साहित्य, क्रोएशियन भाषा, स्लोवाक भाषा, चॅक भाषा, लिथुआनियाई भाषा, फ़िनिश भाषा, जापानी भाषा, उर्दू, तुर्कीयाई भाषा, अंग्रेज़ी भाषा	वायोमिंग
उरुग्वे की आधिकारिक भाषा <mask> है।	स्पेनिश भाषा	जर्मन भाषा, तुर्कीयाई भाषा, सर्बियाई भाषा, डच भाषा, उर्दू, थाई भाषा, अंग्रेज़ी भाषा, स्वीडिश भाषा, एस्टोनियाई भाषा, स्पेनिश भाषा	उरुग्वे
दक्षिण ओसेतिया की आधिकारिक भाषा <mask> है।	जॉर्जियाई भाषा	बुल्गारियाई भाषा, अंग्रेज़ी भाषा, चॅक भाषा, स्लोवाक भाषा, तुर्कीयाई भाषा, डच भाषा, पुर्तगाली भाषा, आर्मीनियाई भाषा, कोरियाई भाषा, जॉर्जियाई भाषा	दक्षिण ओसेतिया
कांगो गणराज्य की आधिकारिक भाषा <mask> है।	फ़्रान्सीसी भाषा	पोलिश भाषा, इब्रानी भाषा, थाई भाषा, क्रोएशियन भाषा, एस्टोनियाई भाषा, लातिन भाषा, यूनानी भाषा, जापानी भाषा, तुर्कीयाई भाषा, फ़्रान्सीसी भाषा	कांगो गणराज्य
सोलोमन द्वीपसमूह की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	फ़्रान्सीसी भाषा, हंगेरियाई भाषा, थाई भाषा, स्लोवाक भाषा, आइसलैण्डिक भाषा, बुल्गारियाई भाषा, कोरियाई भाषा, चीनी भाषा, रूसी भाषा, अंग्रेज़ी भाषा	सोलोमन द्वीपसमूह
ईस्टर द्वीप की आधिकारिक भाषा <mask> है।	स्पेनिश भाषा	रूसी भाषा, चॅक भाषा, लातिन भाषा, डेनिश भाषा, जापानी भाषा, हंगेरियाई भाषा, आइसलैण्डिक भाषा, जॉर्जियाई भाषा, स्वीडिश भाषा, स्पेनिश भाषा	ईस्टर द्वीप
ब्राज़ील की आधिकारिक भाषा <mask> है।	पुर्तगाली भाषा	उर्दू, आइसलैण्डिक भाषा, सर्बियाई भाषा, थाई भाषा, फ़िनिश भाषा, जॉर्जियाई भाषा, बास्क भाषा, स्लोवाक भाषा, लिथुआनियाई भाषा, पुर्तगाली भाषा	ब्राज़ील
मेक्सिको की आधिकारिक भाषा <mask> है।	स्पेनिश भाषा	इतालवी भाषा, चीनी भाषा, एस्टोनियाई भाषा, रोमानियाई भाषा, आर्मीनियाई भाषा, कैटलन भाषा, बास्क भाषा, फ़्रान्सीसी भाषा, उर्दू, स्पेनिश भाषा	मेक्सिको
गाम्बिया की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	सर्बियाई भाषा, रूसी भाषा, अज़ेरी भाषा, पोलिश भाषा, स्पेनिश भाषा, एस्टोनियाई भाषा, इतालवी भाषा, लातिन भाषा, स्लोवाक भाषा, अंग्रेज़ी भाषा	गाम्बिया
आइल ऑफ़ मैन की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	क्रोएशियन भाषा, कोरियाई भाषा, फ़िनिश भाषा, चीनी भाषा, फ़्रान्सीसी भाषा, थाई भाषा, जापानी भाषा, सर्बियाई भाषा, बास्क भाषा, अंग्रेज़ी भाषा	आइल ऑफ़ मैन
मिसिसिप्पी की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	यूनानी भाषा, जापानी भाषा, डेनिश भाषा, चीनी भाषा, रोमानियाई भाषा, डच भाषा, क्रोएशियन भाषा, उर्दू, आर्मीनियाई भाषा, अंग्रेज़ी भाषा	मिसिसिप्पी
मकाउ की आधिकारिक भाषा <mask> है।	चीनी भाषा	स्वीडिश भाषा, अल्बेनियन भाषा, चॅक भाषा, इंडोनेशियाई भाषा, फ़्रान्सीसी भाषा, जर्मन भाषा, थाई भाषा, क्रोएशियन भाषा, रोमानियाई भाषा, चीनी भाषा	मकाउ
इज़राइल की आधिकारिक भाषा <mask> है।	इब्रानी भाषा	आइसलैण्डिक भाषा, रोमानियाई भाषा, अंग्रेज़ी भाषा, कैटलन भाषा, स्लोवाक भाषा, यूनानी भाषा, हंगेरियाई भाषा, पोलिश भाषा, बुल्गारियाई भाषा, इब्रानी भाषा	इज़राइल
समोआ की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	इब्रानी भाषा, स्लोवाक भाषा, आर्मीनियाई भाषा, स्पेनिश भाषा, हंगेरियाई भाषा, कोरियाई भाषा, उर्दू, चीनी भाषा, जापानी भाषा, अंग्रेज़ी भाषा	समोआ
स्विट्ज़रलैण्ड की आधिकारिक भाषा <mask> है।	फ़्रान्सीसी भाषा	क्रोएशियन भाषा, इब्रानी भाषा, लातिन भाषा, जर्मन भाषा, हंगेरियाई भाषा, अज़ेरी भाषा, स्पेनिश भाषा, यूक्रेनी भाषा एवं साहित्य, डच भाषा, फ़्रान्सीसी भाषा	स्विट्ज़रलैण्ड
बेल्जियम की आधिकारिक भाषा <mask> है।	जर्मन भाषा	फ़िनिश भाषा, इतालवी भाषा, अज़ेरी भाषा, आइसलैण्डिक भाषा, यूनानी भाषा, चीनी भाषा, आर्मीनियाई भाषा, जॉर्जियाई भाषा, अल्बेनियन भाषा, जर्मन भाषा	बेल्जियम
नौरु की आधिकारिक भाषा <mask> है।	अंग्रेज़ी भाषा	अज़ेरी भाषा, हंगेरियाई भाषा, यूक्रेनी भाषा एवं साहित्य, अल्बेनियन भाषा, इब्रानी भाषा, क्रोएशियन भाषा, डेनिश भाषा, फ़्रान्सीसी भाषा, इतालवी भाषा, अंग्रेज़ी भाषा	नौरु
