Prompt	Ans	Candidate Ans	Subject
Микеланджело Буонароти почина в <mask>.	Рим	Венеция, Рим	Микеланджело Буонароти
Рихард Вагнер почина в <mask>.	Венеция	Рим, Венеция	Рихард Вагнер
Арабска азбука е подклас на <mask>.	Азбука	Биология, Азбука	Арабска азбука
екология е подклас на <mask>.	Биология	Азбука, Биология	екология
Официалният език на Френска Полинезия е <mask>.	френски език	албански език, Индонезийски език, Румънски език, Сръбски език, Иврит, турски език, Грузински език, български език, немски език, френски език	Френска Полинезия
Официалният език на Утар Прадеш е <mask>.	Урду	японски език, руски език, турски език, латински език, Словенски език, хърватски език, Тайски език, Каталонски език, албански език, Урду	Утар Прадеш
Официалният език на Европейски съюз е <mask>.	Фински език	турски език, Чешки език, френски език, испански език, Шведски език, нидерландски език, гръцки език, полски език, Естонски език, Фински език	Европейски съюз
Официалният език на Европейски съюз е <mask>.	Словенски език	латински език, гръцки език, Корейски език, английски език, Словашки език, хърватски език, полски език, Урду, немски език, Словенски език	Европейски съюз
Официалният език на Хаити е <mask>.	френски език	руски език, немски език, хърватски език, Урду, персийски език, Грузински език, нидерландски език, турски език, арменски език, френски език	Хаити
Официалният език на Уайоминг е <mask>.	английски език	Украински език, хърватски език, Словашки език, Чешки език, Литовски език, Фински език, японски език, Урду, турски език, английски език	Уайоминг
Официалният език на Уругвай е <mask>.	испански език	немски език, турски език, Сръбски език, нидерландски език, Урду, Тайски език, английски език, Шведски език, Естонски език, испански език	Уругвай
Официалният език на Южна Осетия е <mask>.	Грузински език	български език, английски език, Чешки език, Словашки език, турски език, нидерландски език, португалски език, арменски език, Корейски език, Грузински език	Южна Осетия
Официалният език на Република Конго е <mask>.	френски език	полски език, Иврит, Тайски език, хърватски език, Естонски език, латински език, гръцки език, японски език, турски език, френски език	Република Конго
Официалният език на Соломонови острови е <mask>.	английски език	френски език, Унгарски език, Тайски език, Словашки език, Исландски език, български език, Корейски език, Китайски език, руски език, английски език	Соломонови острови
Официалният език на Великденски остров е <mask>.	испански език	руски език, Чешки език, латински език, Датски език, японски език, Унгарски език, Исландски език, Грузински език, Шведски език, испански език	Великденски остров
