Prompt	Ans	Candidate Ans	Subject
Michelangelo kuoli <mask>: ssä.	Rooma	Venetsia, Rooma	Michelangelo
Richard Wagner kuoli <mask>: ssä.	Venetsia	Rooma, Venetsia	Richard Wagner
Arabialainen kirjaimisto on alaluokka kohdasta <mask>.	aakkoset	biologia, aakkoset	Arabialainen kirjaimisto
ekologia on alaluokka kohdasta <mask>.	biologia	aakkoset, biologia	ekologia
Ranskan Polynesia: n virallinen kieli on <mask>.	ranska	albania, indonesia, romania, serbia, heprea, turkki, georgia, bulgaria, saksa, ranska	Ranskan Polynesia
Uttar Pradesh: n virallinen kieli on <mask>.	urdu	japani, venäjä, turkki, latina, sloveeni, kroatia, thain kieli, katalaani, albania, urdu	Uttar Pradesh
Euroopan unioni: n virallinen kieli on <mask>.	suomi	turkki, tšekki, ranska, espanja, ruotsi, hollanti, kreikka, puola, viro, suomi	Euroopan unioni
Euroopan unioni: n virallinen kieli on <mask>.	sloveeni	latina, kreikka, korea, englanti, slovakki, kroatia, puola, urdu, saksa, sloveeni	Euroopan unioni
Haiti: n virallinen kieli on <mask>.	ranska	venäjä, saksa, kroatia, urdu, persia, georgia, hollanti, turkki, armenian kieli, ranska	Haiti
Wyoming: n virallinen kieli on <mask>.	englanti	ukraina, kroatia, slovakki, tšekki, liettua, suomi, japani, urdu, turkki, englanti	Wyoming
Uruguay: n virallinen kieli on <mask>.	espanja	saksa, turkki, serbia, hollanti, urdu, thain kieli, englanti, ruotsi, viro, espanja	Uruguay
Etelä-Ossetia: n virallinen kieli on <mask>.	georgia	bulgaria, englanti, tšekki, slovakki, turkki, hollanti, portugali, armenian kieli, korea, georgia	Etelä-Ossetia
Kongon tasavalta: n virallinen kieli on <mask>.	ranska	puola, heprea, thain kieli, kroatia, viro, latina, kreikka, japani, turkki, ranska	Kongon tasavalta
Salomonsaaret: n virallinen kieli on <mask>.	englanti	ranska, unkari, thain kieli, slovakki, islanti, bulgaria, korea, kiina, venäjä, englanti	Salomonsaaret
Pääsiäissaari: n virallinen kieli on <mask>.	espanja	venäjä, tšekki, latina, tanska, japani, unkari, islanti, georgia, ruotsi, espanja	Pääsiäissaari
Brasilia: n virallinen kieli on <mask>.	portugali	urdu, islanti, serbia, thain kieli, suomi, georgia, baski, slovakki, liettua, portugali	Brasilia
Meksiko: n virallinen kieli on <mask>.	espanja	italia, kiina, viro, romania, armenian kieli, katalaani, baski, ranska, urdu, espanja	Meksiko
Gambia: n virallinen kieli on <mask>.	englanti	serbia, venäjä, azeri, puola, espanja, viro, italia, latina, slovakki, englanti	Gambia
Mansaari: n virallinen kieli on <mask>.	englanti	kroatia, korea, suomi, kiina, ranska, thain kieli, japani, serbia, baski, englanti	Mansaari
Mississippi: n virallinen kieli on <mask>.	englanti	kreikka, japani, tanska, kiina, romania, hollanti, kroatia, urdu, armenian kieli, englanti	Mississippi
Macao: n virallinen kieli on <mask>.	kiina	ruotsi, albania, tšekki, indonesia, ranska, saksa, thain kieli, kroatia, romania, kiina	Macao
Israel: n virallinen kieli on <mask>.	heprea	islanti, romania, englanti, katalaani, slovakki, kreikka, unkari, puola, bulgaria, heprea	Israel
Samoa: n virallinen kieli on <mask>.	englanti	heprea, slovakki, armenian kieli, espanja, unkari, korea, urdu, kiina, japani, englanti	Samoa
Sveitsi: n virallinen kieli on <mask>.	ranska	kroatia, heprea, latina, saksa, unkari, azeri, espanja, ukraina, hollanti, ranska	Sveitsi
Belgia: n virallinen kieli on <mask>.	saksa	suomi, italia, azeri, islanti, kreikka, kiina, armenian kieli, georgia, albania, saksa	Belgia
Nauru: n virallinen kieli on <mask>.	englanti	azeri, unkari, ukraina, albania, heprea, kroatia, tanska, ranska, italia, englanti	Nauru
Falklandinsaaret: n virallinen kieli on <mask>.	englanti	indonesia, kreikka, heprea, latina, slovakki, kiina, armenian kieli, georgia, islanti, englanti	Falklandinsaaret
Guinea: n virallinen kieli on <mask>.	ranska	tšekki, japani, romania, viro, turkki, islanti, indonesia, suomi, espanja, ranska	Guinea
Australia: n virallinen kieli on <mask>.	englanti	ruotsi, islanti, slovakki, latina, korea, kroatia, turkki, ranska, azeri, englanti	Australia
Peru: n virallinen kieli on <mask>.	espanja	puola, unkari, islanti, hollanti, armenian kieli, ruotsi, bulgaria, heprea, tšekki, espanja	Peru
Lesotho: n virallinen kieli on <mask>.	englanti	viro, liettua, serbia, portugali, suomi, venäjä, ranska, thain kieli, unkari, englanti	Lesotho
Intia: n virallinen kieli on <mask>.	englanti	bulgaria, liettua, thain kieli, albania, hollanti, kiina, puola, viro, espanja, englanti	Intia
Zimbabwe: n virallinen kieli on <mask>.	englanti	heprea, liettua, albania, bulgaria, puola, georgia, turkki, tanska, ranska, englanti	Zimbabwe
Djibouti: n virallinen kieli on <mask>.	ranska	sloveeni, hollanti, englanti, islanti, heprea, italia, ukraina, slovakki, suomi, ranska	Djibouti
Montana: n virallinen kieli on <mask>.	englanti	slovakki, azeri, tšekki, albania, bulgaria, venäjä, japani, hollanti, sloveeni, englanti	Montana
Bahama: n virallinen kieli on <mask>.	englanti	serbia, baski, persia, indonesia, bulgaria, georgia, espanja, unkari, ukraina, englanti	Bahama
Ontario: n virallinen kieli on <mask>.	englanti	saksa, unkari, korea, tšekki, urdu, serbia, italia, venäjä, puola, englanti	Ontario
Alberta: n virallinen kieli on <mask>.	englanti	kreikka, tšekki, tanska, latina, ukraina, saksa, sloveeni, ruotsi, katalaani, englanti	Alberta
Montenegro: n virallinen kieli on <mask>.	serbia	viro, latina, italia, urdu, katalaani, azeri, ranska, georgia, espanja, serbia	Montenegro
Eswatini: n virallinen kieli on <mask>.	englanti	heprea, persia, bulgaria, baski, albania, ruotsi, ranska, korea, slovakki, englanti	Eswatini
Euroopan unioni: n virallinen kieli on <mask>.	hollanti	kreikka, liettua, islanti, latina, ukraina, puola, kroatia, englanti, viro, hollanti	Euroopan unioni
Grenada: n virallinen kieli on <mask>.	englanti	unkari, liettua, serbia, latina, portugali, heprea, armenian kieli, bulgaria, kreikka, englanti	Grenada
Tšetšenia: n virallinen kieli on <mask>.	venäjä	suomi, portugali, slovakki, baski, unkari, latina, azeri, thain kieli, romania, venäjä	Tšetšenia
Ruanda: n virallinen kieli on <mask>.	englanti	indonesia, puola, portugali, urdu, thain kieli, heprea, kreikka, ruotsi, ranska, englanti	Ruanda
Suomi: n virallinen kieli on <mask>.	suomi	ruotsi, viro, korea, japani, islanti, kiina, heprea, azeri, tanska, suomi	Suomi
Nebraska: n virallinen kieli on <mask>.	englanti	tšekki, bulgaria, liettua, venäjä, suomi, kiina, katalaani, korea, armenian kieli, englanti	Nebraska
Puola: n virallinen kieli on <mask>.	puola	sloveeni, ruotsi, thain kieli, kroatia, tšekki, englanti, kiina, armenian kieli, italia, puola	Puola
Basel: n virallinen kieli on <mask>.	saksa	suomi, romania, serbia, tanska, kiina, urdu, viro, persia, japani, saksa	Basel
Arkansas: n virallinen kieli on <mask>.	englanti	italia, baski, islanti, tšekki, kiina, unkari, slovakki, serbia, tanska, englanti	Arkansas
