Prompt	Ans	Candidate Ans	Subject
Карл II родился в <mask>.	Мадрид	Торонто, Лондон, Белград, Манчестер, Неаполь, Бруклин, Вена, Стамбул, Женева, Мадрид	Карл II
Култхард, Дэвид родился в <mask>.	Шотландия	Бруклин, Вена, Пекин, Белфаст, Париж, Стамбул, Хьюстон, Милан, Вестминстер, Шотландия	Култхард, Дэвид
Кристина Джорджина Россетти родился в <mask>.	Лондон	Белфаст, Комо, Москва, Стамбул, Берлин, Шотландия, Рим, Манчестер, Армения, Лондон	Кристина Джорджина Россетти
Роджерс, Кенни родился в <mask>.	Хьюстон	Стамбул, Белград, Чикаго, Мадрид, Париж, Лондон, Милан, Вена, Бруклин, Хьюстон	Роджерс, Кенни
Хусейн ибн Али родился в <mask>.	Медина	Париж, Москва, Берлин, Женева, Бруклин, Рим, Шотландия, Пекин, Белград, Медина	Хусейн ибн Али
Уильям Томсон, 1-й барон Кельвин родился в <mask>.	Белфаст	Москва, Женева, Мадрид, Вестминстер, Париж, Медина, Белград, Пекин, Рим, Белфаст	Уильям Томсон, 1-й барон Кельвин
Альфред Адлер родился в <mask>.	Вена	Париж, Мадрид, Торонто, Кёльн, Комо, Лондон, Белфаст, Стамбул, Мюнхен, Вена	Альфред Адлер
Чус Лампреаве родился в <mask>.	Мадрид	Неаполь, Рим, Мекка, Чикаго, Армения, Лондон, Комо, Шотландия, Стамбул, Мадрид	Чус Лампреаве
Сергей Викторович Лавров родился в <mask>.	Москва	Пекин, Женева, Медина, Стамбул, Белфаст, Белград, Мадрид, Вестминстер, Лондон, Москва	Сергей Викторович Лавров
Конрад Лоренц родился в <mask>.	Вена	Мекка, Милан, Берлин, Белград, Лондон, Чикаго, Пекин, Стамбул, Белфаст, Вена	Конрад Лоренц
Лу Рид родился в <mask>.	Бруклин	Хьюстон, Женева, Мюнхен, Рим, Вена, Медина, Вестминстер, Кёльн, Берлин, Бруклин	Лу Рид
Лев V Армянин родился в <mask>.	Армения	Берлин, Торонто, Кёльн, Мекка, Манчестер, Москва, Комо, Стамбул, Мадрид, Армения	Лев V Армянин
Марко Дельвеккио родился в <mask>.	Милан	Мекка, Мюнхен, Вестминстер, Кёльн, Пекин, Белград, Женева, Торонто, Армения, Милан	Марко Дельвеккио
Карл Орф родился в <mask>.	Мюнхен	Рим, Торонто, Хьюстон, Манчестер, Вена, Пекин, Кёльн, Чикаго, Берлин, Мюнхен	Карл Орф
Плиний Старший родился в <mask>.	Комо	Торонто, Мюнхен, Женева, Париж, Милан, Вестминстер, Манчестер, Берлин, Лондон, Комо	Плиний Старший
Фридрих Вильгельм II родился в <mask>.	Берлин	Армения, Мадрид, Торонто, Белфаст, Вестминстер, Шотландия, Хьюстон, Париж, Кёльн, Берлин	Фридрих Вильгельм II
Бонифаций III родился в <mask>.	Рим	Бруклин, Неаполь, Хьюстон, Комо, Москва, Манчестер, Милан, Белград, Париж, Рим	Бонифаций III
Клаудио Аббадо родился в <mask>.	Милан	Мадрид, Кёльн, Белград, Белфаст, Вена, Чикаго, Пекин, Лондон, Берлин, Милан	Клаудио Аббадо
Карузо, Энрико родился в <mask>.	Неаполь	Кёльн, Рим, Комо, Манчестер, Вена, Берлин, Париж, Шотландия, Хьюстон, Неаполь	Карузо, Энрико
Мехмед VI родился в <mask>.	Стамбул	Мадрид, Вестминстер, Мюнхен, Белфаст, Белград, Москва, Женева, Торонто, Хьюстон, Стамбул	Мехмед VI
Фарина, Деннис родился в <mask>.	Чикаго	Москва, Белфаст, Торонто, Берлин, Мадрид, Милан, Армения, Неаполь, Стамбул, Чикаго	Фарина, Деннис
Марк Стронг родился в <mask>.	Лондон	Милан, Мадрид, Белфаст, Женева, Рим, Бруклин, Торонто, Париж, Хьюстон, Лондон	Марк Стронг
Эдуард I родился в <mask>.	Вестминстер	Кёльн, Бруклин, Москва, Женева, Милан, Торонто, Вена, Армения, Медина, Вестминстер	Эдуард I
The Weeknd родился в <mask>.	Торонто	Манчестер, Милан, Лондон, Кёльн, Мекка, Вестминстер, Берлин, Мадрид, Хьюстон, Торонто	The Weeknd
Ларри Кинг родился в <mask>.	Бруклин	Женева, Комо, Рим, Медина, Париж, Берлин, Кёльн, Мюнхен, Чикаго, Бруклин	Ларри Кинг
