Prompt	Ans	Candidate Ans	Subject
Κάρολος Β΄ της Ισπανίας γεννήθηκε στο <mask>.	Μαδρίτη	Τορόντο, Λονδίνο, Βελιγράδι, Μάντσεστερ, Νάπολη, Μπρούκλιν, Βιέννη, Κωνσταντινούπολη, Γενεύη, Μαδρίτη	Κάρολος Β΄ της Ισπανίας
Ντέιβιντ Κούλθαρντ γεννήθηκε στο <mask>.	Σκωτία	Μπρούκλιν, Βιέννη, Πεκίνο, Μπέλφαστ, Παρίσι, Κωνσταντινούπολη, Χιούστον, Μιλάνο, Ουέστμινστερ, Σκωτία	Ντέιβιντ Κούλθαρντ
Κριστίνα Ροσέτι γεννήθηκε στο <mask>.	Λονδίνο	Μπέλφαστ, Κόμο, Μόσχα, Κωνσταντινούπολη, Βερολίνο, Σκωτία, Ρώμη, Μάντσεστερ, Αρμενία, Λονδίνο	Κριστίνα Ροσέτι
Κένι Ρότζερς γεννήθηκε στο <mask>.	Χιούστον	Κωνσταντινούπολη, Βελιγράδι, Σικάγο, Μαδρίτη, Παρίσι, Λονδίνο, Μιλάνο, Βιέννη, Μπρούκλιν, Χιούστον	Κένι Ρότζερς
Χουσεΐν ιμπν Αλί γεννήθηκε στο <mask>.	Μεδίνα	Παρίσι, Μόσχα, Βερολίνο, Γενεύη, Μπρούκλιν, Ρώμη, Σκωτία, Πεκίνο, Βελιγράδι, Μεδίνα	Χουσεΐν ιμπν Αλί
Ουίλιαμ Τόμσον γεννήθηκε στο <mask>.	Μπέλφαστ	Μόσχα, Γενεύη, Μαδρίτη, Ουέστμινστερ, Παρίσι, Μεδίνα, Βελιγράδι, Πεκίνο, Ρώμη, Μπέλφαστ	Ουίλιαμ Τόμσον
Άλφρεντ Άντλερ γεννήθηκε στο <mask>.	Βιέννη	Παρίσι, Μαδρίτη, Τορόντο, Κολωνία, Κόμο, Λονδίνο, Μπέλφαστ, Κωνσταντινούπολη, Μόναχο, Βιέννη	Άλφρεντ Άντλερ
Τσους Λαμπρεάβε γεννήθηκε στο <mask>.	Μαδρίτη	Νάπολη, Ρώμη, Μέκκα, Σικάγο, Αρμενία, Λονδίνο, Κόμο, Σκωτία, Κωνσταντινούπολη, Μαδρίτη	Τσους Λαμπρεάβε
Σεργκέι Λαβρόφ γεννήθηκε στο <mask>.	Μόσχα	Πεκίνο, Γενεύη, Μεδίνα, Κωνσταντινούπολη, Μπέλφαστ, Βελιγράδι, Μαδρίτη, Ουέστμινστερ, Λονδίνο, Μόσχα	Σεργκέι Λαβρόφ
Κόνραντ Λόρεντς γεννήθηκε στο <mask>.	Βιέννη	Μέκκα, Μιλάνο, Βερολίνο, Βελιγράδι, Λονδίνο, Σικάγο, Πεκίνο, Κωνσταντινούπολη, Μπέλφαστ, Βιέννη	Κόνραντ Λόρεντς
