Prompt	Ans	Candidate Ans	Subject
Michelangelo is in <mask> oorlede.	Rome	Venesië, Rome	Michelangelo
Richard Wagner is in <mask> oorlede.	Venesië	Rome, Venesië	Richard Wagner
Arabiese alfabet is 'n subklas van <mask>.	Alfabet	biologie, Alfabet	Arabiese alfabet
ekologie is 'n subklas van <mask>.	biologie	Alfabet, biologie	ekologie
Die amptelike taal van Frans-Polinesië is <mask>.	Frans	Albanees, Indonesies, Roemeens, Serwies, Hebreeus, turks, Georgies, bulgaars, Duits, Frans	Frans-Polinesië
Die amptelike taal van Oetarpradesj is <mask>.	Oerdoe	Japannees, russies, turks, Latyn, Sloweens, Kroaties, Thai, Katalaans, Albanees, Oerdoe	Oetarpradesj
Die amptelike taal van Europese Unie is <mask>.	Fins	turks, Tsjeggies, Frans, Spaans, Sweeds, Nederlands, Grieks, Pools, estnies, Fins	Europese Unie
Die amptelike taal van Europese Unie is <mask>.	Sloweens	Latyn, Grieks, Koreaans, Engels, Slowaaks, Kroaties, Pools, Oerdoe, Duits, Sloweens	Europese Unie
Die amptelike taal van Haïti is <mask>.	Frans	russies, Duits, Kroaties, Oerdoe, Persies, Georgies, Nederlands, turks, armeens, Frans	Haïti
Die amptelike taal van Wyoming is <mask>.	Engels	Oekraïns, Kroaties, Slowaaks, Tsjeggies, Litaus, Fins, Japannees, Oerdoe, turks, Engels	Wyoming
Die amptelike taal van Uruguay is <mask>.	Spaans	Duits, turks, Serwies, Nederlands, Oerdoe, Thai, Engels, Sweeds, estnies, Spaans	Uruguay
Die amptelike taal van Suid-Ossetië is <mask>.	Georgies	bulgaars, Engels, Tsjeggies, Slowaaks, turks, Nederlands, Portugees, armeens, Koreaans, Georgies	Suid-Ossetië
Die amptelike taal van Republiek van die Kongo is <mask>.	Frans	Pools, Hebreeus, Thai, Kroaties, estnies, Latyn, Grieks, Japannees, turks, Frans	Republiek van die Kongo
Die amptelike taal van Solomoneilande is <mask>.	Engels	Frans, Hongaars, Thai, Slowaaks, Yslands, bulgaars, Koreaans, Sjinees, russies, Engels	Solomoneilande
Die amptelike taal van Paaseiland is <mask>.	Spaans	russies, Tsjeggies, Latyn, Deens, Japannees, Hongaars, Yslands, Georgies, Sweeds, Spaans	Paaseiland
Die amptelike taal van Brasilië is <mask>.	Portugees	Oerdoe, Yslands, Serwies, Thai, Fins, Georgies, Baskies, Slowaaks, Litaus, Portugees	Brasilië
Die amptelike taal van Meksiko is <mask>.	Spaans	italiaans, Sjinees, estnies, Roemeens, armeens, Katalaans, Baskies, Frans, Oerdoe, Spaans	Meksiko
Die amptelike taal van Gambië is <mask>.	Engels	Serwies, russies, Azerbeidjans, Pools, Spaans, estnies, italiaans, Latyn, Slowaaks, Engels	Gambië
Die amptelike taal van Man is <mask>.	Engels	Kroaties, Koreaans, Fins, Sjinees, Frans, Thai, Japannees, Serwies, Baskies, Engels	Man
Die amptelike taal van Mississippi is <mask>.	Engels	Grieks, Japannees, Deens, Sjinees, Roemeens, Nederlands, Kroaties, Oerdoe, armeens, Engels	Mississippi
Die amptelike taal van Macau is <mask>.	Sjinees	Sweeds, Albanees, Tsjeggies, Indonesies, Frans, Duits, Thai, Kroaties, Roemeens, Sjinees	Macau
Die amptelike taal van Israel is <mask>.	Hebreeus	Yslands, Roemeens, Engels, Katalaans, Slowaaks, Grieks, Hongaars, Pools, bulgaars, Hebreeus	Israel
Die amptelike taal van Samoa is <mask>.	Engels	Hebreeus, Slowaaks, armeens, Spaans, Hongaars, Koreaans, Oerdoe, Sjinees, Japannees, Engels	Samoa
Die amptelike taal van Switserland is <mask>.	Frans	Kroaties, Hebreeus, Latyn, Duits, Hongaars, Azerbeidjans, Spaans, Oekraïns, Nederlands, Frans	Switserland
Die amptelike taal van België is <mask>.	Duits	Fins, italiaans, Azerbeidjans, Yslands, Grieks, Sjinees, armeens, Georgies, Albanees, Duits	België
Die amptelike taal van Nauru is <mask>.	Engels	Azerbeidjans, Hongaars, Oekraïns, Albanees, Hebreeus, Kroaties, Deens, Frans, italiaans, Engels	Nauru
Die amptelike taal van Falkland-eilande is <mask>.	Engels	Indonesies, Grieks, Hebreeus, Latyn, Slowaaks, Sjinees, armeens, Georgies, Yslands, Engels	Falkland-eilande
Die amptelike taal van Guinee is <mask>.	Frans	Tsjeggies, Japannees, Roemeens, estnies, turks, Yslands, Indonesies, Fins, Spaans, Frans	Guinee
Die amptelike taal van Australië is <mask>.	Engels	Sweeds, Yslands, Slowaaks, Latyn, Koreaans, Kroaties, turks, Frans, Azerbeidjans, Engels	Australië
Die amptelike taal van Peru is <mask>.	Spaans	Pools, Hongaars, Yslands, Nederlands, armeens, Sweeds, bulgaars, Hebreeus, Tsjeggies, Spaans	Peru
Die amptelike taal van Lesotho is <mask>.	Engels	estnies, Litaus, Serwies, Portugees, Fins, russies, Frans, Thai, Hongaars, Engels	Lesotho
Die amptelike taal van Indië is <mask>.	Engels	bulgaars, Litaus, Thai, Albanees, Nederlands, Sjinees, Pools, estnies, Spaans, Engels	Indië
Die amptelike taal van Zimbabwe is <mask>.	Engels	Hebreeus, Litaus, Albanees, bulgaars, Pools, Georgies, turks, Deens, Frans, Engels	Zimbabwe
Die amptelike taal van Djiboeti is <mask>.	Frans	Sloweens, Nederlands, Engels, Yslands, Hebreeus, italiaans, Oekraïns, Slowaaks, Fins, Frans	Djiboeti
Die amptelike taal van Montana is <mask>.	Engels	Slowaaks, Azerbeidjans, Tsjeggies, Albanees, bulgaars, russies, Japannees, Nederlands, Sloweens, Engels	Montana
Die amptelike taal van Bahamas is <mask>.	Engels	Serwies, Baskies, Persies, Indonesies, bulgaars, Georgies, Spaans, Hongaars, Oekraïns, Engels	Bahamas
Die amptelike taal van Ontario is <mask>.	Engels	Duits, Hongaars, Koreaans, Tsjeggies, Oerdoe, Serwies, italiaans, russies, Pools, Engels	Ontario
Die amptelike taal van Alberta is <mask>.	Engels	Grieks, Tsjeggies, Deens, Latyn, Oekraïns, Duits, Sloweens, Sweeds, Katalaans, Engels	Alberta
Die amptelike taal van Montenegro is <mask>.	Serwies	estnies, Latyn, italiaans, Oerdoe, Katalaans, Azerbeidjans, Frans, Georgies, Spaans, Serwies	Montenegro
Die amptelike taal van Eswatini is <mask>.	Engels	Hebreeus, Persies, bulgaars, Baskies, Albanees, Sweeds, Frans, Koreaans, Slowaaks, Engels	Eswatini
Die amptelike taal van Europese Unie is <mask>.	Nederlands	Grieks, Litaus, Yslands, Latyn, Oekraïns, Pools, Kroaties, Engels, estnies, Nederlands	Europese Unie
Die amptelike taal van Grenada is <mask>.	Engels	Hongaars, Litaus, Serwies, Latyn, Portugees, Hebreeus, armeens, bulgaars, Grieks, Engels	Grenada
Die amptelike taal van Tsjetsjnië is <mask>.	russies	Fins, Portugees, Slowaaks, Baskies, Hongaars, Latyn, Azerbeidjans, Thai, Roemeens, russies	Tsjetsjnië
Die amptelike taal van Rwanda is <mask>.	Engels	Indonesies, Pools, Portugees, Oerdoe, Thai, Hebreeus, Grieks, Sweeds, Frans, Engels	Rwanda
Die amptelike taal van Finland is <mask>.	Fins	Sweeds, estnies, Koreaans, Japannees, Yslands, Sjinees, Hebreeus, Azerbeidjans, Deens, Fins	Finland
Die amptelike taal van Nebraska is <mask>.	Engels	Tsjeggies, bulgaars, Litaus, russies, Fins, Sjinees, Katalaans, Koreaans, armeens, Engels	Nebraska
Die amptelike taal van Pole is <mask>.	Pools	Sloweens, Sweeds, Thai, Kroaties, Tsjeggies, Engels, Sjinees, armeens, italiaans, Pools	Pole
Die amptelike taal van Basel is <mask>.	Duits	Fins, Roemeens, Serwies, Deens, Sjinees, Oerdoe, estnies, Persies, Japannees, Duits	Basel
Die amptelike taal van Arkansas is <mask>.	Engels	italiaans, Baskies, Yslands, Tsjeggies, Sjinees, Hongaars, Slowaaks, Serwies, Deens, Engels	Arkansas
Die amptelike taal van Roemenië is <mask>.	Roemeens	russies, Albanees, Nederlands, Latyn, Sjinees, Engels, Oerdoe, Oekraïns, Deens, Roemeens	Roemenië
Die amptelike taal van Europese Unie is <mask>.	Grieks	Yslands, Oekraïns, Baskies, Sjinees, Portugees, Fins, Deens, Azerbeidjans, Sweeds, Grieks	Europese Unie
Die amptelike taal van Kenia is <mask>.	Engels	Litaus, Duits, Baskies, Indonesies, Hebreeus, Kroaties, Oekraïns, Spaans, Fins, Engels	Kenia
Die amptelike taal van Ghana is <mask>.	Engels	Roemeens, Georgies, italiaans, estnies, Deens, bulgaars, Tsjeggies, Indonesies, Hongaars, Engels	Ghana
Die amptelike taal van Slowenië is <mask>.	Sloweens	Serwies, armeens, Persies, Yslands, turks, Pools, estnies, Oerdoe, Oekraïns, Sloweens	Slowenië
Die amptelike taal van Moldowa is <mask>.	Roemeens	Baskies, Frans, Sweeds, Portugees, Koreaans, Duits, Serwies, Japannees, Deens, Roemeens	Moldowa
Die amptelike taal van Frans-Guyana is <mask>.	Frans	Spaans, Georgies, Serwies, Indonesies, Oerdoe, italiaans, Yslands, Baskies, Grieks, Frans	Frans-Guyana
Die amptelike taal van Litaue is <mask>.	Litaus	russies, Sloweens, Katalaans, Slowaaks, Roemeens, Portugees, Baskies, Oekraïns, Duits, Litaus	Litaue
