Prompt	Ans	Candidate Ans	Subject
米开朗基罗在<mask>中去世。	罗马	威尼斯, 罗马	米开朗基罗
理查德·瓦格纳在<mask>中去世。	威尼斯	罗马, 威尼斯	理查德·瓦格纳
阿拉伯字母是<mask>的子类。	字母系統	生物学, 字母系統	阿拉伯字母
生态学是<mask>的子类。	生物学	字母系統, 生物学	生态学
法屬玻里尼西亞的官方语言是<mask>。	法语	阿尔巴尼亚语, 印尼语, 羅馬尼亞語, 塞尔维亚语, 希伯来语, 土耳其语, 格鲁吉亚语, 保加利亚语, 德语, 法语	法屬玻里尼西亞
北方邦的官方语言是<mask>。	乌尔都语	日语, 俄语, 土耳其语, 拉丁语, 斯洛文尼亚语, 克罗地亚语, 泰语, 加泰罗尼亚语, 阿尔巴尼亚语, 乌尔都语	北方邦
欧洲联盟的官方语言是<mask>。	芬兰语	土耳其语, 捷克语, 法语, 西班牙语, 瑞典語, 荷蘭語, 希腊语, 波兰语, 爱沙尼亚语, 芬兰语	欧洲联盟
欧洲联盟的官方语言是<mask>。	斯洛文尼亚语	拉丁语, 希腊语, 朝鮮語, 英语, 斯洛伐克语, 克罗地亚语, 波兰语, 乌尔都语, 德语, 斯洛文尼亚语	欧洲联盟
海地的官方语言是<mask>。	法语	俄语, 德语, 克罗地亚语, 乌尔都语, 波斯语, 格鲁吉亚语, 荷蘭語, 土耳其语, 亚美尼亚语, 法语	海地
怀俄明州的官方语言是<mask>。	英语	乌克兰语, 克罗地亚语, 斯洛伐克语, 捷克语, 立陶宛语, 芬兰语, 日语, 乌尔都语, 土耳其语, 英语	怀俄明州
乌拉圭的官方语言是<mask>。	西班牙语	德语, 土耳其语, 塞尔维亚语, 荷蘭語, 乌尔都语, 泰语, 英语, 瑞典語, 爱沙尼亚语, 西班牙语	乌拉圭
南奥塞梯的官方语言是<mask>。	格鲁吉亚语	保加利亚语, 英语, 捷克语, 斯洛伐克语, 土耳其语, 荷蘭語, 葡萄牙语, 亚美尼亚语, 朝鮮語, 格鲁吉亚语	南奥塞梯
刚果共和国的官方语言是<mask>。	法语	波兰语, 希伯来语, 泰语, 克罗地亚语, 爱沙尼亚语, 拉丁语, 希腊语, 日语, 土耳其语, 法语	刚果共和国
所罗门群岛的官方语言是<mask>。	英语	法语, 匈牙利语, 泰语, 斯洛伐克语, 冰岛语, 保加利亚语, 朝鮮語, 汉语, 俄语, 英语	所罗门群岛
復活節島的官方语言是<mask>。	西班牙语	俄语, 捷克语, 拉丁语, 丹麦语, 日语, 匈牙利语, 冰岛语, 格鲁吉亚语, 瑞典語, 西班牙语	復活節島
巴西的官方语言是<mask>。	葡萄牙语	乌尔都语, 冰岛语, 塞尔维亚语, 泰语, 芬兰语, 格鲁吉亚语, 巴斯克語, 斯洛伐克语, 立陶宛语, 葡萄牙语	巴西
墨西哥的官方语言是<mask>。	西班牙语	意大利语, 汉语, 爱沙尼亚语, 羅馬尼亞語, 亚美尼亚语, 加泰罗尼亚语, 巴斯克語, 法语, 乌尔都语, 西班牙语	墨西哥
冈比亚的官方语言是<mask>。	英语	塞尔维亚语, 俄语, 阿塞拜疆语, 波兰语, 西班牙语, 爱沙尼亚语, 意大利语, 拉丁语, 斯洛伐克语, 英语	冈比亚
曼島的官方语言是<mask>。	英语	克罗地亚语, 朝鮮語, 芬兰语, 汉语, 法语, 泰语, 日语, 塞尔维亚语, 巴斯克語, 英语	曼島
密西西比州的官方语言是<mask>。	英语	希腊语, 日语, 丹麦语, 汉语, 羅馬尼亞語, 荷蘭語, 克罗地亚语, 乌尔都语, 亚美尼亚语, 英语	密西西比州
澳門的官方语言是<mask>。	汉语	瑞典語, 阿尔巴尼亚语, 捷克语, 印尼语, 法语, 德语, 泰语, 克罗地亚语, 羅馬尼亞語, 汉语	澳門
以色列的官方语言是<mask>。	希伯来语	冰岛语, 羅馬尼亞語, 英语, 加泰罗尼亚语, 斯洛伐克语, 希腊语, 匈牙利语, 波兰语, 保加利亚语, 希伯来语	以色列
萨摩亚的官方语言是<mask>。	英语	希伯来语, 斯洛伐克语, 亚美尼亚语, 西班牙语, 匈牙利语, 朝鮮語, 乌尔都语, 汉语, 日语, 英语	萨摩亚
瑞士的官方语言是<mask>。	法语	克罗地亚语, 希伯来语, 拉丁语, 德语, 匈牙利语, 阿塞拜疆语, 西班牙语, 乌克兰语, 荷蘭語, 法语	瑞士
比利时的官方语言是<mask>。	德语	芬兰语, 意大利语, 阿塞拜疆语, 冰岛语, 希腊语, 汉语, 亚美尼亚语, 格鲁吉亚语, 阿尔巴尼亚语, 德语	比利时
諾魯的官方语言是<mask>。	英语	阿塞拜疆语, 匈牙利语, 乌克兰语, 阿尔巴尼亚语, 希伯来语, 克罗地亚语, 丹麦语, 法语, 意大利语, 英语	諾魯
福克兰群岛的官方语言是<mask>。	英语	印尼语, 希腊语, 希伯来语, 拉丁语, 斯洛伐克语, 汉语, 亚美尼亚语, 格鲁吉亚语, 冰岛语, 英语	福克兰群岛
几内亚的官方语言是<mask>。	法语	捷克语, 日语, 羅馬尼亞語, 爱沙尼亚语, 土耳其语, 冰岛语, 印尼语, 芬兰语, 西班牙语, 法语	几内亚
澳大利亚的官方语言是<mask>。	英语	瑞典語, 冰岛语, 斯洛伐克语, 拉丁语, 朝鮮語, 克罗地亚语, 土耳其语, 法语, 阿塞拜疆语, 英语	澳大利亚
秘鲁的官方语言是<mask>。	西班牙语	波兰语, 匈牙利语, 冰岛语, 荷蘭語, 亚美尼亚语, 瑞典語, 保加利亚语, 希伯来语, 捷克语, 西班牙语	秘鲁
莱索托的官方语言是<mask>。	英语	爱沙尼亚语, 立陶宛语, 塞尔维亚语, 葡萄牙语, 芬兰语, 俄语, 法语, 泰语, 匈牙利语, 英语	莱索托
印度的官方语言是<mask>。	英语	保加利亚语, 立陶宛语, 泰语, 阿尔巴尼亚语, 荷蘭語, 汉语, 波兰语, 爱沙尼亚语, 西班牙语, 英语	印度
辛巴威的官方语言是<mask>。	英语	希伯来语, 立陶宛语, 阿尔巴尼亚语, 保加利亚语, 波兰语, 格鲁吉亚语, 土耳其语, 丹麦语, 法语, 英语	辛巴威
吉布提的官方语言是<mask>。	法语	斯洛文尼亚语, 荷蘭語, 英语, 冰岛语, 希伯来语, 意大利语, 乌克兰语, 斯洛伐克语, 芬兰语, 法语	吉布提
蒙大拿州的官方语言是<mask>。	英语	斯洛伐克语, 阿塞拜疆语, 捷克语, 阿尔巴尼亚语, 保加利亚语, 俄语, 日语, 荷蘭語, 斯洛文尼亚语, 英语	蒙大拿州
