Prompt	Ans	Candidate Ans	Subject
Микеланђело Буонароти умро у <mask>.	Рим	Венеција, Рим	Микеланђело Буонароти
Рихард Вагнер умро у <mask>.	Венеција	Рим, Венеција	Рихард Вагнер
арапски алфабет је поткласа од <mask>.	алфабет	биологија, алфабет	арапски алфабет
eкологија је поткласа од <mask>.	биологија	алфабет, биологија	eкологија
Службени језик Француска Полинезија је <mask>.	француски језик	албански језик, индонежански језик, румунски језик, српски језик, хебрејски језик, турски језик, грузијски језик, бугарски језик, немачки језик, француски језик	Француска Полинезија
Службени језик Утар Прадеш је <mask>.	урду	јапански језик, руски језик, турски језик, латински језик, словеначки језик, хрватски језик, тајландски језик, каталонски језик, албански језик, урду	Утар Прадеш
Службени језик Европска унија је <mask>.	фински језик	турски језик, чешки језик, француски језик, шпански језик, шведски језик, холандски језик, грчки језик, пољски језик, естонски језик, фински језик	Европска унија
Службени језик Европска унија је <mask>.	словеначки језик	латински језик, грчки језик, корејски језик, енглески језик, словачки језик, хрватски језик, пољски језик, урду, немачки језик, словеначки језик	Европска унија
Службени језик Хаити је <mask>.	француски језик	руски језик, немачки језик, хрватски језик, урду, персијски језик, грузијски језик, холандски језик, турски језик, јерменски језик, француски језик	Хаити
Службени језик Вајоминг је <mask>.	енглески језик	украјински језик, хрватски језик, словачки језик, чешки језик, литвански језик, фински језик, јапански језик, урду, турски језик, енглески језик	Вајоминг
Службени језик Уругвај је <mask>.	шпански језик	немачки језик, турски језик, српски језик, холандски језик, урду, тајландски језик, енглески језик, шведски језик, естонски језик, шпански језик	Уругвај
Службени језик Јужна Осетија је <mask>.	грузијски језик	бугарски језик, енглески језик, чешки језик, словачки језик, турски језик, холандски језик, португалски језик, јерменски језик, корејски језик, грузијски језик	Јужна Осетија
Службени језик Република Конго је <mask>.	француски језик	пољски језик, хебрејски језик, тајландски језик, хрватски језик, естонски језик, латински језик, грчки језик, јапански језик, турски језик, француски језик	Република Конго
Службени језик Соломонова Острва је <mask>.	енглески језик	француски језик, мађарски језик, тајландски језик, словачки језик, исландски језик, бугарски језик, корејски језик, кинески језик, руски језик, енглески језик	Соломонова Острва
Службени језик Ускршње острво је <mask>.	шпански језик	руски језик, чешки језик, латински језик, дански језик, јапански језик, мађарски језик, исландски језик, грузијски језик, шведски језик, шпански језик	Ускршње острво
Службени језик Бразил је <mask>.	португалски језик	урду, исландски језик, српски језик, тајландски језик, фински језик, грузијски језик, баскијски језик, словачки језик, литвански језик, португалски језик	Бразил
Службени језик Мексико је <mask>.	шпански језик	италијански језик, кинески језик, естонски језик, румунски језик, јерменски језик, каталонски језик, баскијски језик, француски језик, урду, шпански језик	Мексико
Службени језик Гамбија је <mask>.	енглески језик	српски језик, руски језик, азерски језик, пољски језик, шпански језик, естонски језик, италијански језик, латински језик, словачки језик, енглески језик	Гамбија
Службени језик Острво Мен је <mask>.	енглески језик	хрватски језик, корејски језик, фински језик, кинески језик, француски језик, тајландски језик, јапански језик, српски језик, баскијски језик, енглески језик	Острво Мен
Службени језик Мисисипи је <mask>.	енглески језик	грчки језик, јапански језик, дански језик, кинески језик, румунски језик, холандски језик, хрватски језик, урду, јерменски језик, енглески језик	Мисисипи
Службени језик Макао је <mask>.	кинески језик	шведски језик, албански језик, чешки језик, индонежански језик, француски језик, немачки језик, тајландски језик, хрватски језик, румунски језик, кинески језик	Макао
Службени језик Израел је <mask>.	хебрејски језик	исландски језик, румунски језик, енглески језик, каталонски језик, словачки језик, грчки језик, мађарски језик, пољски језик, бугарски језик, хебрејски језик	Израел
Службени језик Самоа је <mask>.	енглески језик	хебрејски језик, словачки језик, јерменски језик, шпански језик, мађарски језик, корејски језик, урду, кинески језик, јапански језик, енглески језик	Самоа
Службени језик Швајцарска је <mask>.	француски језик	хрватски језик, хебрејски језик, латински језик, немачки језик, мађарски језик, азерски језик, шпански језик, украјински језик, холандски језик, француски језик	Швајцарска
Службени језик Белгија је <mask>.	немачки језик	фински језик, италијански језик, азерски језик, исландски језик, грчки језик, кинески језик, јерменски језик, грузијски језик, албански језик, немачки језик	Белгија
Службени језик Науру је <mask>.	енглески језик	азерски језик, мађарски језик, украјински језик, албански језик, хебрејски језик, хрватски језик, дански језик, француски језик, италијански језик, енглески језик	Науру
Службени језик Фолкландска острва је <mask>.	енглески језик	индонежански језик, грчки језик, хебрејски језик, латински језик, словачки језик, кинески језик, јерменски језик, грузијски језик, исландски језик, енглески језик	Фолкландска острва
Службени језик Гвинеја је <mask>.	француски језик	чешки језик, јапански језик, румунски језик, естонски језик, турски језик, исландски језик, индонежански језик, фински језик, шпански језик, француски језик	Гвинеја
Службени језик Аустралија је <mask>.	енглески језик	шведски језик, исландски језик, словачки језик, латински језик, корејски језик, хрватски језик, турски језик, француски језик, азерски језик, енглески језик	Аустралија
Службени језик Перу је <mask>.	шпански језик	пољски језик, мађарски језик, исландски језик, холандски језик, јерменски језик, шведски језик, бугарски језик, хебрејски језик, чешки језик, шпански језик	Перу
Службени језик Лесото је <mask>.	енглески језик	естонски језик, литвански језик, српски језик, португалски језик, фински језик, руски језик, француски језик, тајландски језик, мађарски језик, енглески језик	Лесото
Службени језик Индија је <mask>.	енглески језик	бугарски језик, литвански језик, тајландски језик, албански језик, холандски језик, кинески језик, пољски језик, естонски језик, шпански језик, енглески језик	Индија
Службени језик Зимбабве је <mask>.	енглески језик	хебрејски језик, литвански језик, албански језик, бугарски језик, пољски језик, грузијски језик, турски језик, дански језик, француски језик, енглески језик	Зимбабве
Службени језик Џибути је <mask>.	француски језик	словеначки језик, холандски језик, енглески језик, исландски језик, хебрејски језик, италијански језик, украјински језик, словачки језик, фински језик, француски језик	Џибути
Службени језик Монтана је <mask>.	енглески језик	словачки језик, азерски језик, чешки језик, албански језик, бугарски језик, руски језик, јапански језик, холандски језик, словеначки језик, енглески језик	Монтана
Службени језик Бахаме је <mask>.	енглески језик	српски језик, баскијски језик, персијски језик, индонежански језик, бугарски језик, грузијски језик, шпански језик, мађарски језик, украјински језик, енглески језик	Бахаме
Службени језик Онтарио је <mask>.	енглески језик	немачки језик, мађарски језик, корејски језик, чешки језик, урду, српски језик, италијански језик, руски језик, пољски језик, енглески језик	Онтарио
Службени језик Алберта је <mask>.	енглески језик	грчки језик, чешки језик, дански језик, латински језик, украјински језик, немачки језик, словеначки језик, шведски језик, каталонски језик, енглески језик	Алберта
Службени језик Црна Гора је <mask>.	српски језик	естонски језик, латински језик, италијански језик, урду, каталонски језик, азерски језик, француски језик, грузијски језик, шпански језик, српски језик	Црна Гора
Службени језик Есватини је <mask>.	енглески језик	хебрејски језик, персијски језик, бугарски језик, баскијски језик, албански језик, шведски језик, француски језик, корејски језик, словачки језик, енглески језик	Есватини
Службени језик Европска унија је <mask>.	холандски језик	грчки језик, литвански језик, исландски језик, латински језик, украјински језик, пољски језик, хрватски језик, енглески језик, естонски језик, холандски језик	Европска унија
Службени језик Гренада је <mask>.	енглески језик	мађарски језик, литвански језик, српски језик, латински језик, португалски језик, хебрејски језик, јерменски језик, бугарски језик, грчки језик, енглески језик	Гренада
Службени језик Чеченија је <mask>.	руски језик	фински језик, португалски језик, словачки језик, баскијски језик, мађарски језик, латински језик, азерски језик, тајландски језик, румунски језик, руски језик	Чеченија
Службени језик Руанда је <mask>.	енглески језик	индонежански језик, пољски језик, португалски језик, урду, тајландски језик, хебрејски језик, грчки језик, шведски језик, француски језик, енглески језик	Руанда
Службени језик Финска је <mask>.	фински језик	шведски језик, естонски језик, корејски језик, јапански језик, исландски језик, кинески језик, хебрејски језик, азерски језик, дански језик, фински језик	Финска
Службени језик Небраска је <mask>.	енглески језик	чешки језик, бугарски језик, литвански језик, руски језик, фински језик, кинески језик, каталонски језик, корејски језик, јерменски језик, енглески језик	Небраска
Службени језик Пољска је <mask>.	пољски језик	словеначки језик, шведски језик, тајландски језик, хрватски језик, чешки језик, енглески језик, кинески језик, јерменски језик, италијански језик, пољски језик	Пољска
Службени језик Базел је <mask>.	немачки језик	фински језик, румунски језик, српски језик, дански језик, кинески језик, урду, естонски језик, персијски језик, јапански језик, немачки језик	Базел
Службени језик Арканзас је <mask>.	енглески језик	италијански језик, баскијски језик, исландски језик, чешки језик, кинески језик, мађарски језик, словачки језик, српски језик, дански језик, енглески језик	Арканзас
Службени језик Румунија је <mask>.	румунски језик	руски језик, албански језик, холандски језик, латински језик, кинески језик, енглески језик, урду, украјински језик, дански језик, румунски језик	Румунија
Службени језик Европска унија је <mask>.	грчки језик	исландски језик, украјински језик, баскијски језик, кинески језик, португалски језик, фински језик, дански језик, азерски језик, шведски језик, грчки језик	Европска унија
Службени језик Кенија је <mask>.	енглески језик	литвански језик, немачки језик, баскијски језик, индонежански језик, хебрејски језик, хрватски језик, украјински језик, шпански језик, фински језик, енглески језик	Кенија
Службени језик Гана је <mask>.	енглески језик	румунски језик, грузијски језик, италијански језик, естонски језик, дански језик, бугарски језик, чешки језик, индонежански језик, мађарски језик, енглески језик	Гана
Службени језик Словенија је <mask>.	словеначки језик	српски језик, јерменски језик, персијски језик, исландски језик, турски језик, пољски језик, естонски језик, урду, украјински језик, словеначки језик	Словенија
Службени језик Молдавија је <mask>.	румунски језик	баскијски језик, француски језик, шведски језик, португалски језик, корејски језик, немачки језик, српски језик, јапански језик, дански језик, румунски језик	Молдавија
Службени језик Француска Гвајана је <mask>.	француски језик	шпански језик, грузијски језик, српски језик, индонежански језик, урду, италијански језик, исландски језик, баскијски језик, грчки језик, француски језик	Француска Гвајана
Службени језик Литванија је <mask>.	литвански језик	руски језик, словеначки језик, каталонски језик, словачки језик, румунски језик, португалски језик, баскијски језик, украјински језик, немачки језик, литвански језик	Литванија
Службени језик Белизе је <mask>.	енглески језик	холандски језик, турски језик, румунски језик, италијански језик, баскијски језик, српски језик, хрватски језик, руски језик, бугарски језик, енглески језик	Белизе
Службени језик Шпанија је <mask>.	каталонски језик	чешки језик, француски језик, холандски језик, индонежански језик, баскијски језик, украјински језик, румунски језик, италијански језик, мађарски језик, каталонски језик	Шпанија
Службени језик Барбадос је <mask>.	енглески језик	португалски језик, италијански језик, јапански језик, грузијски језик, каталонски језик, баскијски језик, словеначки језик, румунски језик, турски језик, енглески језик	Барбадос
Службени језик Колумбија је <mask>.	шпански језик	грузијски језик, португалски језик, холандски језик, румунски језик, латински језик, мађарски језик, фински језик, украјински језик, хрватски језик, шпански језик	Колумбија
Службени језик Брунеј је <mask>.	енглески језик	словеначки језик, мађарски језик, турски језик, кинески језик, грузијски језик, словачки језик, чешки језик, естонски језик, латински језик, енглески језик	Брунеј
Службени језик Пакистан је <mask>.	урду	мађарски језик, персијски језик, немачки језик, француски језик, португалски језик, хрватски језик, словеначки језик, јапански језик, тајландски језик, урду	Пакистан
Службени језик Сенегал је <mask>.	француски језик	румунски језик, бугарски језик, словеначки језик, турски језик, естонски језик, украјински језик, баскијски језик, португалски језик, шпански језик, француски језик	Сенегал
Службени језик Нунавут је <mask>.	енглески језик	грузијски језик, кинески језик, српски језик, литвански језик, италијански језик, хрватски језик, индонежански језик, каталонски језик, корејски језик, енглески језик	Нунавут
Службени језик Женева је <mask>.	француски језик	корејски језик, азерски језик, турски језик, јапански језик, холандски језик, украјински језик, естонски језик, португалски језик, каталонски језик, француски језик	Женева
Службени језик Европска унија је <mask>.	бугарски језик	српски језик, грузијски језик, естонски језик, урду, индонежански језик, исландски језик, јапански језик, јерменски језик, фински језик, бугарски језик	Европска унија
Службени језик Босна и Херцеговина је <mask>.	српски језик	корејски језик, шпански језик, румунски језик, шведски језик, каталонски језик, баскијски језик, мађарски језик, грчки језик, албански језик, српски језик	Босна и Херцеговина
Службени језик Финска је <mask>.	шведски језик	фински језик, холандски језик, руски језик, албански језик, немачки језик, тајландски језик, шпански језик, француски језик, дански језик, шведски језик	Финска
Службени језик Папуа Нова Гвинеја је <mask>.	енглески језик	португалски језик, урду, персијски језик, индонежански језик, чешки језик, пољски језик, фински језик, дански језик, хебрејски језик, енглески језик	Папуа Нова Гвинеја
Службени језик Руанда је <mask>.	француски језик	румунски језик, корејски језик, азерски језик, баскијски језик, латински језик, словеначки језик, урду, руски језик, тајландски језик, француски језик	Руанда
Службени језик Чад је <mask>.	француски језик	словеначки језик, фински језик, немачки језик, баскијски језик, енглески језик, словачки језик, естонски језик, азерски језик, руски језик, француски језик	Чад
Службени језик Јереван је <mask>.	јерменски језик	хебрејски језик, енглески језик, дански језик, холандски језик, фински језик, литвански језик, албански језик, корејски језик, српски језик, јерменски језик	Јереван
Службени језик Боливија је <mask>.	шпански језик	руски језик, српски језик, хрватски језик, немачки језик, словеначки језик, баскијски језик, јерменски језик, фински језик, исландски језик, шпански језик	Боливија
Службени језик Малезија је <mask>.	енглески језик	јерменски језик, кинески језик, мађарски језик, грузијски језик, португалски језик, румунски језик, украјински језик, урду, шведски језик, енглески језик	Малезија
Службени језик Јужни Судан је <mask>.	енглески језик	мађарски језик, грузијски језик, холандски језик, руски језик, грчки језик, немачки језик, турски језик, индонежански језик, каталонски језик, енглески језик	Јужни Судан
Службени језик Екваторијална Гвинеја је <mask>.	француски језик	естонски језик, фински језик, литвански језик, урду, индонежански језик, персијски језик, азерски језик, корејски језик, словачки језик, француски језик	Екваторијална Гвинеја
Службени језик Европска унија је <mask>.	мађарски језик	естонски језик, јерменски језик, шпански језик, словеначки језик, грчки језик, енглески језик, баскијски језик, каталонски језик, хрватски језик, мађарски језик	Европска унија
Службени језик Киргистан је <mask>.	руски језик	естонски језик, бугарски језик, чешки језик, холандски језик, српски језик, корејски језик, литвански језик, јерменски језик, украјински језик, руски језик	Киргистан
Службени језик Јапан је <mask>.	јапански језик	румунски језик, литвански језик, шведски језик, фински језик, словеначки језик, латински језик, француски језик, индонежански језик, грузијски језик, јапански језик	Јапан
Службени језик Иран је <mask>.	персијски језик	турски језик, дански језик, каталонски језик, холандски језик, албански језик, јапански језик, кинески језик, индонежански језик, хебрејски језик, персијски језик	Иран
Службени језик Тампере је <mask>.	фински језик	словачки језик, бугарски језик, немачки језик, шведски језик, јерменски језик, словеначки језик, тајландски језик, индонежански језик, хрватски језик, фински језик	Тампере
Службени језик Панама је <mask>.	шпански језик	шведски језик, баскијски језик, фински језик, тајландски језик, мађарски језик, словеначки језик, украјински језик, руски језик, грузијски језик, шпански језик	Панама
Службени језик Квебек је <mask>.	француски језик	хрватски језик, мађарски језик, шпански језик, руски језик, пољски језик, украјински језик, словеначки језик, чешки језик, литвански језик, француски језик	Квебек
Службени језик Римско царство је <mask>.	латински језик	литвански језик, бугарски језик, корејски језик, шведски језик, азерски језик, украјински језик, чешки језик, урду, исландски језик, латински језик	Римско царство
