Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti zomrel v <mask>.	Rím	Benátky, Rím	Michelangelo Buonarroti
Richard Wagner zomrel v <mask>.	Benátky	Rím, Benátky	Richard Wagner
Arabské písmo je podtrieda <mask>.	Abeceda	Biológia, Abeceda	Arabské písmo
Ekológia je podtrieda <mask>.	Biológia	Abeceda, Biológia	Ekológia
Úradným jazykom Francúzska Polynézia je <mask>.	francúzština	Albánčina, Indonézština, rumunčina, Srbčina, Hebrejčina, turečtina, Gruzínčina, Bulharčina, nemčina, francúzština	Francúzska Polynézia
Úradným jazykom Uttarpradéš je <mask>.	Urdčina	japončina, ruština, turečtina, latinčina, Slovinčina, Chorvátčina, Thajčina, Katalánčina, Albánčina, Urdčina	Uttarpradéš
Úradným jazykom Európska únia je <mask>.	Fínčina	turečtina, čeština, francúzština, Španielčina, Švédčina, Holandčina, Grécke jazyky, poľština, estónčina, Fínčina	Európska únia
Úradným jazykom Európska únia je <mask>.	Slovinčina	latinčina, Grécke jazyky, kórejčina, angličtina, slovenčina, Chorvátčina, poľština, Urdčina, nemčina, Slovinčina	Európska únia
Úradným jazykom Haiti je <mask>.	francúzština	ruština, nemčina, Chorvátčina, Urdčina, Perzské jazyky, Gruzínčina, Holandčina, turečtina, arménčina, francúzština	Haiti
Úradným jazykom Wyoming je <mask>.	angličtina	Ukrajinčina, Chorvátčina, slovenčina, čeština, litovčina, Fínčina, japončina, Urdčina, turečtina, angličtina	Wyoming
Úradným jazykom Uruguaj je <mask>.	Španielčina	nemčina, turečtina, Srbčina, Holandčina, Urdčina, Thajčina, angličtina, Švédčina, estónčina, Španielčina	Uruguaj
Úradným jazykom Južné Osetsko je <mask>.	Gruzínčina	Bulharčina, angličtina, čeština, slovenčina, turečtina, Holandčina, Portugalčina, arménčina, kórejčina, Gruzínčina	Južné Osetsko
Úradným jazykom Kongo je <mask>.	francúzština	poľština, Hebrejčina, Thajčina, Chorvátčina, estónčina, latinčina, Grécke jazyky, japončina, turečtina, francúzština	Kongo
Úradným jazykom Šalamúnove ostrovy je <mask>.	angličtina	francúzština, Maďarčina, Thajčina, slovenčina, Islandčina, Bulharčina, kórejčina, čínština, ruština, angličtina	Šalamúnove ostrovy
Úradným jazykom Veľkonočný ostrov je <mask>.	Španielčina	ruština, čeština, latinčina, Dánčina, japončina, Maďarčina, Islandčina, Gruzínčina, Švédčina, Španielčina	Veľkonočný ostrov
Úradným jazykom Brazília je <mask>.	Portugalčina	Urdčina, Islandčina, Srbčina, Thajčina, Fínčina, Gruzínčina, Baskičtina, slovenčina, litovčina, Portugalčina	Brazília
Úradným jazykom Mexiko je <mask>.	Španielčina	Taliančina, čínština, estónčina, rumunčina, arménčina, Katalánčina, Baskičtina, francúzština, Urdčina, Španielčina	Mexiko
Úradným jazykom Gambia je <mask>.	angličtina	Srbčina, ruština, Azerbajdžančina, poľština, Španielčina, estónčina, Taliančina, latinčina, slovenčina, angličtina	Gambia
Úradným jazykom Man je <mask>.	angličtina	Chorvátčina, kórejčina, Fínčina, čínština, francúzština, Thajčina, japončina, Srbčina, Baskičtina, angličtina	Man
Úradným jazykom Mississippi je <mask>.	angličtina	Grécke jazyky, japončina, Dánčina, čínština, rumunčina, Holandčina, Chorvátčina, Urdčina, arménčina, angličtina	Mississippi
Úradným jazykom Macao je <mask>.	čínština	Švédčina, Albánčina, čeština, Indonézština, francúzština, nemčina, Thajčina, Chorvátčina, rumunčina, čínština	Macao
Úradným jazykom Izrael je <mask>.	Hebrejčina	Islandčina, rumunčina, angličtina, Katalánčina, slovenčina, Grécke jazyky, Maďarčina, poľština, Bulharčina, Hebrejčina	Izrael
Úradným jazykom Samoa je <mask>.	angličtina	Hebrejčina, slovenčina, arménčina, Španielčina, Maďarčina, kórejčina, Urdčina, čínština, japončina, angličtina	Samoa
Úradným jazykom Švajčiarsko je <mask>.	francúzština	Chorvátčina, Hebrejčina, latinčina, nemčina, Maďarčina, Azerbajdžančina, Španielčina, Ukrajinčina, Holandčina, francúzština	Švajčiarsko
Úradným jazykom Belgicko je <mask>.	nemčina	Fínčina, Taliančina, Azerbajdžančina, Islandčina, Grécke jazyky, čínština, arménčina, Gruzínčina, Albánčina, nemčina	Belgicko
Úradným jazykom Nauru je <mask>.	angličtina	Azerbajdžančina, Maďarčina, Ukrajinčina, Albánčina, Hebrejčina, Chorvátčina, Dánčina, francúzština, Taliančina, angličtina	Nauru
Úradným jazykom Falklandy je <mask>.	angličtina	Indonézština, Grécke jazyky, Hebrejčina, latinčina, slovenčina, čínština, arménčina, Gruzínčina, Islandčina, angličtina	Falklandy
Úradným jazykom Guinea je <mask>.	francúzština	čeština, japončina, rumunčina, estónčina, turečtina, Islandčina, Indonézština, Fínčina, Španielčina, francúzština	Guinea
Úradným jazykom Austrália je <mask>.	angličtina	Švédčina, Islandčina, slovenčina, latinčina, kórejčina, Chorvátčina, turečtina, francúzština, Azerbajdžančina, angličtina	Austrália
Úradným jazykom Peru je <mask>.	Španielčina	poľština, Maďarčina, Islandčina, Holandčina, arménčina, Švédčina, Bulharčina, Hebrejčina, čeština, Španielčina	Peru
Úradným jazykom Lesotho je <mask>.	angličtina	estónčina, litovčina, Srbčina, Portugalčina, Fínčina, ruština, francúzština, Thajčina, Maďarčina, angličtina	Lesotho
Úradným jazykom India je <mask>.	angličtina	Bulharčina, litovčina, Thajčina, Albánčina, Holandčina, čínština, poľština, estónčina, Španielčina, angličtina	India
Úradným jazykom Zimbabwe je <mask>.	angličtina	Hebrejčina, litovčina, Albánčina, Bulharčina, poľština, Gruzínčina, turečtina, Dánčina, francúzština, angličtina	Zimbabwe
Úradným jazykom Džibutsko je <mask>.	francúzština	Slovinčina, Holandčina, angličtina, Islandčina, Hebrejčina, Taliančina, Ukrajinčina, slovenčina, Fínčina, francúzština	Džibutsko
Úradným jazykom Montana je <mask>.	angličtina	slovenčina, Azerbajdžančina, čeština, Albánčina, Bulharčina, ruština, japončina, Holandčina, Slovinčina, angličtina	Montana
Úradným jazykom Bahamy je <mask>.	angličtina	Srbčina, Baskičtina, Perzské jazyky, Indonézština, Bulharčina, Gruzínčina, Španielčina, Maďarčina, Ukrajinčina, angličtina	Bahamy
Úradným jazykom Ontário je <mask>.	angličtina	nemčina, Maďarčina, kórejčina, čeština, Urdčina, Srbčina, Taliančina, ruština, poľština, angličtina	Ontário
Úradným jazykom Alberta je <mask>.	angličtina	Grécke jazyky, čeština, Dánčina, latinčina, Ukrajinčina, nemčina, Slovinčina, Švédčina, Katalánčina, angličtina	Alberta
Úradným jazykom Čierna Hora je <mask>.	Srbčina	estónčina, latinčina, Taliančina, Urdčina, Katalánčina, Azerbajdžančina, francúzština, Gruzínčina, Španielčina, Srbčina	Čierna Hora
Úradným jazykom Eswatini je <mask>.	angličtina	Hebrejčina, Perzské jazyky, Bulharčina, Baskičtina, Albánčina, Švédčina, francúzština, kórejčina, slovenčina, angličtina	Eswatini
Úradným jazykom Európska únia je <mask>.	Holandčina	Grécke jazyky, litovčina, Islandčina, latinčina, Ukrajinčina, poľština, Chorvátčina, angličtina, estónčina, Holandčina	Európska únia
Úradným jazykom Grenada je <mask>.	angličtina	Maďarčina, litovčina, Srbčina, latinčina, Portugalčina, Hebrejčina, arménčina, Bulharčina, Grécke jazyky, angličtina	Grenada
Úradným jazykom Čečensko je <mask>.	ruština	Fínčina, Portugalčina, slovenčina, Baskičtina, Maďarčina, latinčina, Azerbajdžančina, Thajčina, rumunčina, ruština	Čečensko
Úradným jazykom Rwanda je <mask>.	angličtina	Indonézština, poľština, Portugalčina, Urdčina, Thajčina, Hebrejčina, Grécke jazyky, Švédčina, francúzština, angličtina	Rwanda
Úradným jazykom Fínsko je <mask>.	Fínčina	Švédčina, estónčina, kórejčina, japončina, Islandčina, čínština, Hebrejčina, Azerbajdžančina, Dánčina, Fínčina	Fínsko
Úradným jazykom Nebraska je <mask>.	angličtina	čeština, Bulharčina, litovčina, ruština, Fínčina, čínština, Katalánčina, kórejčina, arménčina, angličtina	Nebraska
Úradným jazykom Poľsko je <mask>.	poľština	Slovinčina, Švédčina, Thajčina, Chorvátčina, čeština, angličtina, čínština, arménčina, Taliančina, poľština	Poľsko
Úradným jazykom Bazilej je <mask>.	nemčina	Fínčina, rumunčina, Srbčina, Dánčina, čínština, Urdčina, estónčina, Perzské jazyky, japončina, nemčina	Bazilej
Úradným jazykom Arkansas je <mask>.	angličtina	Taliančina, Baskičtina, Islandčina, čeština, čínština, Maďarčina, slovenčina, Srbčina, Dánčina, angličtina	Arkansas
Úradným jazykom Rumunsko je <mask>.	rumunčina	ruština, Albánčina, Holandčina, latinčina, čínština, angličtina, Urdčina, Ukrajinčina, Dánčina, rumunčina	Rumunsko
Úradným jazykom Európska únia je <mask>.	Grécke jazyky	Islandčina, Ukrajinčina, Baskičtina, čínština, Portugalčina, Fínčina, Dánčina, Azerbajdžančina, Švédčina, Grécke jazyky	Európska únia
Úradným jazykom Keňa je <mask>.	angličtina	litovčina, nemčina, Baskičtina, Indonézština, Hebrejčina, Chorvátčina, Ukrajinčina, Španielčina, Fínčina, angličtina	Keňa
Úradným jazykom Ghana je <mask>.	angličtina	rumunčina, Gruzínčina, Taliančina, estónčina, Dánčina, Bulharčina, čeština, Indonézština, Maďarčina, angličtina	Ghana
Úradným jazykom Slovinsko je <mask>.	Slovinčina	Srbčina, arménčina, Perzské jazyky, Islandčina, turečtina, poľština, estónčina, Urdčina, Ukrajinčina, Slovinčina	Slovinsko
Úradným jazykom Moldavsko je <mask>.	rumunčina	Baskičtina, francúzština, Švédčina, Portugalčina, kórejčina, nemčina, Srbčina, japončina, Dánčina, rumunčina	Moldavsko
Úradným jazykom Francúzska Guyana je <mask>.	francúzština	Španielčina, Gruzínčina, Srbčina, Indonézština, Urdčina, Taliančina, Islandčina, Baskičtina, Grécke jazyky, francúzština	Francúzska Guyana
Úradným jazykom Litva je <mask>.	litovčina	ruština, Slovinčina, Katalánčina, slovenčina, rumunčina, Portugalčina, Baskičtina, Ukrajinčina, nemčina, litovčina	Litva
Úradným jazykom Belize je <mask>.	angličtina	Holandčina, turečtina, rumunčina, Taliančina, Baskičtina, Srbčina, Chorvátčina, ruština, Bulharčina, angličtina	Belize
Úradným jazykom Španielsko je <mask>.	Katalánčina	čeština, francúzština, Holandčina, Indonézština, Baskičtina, Ukrajinčina, rumunčina, Taliančina, Maďarčina, Katalánčina	Španielsko
Úradným jazykom Barbados je <mask>.	angličtina	Portugalčina, Taliančina, japončina, Gruzínčina, Katalánčina, Baskičtina, Slovinčina, rumunčina, turečtina, angličtina	Barbados
Úradným jazykom Kolumbia je <mask>.	Španielčina	Gruzínčina, Portugalčina, Holandčina, rumunčina, latinčina, Maďarčina, Fínčina, Ukrajinčina, Chorvátčina, Španielčina	Kolumbia
Úradným jazykom Brunej je <mask>.	angličtina	Slovinčina, Maďarčina, turečtina, čínština, Gruzínčina, slovenčina, čeština, estónčina, latinčina, angličtina	Brunej
Úradným jazykom Pakistan je <mask>.	Urdčina	Maďarčina, Perzské jazyky, nemčina, francúzština, Portugalčina, Chorvátčina, Slovinčina, japončina, Thajčina, Urdčina	Pakistan
Úradným jazykom Senegal je <mask>.	francúzština	rumunčina, Bulharčina, Slovinčina, turečtina, estónčina, Ukrajinčina, Baskičtina, Portugalčina, Španielčina, francúzština	Senegal
Úradným jazykom Nunavut je <mask>.	angličtina	Gruzínčina, čínština, Srbčina, litovčina, Taliančina, Chorvátčina, Indonézština, Katalánčina, kórejčina, angličtina	Nunavut
Úradným jazykom Ženeva je <mask>.	francúzština	kórejčina, Azerbajdžančina, turečtina, japončina, Holandčina, Ukrajinčina, estónčina, Portugalčina, Katalánčina, francúzština	Ženeva
Úradným jazykom Európska únia je <mask>.	Bulharčina	Srbčina, Gruzínčina, estónčina, Urdčina, Indonézština, Islandčina, japončina, arménčina, Fínčina, Bulharčina	Európska únia
Úradným jazykom Bosna a Hercegovina je <mask>.	Srbčina	kórejčina, Španielčina, rumunčina, Švédčina, Katalánčina, Baskičtina, Maďarčina, Grécke jazyky, Albánčina, Srbčina	Bosna a Hercegovina
Úradným jazykom Fínsko je <mask>.	Švédčina	Fínčina, Holandčina, ruština, Albánčina, nemčina, Thajčina, Španielčina, francúzština, Dánčina, Švédčina	Fínsko
Úradným jazykom Papua-Nová Guinea je <mask>.	angličtina	Portugalčina, Urdčina, Perzské jazyky, Indonézština, čeština, poľština, Fínčina, Dánčina, Hebrejčina, angličtina	Papua-Nová Guinea
