Prompt	Ans	Candidate Ans	Subject
میکل‌ آنژ در <mask> درگذشت.	رم	ونیز, رم	میکل‌ آنژ
ریشارد واگنر در <mask> درگذشت.	ونیز	رم, ونیز	ریشارد واگنر
الفبای عربی زیر کلاس <mask> است.	الفبا	زیست‌شناسی, الفبا	الفبای عربی
بوم‌شناسی زیر کلاس <mask> است.	زیست‌شناسی	الفبا, زیست‌شناسی	بوم‌شناسی
زبان رسمی پلی‌نزی فرانسه <mask> است.	زبان فرانسوی	زبان آلبانیایی, زبان اندونزیایی, زبان رومانیایی, زبان صربی, زبان عبری, زبان ترکی استانبولی, زبان گرجی, زبان بلغاری, زبان آلمانی, زبان فرانسوی	پلی‌نزی فرانسه
زبان رسمی اوتار پرادش <mask> است.	زبان اردو	زبان ژاپنی, زبان روسی, زبان ترکی استانبولی, زبان لاتین, زبان اسلونیایی, زبان کرواتی, زبان تایلندی, زبان کاتالان, زبان آلبانیایی, زبان اردو	اوتار پرادش
زبان رسمی اتحادیه اروپا <mask> است.	زبان فنلاندی	زبان ترکی استانبولی, زبان چکی, زبان فرانسوی, زبان اسپانیایی, زبان سوئدی, زبان هلندی, زبان یونانی, زبان لهستانی, زبان استونیایی, زبان فنلاندی	اتحادیه اروپا
زبان رسمی اتحادیه اروپا <mask> است.	زبان اسلونیایی	زبان لاتین, زبان یونانی, زبان کره‌ای, زبان انگلیسی, زبان اسلواکیایی, زبان کرواتی, زبان لهستانی, زبان اردو, زبان آلمانی, زبان اسلونیایی	اتحادیه اروپا
زبان رسمی هائیتی <mask> است.	زبان فرانسوی	زبان روسی, زبان آلمانی, زبان کرواتی, زبان اردو, زبان فارسی, زبان گرجی, زبان هلندی, زبان ترکی استانبولی, زبان ارمنی, زبان فرانسوی	هائیتی
زبان رسمی وایومینگ <mask> است.	زبان انگلیسی	زبان اوکراینی, زبان کرواتی, زبان اسلواکیایی, زبان چکی, زبان لیتوانیایی, زبان فنلاندی, زبان ژاپنی, زبان اردو, زبان ترکی استانبولی, زبان انگلیسی	وایومینگ
زبان رسمی اروگوئه <mask> است.	زبان اسپانیایی	زبان آلمانی, زبان ترکی استانبولی, زبان صربی, زبان هلندی, زبان اردو, زبان تایلندی, زبان انگلیسی, زبان سوئدی, زبان استونیایی, زبان اسپانیایی	اروگوئه
