Prompt	Ans	Candidate Ans	Subject
カルロス2世は<mask>に生まれました。	マドリード	トロント, ロンドン, ベオグラード, マンチェスター, ナポリ, ブルックリン区, ウィーン, イスタンブール, ジュネーヴ, マドリード	カルロス2世
デビッド・クルサードは<mask>に生まれました。	スコットランド	ブルックリン区, ウィーン, 北京市, ベルファスト, パリ, イスタンブール, ヒューストン, ミラノ, ウェストミンスター, スコットランド	デビッド・クルサード
クリスティーナ・ロセッティは<mask>に生まれました。	ロンドン	ベルファスト, コモ, モスクワ, イスタンブール, ベルリン, スコットランド, ローマ, マンチェスター, アルメニア, ロンドン	クリスティーナ・ロセッティ
ケニー・ロジャースは<mask>に生まれました。	ヒューストン	イスタンブール, ベオグラード, シカゴ, マドリード, パリ, ロンドン, ミラノ, ウィーン, ブルックリン区, ヒューストン	ケニー・ロジャース
フサイン・イブン・アリーは<mask>に生まれました。	マディーナ	パリ, モスクワ, ベルリン, ジュネーヴ, ブルックリン区, ローマ, スコットランド, 北京市, ベオグラード, マディーナ	フサイン・イブン・アリー
ウィリアム・トムソンは<mask>に生まれました。	ベルファスト	モスクワ, ジュネーヴ, マドリード, ウェストミンスター, パリ, マディーナ, ベオグラード, 北京市, ローマ, ベルファスト	ウィリアム・トムソン
アルフレッド・アドラーは<mask>に生まれました。	ウィーン	パリ, マドリード, トロント, ケルン, コモ, ロンドン, ベルファスト, イスタンブール, ミュンヘン, ウィーン	アルフレッド・アドラー
チュス・ランプレアベは<mask>に生まれました。	マドリード	ナポリ, ローマ, メッカ, シカゴ, アルメニア, ロンドン, コモ, スコットランド, イスタンブール, マドリード	チュス・ランプレアベ
セルゲイ・ラブロフは<mask>に生まれました。	モスクワ	北京市, ジュネーヴ, マディーナ, イスタンブール, ベルファスト, ベオグラード, マドリード, ウェストミンスター, ロンドン, モスクワ	セルゲイ・ラブロフ
コンラート・ローレンツは<mask>に生まれました。	ウィーン	メッカ, ミラノ, ベルリン, ベオグラード, ロンドン, シカゴ, 北京市, イスタンブール, ベルファスト, ウィーン	コンラート・ローレンツ
ルー・リードは<mask>に生まれました。	ブルックリン区	ヒューストン, ジュネーヴ, ミュンヘン, ローマ, ウィーン, マディーナ, ウェストミンスター, ケルン, ベルリン, ブルックリン区	ルー・リード
