Prompt	Ans	Candidate Ans	Subject
کارلوس دوم اسپانیا در <mask> متولد شد.	مادرید	تورنتو, لندن, بلگراد, منچستر, ناپل, بروکلین, وین, استانبول, ژنو, مادرید	کارلوس دوم اسپانیا
دیوید کولتارد در <mask> متولد شد.	اسکاتلند	بروکلین, وین, پکن, بلفاست, پاریس, استانبول, هیوستون, میلان, وست‌مینستر, اسکاتلند	دیوید کولتارد
کریستینا روستی در <mask> متولد شد.	لندن	بلفاست, کومو, مسکو, استانبول, برلین, اسکاتلند, رم, منچستر, ارمنستان, لندن	کریستینا روستی
کنی راجرز در <mask> متولد شد.	هیوستون	استانبول, بلگراد, شیکاگو, مادرید, پاریس, لندن, میلان, وین, بروکلین, هیوستون	کنی راجرز
حسین بن علی در <mask> متولد شد.	مدینه	پاریس, مسکو, برلین, ژنو, بروکلین, رم, اسکاتلند, پکن, بلگراد, مدینه	حسین بن علی
ویلیام تامسون در <mask> متولد شد.	بلفاست	مسکو, ژنو, مادرید, وست‌مینستر, پاریس, مدینه, بلگراد, پکن, رم, بلفاست	ویلیام تامسون
آلفرد آدلر در <mask> متولد شد.	وین	پاریس, مادرید, تورنتو, کلن, کومو, لندن, بلفاست, استانبول, مونیخ, وین	آلفرد آدلر
چوش لمپراوه در <mask> متولد شد.	مادرید	ناپل, رم, مکه, شیکاگو, ارمنستان, لندن, کومو, اسکاتلند, استانبول, مادرید	چوش لمپراوه
سرگئی لاوروف در <mask> متولد شد.	مسکو	پکن, ژنو, مدینه, استانبول, بلفاست, بلگراد, مادرید, وست‌مینستر, لندن, مسکو	سرگئی لاوروف
کنراد لورنتز در <mask> متولد شد.	وین	مکه, میلان, برلین, بلگراد, لندن, شیکاگو, پکن, استانبول, بلفاست, وین	کنراد لورنتز
لو رید در <mask> متولد شد.	بروکلین	هیوستون, ژنو, مونیخ, رم, وین, مدینه, وست‌مینستر, کلن, برلین, بروکلین	لو رید
لئوی پنجم در <mask> متولد شد.	ارمنستان	برلین, تورنتو, کلن, مکه, منچستر, مسکو, کومو, استانبول, مادرید, ارمنستان	لئوی پنجم
مارکو دلوکیو در <mask> متولد شد.	میلان	مکه, مونیخ, وست‌مینستر, کلن, پکن, بلگراد, ژنو, تورنتو, ارمنستان, میلان	مارکو دلوکیو
کارل ارف در <mask> متولد شد.	مونیخ	رم, تورنتو, هیوستون, منچستر, وین, پکن, کلن, شیکاگو, برلین, مونیخ	کارل ارف
پلینیوس در <mask> متولد شد.	کومو	تورنتو, مونیخ, ژنو, پاریس, میلان, وست‌مینستر, منچستر, برلین, لندن, کومو	پلینیوس
فریدریش ویلهلم دوم در <mask> متولد شد.	برلین	ارمنستان, مادرید, تورنتو, بلفاست, وست‌مینستر, اسکاتلند, هیوستون, پاریس, کلن, برلین	فریدریش ویلهلم دوم
بونیفاس سوم در <mask> متولد شد.	رم	بروکلین, ناپل, هیوستون, کومو, مسکو, منچستر, میلان, بلگراد, پاریس, رم	بونیفاس سوم
کلودیو آبادو در <mask> متولد شد.	میلان	مادرید, کلن, بلگراد, بلفاست, وین, شیکاگو, پکن, لندن, برلین, میلان	کلودیو آبادو
انریکو کاروسو در <mask> متولد شد.	ناپل	کلن, رم, کومو, منچستر, وین, برلین, پاریس, اسکاتلند, هیوستون, ناپل	انریکو کاروسو
محمد ششم در <mask> متولد شد.	استانبول	مادرید, وست‌مینستر, مونیخ, بلفاست, بلگراد, مسکو, ژنو, تورنتو, هیوستون, استانبول	محمد ششم
دنیس فارینا در <mask> متولد شد.	شیکاگو	مسکو, بلفاست, تورنتو, برلین, مادرید, میلان, ارمنستان, ناپل, استانبول, شیکاگو	دنیس فارینا
مارک استرانگ در <mask> متولد شد.	لندن	میلان, مادرید, بلفاست, ژنو, رم, بروکلین, تورنتو, پاریس, هیوستون, لندن	مارک استرانگ
ادوارد یکم در <mask> متولد شد.	وست‌مینستر	کلن, بروکلین, مسکو, ژنو, میلان, تورنتو, وین, ارمنستان, مدینه, وست‌مینستر	ادوارد یکم
د ویکند در <mask> متولد شد.	تورنتو	منچستر, میلان, لندن, کلن, مکه, وست‌مینستر, برلین, مادرید, هیوستون, تورنتو	د ویکند
لری کینگ در <mask> متولد شد.	بروکلین	ژنو, کومو, رم, مدینه, پاریس, برلین, کلن, مونیخ, شیکاگو, بروکلین	لری کینگ
آرتور هاردن در <mask> متولد شد.	منچستر	لندن, رم, کلن, بلفاست, اسکاتلند, مکه, استانبول, تورنتو, مسکو, منچستر	آرتور هاردن
مارکی دوساد در <mask> متولد شد.	پاریس	مدینه, میلان, هیوستون, منچستر, ناپل, استانبول, تورنتو, مکه, رم, پاریس	مارکی دوساد
ژانگ زئی در <mask> متولد شد.	پکن	ناپل, مدینه, شیکاگو, برلین, بلگراد, مادرید, رم, مسکو, مکه, پکن	ژانگ زئی
کنراد آدناور در <mask> متولد شد.	کلن	بلگراد, تورنتو, ژنو, کومو, مسکو, هیوستون, میلان, لندن, مدینه, کلن	کنراد آدناور
فردینان دو سوسور در <mask> متولد شد.	ژنو	استانبول, مونیخ, مسکو, کومو, ناپل, کلن, بلگراد, مادرید, لندن, ژنو	فردینان دو سوسور
واسیلی سوم (روسیه) در <mask> متولد شد.	مسکو	میلان, تورنتو, مکه, برلین, رم, پکن, استانبول, مادرید, ژنو, مسکو	واسیلی سوم (روسیه)
ژرژ دوامل در <mask> متولد شد.	پاریس	وین, میلان, وست‌مینستر, بلفاست, مکه, ارمنستان, منچستر, مدینه, تورنتو, پاریس	ژرژ دوامل
عایشه در <mask> متولد شد.	مکه	کومو, کلن, پاریس, بروکلین, بلفاست, هیوستون, اسکاتلند, وین, مادرید, مکه	عایشه
پتر اول صربستان در <mask> متولد شد.	بلگراد	وین, پکن, میلان, ژنو, ارمنستان, بروکلین, شیکاگو, ناپل, بلفاست, بلگراد	پتر اول صربستان
بینگ کرازبی در <mask> متولد شد.	تاکوما، واشینگتن	شیکاگو, هیوستون, وین, استانبول, کومو, لندن, مدینه, بروکلین, ناپل, تاکوما، واشینگتن	بینگ کرازبی
میکل‌ آنژ در <mask> درگذشت.	رم	پراگ, ورشو, ساری (انگلستان), فلورانس, بلگراد, استانبول, لیون, هلسینکی, کارتاژ, رم	میکل‌ آنژ
کوکو شانل در <mask> درگذشت.	پاریس	ساری (انگلستان), رم, مدینه, لندن, توکیو, دمشق, استکهلم, ورشو, بلگراد, پاریس	کوکو شانل
پاپ کلمنت چهاردهم در <mask> درگذشت.	رم	نورنبرگ, لیون, هلسینکی, کابل, مدیسن، ویسکانسین, لندن, پاریس, قاهره, مسکو, رم	پاپ کلمنت چهاردهم
عمر بن خطاب در <mask> درگذشت.	مدینه	مسکو, بلگراد, کارتاژ, ورشو, ساری (انگلستان), استکهلم, فلورانس, ونیز, لندن, مدینه	عمر بن خطاب
کلمنت سوم در <mask> درگذشت.	رم	استکهلم, مدینه, لندن, بغداد, ورشو, بلگراد, ونیز, دمشق, ساری (انگلستان), رم	کلمنت سوم
بالبینوس در <mask> درگذشت.	رم	استانبول, استکهلم, پراگ, برلین, قاهره, مادرید, کابل, نورنبرگ, مدیسن، ویسکانسین, رم	بالبینوس
هرانت دینک در <mask> درگذشت.	استانبول	اورشلیم, توکیو, مسکو, هلسینکی, رم, لندن, کابل, فلورانس, مادرید, استانبول	هرانت دینک
نیکه‌فوروس سوم در <mask> درگذشت.	قسطنطنیه	تایپه, مسکو, استکهلم, آتن, کابل, نورنبرگ, دمشق, پاریس, ساری (انگلستان), قسطنطنیه	نیکه‌فوروس سوم
یوهان پاچلبل در <mask> درگذشت.	نورنبرگ	میشیگان، میشیگان, آتن, مادرید, توکیو, بلگراد, کابل, رم, پراگ, مسکو, نورنبرگ	یوهان پاچلبل
واسلاف نیجینسکی در <mask> درگذشت.	لندن	رم, توکیو, مدیسن، ویسکانسین, استانبول, مدینه, قسطنطنیه, ونیز, ساری (انگلستان), بغداد, لندن	واسلاف نیجینسکی
لئون دهم در <mask> درگذشت.	رم	بلگراد, کارتاژ, ساری (انگلستان), قاهره, مدیسن، ویسکانسین, پاریس, اورشلیم, ونیز, تایپه, رم	لئون دهم
دوناتلو در <mask> درگذشت.	فلورانس	میشیگان، میشیگان, استکهلم, آتن, ورشو, کابل, بغداد, لندن, اورشلیم, مدینه, فلورانس	دوناتلو
چیانگ چینگ-کو در <mask> درگذشت.	تایپه	بغداد, دمشق, آتن, برلین, هلسینکی, لیون, میشیگان، میشیگان, نورنبرگ, مادرید, تایپه	چیانگ چینگ-کو
رابرت هوک در <mask> درگذشت.	لندن	استانبول, قاهره, قسطنطنیه, برلین, توکیو, مادرید, ساری (انگلستان), لیون, تایپه, لندن	رابرت هوک
رزا پارکس در <mask> درگذشت.	میشیگان، میشیگان	پاریس, استانبول, مادرید, بغداد, برلین, استکهلم, مدیسن، ویسکانسین, قاهره, آتن, میشیگان، میشیگان	رزا پارکس
ژان هشتم در <mask> درگذشت.	قسطنطنیه	استکهلم, ورشو, مسکو, آتن, بغداد, تایپه, قاهره, فلورانس, استانبول, قسطنطنیه	ژان هشتم
جان دی در <mask> درگذشت.	ساری (انگلستان)	رم, ورشو, بغداد, قسطنطنیه, توکیو, فلورانس, لیون, میشیگان، میشیگان, پراگ, ساری (انگلستان)	جان دی
فرناندل در <mask> درگذشت.	پاریس	ورشو, ساری (انگلستان), قاهره, آتن, اورشلیم, پراگ, ونیز, لیون, هلسینکی, پاریس	فرناندل
میخائیل دوم در <mask> درگذشت.	قسطنطنیه	ورشو, استانبول, توکیو, نورنبرگ, مسکو, قاهره, ونیز, لیون, ساری (انگلستان), قسطنطنیه	میخائیل دوم
کارل لیبکنشت در <mask> درگذشت.	برلین	هلسینکی, قاهره, تایپه, لندن, پاریس, ورشو, استانبول, مادرید, دمشق, برلین	کارل لیبکنشت
ریشارد واگنر در <mask> درگذشت.	ونیز	مسکو, بلگراد, اورشلیم, ورشو, ساری (انگلستان), پاریس, میشیگان، میشیگان, بغداد, دمشق, ونیز	ریشارد واگنر
آنتیستینس در <mask> درگذشت.	آتن	مسکو, قاهره, مدینه, قسطنطنیه, هلسینکی, ساری (انگلستان), کابل, پاریس, فلورانس, آتن	آنتیستینس
مکس ارنست در <mask> درگذشت.	پاریس	لندن, استکهلم, توکیو, نورنبرگ, رم, آتن, ونیز, مسکو, بلگراد, پاریس	مکس ارنست
مارتین بوبر در <mask> درگذشت.	اورشلیم	کابل, بغداد, استکهلم, مسکو, استانبول, ساری (انگلستان), لیون, نورنبرگ, بلگراد, اورشلیم	مارتین بوبر
یوزف گوبلز در <mask> درگذشت.	برلین	لندن, کارتاژ, پراگ, آتن, قسطنطنیه, مدینه, رم, کابل, مدیسن، ویسکانسین, برلین	یوزف گوبلز
شارل دو مونتسکیو در <mask> درگذشت.	پاریس	استکهلم, کابل, قاهره, بغداد, نورنبرگ, قسطنطنیه, دمشق, مدینه, لیون, پاریس	شارل دو مونتسکیو
نیکلاس پنجم در <mask> درگذشت.	رم	مسکو, ساری (انگلستان), لیون, میشیگان، میشیگان, نورنبرگ, بغداد, قاهره, مدیسن، ویسکانسین, دمشق, رم	نیکلاس پنجم
شارلوت کوردی در <mask> درگذشت.	پاریس	بغداد, ورشو, اورشلیم, کابل, استانبول, قاهره, توکیو, مدینه, تایپه, پاریس	شارلوت کوردی
محمد ظاهر شاه در <mask> درگذشت.	کابل	مدینه, اورشلیم, دمشق, ونیز, مدیسن، ویسکانسین, میشیگان، میشیگان, مسکو, فلورانس, ساری (انگلستان), کابل	محمد ظاهر شاه
اینوسنت یازدهم در <mask> درگذشت.	رم	لندن, برلین, قاهره, ونیز, دمشق, مدیسن، ویسکانسین, کارتاژ, فلورانس, آتن, رم	اینوسنت یازدهم
گوردیان دوم در <mask> درگذشت.	کارتاژ	مدیسن، ویسکانسین, لیون, پراگ, رم, بلگراد, اورشلیم, بغداد, دمشق, میشیگان، میشیگان, کارتاژ	گوردیان دوم
مستیسلاف روستروپوویچ در <mask> درگذشت.	مسکو	لیون, استانبول, آتن, نورنبرگ, مدیسن، ویسکانسین, برلین, مادرید, توکیو, مدینه, مسکو	مستیسلاف روستروپوویچ
پیوس سوم در <mask> درگذشت.	رم	استانبول, لندن, پراگ, لیون, پاریس, ورشو, بلگراد, کابل, مادرید, رم	پیوس سوم
عبدالکریم قاسم در <mask> درگذشت.	بغداد	توکیو, رم, فلورانس, لندن, پاریس, قاهره, تایپه, لیون, دمشق, بغداد	عبدالکریم قاسم
گرگوری شانزدهم در <mask> درگذشت.	رم	قسطنطنیه, ورشو, تایپه, بغداد, کابل, لندن, مادرید, کارتاژ, دمشق, رم	گرگوری شانزدهم
آرام خاچاتوریان در <mask> درگذشت.	مسکو	اورشلیم, بغداد, نورنبرگ, آتن, لندن, هلسینکی, میشیگان، میشیگان, توکیو, کارتاژ, مسکو	آرام خاچاتوریان
هنریش فون کلایست در <mask> درگذشت.	برلین	رم, لندن, مسکو, لیون, بغداد, کابل, فلورانس, ورشو, ساری (انگلستان), برلین	هنریش فون کلایست
عبدالحمید یکم در <mask> درگذشت.	قسطنطنیه	استانبول, کابل, ونیز, قاهره, مدینه, توکیو, میشیگان، میشیگان, بلگراد, پاریس, قسطنطنیه	عبدالحمید یکم
الکساندر هشتم در <mask> درگذشت.	رم	لیون, تایپه, کارتاژ, مدیسن، ویسکانسین, استانبول, ورشو, قسطنطنیه, لندن, مادرید, رم	الکساندر هشتم
یوهان کریستین باخ در <mask> درگذشت.	لندن	آتن, برلین, پاریس, کابل, هلسینکی, اورشلیم, دمشق, مادرید, لیون, لندن	یوهان کریستین باخ
ساموئل جانسون در <mask> درگذشت.	لندن	کارتاژ, استانبول, مدینه, استکهلم, برلین, ورشو, مسکو, قاهره, آتن, لندن	ساموئل جانسون
ژاک-ایو کوستو در <mask> درگذشت.	پاریس	آتن, برلین, ونیز, بلگراد, نورنبرگ, رم, قسطنطنیه, اورشلیم, بغداد, پاریس	ژاک-ایو کوستو
سوفیا کووالوسکایا در <mask> درگذشت.	استکهلم	پاریس, هلسینکی, برلین, مدیسن، ویسکانسین, آتن, فلورانس, میشیگان، میشیگان, پراگ, کابل, استکهلم	سوفیا کووالوسکایا
گئورگ ویلهلم فریدریش هگل در <mask> درگذشت.	برلین	آتن, مدیسن، ویسکانسین, کابل, مادرید, بغداد, پراگ, استکهلم, استانبول, مدینه, برلین	گئورگ ویلهلم فریدریش هگل
ساندرو بوتیچلی در <mask> درگذشت.	فلورانس	بلگراد, مدینه, استانبول, مدیسن، ویسکانسین, نورنبرگ, میشیگان، میشیگان, استکهلم, کابل, اورشلیم, فلورانس	ساندرو بوتیچلی
ساموئل تیلور کالریج در <mask> درگذشت.	لندن	استکهلم, ورشو, مدینه, میشیگان، میشیگان, اورشلیم, بلگراد, لیون, مسکو, کارتاژ, لندن	ساموئل تیلور کالریج
ابن خلدون در <mask> درگذشت.	قاهره	لیون, برلین, نورنبرگ, اورشلیم, ونیز, مسکو, استانبول, تایپه, دمشق, قاهره	ابن خلدون
هنری چهارم انگلستان در <mask> درگذشت.	لندن	استانبول, آتن, قاهره, رم, نورنبرگ, دمشق, مادرید, ونیز, برلین, لندن	هنری چهارم انگلستان
