Prompt	Ans	Candidate	Ans	Subject
卡洛斯二世出生于<mask>。	马德里	多伦多, 倫敦, 贝尔格莱德, 曼彻斯特, 那不勒斯, 布鲁克林区, 維也納, 伊斯坦堡, 日內瓦, 马德里	卡洛斯二世
大衛·庫塔出生于<mask>。	蘇格蘭	布鲁克林区, 維也納, 北京市, 贝尔法斯特, 巴黎, 伊斯坦堡, 休斯敦, 米蘭, 西敏, 蘇格蘭	大衛·庫塔
克里斯蒂娜·罗塞蒂出生于<mask>。	倫敦	贝尔法斯特, 科莫, 莫斯科, 伊斯坦堡, 柏林, 蘇格蘭, 罗马, 曼彻斯特, 亞美尼亞, 倫敦	克里斯蒂娜·罗塞蒂
肯尼·羅傑斯出生于<mask>。	休斯敦	伊斯坦堡, 贝尔格莱德, 芝加哥, 马德里, 巴黎, 倫敦, 米蘭, 維也納, 布鲁克林区, 休斯敦	肯尼·羅傑斯
侯赛因·本·阿里·本·阿比·塔利卜出生于<mask>。	麦地那	巴黎, 莫斯科, 柏林, 日內瓦, 布鲁克林区, 罗马, 蘇格蘭, 北京市, 贝尔格莱德, 麦地那	侯赛因·本·阿里·本·阿比·塔利卜
威廉·汤姆森，第一代开尔文男爵出生于<mask>。	贝尔法斯特	莫斯科, 日內瓦, 马德里, 西敏, 巴黎, 麦地那, 贝尔格莱德, 北京市, 罗马, 贝尔法斯特	威廉·汤姆森，第一代开尔文男爵
阿尔弗雷德·阿德勒出生于<mask>。	維也納	巴黎, 马德里, 多伦多, 科隆, 科莫, 倫敦, 贝尔法斯特, 伊斯坦堡, 慕尼黑, 維也納	阿尔弗雷德·阿德勒
丘斯·兰普雷亚维出生于<mask>。	马德里	那不勒斯, 罗马, 麥加, 芝加哥, 亞美尼亞, 倫敦, 科莫, 蘇格蘭, 伊斯坦堡, 马德里	丘斯·兰普雷亚维
谢尔盖·维克托罗维奇·拉夫罗夫出生于<mask>。	莫斯科	北京市, 日內瓦, 麦地那, 伊斯坦堡, 贝尔法斯特, 贝尔格莱德, 马德里, 西敏, 倫敦, 莫斯科	谢尔盖·维克托罗维奇·拉夫罗夫
康拉德·洛伦兹出生于<mask>。	維也納	麥加, 米蘭, 柏林, 贝尔格莱德, 倫敦, 芝加哥, 北京市, 伊斯坦堡, 贝尔法斯特, 維也納	康拉德·洛伦兹
卢·里德出生于<mask>。	布鲁克林区	休斯敦, 日內瓦, 慕尼黑, 罗马, 維也納, 麦地那, 西敏, 科隆, 柏林, 布鲁克林区	卢·里德
利奥五世出生于<mask>。	亞美尼亞	柏林, 多伦多, 科隆, 麥加, 曼彻斯特, 莫斯科, 科莫, 伊斯坦堡, 马德里, 亞美尼亞	利奥五世
迪維基奧出生于<mask>。	米蘭	麥加, 慕尼黑, 西敏, 科隆, 北京市, 贝尔格莱德, 日內瓦, 多伦多, 亞美尼亞, 米蘭	迪維基奧
卡尔·奥尔夫出生于<mask>。	慕尼黑	罗马, 多伦多, 休斯敦, 曼彻斯特, 維也納, 北京市, 科隆, 芝加哥, 柏林, 慕尼黑	卡尔·奥尔夫
老普林尼出生于<mask>。	科莫	多伦多, 慕尼黑, 日內瓦, 巴黎, 米蘭, 西敏, 曼彻斯特, 柏林, 倫敦, 科莫	老普林尼
腓特烈·威廉二世出生于<mask>。	柏林	亞美尼亞, 马德里, 多伦多, 贝尔法斯特, 西敏, 蘇格蘭, 休斯敦, 巴黎, 科隆, 柏林	腓特烈·威廉二世
教宗波尼法爵三世出生于<mask>。	罗马	布鲁克林区, 那不勒斯, 休斯敦, 科莫, 莫斯科, 曼彻斯特, 米蘭, 贝尔格莱德, 巴黎, 罗马	教宗波尼法爵三世
克劳迪奥·阿巴多出生于<mask>。	米蘭	马德里, 科隆, 贝尔格莱德, 贝尔法斯特, 維也納, 芝加哥, 北京市, 倫敦, 柏林, 米蘭	克劳迪奥·阿巴多
恩里科·卡鲁索出生于<mask>。	那不勒斯	科隆, 罗马, 科莫, 曼彻斯特, 維也納, 柏林, 巴黎, 蘇格蘭, 休斯敦, 那不勒斯	恩里科·卡鲁索
