Prompt	Ans	Candidate Ans	Subject
Michelangelo meninggal pada <mask>.	Rom	Venezia, Rom	Michelangelo
Richard Wagner meninggal pada <mask>.	Venezia	Rom, Venezia	Richard Wagner
Abjad Arab adalah subkelas <mask>.	abjad	biologi, abjad	Abjad Arab
ekologi adalah subkelas <mask>.	biologi	abjad, biologi	ekologi
Bahasa rasmi Polinesia Perancis ialah <mask>.	Bahasa Perancis	Bahasa Albania, bahasa Indonesia, Bahasa Romania, Bahasa Serbia, bahasa Ibrani, Bahasa Turki, Bahasa Georgia, Bahasa Bulgaria, bahasa Jerman, Bahasa Perancis	Polinesia Perancis
Bahasa rasmi Uttar Pradesh ialah <mask>.	Bahasa Urdu	bahasa Jepun, bahasa Rusia, Bahasa Turki, Bahasa Latin, Bahasa Slovene, Bahasa Croatia, bahasa Thai, Bahasa Catalonia, Bahasa Albania, Bahasa Urdu	Uttar Pradesh
Bahasa rasmi Kesatuan Eropah ialah <mask>.	Bahasa Finland	Bahasa Turki, Bahasa Czech, Bahasa Perancis, bahasa Sepanyol, Bahasa Sweden, Bahasa Belanda, Bahasa Greek, Bahasa Poland, Bahasa Estonia, Bahasa Finland	Kesatuan Eropah
Bahasa rasmi Kesatuan Eropah ialah <mask>.	Bahasa Slovene	Bahasa Latin, Bahasa Greek, Bahasa Korea, bahasa Inggeris, Bahasa Slovak, Bahasa Croatia, Bahasa Poland, Bahasa Urdu, bahasa Jerman, Bahasa Slovene	Kesatuan Eropah
Bahasa rasmi Haiti ialah <mask>.	Bahasa Perancis	bahasa Rusia, bahasa Jerman, Bahasa Croatia, Bahasa Urdu, Parsi, Bahasa Georgia, Bahasa Belanda, Bahasa Turki, Bahasa Armenia, Bahasa Perancis	Haiti
Bahasa rasmi Wyoming ialah <mask>.	bahasa Inggeris	Bahasa Ukraine, Bahasa Croatia, Bahasa Slovak, Bahasa Czech, Bahasa Lithuania, Bahasa Finland, bahasa Jepun, Bahasa Urdu, Bahasa Turki, bahasa Inggeris	Wyoming
Bahasa rasmi Uruguay ialah <mask>.	bahasa Sepanyol	bahasa Jerman, Bahasa Turki, Bahasa Serbia, Bahasa Belanda, Bahasa Urdu, bahasa Thai, bahasa Inggeris, Bahasa Sweden, Bahasa Estonia, bahasa Sepanyol	Uruguay
Bahasa rasmi Ossetia Selatan ialah <mask>.	Bahasa Georgia	Bahasa Bulgaria, bahasa Inggeris, Bahasa Czech, Bahasa Slovak, Bahasa Turki, Bahasa Belanda, Bahasa Portugis, Bahasa Armenia, Bahasa Korea, Bahasa Georgia	Ossetia Selatan
Bahasa rasmi Republik Congo ialah <mask>.	Bahasa Perancis	Bahasa Poland, bahasa Ibrani, bahasa Thai, Bahasa Croatia, Bahasa Estonia, Bahasa Latin, Bahasa Greek, bahasa Jepun, Bahasa Turki, Bahasa Perancis	Republik Congo
Bahasa rasmi Kepulauan Solomon ialah <mask>.	bahasa Inggeris	Bahasa Perancis, Bahasa Hungary, bahasa Thai, Bahasa Slovak, Bahasa Iceland, Bahasa Bulgaria, Bahasa Korea, Bahasa Cina, bahasa Rusia, bahasa Inggeris	Kepulauan Solomon
