Prompt	Ans	Candidate Ans	Subject
II. Carlos <mask> 'da doğdu.	Madrid	Toronto, Londra, Belgrad, Manchester, Napoli, Brooklyn, Viyana, İstanbul, Cenevre, Madrid	II. Carlos
David Coulthard <mask> 'da doğdu.	İskoçya	Brooklyn, Viyana, Pekin, Belfast, Paris, İstanbul, Houston, Milano, Westminster, İskoçya	David Coulthard
Christina Rossetti <mask> 'da doğdu.	Londra	Belfast, Como, Moskova, İstanbul, Berlin, İskoçya, Roma, Manchester, Ermenistan, Londra	Christina Rossetti
Kenny Rogers <mask> 'da doğdu.	Houston	İstanbul, Belgrad, Şikago, Madrid, Paris, Londra, Milano, Viyana, Brooklyn, Houston	Kenny Rogers
Hüseyin bin Ali <mask> 'da doğdu.	Medine	Paris, Moskova, Berlin, Cenevre, Brooklyn, Roma, İskoçya, Pekin, Belgrad, Medine	Hüseyin bin Ali
William Thomson <mask> 'da doğdu.	Belfast	Moskova, Cenevre, Madrid, Westminster, Paris, Medine, Belgrad, Pekin, Roma, Belfast	William Thomson
Alfred Adler <mask> 'da doğdu.	Viyana	Paris, Madrid, Toronto, Köln, Como, Londra, Belfast, İstanbul, Münih, Viyana	Alfred Adler
Chus Lampreave <mask> 'da doğdu.	Madrid	Napoli, Roma, Mekke, Şikago, Ermenistan, Londra, Como, İskoçya, İstanbul, Madrid	Chus Lampreave
Sergey Lavrov <mask> 'da doğdu.	Moskova	Pekin, Cenevre, Medine, İstanbul, Belfast, Belgrad, Madrid, Westminster, Londra, Moskova	Sergey Lavrov
Konrad Lorenz <mask> 'da doğdu.	Viyana	Mekke, Milano, Berlin, Belgrad, Londra, Şikago, Pekin, İstanbul, Belfast, Viyana	Konrad Lorenz
Lou Reed <mask> 'da doğdu.	Brooklyn	Houston, Cenevre, Münih, Roma, Viyana, Medine, Westminster, Köln, Berlin, Brooklyn	Lou Reed
V. Leo Ermeni <mask> 'da doğdu.	Ermenistan	Berlin, Toronto, Köln, Mekke, Manchester, Moskova, Como, İstanbul, Madrid, Ermenistan	V. Leo Ermeni
Marco Delvecchio <mask> 'da doğdu.	Milano	Mekke, Münih, Westminster, Köln, Pekin, Belgrad, Cenevre, Toronto, Ermenistan, Milano	Marco Delvecchio
Carl Orff <mask> 'da doğdu.	Münih	Roma, Toronto, Houston, Manchester, Viyana, Pekin, Köln, Şikago, Berlin, Münih	Carl Orff
Gaius Plinius Secundus <mask> 'da doğdu.	Como	Toronto, Münih, Cenevre, Paris, Milano, Westminster, Manchester, Berlin, Londra, Como	Gaius Plinius Secundus
II. Friedrich Wilhelm <mask> 'da doğdu.	Berlin	Ermenistan, Madrid, Toronto, Belfast, Westminster, İskoçya, Houston, Paris, Köln, Berlin	II. Friedrich Wilhelm
III. Bonifacius <mask> 'da doğdu.	Roma	Brooklyn, Napoli, Houston, Como, Moskova, Manchester, Milano, Belgrad, Paris, Roma	III. Bonifacius
Claudio Abbado <mask> 'da doğdu.	Milano	Madrid, Köln, Belgrad, Belfast, Viyana, Şikago, Pekin, Londra, Berlin, Milano	Claudio Abbado
Enrico Caruso <mask> 'da doğdu.	Napoli	Köln, Roma, Como, Manchester, Viyana, Berlin, Paris, İskoçya, Houston, Napoli	Enrico Caruso
VI. Mehmed <mask> 'da doğdu.	İstanbul	Madrid, Westminster, Münih, Belfast, Belgrad, Moskova, Cenevre, Toronto, Houston, İstanbul	VI. Mehmed
Dennis Farina <mask> 'da doğdu.	Şikago	Moskova, Belfast, Toronto, Berlin, Madrid, Milano, Ermenistan, Napoli, İstanbul, Şikago	Dennis Farina
Mark Strong <mask> 'da doğdu.	Londra	Milano, Madrid, Belfast, Cenevre, Roma, Brooklyn, Toronto, Paris, Houston, Londra	Mark Strong
I. Edward <mask> 'da doğdu.	Westminster	Köln, Brooklyn, Moskova, Cenevre, Milano, Toronto, Viyana, Ermenistan, Medine, Westminster	I. Edward
The Weeknd <mask> 'da doğdu.	Toronto	Manchester, Milano, Londra, Köln, Mekke, Westminster, Berlin, Madrid, Houston, Toronto	The Weeknd
Larry King <mask> 'da doğdu.	Brooklyn	Cenevre, Como, Roma, Medine, Paris, Berlin, Köln, Münih, Şikago, Brooklyn	Larry King
Arthur Harden <mask> 'da doğdu.	Manchester	Londra, Roma, Köln, Belfast, İskoçya, Mekke, İstanbul, Toronto, Moskova, Manchester	Arthur Harden
Marquis de Sade <mask> 'da doğdu.	Paris	Medine, Milano, Houston, Manchester, Napoli, İstanbul, Toronto, Mekke, Roma, Paris	Marquis de Sade
Zhang Ziyi <mask> 'da doğdu.	Pekin	Napoli, Medine, Şikago, Berlin, Belgrad, Madrid, Roma, Moskova, Mekke, Pekin	Zhang Ziyi
Konrad Adenauer <mask> 'da doğdu.	Köln	Belgrad, Toronto, Cenevre, Como, Moskova, Houston, Milano, Londra, Medine, Köln	Konrad Adenauer
Ferdinand de Saussure <mask> 'da doğdu.	Cenevre	İstanbul, Münih, Moskova, Como, Napoli, Köln, Belgrad, Madrid, Londra, Cenevre	Ferdinand de Saussure
III. Vasili <mask> 'da doğdu.	Moskova	Milano, Toronto, Mekke, Berlin, Roma, Pekin, İstanbul, Madrid, Cenevre, Moskova	III. Vasili
Georges Duhamel <mask> 'da doğdu.	Paris	Viyana, Milano, Westminster, Belfast, Mekke, Ermenistan, Manchester, Medine, Toronto, Paris	Georges Duhamel
Aişe <mask> 'da doğdu.	Mekke	Como, Köln, Paris, Brooklyn, Belfast, Houston, İskoçya, Viyana, Madrid, Mekke	Aişe
I. Petar <mask> 'da doğdu.	Belgrad	Viyana, Pekin, Milano, Cenevre, Ermenistan, Brooklyn, Şikago, Napoli, Belfast, Belgrad	I. Petar
Bing Crosby <mask> 'da doğdu.	Tacoma	Şikago, Houston, Viyana, İstanbul, Como, Londra, Medine, Brooklyn, Napoli, Tacoma	Bing Crosby
Michelangelo <mask> 'da öldü.	Roma	Prag, Varşova, Surrey, Floransa, Belgrad, İstanbul, Lyon, Helsinki, Kartaca, Roma	Michelangelo
Coco Chanel <mask> 'da öldü.	Paris	Surrey, Roma, Medine, Londra, Tokyo, Şam, Stockholm, Varşova, Belgrad, Paris	Coco Chanel
XIV. Clemens <mask> 'da öldü.	Roma	Nürnberg, Lyon, Helsinki, Kâbil, Madison, Londra, Paris, Kahire, Moskova, Roma	XIV. Clemens
Ömer bin Hattab <mask> 'da öldü.	Medine	Moskova, Belgrad, Kartaca, Varşova, Surrey, Stockholm, Floransa, Venedik, Londra, Medine	Ömer bin Hattab
III. Clemens <mask> 'da öldü.	Roma	Stockholm, Medine, Londra, Bağdat, Varşova, Belgrad, Venedik, Şam, Surrey, Roma	III. Clemens
Balbinus <mask> 'da öldü.	Roma	İstanbul, Stockholm, Prag, Berlin, Kahire, Madrid, Kâbil, Nürnberg, Madison, Roma	Balbinus
Hrant Dink <mask> 'da öldü.	İstanbul	Kudüs, Tokyo, Moskova, Helsinki, Roma, Londra, Kâbil, Floransa, Madrid, İstanbul	Hrant Dink
III. Nikeforos <mask> 'da öldü.	Konstantinopolis	Taipei, Moskova, Stockholm, Atina, Kâbil, Nürnberg, Şam, Paris, Surrey, Konstantinopolis	III. Nikeforos
Johann Pachelbel <mask> 'da öldü.	Nürnberg	Detroit, Atina, Madrid, Tokyo, Belgrad, Kâbil, Roma, Prag, Moskova, Nürnberg	Johann Pachelbel
Vaclav Nijinski <mask> 'da öldü.	Londra	Roma, Tokyo, Madison, İstanbul, Medine, Konstantinopolis, Venedik, Surrey, Bağdat, Londra	Vaclav Nijinski
X. Leo <mask> 'da öldü.	Roma	Belgrad, Kartaca, Surrey, Kahire, Madison, Paris, Kudüs, Venedik, Taipei, Roma	X. Leo
Donatello <mask> 'da öldü.	Floransa	Detroit, Stockholm, Atina, Varşova, Kâbil, Bağdat, Londra, Kudüs, Medine, Floransa	Donatello
Chiang Ching-kuo <mask> 'da öldü.	Taipei	Bağdat, Şam, Atina, Berlin, Helsinki, Lyon, Detroit, Nürnberg, Madrid, Taipei	Chiang Ching-kuo
Robert Hooke <mask> 'da öldü.	Londra	İstanbul, Kahire, Konstantinopolis, Berlin, Tokyo, Madrid, Surrey, Lyon, Taipei, Londra	Robert Hooke
Rosa Parks <mask> 'da öldü.	Detroit	Paris, İstanbul, Madrid, Bağdat, Berlin, Stockholm, Madison, Kahire, Atina, Detroit	Rosa Parks
VIII. Yannis Palaiologos <mask> 'da öldü.	Konstantinopolis	Stockholm, Varşova, Moskova, Atina, Bağdat, Taipei, Kahire, Floransa, İstanbul, Konstantinopolis	VIII. Yannis Palaiologos
John Dee <mask> 'da öldü.	Surrey	Roma, Varşova, Bağdat, Konstantinopolis, Tokyo, Floransa, Lyon, Detroit, Prag, Surrey	John Dee
Fernandel <mask> 'da öldü.	Paris	Varşova, Surrey, Kahire, Atina, Kudüs, Prag, Venedik, Lyon, Helsinki, Paris	Fernandel
II. Mikhail <mask> 'da öldü.	Konstantinopolis	Varşova, İstanbul, Tokyo, Nürnberg, Moskova, Kahire, Venedik, Lyon, Surrey, Konstantinopolis	II. Mikhail
Karl Liebknecht <mask> 'da öldü.	Berlin	Helsinki, Kahire, Taipei, Londra, Paris, Varşova, İstanbul, Madrid, Şam, Berlin	Karl Liebknecht
Richard Wagner <mask> 'da öldü.	Venedik	Moskova, Belgrad, Kudüs, Varşova, Surrey, Paris, Detroit, Bağdat, Şam, Venedik	Richard Wagner
Antisthenes <mask> 'da öldü.	Atina	Moskova, Kahire, Medine, Konstantinopolis, Helsinki, Surrey, Kâbil, Paris, Floransa, Atina	Antisthenes
Max Ernst <mask> 'da öldü.	Paris	Londra, Stockholm, Tokyo, Nürnberg, Roma, Atina, Venedik, Moskova, Belgrad, Paris	Max Ernst
Martin Buber <mask> 'da öldü.	Kudüs	Kâbil, Bağdat, Stockholm, Moskova, İstanbul, Surrey, Lyon, Nürnberg, Belgrad, Kudüs	Martin Buber
Joseph Goebbels <mask> 'da öldü.	Berlin	Londra, Kartaca, Prag, Atina, Konstantinopolis, Medine, Roma, Kâbil, Madison, Berlin	Joseph Goebbels
Montesquieu <mask> 'da öldü.	Paris	Stockholm, Kâbil, Kahire, Bağdat, Nürnberg, Konstantinopolis, Şam, Medine, Lyon, Paris	Montesquieu
V. Nicholas <mask> 'da öldü.	Roma	Moskova, Surrey, Lyon, Detroit, Nürnberg, Bağdat, Kahire, Madison, Şam, Roma	V. Nicholas
Charlotte Corday <mask> 'da öldü.	Paris	Bağdat, Varşova, Kudüs, Kâbil, İstanbul, Kahire, Tokyo, Medine, Taipei, Paris	Charlotte Corday
Muhammed Zahir Şah <mask> 'da öldü.	Kâbil	Medine, Kudüs, Şam, Venedik, Madison, Detroit, Moskova, Floransa, Surrey, Kâbil	Muhammed Zahir Şah
XI. Innocentius <mask> 'da öldü.	Roma	Londra, Berlin, Kahire, Venedik, Şam, Madison, Kartaca, Floransa, Atina, Roma	XI. Innocentius
II. Gordianus <mask> 'da öldü.	Kartaca	Madison, Lyon, Prag, Roma, Belgrad, Kudüs, Bağdat, Şam, Detroit, Kartaca	II. Gordianus
Mstislav Rostropoviç <mask> 'da öldü.	Moskova	Lyon, İstanbul, Atina, Nürnberg, Madison, Berlin, Madrid, Tokyo, Medine, Moskova	Mstislav Rostropoviç
III. Pius <mask> 'da öldü.	Roma	İstanbul, Londra, Prag, Lyon, Paris, Varşova, Belgrad, Kâbil, Madrid, Roma	III. Pius
Abdülkerim Kasım <mask> 'da öldü.	Bağdat	Tokyo, Roma, Floransa, Londra, Paris, Kahire, Taipei, Lyon, Şam, Bağdat	Abdülkerim Kasım
XVI. Gregorius <mask> 'da öldü.	Roma	Konstantinopolis, Varşova, Taipei, Bağdat, Kâbil, Londra, Madrid, Kartaca, Şam, Roma	XVI. Gregorius
Aram Haçaturyan <mask> 'da öldü.	Moskova	Kudüs, Bağdat, Nürnberg, Atina, Londra, Helsinki, Detroit, Tokyo, Kartaca, Moskova	Aram Haçaturyan
Heinrich von Kleist <mask> 'da öldü.	Berlin	Roma, Londra, Moskova, Lyon, Bağdat, Kâbil, Floransa, Varşova, Surrey, Berlin	Heinrich von Kleist
I. Abdülhamid <mask> 'da öldü.	Konstantinopolis	İstanbul, Kâbil, Venedik, Kahire, Medine, Tokyo, Detroit, Belgrad, Paris, Konstantinopolis	I. Abdülhamid
VIII. Alexander <mask> 'da öldü.	Roma	Lyon, Taipei, Kartaca, Madison, İstanbul, Varşova, Konstantinopolis, Londra, Madrid, Roma	VIII. Alexander
Johann Christian Bach <mask> 'da öldü.	Londra	Atina, Berlin, Paris, Kâbil, Helsinki, Kudüs, Şam, Madrid, Lyon, Londra	Johann Christian Bach
Samuel Johnson <mask> 'da öldü.	Londra	Kartaca, İstanbul, Medine, Stockholm, Berlin, Varşova, Moskova, Kahire, Atina, Londra	Samuel Johnson
Jacques-Yves Cousteau <mask> 'da öldü.	Paris	Atina, Berlin, Venedik, Belgrad, Nürnberg, Roma, Konstantinopolis, Kudüs, Bağdat, Paris	Jacques-Yves Cousteau
Sofya Kovalevskaya <mask> 'da öldü.	Stockholm	Paris, Helsinki, Berlin, Madison, Atina, Floransa, Detroit, Prag, Kâbil, Stockholm	Sofya Kovalevskaya
Georg Wilhelm Friedrich Hegel <mask> 'da öldü.	Berlin	Atina, Madison, Kâbil, Madrid, Bağdat, Prag, Stockholm, İstanbul, Medine, Berlin	Georg Wilhelm Friedrich Hegel
Sandro Botticelli <mask> 'da öldü.	Floransa	Belgrad, Medine, İstanbul, Madison, Nürnberg, Detroit, Stockholm, Kâbil, Kudüs, Floransa	Sandro Botticelli
Samuel Taylor Coleridge <mask> 'da öldü.	Londra	Stockholm, Varşova, Medine, Detroit, Kudüs, Belgrad, Lyon, Moskova, Kartaca, Londra	Samuel Taylor Coleridge
İbn-i Haldun <mask> 'da öldü.	Kahire	Lyon, Berlin, Nürnberg, Kudüs, Venedik, Moskova, İstanbul, Taipei, Şam, Kahire	İbn-i Haldun
IV. Henry <mask> 'da öldü.	Londra	İstanbul, Atina, Kahire, Roma, Nürnberg, Şam, Madrid, Venedik, Berlin, Londra	IV. Henry
Tomaso Albinoni <mask> 'da öldü.	Venedik	Paris, Kudüs, Medine, Lyon, Floransa, Detroit, Helsinki, Belgrad, Taipei, Venedik	Tomaso Albinoni
Paavo Nurmi <mask> 'da öldü.	Helsinki	Taipei, Surrey, Stockholm, Floransa, Kâbil, Paris, Londra, Belgrad, Lyon, Helsinki	Paavo Nurmi
I. Clemens <mask> 'da öldü.	Roma	Londra, Bağdat, Helsinki, İstanbul, Belgrad, Paris, Kartaca, Konstantinopolis, Varşova, Roma	I. Clemens
XVII. Louis <mask> 'da öldü.	Paris	Madrid, Venedik, Konstantinopolis, Stockholm, Moskova, Floransa, Medine, Şam, Nürnberg, Paris	XVII. Louis
Kishō Kurokawa <mask> 'da öldü.	Tokyo	Floransa, Atina, Kartaca, Moskova, Varşova, Kahire, Venedik, Paris, Roma, Tokyo	Kishō Kurokawa
Maximilien Robespierre <mask> 'da öldü.	Paris	Floransa, Moskova, Medine, Şam, Roma, Tokyo, Nürnberg, Stockholm, Bağdat, Paris	Maximilien Robespierre
Giorgione <mask> 'da öldü.	Venedik	Paris, Roma, Atina, Moskova, Helsinki, Londra, Konstantinopolis, Medine, Lyon, Venedik	Giorgione
I. Petar <mask> 'da öldü.	Belgrad	Tokyo, Bağdat, Londra, Paris, Taipei, Kâbil, Helsinki, Atina, Nürnberg, Belgrad	I. Petar
Ludwik Lejzer Zamenhof <mask> 'da öldü.	Varşova	Londra, Nürnberg, Atina, Belgrad, Lyon, Helsinki, Bağdat, Konstantinopolis, Paris, Varşova	Ludwik Lejzer Zamenhof
Kavalalı İbrahim Paşa <mask> 'da öldü.	Kahire	Paris, Madison, Surrey, Prag, Belgrad, Varşova, Atina, Şam, İstanbul, Kahire	Kavalalı İbrahim Paşa
