Prompt	Ans	Candidate Ans	Subject
Carlos II de España nació en <mask>.	Madrid	Toronto, Londres, Belgrado, Mánchester, Nápoles, Brooklyn, Viena, Estambul, Ginebra, Madrid	Carlos II de España
David Coulthard nació en <mask>.	Escocia	Brooklyn, Viena, Pekín, Belfast, París, Estambul, Houston, Milán, Westminster, Escocia	David Coulthard
Christina Rossetti nació en <mask>.	Londres	Belfast, Como, Moscú, Estambul, Berlín, Escocia, Roma, Mánchester, Armenia, Londres	Christina Rossetti
Kenny Rogers nació en <mask>.	Houston	Estambul, Belgrado, Chicago, Madrid, París, Londres, Milán, Viena, Brooklyn, Houston	Kenny Rogers
Husayn ibn Ali nació en <mask>.	Medina	París, Moscú, Berlín, Ginebra, Brooklyn, Roma, Escocia, Pekín, Belgrado, Medina	Husayn ibn Ali
William Thomson nació en <mask>.	Belfast	Moscú, Ginebra, Madrid, Westminster, París, Medina, Belgrado, Pekín, Roma, Belfast	William Thomson
Alfred Adler nació en <mask>.	Viena	París, Madrid, Toronto, Colonia, Como, Londres, Belfast, Estambul, Múnich, Viena	Alfred Adler
Chus Lampreave nació en <mask>.	Madrid	Nápoles, Roma, La Meca, Chicago, Armenia, Londres, Como, Escocia, Estambul, Madrid	Chus Lampreave
Serguéi Lavrov nació en <mask>.	Moscú	Pekín, Ginebra, Medina, Estambul, Belfast, Belgrado, Madrid, Westminster, Londres, Moscú	Serguéi Lavrov
Konrad Zacharias Lorenz nació en <mask>.	Viena	La Meca, Milán, Berlín, Belgrado, Londres, Chicago, Pekín, Estambul, Belfast, Viena	Konrad Zacharias Lorenz
Lou Reed nació en <mask>.	Brooklyn	Houston, Ginebra, Múnich, Roma, Viena, Medina, Westminster, Colonia, Berlín, Brooklyn	Lou Reed
León V el Armenio nació en <mask>.	Armenia	Berlín, Toronto, Colonia, La Meca, Mánchester, Moscú, Como, Estambul, Madrid, Armenia	León V el Armenio
Marco Delvecchio nació en <mask>.	Milán	La Meca, Múnich, Westminster, Colonia, Pekín, Belgrado, Ginebra, Toronto, Armenia, Milán	Marco Delvecchio
Carl Orff nació en <mask>.	Múnich	Roma, Toronto, Houston, Mánchester, Viena, Pekín, Colonia, Chicago, Berlín, Múnich	Carl Orff
Plinio el Viejo nació en <mask>.	Como	Toronto, Múnich, Ginebra, París, Milán, Westminster, Mánchester, Berlín, Londres, Como	Plinio el Viejo
Federico Guillermo II de Prusia nació en <mask>.	Berlín	Armenia, Madrid, Toronto, Belfast, Westminster, Escocia, Houston, París, Colonia, Berlín	Federico Guillermo II de Prusia
