Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti zemřel v <mask>.	Řím	Benátky, Řím	Michelangelo Buonarroti
Richard Wagner zemřel v <mask>.	Benátky	Řím, Benátky	Richard Wagner
arabské písmo je podtřída <mask>.	abeceda	biologie, abeceda	arabské písmo
ekologie je podtřída <mask>.	biologie	abeceda, biologie	ekologie
Oficiální jazyk Francouzská Polynésie je <mask>.	francouzština	albánština, indonéština, rumunština, srbština, hebrejština, turečtina, gruzínština, bulharština, němčina, francouzština	Francouzská Polynésie
Oficiální jazyk Uttarpradéš je <mask>.	urdština	japonština, ruština, turečtina, latina, slovinština, chorvatština, thajština, katalánština, albánština, urdština	Uttarpradéš
Oficiální jazyk Evropská unie je <mask>.	finština	turečtina, čeština, francouzština, španělština, švédština, nizozemština, řečtina, polština, estonština, finština	Evropská unie
Oficiální jazyk Evropská unie je <mask>.	slovinština	latina, řečtina, korejština, angličtina, slovenština, chorvatština, polština, urdština, němčina, slovinština	Evropská unie
Oficiální jazyk Haiti je <mask>.	francouzština	ruština, němčina, chorvatština, urdština, perština, gruzínština, nizozemština, turečtina, arménština, francouzština	Haiti
Oficiální jazyk Wyoming je <mask>.	angličtina	ukrajinština, chorvatština, slovenština, čeština, litevština, finština, japonština, urdština, turečtina, angličtina	Wyoming
Oficiální jazyk Uruguay je <mask>.	španělština	němčina, turečtina, srbština, nizozemština, urdština, thajština, angličtina, švédština, estonština, španělština	Uruguay
Oficiální jazyk Jižní Osetie je <mask>.	gruzínština	bulharština, angličtina, čeština, slovenština, turečtina, nizozemština, portugalština, arménština, korejština, gruzínština	Jižní Osetie
Oficiální jazyk Konžská republika je <mask>.	francouzština	polština, hebrejština, thajština, chorvatština, estonština, latina, řečtina, japonština, turečtina, francouzština	Konžská republika
Oficiální jazyk Šalomounovy ostrovy je <mask>.	angličtina	francouzština, maďarština, thajština, slovenština, islandština, bulharština, korejština, čínština, ruština, angličtina	Šalomounovy ostrovy
Oficiální jazyk Velikonoční ostrov je <mask>.	španělština	ruština, čeština, latina, dánština, japonština, maďarština, islandština, gruzínština, švédština, španělština	Velikonoční ostrov
Oficiální jazyk Brazílie je <mask>.	portugalština	urdština, islandština, srbština, thajština, finština, gruzínština, baskičtina, slovenština, litevština, portugalština	Brazílie
Oficiální jazyk Mexiko je <mask>.	španělština	italština, čínština, estonština, rumunština, arménština, katalánština, baskičtina, francouzština, urdština, španělština	Mexiko
Oficiální jazyk Gambie je <mask>.	angličtina	srbština, ruština, ázerbájdžánština, polština, španělština, estonština, italština, latina, slovenština, angličtina	Gambie
Oficiální jazyk Man je <mask>.	angličtina	chorvatština, korejština, finština, čínština, francouzština, thajština, japonština, srbština, baskičtina, angličtina	Man
Oficiální jazyk Mississippi je <mask>.	angličtina	řečtina, japonština, dánština, čínština, rumunština, nizozemština, chorvatština, urdština, arménština, angličtina	Mississippi
Oficiální jazyk Macao je <mask>.	čínština	švédština, albánština, čeština, indonéština, francouzština, němčina, thajština, chorvatština, rumunština, čínština	Macao
Oficiální jazyk Izrael je <mask>.	hebrejština	islandština, rumunština, angličtina, katalánština, slovenština, řečtina, maďarština, polština, bulharština, hebrejština	Izrael
Oficiální jazyk Samoa je <mask>.	angličtina	hebrejština, slovenština, arménština, španělština, maďarština, korejština, urdština, čínština, japonština, angličtina	Samoa
Oficiální jazyk Švýcarsko je <mask>.	francouzština	chorvatština, hebrejština, latina, němčina, maďarština, ázerbájdžánština, španělština, ukrajinština, nizozemština, francouzština	Švýcarsko
Oficiální jazyk Belgie je <mask>.	němčina	finština, italština, ázerbájdžánština, islandština, řečtina, čínština, arménština, gruzínština, albánština, němčina	Belgie
Oficiální jazyk Nauru je <mask>.	angličtina	ázerbájdžánština, maďarština, ukrajinština, albánština, hebrejština, chorvatština, dánština, francouzština, italština, angličtina	Nauru
Oficiální jazyk Falklandy je <mask>.	angličtina	indonéština, řečtina, hebrejština, latina, slovenština, čínština, arménština, gruzínština, islandština, angličtina	Falklandy
Oficiální jazyk Guinea je <mask>.	francouzština	čeština, japonština, rumunština, estonština, turečtina, islandština, indonéština, finština, španělština, francouzština	Guinea
Oficiální jazyk Austrálie je <mask>.	angličtina	švédština, islandština, slovenština, latina, korejština, chorvatština, turečtina, francouzština, ázerbájdžánština, angličtina	Austrálie
Oficiální jazyk Peru je <mask>.	španělština	polština, maďarština, islandština, nizozemština, arménština, švédština, bulharština, hebrejština, čeština, španělština	Peru
Oficiální jazyk Lesotho je <mask>.	angličtina	estonština, litevština, srbština, portugalština, finština, ruština, francouzština, thajština, maďarština, angličtina	Lesotho
Oficiální jazyk Indie je <mask>.	angličtina	bulharština, litevština, thajština, albánština, nizozemština, čínština, polština, estonština, španělština, angličtina	Indie
Oficiální jazyk Zimbabwe je <mask>.	angličtina	hebrejština, litevština, albánština, bulharština, polština, gruzínština, turečtina, dánština, francouzština, angličtina	Zimbabwe
Oficiální jazyk Džibutsko je <mask>.	francouzština	slovinština, nizozemština, angličtina, islandština, hebrejština, italština, ukrajinština, slovenština, finština, francouzština	Džibutsko
Oficiální jazyk Montana je <mask>.	angličtina	slovenština, ázerbájdžánština, čeština, albánština, bulharština, ruština, japonština, nizozemština, slovinština, angličtina	Montana
Oficiální jazyk Bahamy je <mask>.	angličtina	srbština, baskičtina, perština, indonéština, bulharština, gruzínština, španělština, maďarština, ukrajinština, angličtina	Bahamy
Oficiální jazyk Ontario je <mask>.	angličtina	němčina, maďarština, korejština, čeština, urdština, srbština, italština, ruština, polština, angličtina	Ontario
Oficiální jazyk Alberta je <mask>.	angličtina	řečtina, čeština, dánština, latina, ukrajinština, němčina, slovinština, švédština, katalánština, angličtina	Alberta
