Prompt	Ans	Candidate Ans	Subject
Michelangelo morreu en <mask>.	Roma	Venecia, Roma	Michelangelo
Richard Wagner morreu en <mask>.	Venecia	Roma, Venecia	Richard Wagner
alfabeto árabe é unha subclase de <mask>.	Alfabeto	bioloxía, Alfabeto	alfabeto árabe
Ecoloxía é unha subclase de <mask>.	bioloxía	Alfabeto, bioloxía	Ecoloxía
O idioma oficial de Polinesia Francesa - Polynésie française é <mask>.	lingua francesa	Lingua albanesa, lingua indonesia, Lingua romanesa, Lingua serbia, lingua hebrea, lingua turca, Lingua xeorxiana, lingua búlgara, lingua alemá, lingua francesa	Polinesia Francesa - Polynésie française
O idioma oficial de Uttar Pradesh é <mask>.	Lingua urdú	lingua xaponesa, lingua rusa, lingua turca, Lingua latina, lingua eslovena, lingua croata, Lingua tailandesa, lingua catalá, Lingua albanesa, Lingua urdú	Uttar Pradesh
O idioma oficial de Unión Europea é <mask>.	finés	lingua turca, Lingua checa, lingua francesa, lingua castelá, sueco, Lingua neerlandesa, lingua grega, lingua polaca, Lingua estoniana, finés	Unión Europea
O idioma oficial de Unión Europea é <mask>.	lingua eslovena	Lingua latina, lingua grega, Lingua coreana, lingua inglesa, lingua eslovaca, lingua croata, lingua polaca, Lingua urdú, lingua alemá, lingua eslovena	Unión Europea
O idioma oficial de Haití é <mask>.	lingua francesa	lingua rusa, lingua alemá, lingua croata, Lingua urdú, Lingua persa, Lingua xeorxiana, Lingua neerlandesa, lingua turca, lingua armenia, lingua francesa	Haití
O idioma oficial de Wyoming é <mask>.	lingua inglesa	Lingua ucraína, lingua croata, lingua eslovaca, Lingua checa, lingua lituana, finés, lingua xaponesa, Lingua urdú, lingua turca, lingua inglesa	Wyoming
O idioma oficial de Uruguai é <mask>.	lingua castelá	lingua alemá, lingua turca, Lingua serbia, Lingua neerlandesa, Lingua urdú, Lingua tailandesa, lingua inglesa, sueco, Lingua estoniana, lingua castelá	Uruguai
O idioma oficial de Ossetia do Sur é <mask>.	Lingua xeorxiana	lingua búlgara, lingua inglesa, Lingua checa, lingua eslovaca, lingua turca, Lingua neerlandesa, lingua portuguesa, lingua armenia, Lingua coreana, Lingua xeorxiana	Ossetia do Sur
O idioma oficial de República do Congo é <mask>.	lingua francesa	lingua polaca, lingua hebrea, Lingua tailandesa, lingua croata, Lingua estoniana, Lingua latina, lingua grega, lingua xaponesa, lingua turca, lingua francesa	República do Congo
O idioma oficial de Illas Salomón é <mask>.	lingua inglesa	lingua francesa, lingua húngara, Lingua tailandesa, lingua eslovaca, Lingua islandesa, lingua búlgara, Lingua coreana, lingua chinesa, lingua rusa, lingua inglesa	Illas Salomón
O idioma oficial de Illa de Pascua é <mask>.	lingua castelá	lingua rusa, Lingua checa, Lingua latina, lingua dinamarquesa, lingua xaponesa, lingua húngara, Lingua islandesa, Lingua xeorxiana, sueco, lingua castelá	Illa de Pascua
O idioma oficial de Brasil é <mask>.	lingua portuguesa	Lingua urdú, Lingua islandesa, Lingua serbia, Lingua tailandesa, finés, Lingua xeorxiana, Lingua éuscara, lingua eslovaca, lingua lituana, lingua portuguesa	Brasil
O idioma oficial de México é <mask>.	lingua castelá	lingua italiana, lingua chinesa, Lingua estoniana, Lingua romanesa, lingua armenia, lingua catalá, Lingua éuscara, lingua francesa, Lingua urdú, lingua castelá	México
O idioma oficial de Gambia é <mask>.	lingua inglesa	Lingua serbia, lingua rusa, Lingua azerí, lingua polaca, lingua castelá, Lingua estoniana, lingua italiana, Lingua latina, lingua eslovaca, lingua inglesa	Gambia
O idioma oficial de Illa de Man é <mask>.	lingua inglesa	lingua croata, Lingua coreana, finés, lingua chinesa, lingua francesa, Lingua tailandesa, lingua xaponesa, Lingua serbia, Lingua éuscara, lingua inglesa	Illa de Man
O idioma oficial de Mississippi é <mask>.	lingua inglesa	lingua grega, lingua xaponesa, lingua dinamarquesa, lingua chinesa, Lingua romanesa, Lingua neerlandesa, lingua croata, Lingua urdú, lingua armenia, lingua inglesa	Mississippi
O idioma oficial de Macau é <mask>.	lingua chinesa	sueco, Lingua albanesa, Lingua checa, lingua indonesia, lingua francesa, lingua alemá, Lingua tailandesa, lingua croata, Lingua romanesa, lingua chinesa	Macau
O idioma oficial de Israel é <mask>.	lingua hebrea	Lingua islandesa, Lingua romanesa, lingua inglesa, lingua catalá, lingua eslovaca, lingua grega, lingua húngara, lingua polaca, lingua búlgara, lingua hebrea	Israel
O idioma oficial de Samoa é <mask>.	lingua inglesa	lingua hebrea, lingua eslovaca, lingua armenia, lingua castelá, lingua húngara, Lingua coreana, Lingua urdú, lingua chinesa, lingua xaponesa, lingua inglesa	Samoa
O idioma oficial de Suíza é <mask>.	lingua francesa	lingua croata, lingua hebrea, Lingua latina, lingua alemá, lingua húngara, Lingua azerí, lingua castelá, Lingua ucraína, Lingua neerlandesa, lingua francesa	Suíza
O idioma oficial de Bélxica é <mask>.	lingua alemá	finés, lingua italiana, Lingua azerí, Lingua islandesa, lingua grega, lingua chinesa, lingua armenia, Lingua xeorxiana, Lingua albanesa, lingua alemá	Bélxica
O idioma oficial de Nauru é <mask>.	lingua inglesa	Lingua azerí, lingua húngara, Lingua ucraína, Lingua albanesa, lingua hebrea, lingua croata, lingua dinamarquesa, lingua francesa, lingua italiana, lingua inglesa	Nauru
O idioma oficial de Illas Malvinas é <mask>.	lingua inglesa	lingua indonesia, lingua grega, lingua hebrea, Lingua latina, lingua eslovaca, lingua chinesa, lingua armenia, Lingua xeorxiana, Lingua islandesa, lingua inglesa	Illas Malvinas
