Prompt	Ans	Candidate Ans	Subject
Мікеланджэла Буанароці памёр у <mask>.	Рым	Венецыя, Рым	Мікеланджэла Буанароці
Вільгельм Рыхард Вагнер памёр у <mask>.	Венецыя	Рым, Венецыя	Вільгельм Рыхард Вагнер
арабскі алфавіт - падклас <mask>.	алфавіт	біялогія, алфавіт	арабскі алфавіт
экалогія - падклас <mask>.	біялогія	алфавіт, біялогія	экалогія
Афіцыйнай мовай Французская Палінезія з'яўляецца <mask>.	французская мова	албанская мова, інданезійская мова, румынская мова, сербская мова, іўрыт, турэцкая мова, грузінская мова, балгарская мова, нямецкая мова, французская мова	Французская Палінезія
Афіцыйнай мовай Утар-Прадэш з'яўляецца <mask>.	урду	японская мова, руская мова, турэцкая мова, лацінская мова, Славенская мова, Харвацкая мова, тайская мова, каталанская мова, албанская мова, урду	Утар-Прадэш
Афіцыйнай мовай Еўрапейскі Саюз з'яўляецца <mask>.	фінская мова	турэцкая мова, чэшская мова, французская мова, іспанская мова, шведская мова, нідэрландская мова, грэчаская мова, польская мова, эстонская мова, фінская мова	Еўрапейскі Саюз
Афіцыйнай мовай Еўрапейскі Саюз з'яўляецца <mask>.	Славенская мова	лацінская мова, грэчаская мова, карэйская мова, англійская мова, славацкая мова, Харвацкая мова, польская мова, урду, нямецкая мова, Славенская мова	Еўрапейскі Саюз
Афіцыйнай мовай Гаіці з'яўляецца <mask>.	французская мова	руская мова, нямецкая мова, Харвацкая мова, урду, персідская мова, грузінская мова, нідэрландская мова, турэцкая мова, армянская мова, французская мова	Гаіці
Афіцыйнай мовай Ваёмінг з'яўляецца <mask>.	англійская мова	украінская мова, Харвацкая мова, славацкая мова, чэшская мова, літоўская мова, фінская мова, японская мова, урду, турэцкая мова, англійская мова	Ваёмінг
Афіцыйнай мовай Уругвай з'яўляецца <mask>.	іспанская мова	нямецкая мова, турэцкая мова, сербская мова, нідэрландская мова, урду, тайская мова, англійская мова, шведская мова, эстонская мова, іспанская мова	Уругвай
Афіцыйнай мовай Паўднёвая Асеція з'яўляецца <mask>.	грузінская мова	балгарская мова, англійская мова, чэшская мова, славацкая мова, турэцкая мова, нідэрландская мова, партугальская мова, армянская мова, карэйская мова, грузінская мова	Паўднёвая Асеція
Афіцыйнай мовай Рэспубліка Конга з'яўляецца <mask>.	французская мова	польская мова, іўрыт, тайская мова, Харвацкая мова, эстонская мова, лацінская мова, грэчаская мова, японская мова, турэцкая мова, французская мова	Рэспубліка Конга
Афіцыйнай мовай Саламонавы Астравы з'яўляецца <mask>.	англійская мова	французская мова, венгерская мова, тайская мова, славацкая мова, Ісландская мова, балгарская мова, карэйская мова, кітайская мова, руская мова, англійская мова	Саламонавы Астравы
Афіцыйнай мовай Востраў Рапануі з'яўляецца <mask>.	іспанская мова	руская мова, чэшская мова, лацінская мова, дацкая мова, японская мова, венгерская мова, Ісландская мова, грузінская мова, шведская мова, іспанская мова	Востраў Рапануі
Афіцыйнай мовай Бразілія з'яўляецца <mask>.	партугальская мова	урду, Ісландская мова, сербская мова, тайская мова, фінская мова, грузінская мова, баскская мова, славацкая мова, літоўская мова, партугальская мова	Бразілія
Афіцыйнай мовай Мексіка з'яўляецца <mask>.	іспанская мова	італьянская мова, кітайская мова, эстонская мова, румынская мова, армянская мова, каталанская мова, баскская мова, французская мова, урду, іспанская мова	Мексіка
Афіцыйнай мовай Гамбія з'яўляецца <mask>.	англійская мова	сербская мова, руская мова, азербайджанская мова, польская мова, іспанская мова, эстонская мова, італьянская мова, лацінская мова, славацкая мова, англійская мова	Гамбія
