Prompt	Ans	Candidate Ans	Subject
মাইকেলেঞ্জেলো <mask> -এ মারা গিয়েছিলেন।	রোম	ভেনিস, রোম	মাইকেলেঞ্জেলো
রিশার্ড ভাগনার <mask> -এ মারা গিয়েছিলেন।	ভেনিস	রোম, ভেনিস	রিশার্ড ভাগনার
আরবি লিপি হল <mask> এর একটি সাবক্লাস।	অশব্দীয় বর্ণমালা লিপি	জীববিজ্ঞান, অশব্দীয় বর্ণমালা লিপি	আরবি লিপি
পরিবেশবিজ্ঞান হল <mask> এর একটি সাবক্লাস।	জীববিজ্ঞান	অশব্দীয় বর্ণমালা লিপি, জীববিজ্ঞান	পরিবেশবিজ্ঞান
ফরাসি পলিনেশিয়া এর সরকারী ভাষা হ'ল <mask>।	ফরাসি ভাষা	আলবেনীয় ভাষা, ইন্দোনেশীয় ভাষা, রোমানীয় ভাষা, সার্বীয় ভাষা, হিব্রু ভাষা, তুর্কি ভাষা, জর্জীয় ভাষা, বুলগেরীয় ভাষা, জার্মান ভাষা, ফরাসি ভাষা	ফরাসি পলিনেশিয়া
উত্তরপ্রদেশ এর সরকারী ভাষা হ'ল <mask>।	উর্দু ভাষা	জাপানি ভাষা, রুশ ভাষা, তুর্কি ভাষা, লাতিন ভাষা, স্লোভেনীয় ভাষা, ক্রোয়েশীয় ভাষা, থাই ভাষা, কাতালান ভাষা, আলবেনীয় ভাষা, উর্দু ভাষা	উত্তরপ্রদেশ
ইউরোপীয় ইউনিয়ন এর সরকারী ভাষা হ'ল <mask>।	ফিনীয় ভাষা	তুর্কি ভাষা, চেক ভাষা, ফরাসি ভাষা, স্পেনীয় ভাষা, সুয়েডীয় ভাষা, ওলন্দাজ ভাষা, গ্রিক ভাষা, পোলীয় ভাষা, এস্তোনীয় ভাষা, ফিনীয় ভাষা	ইউরোপীয় ইউনিয়ন
ইউরোপীয় ইউনিয়ন এর সরকারী ভাষা হ'ল <mask>।	স্লোভেনীয় ভাষা	লাতিন ভাষা, গ্রিক ভাষা, কোরীয় ভাষা, ইংরেজি ভাষা, স্লোভাক ভাষা, ক্রোয়েশীয় ভাষা, পোলীয় ভাষা, উর্দু ভাষা, জার্মান ভাষা, স্লোভেনীয় ভাষা	ইউরোপীয় ইউনিয়ন
হাইতি এর সরকারী ভাষা হ'ল <mask>।	ফরাসি ভাষা	রুশ ভাষা, জার্মান ভাষা, ক্রোয়েশীয় ভাষা, উর্দু ভাষা, ফার্সি ভাষা, জর্জীয় ভাষা, ওলন্দাজ ভাষা, তুর্কি ভাষা, আর্মেনীয় ভাষা, ফরাসি ভাষা	হাইতি
ওয়াইয়োমিং এর সরকারী ভাষা হ'ল <mask>।	ইংরেজি ভাষা	ইউক্রেনীয় ভাষা, ক্রোয়েশীয় ভাষা, স্লোভাক ভাষা, চেক ভাষা, লিথুয়ানীয় ভাষা, ফিনীয় ভাষা, জাপানি ভাষা, উর্দু ভাষা, তুর্কি ভাষা, ইংরেজি ভাষা	ওয়াইয়োমিং
উরুগুয়ে এর সরকারী ভাষা হ'ল <mask>।	স্পেনীয় ভাষা	জার্মান ভাষা, তুর্কি ভাষা, সার্বীয় ভাষা, ওলন্দাজ ভাষা, উর্দু ভাষা, থাই ভাষা, ইংরেজি ভাষা, সুয়েডীয় ভাষা, এস্তোনীয় ভাষা, স্পেনীয় ভাষা	উরুগুয়ে
দক্ষিণ অসেটিয়া এর সরকারী ভাষা হ'ল <mask>।	জর্জীয় ভাষা	বুলগেরীয় ভাষা, ইংরেজি ভাষা, চেক ভাষা, স্লোভাক ভাষা, তুর্কি ভাষা, ওলন্দাজ ভাষা, পর্তুগিজ ভাষা, আর্মেনীয় ভাষা, কোরীয় ভাষা, জর্জীয় ভাষা	দক্ষিণ অসেটিয়া
কঙ্গো প্রজাতন্ত্র এর সরকারী ভাষা হ'ল <mask>।	ফরাসি ভাষা	পোলীয় ভাষা, হিব্রু ভাষা, থাই ভাষা, ক্রোয়েশীয় ভাষা, এস্তোনীয় ভাষা, লাতিন ভাষা, গ্রিক ভাষা, জাপানি ভাষা, তুর্কি ভাষা, ফরাসি ভাষা	কঙ্গো প্রজাতন্ত্র
সলোমন দ্বীপপুঞ্জ এর সরকারী ভাষা হ'ল <mask>।	ইংরেজি ভাষা	ফরাসি ভাষা, হাঙ্গেরীয় ভাষা, থাই ভাষা, স্লোভাক ভাষা, আইসল্যান্ডীয় ভাষা, বুলগেরীয় ভাষা, কোরীয় ভাষা, চীনা ভাষা, রুশ ভাষা, ইংরেজি ভাষা	সলোমন দ্বীপপুঞ্জ
ইস্টার দ্বীপ এর সরকারী ভাষা হ'ল <mask>।	স্পেনীয় ভাষা	রুশ ভাষা, চেক ভাষা, লাতিন ভাষা, ডেনীয় ভাষা, জাপানি ভাষা, হাঙ্গেরীয় ভাষা, আইসল্যান্ডীয় ভাষা, জর্জীয় ভাষা, সুয়েডীয় ভাষা, স্পেনীয় ভাষা	ইস্টার দ্বীপ
ব্রাজিল এর সরকারী ভাষা হ'ল <mask>।	পর্তুগিজ ভাষা	উর্দু ভাষা, আইসল্যান্ডীয় ভাষা, সার্বীয় ভাষা, থাই ভাষা, ফিনীয় ভাষা, জর্জীয় ভাষা, বাস্ক ভাষা, স্লোভাক ভাষা, লিথুয়ানীয় ভাষা, পর্তুগিজ ভাষা	ব্রাজিল
