Prompt	Ans	Candidate Ans	Subject
II. Károly spanyol király <mask> -ben született.	Madrid	Toronto, London, Belgrád, Manchester, Nápoly, Brooklyn, Bécs, Isztambul, Genf, Madrid	II. Károly spanyol király
David Coulthard <mask> -ben született.	Skócia	Brooklyn, Bécs, Peking, Belfast, Párizs, Isztambul, Houston, Milánó, Westminster, Skócia	David Coulthard
Christina Georgina Rossetti <mask> -ben született.	London	Belfast, Como, Moszkva, Isztambul, Berlin, Skócia, Róma, Manchester, Örményország, London	Christina Georgina Rossetti
Kenny Rogers <mask> -ben született.	Houston	Isztambul, Belgrád, Chicago, Madrid, Párizs, London, Milánó, Bécs, Brooklyn, Houston	Kenny Rogers
Huszajn ibn Ali <mask> -ben született.	Medina	Párizs, Moszkva, Berlin, Genf, Brooklyn, Róma, Skócia, Peking, Belgrád, Medina	Huszajn ibn Ali
William Thomson, első Kelvin báró <mask> -ben született.	Belfast	Moszkva, Genf, Madrid, Westminster, Párizs, Medina, Belgrád, Peking, Róma, Belfast	William Thomson, első Kelvin báró
Alfred Adler <mask> -ben született.	Bécs	Párizs, Madrid, Toronto, Köln, Como, London, Belfast, Isztambul, München, Bécs	Alfred Adler
Chus Lampreave <mask> -ben született.	Madrid	Nápoly, Róma, Mekka, Chicago, Örményország, London, Como, Skócia, Isztambul, Madrid	Chus Lampreave
Szergej Viktorovics Lavrov <mask> -ben született.	Moszkva	Peking, Genf, Medina, Isztambul, Belfast, Belgrád, Madrid, Westminster, London, Moszkva	Szergej Viktorovics Lavrov
Konrad Lorenz <mask> -ben született.	Bécs	Mekka, Milánó, Berlin, Belgrád, London, Chicago, Peking, Isztambul, Belfast, Bécs	Konrad Lorenz
Lou Reed <mask> -ben született.	Brooklyn	Houston, Genf, München, Róma, Bécs, Medina, Westminster, Köln, Berlin, Brooklyn	Lou Reed
V. León bizánci császár <mask> -ben született.	Örményország	Berlin, Toronto, Köln, Mekka, Manchester, Moszkva, Como, Isztambul, Madrid, Örményország	V. León bizánci császár
Marco Delvecchio <mask> -ben született.	Milánó	Mekka, München, Westminster, Köln, Peking, Belgrád, Genf, Toronto, Örményország, Milánó	Marco Delvecchio
Carl Orff <mask> -ben született.	München	Róma, Toronto, Houston, Manchester, Bécs, Peking, Köln, Chicago, Berlin, München	Carl Orff
Caius Plinius Secundus <mask> -ben született.	Como	Toronto, München, Genf, Párizs, Milánó, Westminster, Manchester, Berlin, London, Como	Caius Plinius Secundus
II. Frigyes Vilmos porosz király <mask> -ben született.	Berlin	Örményország, Madrid, Toronto, Belfast, Westminster, Skócia, Houston, Párizs, Köln, Berlin	II. Frigyes Vilmos porosz király
III. Bonifác pápa <mask> -ben született.	Róma	Brooklyn, Nápoly, Houston, Como, Moszkva, Manchester, Milánó, Belgrád, Párizs, Róma	III. Bonifác pápa
