Prompt	Ans	Candidate Ans	Subject
Charles II of Spain was born in <mask>.	Madrid	Toronto, London, Belgrade, Manchester, Naples, Brooklyn, Vienna, Istanbul, Geneva, Madrid	Charles II of Spain
David Coulthard was born in <mask>.	Scotland	Brooklyn, Vienna, Beijing, Belfast, Paris, Istanbul, Houston, Milan, Westminster, Scotland	David Coulthard
Christina Rossetti was born in <mask>.	London	Belfast, Como, Moscow, Istanbul, Berlin, Scotland, Rome, Manchester, Armenia, London	Christina Rossetti
Kenny Rogers was born in <mask>.	Houston	Istanbul, Belgrade, Chicago, Madrid, Paris, London, Milan, Vienna, Brooklyn, Houston	Kenny Rogers
Husayn ibn Ali was born in <mask>.	Medina	Paris, Moscow, Berlin, Geneva, Brooklyn, Rome, Scotland, Beijing, Belgrade, Medina	Husayn ibn Ali
William Thomson, 1st Baron Kelvin was born in <mask>.	Belfast	Moscow, Geneva, Madrid, Westminster, Paris, Medina, Belgrade, Beijing, Rome, Belfast	William Thomson, 1st Baron Kelvin
Alfred Adler was born in <mask>.	Vienna	Paris, Madrid, Toronto, Cologne, Como, London, Belfast, Istanbul, Munich, Vienna	Alfred Adler
Chus Lampreave was born in <mask>.	Madrid	Naples, Rome, Mecca, Chicago, Armenia, London, Como, Scotland, Istanbul, Madrid	Chus Lampreave
Sergey Lavrov was born in <mask>.	Moscow	Beijing, Geneva, Medina, Istanbul, Belfast, Belgrade, Madrid, Westminster, London, Moscow	Sergey Lavrov
Konrad Lorenz was born in <mask>.	Vienna	Mecca, Milan, Berlin, Belgrade, London, Chicago, Beijing, Istanbul, Belfast, Vienna	Konrad Lorenz
Lou Reed was born in <mask>.	Brooklyn	Houston, Geneva, Munich, Rome, Vienna, Medina, Westminster, Cologne, Berlin, Brooklyn	Lou Reed
Leo V the Armenian was born in <mask>.	Armenia	Berlin, Toronto, Cologne, Mecca, Manchester, Moscow, Como, Istanbul, Madrid, Armenia	Leo V the Armenian
Marco Delvecchio was born in <mask>.	Milan	Mecca, Munich, Westminster, Cologne, Beijing, Belgrade, Geneva, Toronto, Armenia, Milan	Marco Delvecchio
Carl Orff was born in <mask>.	Munich	Rome, Toronto, Houston, Manchester, Vienna, Beijing, Cologne, Chicago, Berlin, Munich	Carl Orff
Pliny the Elder was born in <mask>.	Como	Toronto, Munich, Geneva, Paris, Milan, Westminster, Manchester, Berlin, London, Como	Pliny the Elder
Frederick William II of Prussia was born in <mask>.	Berlin	Armenia, Madrid, Toronto, Belfast, Westminster, Scotland, Houston, Paris, Cologne, Berlin	Frederick William II of Prussia
Boniface III was born in <mask>.	Rome	Brooklyn, Naples, Houston, Como, Moscow, Manchester, Milan, Belgrade, Paris, Rome	Boniface III
Claudio Abbado was born in <mask>.	Milan	Madrid, Cologne, Belgrade, Belfast, Vienna, Chicago, Beijing, London, Berlin, Milan	Claudio Abbado
Enrico Caruso was born in <mask>.	Naples	Cologne, Rome, Como, Manchester, Vienna, Berlin, Paris, Scotland, Houston, Naples	Enrico Caruso
Mehmed VI was born in <mask>.	Istanbul	Madrid, Westminster, Munich, Belfast, Belgrade, Moscow, Geneva, Toronto, Houston, Istanbul	Mehmed VI
Dennis Farina was born in <mask>.	Chicago	Moscow, Belfast, Toronto, Berlin, Madrid, Milan, Armenia, Naples, Istanbul, Chicago	Dennis Farina
Mark Strong was born in <mask>.	London	Milan, Madrid, Belfast, Geneva, Rome, Brooklyn, Toronto, Paris, Houston, London	Mark Strong
Edward I of England was born in <mask>.	Westminster	Cologne, Brooklyn, Moscow, Geneva, Milan, Toronto, Vienna, Armenia, Medina, Westminster	Edward I of England
The Weeknd was born in <mask>.	Toronto	Manchester, Milan, London, Cologne, Mecca, Westminster, Berlin, Madrid, Houston, Toronto	The Weeknd
Larry King was born in <mask>.	Brooklyn	Geneva, Como, Rome, Medina, Paris, Berlin, Cologne, Munich, Chicago, Brooklyn	Larry King
Arthur Harden was born in <mask>.	Manchester	London, Rome, Cologne, Belfast, Scotland, Mecca, Istanbul, Toronto, Moscow, Manchester	Arthur Harden
Marquis de Sade was born in <mask>.	Paris	Medina, Milan, Houston, Manchester, Naples, Istanbul, Toronto, Mecca, Rome, Paris	Marquis de Sade
Zhang Ziyi was born in <mask>.	Beijing	Naples, Medina, Chicago, Berlin, Belgrade, Madrid, Rome, Moscow, Mecca, Beijing	Zhang Ziyi
Konrad Adenauer was born in <mask>.	Cologne	Belgrade, Toronto, Geneva, Como, Moscow, Houston, Milan, London, Medina, Cologne	Konrad Adenauer
Ferdinand de Saussure was born in <mask>.	Geneva	Istanbul, Munich, Moscow, Como, Naples, Cologne, Belgrade, Madrid, London, Geneva	Ferdinand de Saussure
Vasili III of Russia was born in <mask>.	Moscow	Milan, Toronto, Mecca, Berlin, Rome, Beijing, Istanbul, Madrid, Geneva, Moscow	Vasili III of Russia
Georges Duhamel was born in <mask>.	Paris	Vienna, Milan, Westminster, Belfast, Mecca, Armenia, Manchester, Medina, Toronto, Paris	Georges Duhamel
Aisha was born in <mask>.	Mecca	Como, Cologne, Paris, Brooklyn, Belfast, Houston, Scotland, Vienna, Madrid, Mecca	Aisha
Peter I of Serbia was born in <mask>.	Belgrade	Vienna, Beijing, Milan, Geneva, Armenia, Brooklyn, Chicago, Naples, Belfast, Belgrade	Peter I of Serbia
Bing Crosby was born in <mask>.	Tacoma	Chicago, Houston, Vienna, Istanbul, Como, London, Medina, Brooklyn, Naples, Tacoma	Bing Crosby
Michelangelo died in <mask>.	Rome	Prague, Warsaw, Surrey, Florence, Belgrade, Istanbul, Lyon, Helsinki, Carthage, Rome	Michelangelo
Coco Chanel died in <mask>.	Paris	Surrey, Rome, Medina, London, Tokyo, Damascus, Stockholm, Warsaw, Belgrade, Paris	Coco Chanel
Clement XIV died in <mask>.	Rome	Nuremberg, Lyon, Helsinki, Kabul, Madison, London, Paris, Cairo, Moscow, Rome	Clement XIV
Umar ibn Al-Khattāb died in <mask>.	Medina	Moscow, Belgrade, Carthage, Warsaw, Surrey, Stockholm, Florence, Venice, London, Medina	Umar ibn Al-Khattāb
Clement III died in <mask>.	Rome	Stockholm, Medina, London, Baghdad, Warsaw, Belgrade, Venice, Damascus, Surrey, Rome	Clement III
