Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti vdiq në <mask>.	Romë	Venecia, Romë	Michelangelo Buonarroti
Richard Wagner vdiq në <mask>.	Venecia	Romë, Venecia	Richard Wagner
Shkrimi arab është një nënklasë e <mask>.	Alfabeti	biologji, Alfabeti	Shkrimi arab
ekologjia është një nënklasë e <mask>.	biologji	Alfabeti, biologji	ekologjia
Gjuha zyrtare e Polinezia franceze është <mask>.	frëngjisht	shqip, Gjuha indoneziane, rumanisht, serbisht, hebraikisht, gjuha turke, Gjuha gjeorgjeze, bullgarisht, gjermanisht, frëngjisht	Polinezia franceze
Gjuha zyrtare e Uttar Pradesh është <mask>.	Gjuha urdu	Gjuha japoneze, gjuha ruse, gjuha turke, Gjuha latine, sllovenisht, kroatisht, Gjuha tajlandeze, katalonisht, shqip, Gjuha urdu	Uttar Pradesh
Gjuha zyrtare e Bashkimi Evropian është <mask>.	finlandisht	gjuha turke, çekisht, frëngjisht, spanjisht, suedisht, holandisht, greqisht, polonisht, estonisht, finlandisht	Bashkimi Evropian
Gjuha zyrtare e Bashkimi Evropian është <mask>.	sllovenisht	Gjuha latine, greqisht, Gjuha koreane, anglisht, sllovakisht, kroatisht, polonisht, Gjuha urdu, gjermanisht, sllovenisht	Bashkimi Evropian
Gjuha zyrtare e Haitia është <mask>.	frëngjisht	gjuha ruse, gjermanisht, kroatisht, Gjuha urdu, Gjuha perse, Gjuha gjeorgjeze, holandisht, gjuha turke, armenisht, frëngjisht	Haitia
Gjuha zyrtare e Wyoming është <mask>.	anglisht	Gjuha ukrainase, kroatisht, sllovakisht, çekisht, Gjuha lituane, finlandisht, Gjuha japoneze, Gjuha urdu, gjuha turke, anglisht	Wyoming
Gjuha zyrtare e Uruguaji është <mask>.	spanjisht	gjermanisht, gjuha turke, serbisht, holandisht, Gjuha urdu, Gjuha tajlandeze, anglisht, suedisht, estonisht, spanjisht	Uruguaji
Gjuha zyrtare e Osetia jugore është <mask>.	Gjuha gjeorgjeze	bullgarisht, anglisht, çekisht, sllovakisht, gjuha turke, holandisht, portugisht, armenisht, Gjuha koreane, Gjuha gjeorgjeze	Osetia jugore
Gjuha zyrtare e Republika e Kongos është <mask>.	frëngjisht	polonisht, hebraikisht, Gjuha tajlandeze, kroatisht, estonisht, Gjuha latine, greqisht, Gjuha japoneze, gjuha turke, frëngjisht	Republika e Kongos
Gjuha zyrtare e Ishujt Solomon është <mask>.	anglisht	frëngjisht, Gjuha hungareze, Gjuha tajlandeze, sllovakisht, islandisht, bullgarisht, Gjuha koreane, Gjuha kineze, gjuha ruse, anglisht	Ishujt Solomon
Gjuha zyrtare e Ishulli i Pashkëve është <mask>.	spanjisht	gjuha ruse, çekisht, Gjuha latine, danisht, Gjuha japoneze, Gjuha hungareze, islandisht, Gjuha gjeorgjeze, suedisht, spanjisht	Ishulli i Pashkëve
Gjuha zyrtare e Brazili është <mask>.	portugisht	Gjuha urdu, islandisht, serbisht, Gjuha tajlandeze, finlandisht, Gjuha gjeorgjeze, Gjuha baske, sllovakisht, Gjuha lituane, portugisht	Brazili
Gjuha zyrtare e Meksika është <mask>.	spanjisht	italisht, Gjuha kineze, estonisht, rumanisht, armenisht, katalonisht, Gjuha baske, frëngjisht, Gjuha urdu, spanjisht	Meksika
Gjuha zyrtare e Gambia është <mask>.	anglisht	serbisht, gjuha ruse, Gjuha azerbajxhane, polonisht, spanjisht, estonisht, italisht, Gjuha latine, sllovakisht, anglisht	Gambia
Gjuha zyrtare e Ishulli i Njeriut është <mask>.	anglisht	kroatisht, Gjuha koreane, finlandisht, Gjuha kineze, frëngjisht, Gjuha tajlandeze, Gjuha japoneze, serbisht, Gjuha baske, anglisht	Ishulli i Njeriut
Gjuha zyrtare e Mississippi është <mask>.	anglisht	greqisht, Gjuha japoneze, danisht, Gjuha kineze, rumanisht, holandisht, kroatisht, Gjuha urdu, armenisht, anglisht	Mississippi
Gjuha zyrtare e Makao është <mask>.	Gjuha kineze	suedisht, shqip, çekisht, Gjuha indoneziane, frëngjisht, gjermanisht, Gjuha tajlandeze, kroatisht, rumanisht, Gjuha kineze	Makao
Gjuha zyrtare e Izraeli është <mask>.	hebraikisht	islandisht, rumanisht, anglisht, katalonisht, sllovakisht, greqisht, Gjuha hungareze, polonisht, bullgarisht, hebraikisht	Izraeli
Gjuha zyrtare e Samoa është <mask>.	anglisht	hebraikisht, sllovakisht, armenisht, spanjisht, Gjuha hungareze, Gjuha koreane, Gjuha urdu, Gjuha kineze, Gjuha japoneze, anglisht	Samoa
Gjuha zyrtare e Zvicër është <mask>.	frëngjisht	kroatisht, hebraikisht, Gjuha latine, gjermanisht, Gjuha hungareze, Gjuha azerbajxhane, spanjisht, Gjuha ukrainase, holandisht, frëngjisht	Zvicër
Gjuha zyrtare e Belgjika është <mask>.	gjermanisht	finlandisht, italisht, Gjuha azerbajxhane, islandisht, greqisht, Gjuha kineze, armenisht, Gjuha gjeorgjeze, shqip, gjermanisht	Belgjika
Gjuha zyrtare e Naurua është <mask>.	anglisht	Gjuha azerbajxhane, Gjuha hungareze, Gjuha ukrainase, shqip, hebraikisht, kroatisht, danisht, frëngjisht, italisht, anglisht	Naurua
Gjuha zyrtare e Ishujt Falkland është <mask>.	anglisht	Gjuha indoneziane, greqisht, hebraikisht, Gjuha latine, sllovakisht, Gjuha kineze, armenisht, Gjuha gjeorgjeze, islandisht, anglisht	Ishujt Falkland
Gjuha zyrtare e Guinea është <mask>.	frëngjisht	çekisht, Gjuha japoneze, rumanisht, estonisht, gjuha turke, islandisht, Gjuha indoneziane, finlandisht, spanjisht, frëngjisht	Guinea
Gjuha zyrtare e Australia është <mask>.	anglisht	suedisht, islandisht, sllovakisht, Gjuha latine, Gjuha koreane, kroatisht, gjuha turke, frëngjisht, Gjuha azerbajxhane, anglisht	Australia
Gjuha zyrtare e Peruja është <mask>.	spanjisht	polonisht, Gjuha hungareze, islandisht, holandisht, armenisht, suedisht, bullgarisht, hebraikisht, çekisht, spanjisht	Peruja
Gjuha zyrtare e Lesoto është <mask>.	anglisht	estonisht, Gjuha lituane, serbisht, portugisht, finlandisht, gjuha ruse, frëngjisht, Gjuha tajlandeze, Gjuha hungareze, anglisht	Lesoto
Gjuha zyrtare e India është <mask>.	anglisht	bullgarisht, Gjuha lituane, Gjuha tajlandeze, shqip, holandisht, Gjuha kineze, polonisht, estonisht, spanjisht, anglisht	India
Gjuha zyrtare e Zimbabveja është <mask>.	anglisht	hebraikisht, Gjuha lituane, shqip, bullgarisht, polonisht, Gjuha gjeorgjeze, gjuha turke, danisht, frëngjisht, anglisht	Zimbabveja
Gjuha zyrtare e Xhibuti është <mask>.	frëngjisht	sllovenisht, holandisht, anglisht, islandisht, hebraikisht, italisht, Gjuha ukrainase, sllovakisht, finlandisht, frëngjisht	Xhibuti
Gjuha zyrtare e Montana është <mask>.	anglisht	sllovakisht, Gjuha azerbajxhane, çekisht, shqip, bullgarisht, gjuha ruse, Gjuha japoneze, holandisht, sllovenisht, anglisht	Montana
Gjuha zyrtare e Bahamet është <mask>.	anglisht	serbisht, Gjuha baske, Gjuha perse, Gjuha indoneziane, bullgarisht, Gjuha gjeorgjeze, spanjisht, Gjuha hungareze, Gjuha ukrainase, anglisht	Bahamet
Gjuha zyrtare e Ontario është <mask>.	anglisht	gjermanisht, Gjuha hungareze, Gjuha koreane, çekisht, Gjuha urdu, serbisht, italisht, gjuha ruse, polonisht, anglisht	Ontario
Gjuha zyrtare e Alberta është <mask>.	anglisht	greqisht, çekisht, danisht, Gjuha latine, Gjuha ukrainase, gjermanisht, sllovenisht, suedisht, katalonisht, anglisht	Alberta
Gjuha zyrtare e Mali i Zi është <mask>.	serbisht	estonisht, Gjuha latine, italisht, Gjuha urdu, katalonisht, Gjuha azerbajxhane, frëngjisht, Gjuha gjeorgjeze, spanjisht, serbisht	Mali i Zi
Gjuha zyrtare e Suazilendi është <mask>.	anglisht	hebraikisht, Gjuha perse, bullgarisht, Gjuha baske, shqip, suedisht, frëngjisht, Gjuha koreane, sllovakisht, anglisht	Suazilendi
Gjuha zyrtare e Bashkimi Evropian është <mask>.	holandisht	greqisht, Gjuha lituane, islandisht, Gjuha latine, Gjuha ukrainase, polonisht, kroatisht, anglisht, estonisht, holandisht	Bashkimi Evropian
Gjuha zyrtare e Grenada është <mask>.	anglisht	Gjuha hungareze, Gjuha lituane, serbisht, Gjuha latine, portugisht, hebraikisht, armenisht, bullgarisht, greqisht, anglisht	Grenada
Gjuha zyrtare e Çeçenia është <mask>.	gjuha ruse	finlandisht, portugisht, sllovakisht, Gjuha baske, Gjuha hungareze, Gjuha latine, Gjuha azerbajxhane, Gjuha tajlandeze, rumanisht, gjuha ruse	Çeçenia
Gjuha zyrtare e Ruanda është <mask>.	anglisht	Gjuha indoneziane, polonisht, portugisht, Gjuha urdu, Gjuha tajlandeze, hebraikisht, greqisht, suedisht, frëngjisht, anglisht	Ruanda
Gjuha zyrtare e Finlanda është <mask>.	finlandisht	suedisht, estonisht, Gjuha koreane, Gjuha japoneze, islandisht, Gjuha kineze, hebraikisht, Gjuha azerbajxhane, danisht, finlandisht	Finlanda
Gjuha zyrtare e Nebraska është <mask>.	anglisht	çekisht, bullgarisht, Gjuha lituane, gjuha ruse, finlandisht, Gjuha kineze, katalonisht, Gjuha koreane, armenisht, anglisht	Nebraska
Gjuha zyrtare e Polonia është <mask>.	polonisht	sllovenisht, suedisht, Gjuha tajlandeze, kroatisht, çekisht, anglisht, Gjuha kineze, armenisht, italisht, polonisht	Polonia
Gjuha zyrtare e Basel është <mask>.	gjermanisht	finlandisht, rumanisht, serbisht, danisht, Gjuha kineze, Gjuha urdu, estonisht, Gjuha perse, Gjuha japoneze, gjermanisht	Basel
Gjuha zyrtare e Arkansas është <mask>.	anglisht	italisht, Gjuha baske, islandisht, çekisht, Gjuha kineze, Gjuha hungareze, sllovakisht, serbisht, danisht, anglisht	Arkansas
