Prompt	Ans	Candidate Ans	Subject
Michelangelo je umrl v <mask>.	Rim	Benetke, Rim	Michelangelo
Richard Wagner je umrl v <mask>.	Benetke	Rim, Benetke	Richard Wagner
Arabska abeceda je podrazred <mask>.	Abeceda	Biologija, Abeceda	Arabska abeceda
Ekologija je podrazred <mask>.	Biologija	Abeceda, Biologija	Ekologija
Uradni jezik Francoska Polinezija je <mask>.	francoščina	albanščina, indonezijščina, Romunščina, Srbščina, Hebrejščina, turščina, Gruzinščina, bolgarščina, nemščina, francoščina	Francoska Polinezija
Uradni jezik Uttar Pradesh je <mask>.	Urdujščina	Japonščina, ruščina, turščina, latinščina, slovenščina, hrvaščina, tajščina, Katalonščina, albanščina, Urdujščina	Uttar Pradesh
Uradni jezik Evropska unija je <mask>.	finščina	turščina, Češčina, francoščina, španščina, švedščina, Nizozemščina, grščina, poljščina, Estonščina, finščina	Evropska unija
Uradni jezik Evropska unija je <mask>.	slovenščina	latinščina, grščina, Korejščina, angleščina, Slovaščina, hrvaščina, poljščina, Urdujščina, nemščina, slovenščina	Evropska unija
Uradni jezik Haiti je <mask>.	francoščina	ruščina, nemščina, hrvaščina, Urdujščina, Perzijščina, Gruzinščina, Nizozemščina, turščina, armenščina, francoščina	Haiti
Uradni jezik Wyoming je <mask>.	angleščina	Ukrajinščina, hrvaščina, Slovaščina, Češčina, Litovščina, finščina, Japonščina, Urdujščina, turščina, angleščina	Wyoming
Uradni jezik Urugvaj je <mask>.	španščina	nemščina, turščina, Srbščina, Nizozemščina, Urdujščina, tajščina, angleščina, švedščina, Estonščina, španščina	Urugvaj
Uradni jezik Južna Osetija je <mask>.	Gruzinščina	bolgarščina, angleščina, Češčina, Slovaščina, turščina, Nizozemščina, portugalščina, armenščina, Korejščina, Gruzinščina	Južna Osetija
Uradni jezik Republika Kongo je <mask>.	francoščina	poljščina, Hebrejščina, tajščina, hrvaščina, Estonščina, latinščina, grščina, Japonščina, turščina, francoščina	Republika Kongo
Uradni jezik Salomonovi otoki je <mask>.	angleščina	francoščina, madžarščina, tajščina, Slovaščina, Islandščina, bolgarščina, Korejščina, Kitajščina, ruščina, angleščina	Salomonovi otoki
Uradni jezik Velikonočni otok je <mask>.	španščina	ruščina, Češčina, latinščina, Danščina, Japonščina, madžarščina, Islandščina, Gruzinščina, švedščina, španščina	Velikonočni otok
Uradni jezik Brazilija je <mask>.	portugalščina	Urdujščina, Islandščina, Srbščina, tajščina, finščina, Gruzinščina, Baskovščina, Slovaščina, Litovščina, portugalščina	Brazilija
Uradni jezik Mehika je <mask>.	španščina	italijanščina, Kitajščina, Estonščina, Romunščina, armenščina, Katalonščina, Baskovščina, francoščina, Urdujščina, španščina	Mehika
Uradni jezik Gambija je <mask>.	angleščina	Srbščina, ruščina, azerbajdžanščina, poljščina, španščina, Estonščina, italijanščina, latinščina, Slovaščina, angleščina	Gambija
Uradni jezik Man je <mask>.	angleščina	hrvaščina, Korejščina, finščina, Kitajščina, francoščina, tajščina, Japonščina, Srbščina, Baskovščina, angleščina	Man
Uradni jezik Misisipi je <mask>.	angleščina	grščina, Japonščina, Danščina, Kitajščina, Romunščina, Nizozemščina, hrvaščina, Urdujščina, armenščina, angleščina	Misisipi
Uradni jezik Macao je <mask>.	Kitajščina	švedščina, albanščina, Češčina, indonezijščina, francoščina, nemščina, tajščina, hrvaščina, Romunščina, Kitajščina	Macao
Uradni jezik Izrael je <mask>.	Hebrejščina	Islandščina, Romunščina, angleščina, Katalonščina, Slovaščina, grščina, madžarščina, poljščina, bolgarščina, Hebrejščina	Izrael
Uradni jezik Samoa je <mask>.	angleščina	Hebrejščina, Slovaščina, armenščina, španščina, madžarščina, Korejščina, Urdujščina, Kitajščina, Japonščina, angleščina	Samoa
Uradni jezik Švica je <mask>.	francoščina	hrvaščina, Hebrejščina, latinščina, nemščina, madžarščina, azerbajdžanščina, španščina, Ukrajinščina, Nizozemščina, francoščina	Švica
Uradni jezik Belgija je <mask>.	nemščina	finščina, italijanščina, azerbajdžanščina, Islandščina, grščina, Kitajščina, armenščina, Gruzinščina, albanščina, nemščina	Belgija
Uradni jezik Nauru je <mask>.	angleščina	azerbajdžanščina, madžarščina, Ukrajinščina, albanščina, Hebrejščina, hrvaščina, Danščina, francoščina, italijanščina, angleščina	Nauru
Uradni jezik Falklandski otoki je <mask>.	angleščina	indonezijščina, grščina, Hebrejščina, latinščina, Slovaščina, Kitajščina, armenščina, Gruzinščina, Islandščina, angleščina	Falklandski otoki
Uradni jezik Gvineja je <mask>.	francoščina	Češčina, Japonščina, Romunščina, Estonščina, turščina, Islandščina, indonezijščina, finščina, španščina, francoščina	Gvineja
Uradni jezik Avstralija je <mask>.	angleščina	švedščina, Islandščina, Slovaščina, latinščina, Korejščina, hrvaščina, turščina, francoščina, azerbajdžanščina, angleščina	Avstralija
Uradni jezik Peru je <mask>.	španščina	poljščina, madžarščina, Islandščina, Nizozemščina, armenščina, švedščina, bolgarščina, Hebrejščina, Češčina, španščina	Peru
Uradni jezik Lesoto je <mask>.	angleščina	Estonščina, Litovščina, Srbščina, portugalščina, finščina, ruščina, francoščina, tajščina, madžarščina, angleščina	Lesoto
Uradni jezik Indija je <mask>.	angleščina	bolgarščina, Litovščina, tajščina, albanščina, Nizozemščina, Kitajščina, poljščina, Estonščina, španščina, angleščina	Indija
Uradni jezik Zimbabve je <mask>.	angleščina	Hebrejščina, Litovščina, albanščina, bolgarščina, poljščina, Gruzinščina, turščina, Danščina, francoščina, angleščina	Zimbabve
Uradni jezik Džibuti je <mask>.	francoščina	slovenščina, Nizozemščina, angleščina, Islandščina, Hebrejščina, italijanščina, Ukrajinščina, Slovaščina, finščina, francoščina	Džibuti
Uradni jezik Montana je <mask>.	angleščina	Slovaščina, azerbajdžanščina, Češčina, albanščina, bolgarščina, ruščina, Japonščina, Nizozemščina, slovenščina, angleščina	Montana
Uradni jezik Bahami je <mask>.	angleščina	Srbščina, Baskovščina, Perzijščina, indonezijščina, bolgarščina, Gruzinščina, španščina, madžarščina, Ukrajinščina, angleščina	Bahami
Uradni jezik Ontario je <mask>.	angleščina	nemščina, madžarščina, Korejščina, Češčina, Urdujščina, Srbščina, italijanščina, ruščina, poljščina, angleščina	Ontario
Uradni jezik Alberta je <mask>.	angleščina	grščina, Češčina, Danščina, latinščina, Ukrajinščina, nemščina, slovenščina, švedščina, Katalonščina, angleščina	Alberta
Uradni jezik Črna gora je <mask>.	Srbščina	Estonščina, latinščina, italijanščina, Urdujščina, Katalonščina, azerbajdžanščina, francoščina, Gruzinščina, španščina, Srbščina	Črna gora
Uradni jezik Esvatini je <mask>.	angleščina	Hebrejščina, Perzijščina, bolgarščina, Baskovščina, albanščina, švedščina, francoščina, Korejščina, Slovaščina, angleščina	Esvatini
Uradni jezik Evropska unija je <mask>.	Nizozemščina	grščina, Litovščina, Islandščina, latinščina, Ukrajinščina, poljščina, hrvaščina, angleščina, Estonščina, Nizozemščina	Evropska unija
Uradni jezik Grenada je <mask>.	angleščina	madžarščina, Litovščina, Srbščina, latinščina, portugalščina, Hebrejščina, armenščina, bolgarščina, grščina, angleščina	Grenada
Uradni jezik Čečenija je <mask>.	ruščina	finščina, portugalščina, Slovaščina, Baskovščina, madžarščina, latinščina, azerbajdžanščina, tajščina, Romunščina, ruščina	Čečenija
Uradni jezik Ruanda je <mask>.	angleščina	indonezijščina, poljščina, portugalščina, Urdujščina, tajščina, Hebrejščina, grščina, švedščina, francoščina, angleščina	Ruanda
Uradni jezik Finska je <mask>.	finščina	švedščina, Estonščina, Korejščina, Japonščina, Islandščina, Kitajščina, Hebrejščina, azerbajdžanščina, Danščina, finščina	Finska
Uradni jezik Nebraska je <mask>.	angleščina	Češčina, bolgarščina, Litovščina, ruščina, finščina, Kitajščina, Katalonščina, Korejščina, armenščina, angleščina	Nebraska
Uradni jezik Poljska je <mask>.	poljščina	slovenščina, švedščina, tajščina, hrvaščina, Češčina, angleščina, Kitajščina, armenščina, italijanščina, poljščina	Poljska
Uradni jezik Basel je <mask>.	nemščina	finščina, Romunščina, Srbščina, Danščina, Kitajščina, Urdujščina, Estonščina, Perzijščina, Japonščina, nemščina	Basel
Uradni jezik Arkansas je <mask>.	angleščina	italijanščina, Baskovščina, Islandščina, Češčina, Kitajščina, madžarščina, Slovaščina, Srbščina, Danščina, angleščina	Arkansas
Uradni jezik Romunija je <mask>.	Romunščina	ruščina, albanščina, Nizozemščina, latinščina, Kitajščina, angleščina, Urdujščina, Ukrajinščina, Danščina, Romunščina	Romunija
Uradni jezik Evropska unija je <mask>.	grščina	Islandščina, Ukrajinščina, Baskovščina, Kitajščina, portugalščina, finščina, Danščina, azerbajdžanščina, švedščina, grščina	Evropska unija
Uradni jezik Kenija je <mask>.	angleščina	Litovščina, nemščina, Baskovščina, indonezijščina, Hebrejščina, hrvaščina, Ukrajinščina, španščina, finščina, angleščina	Kenija
Uradni jezik Gana je <mask>.	angleščina	Romunščina, Gruzinščina, italijanščina, Estonščina, Danščina, bolgarščina, Češčina, indonezijščina, madžarščina, angleščina	Gana
Uradni jezik Slovenija je <mask>.	slovenščina	Srbščina, armenščina, Perzijščina, Islandščina, turščina, poljščina, Estonščina, Urdujščina, Ukrajinščina, slovenščina	Slovenija
Uradni jezik Moldavija je <mask>.	Romunščina	Baskovščina, francoščina, švedščina, portugalščina, Korejščina, nemščina, Srbščina, Japonščina, Danščina, Romunščina	Moldavija
Uradni jezik Francoska Gvajana je <mask>.	francoščina	španščina, Gruzinščina, Srbščina, indonezijščina, Urdujščina, italijanščina, Islandščina, Baskovščina, grščina, francoščina	Francoska Gvajana
Uradni jezik Litva je <mask>.	Litovščina	ruščina, slovenščina, Katalonščina, Slovaščina, Romunščina, portugalščina, Baskovščina, Ukrajinščina, nemščina, Litovščina	Litva
Uradni jezik Belize je <mask>.	angleščina	Nizozemščina, turščina, Romunščina, italijanščina, Baskovščina, Srbščina, hrvaščina, ruščina, bolgarščina, angleščina	Belize
Uradni jezik Španija je <mask>.	Katalonščina	Češčina, francoščina, Nizozemščina, indonezijščina, Baskovščina, Ukrajinščina, Romunščina, italijanščina, madžarščina, Katalonščina	Španija
Uradni jezik Barbados je <mask>.	angleščina	portugalščina, italijanščina, Japonščina, Gruzinščina, Katalonščina, Baskovščina, slovenščina, Romunščina, turščina, angleščina	Barbados
Uradni jezik Kolumbija je <mask>.	španščina	Gruzinščina, portugalščina, Nizozemščina, Romunščina, latinščina, madžarščina, finščina, Ukrajinščina, hrvaščina, španščina	Kolumbija
Uradni jezik Brunej je <mask>.	angleščina	slovenščina, madžarščina, turščina, Kitajščina, Gruzinščina, Slovaščina, Češčina, Estonščina, latinščina, angleščina	Brunej
Uradni jezik Pakistan je <mask>.	Urdujščina	madžarščina, Perzijščina, nemščina, francoščina, portugalščina, hrvaščina, slovenščina, Japonščina, tajščina, Urdujščina	Pakistan
Uradni jezik Senegal je <mask>.	francoščina	Romunščina, bolgarščina, slovenščina, turščina, Estonščina, Ukrajinščina, Baskovščina, portugalščina, španščina, francoščina	Senegal
Uradni jezik Nunavut je <mask>.	angleščina	Gruzinščina, Kitajščina, Srbščina, Litovščina, italijanščina, hrvaščina, indonezijščina, Katalonščina, Korejščina, angleščina	Nunavut
Uradni jezik Ženeva je <mask>.	francoščina	Korejščina, azerbajdžanščina, turščina, Japonščina, Nizozemščina, Ukrajinščina, Estonščina, portugalščina, Katalonščina, francoščina	Ženeva
Uradni jezik Evropska unija je <mask>.	bolgarščina	Srbščina, Gruzinščina, Estonščina, Urdujščina, indonezijščina, Islandščina, Japonščina, armenščina, finščina, bolgarščina	Evropska unija
Uradni jezik Bosna in Hercegovina je <mask>.	Srbščina	Korejščina, španščina, Romunščina, švedščina, Katalonščina, Baskovščina, madžarščina, grščina, albanščina, Srbščina	Bosna in Hercegovina
Uradni jezik Finska je <mask>.	švedščina	finščina, Nizozemščina, ruščina, albanščina, nemščina, tajščina, španščina, francoščina, Danščina, švedščina	Finska
Uradni jezik Papua Nova Gvineja je <mask>.	angleščina	portugalščina, Urdujščina, Perzijščina, indonezijščina, Češčina, poljščina, finščina, Danščina, Hebrejščina, angleščina	Papua Nova Gvineja
Uradni jezik Ruanda je <mask>.	francoščina	Romunščina, Korejščina, azerbajdžanščina, Baskovščina, latinščina, slovenščina, Urdujščina, ruščina, tajščina, francoščina	Ruanda
Uradni jezik Čad je <mask>.	francoščina	slovenščina, finščina, nemščina, Baskovščina, angleščina, Slovaščina, Estonščina, azerbajdžanščina, ruščina, francoščina	Čad
Uradni jezik Erevan je <mask>.	armenščina	Hebrejščina, angleščina, Danščina, Nizozemščina, finščina, Litovščina, albanščina, Korejščina, Srbščina, armenščina	Erevan
Uradni jezik Bolivija je <mask>.	španščina	ruščina, Srbščina, hrvaščina, nemščina, slovenščina, Baskovščina, armenščina, finščina, Islandščina, španščina	Bolivija
Uradni jezik Malezija je <mask>.	angleščina	armenščina, Kitajščina, madžarščina, Gruzinščina, portugalščina, Romunščina, Ukrajinščina, Urdujščina, švedščina, angleščina	Malezija
Uradni jezik Južni Sudan je <mask>.	angleščina	madžarščina, Gruzinščina, Nizozemščina, ruščina, grščina, nemščina, turščina, indonezijščina, Katalonščina, angleščina	Južni Sudan
Uradni jezik Ekvatorialna Gvineja je <mask>.	francoščina	Estonščina, finščina, Litovščina, Urdujščina, indonezijščina, Perzijščina, azerbajdžanščina, Korejščina, Slovaščina, francoščina	Ekvatorialna Gvineja
Uradni jezik Evropska unija je <mask>.	madžarščina	Estonščina, armenščina, španščina, slovenščina, grščina, angleščina, Baskovščina, Katalonščina, hrvaščina, madžarščina	Evropska unija
Uradni jezik Kirgizistan je <mask>.	ruščina	Estonščina, bolgarščina, Češčina, Nizozemščina, Srbščina, Korejščina, Litovščina, armenščina, Ukrajinščina, ruščina	Kirgizistan
Uradni jezik Japonska je <mask>.	Japonščina	Romunščina, Litovščina, švedščina, finščina, slovenščina, latinščina, francoščina, indonezijščina, Gruzinščina, Japonščina	Japonska
Uradni jezik Iran je <mask>.	Perzijščina	turščina, Danščina, Katalonščina, Nizozemščina, albanščina, Japonščina, Kitajščina, indonezijščina, Hebrejščina, Perzijščina	Iran
Uradni jezik Tampere je <mask>.	finščina	Slovaščina, bolgarščina, nemščina, švedščina, armenščina, slovenščina, tajščina, indonezijščina, hrvaščina, finščina	Tampere
Uradni jezik Panama je <mask>.	španščina	švedščina, Baskovščina, finščina, tajščina, madžarščina, slovenščina, Ukrajinščina, ruščina, Gruzinščina, španščina	Panama
Uradni jezik Québec je <mask>.	francoščina	hrvaščina, madžarščina, španščina, ruščina, poljščina, Ukrajinščina, slovenščina, Češčina, Litovščina, francoščina	Québec
Uradni jezik Rimski imperij je <mask>.	latinščina	Litovščina, bolgarščina, Korejščina, švedščina, azerbajdžanščina, Ukrajinščina, Češčina, Urdujščina, Islandščina, latinščina	Rimski imperij
Uradni jezik Ekvatorialna Gvineja je <mask>.	španščina	Baskovščina, Ukrajinščina, Urdujščina, Hebrejščina, Perzijščina, bolgarščina, slovenščina, portugalščina, Litovščina, španščina	Ekvatorialna Gvineja
Uradni jezik Nova Fundlandija in Labrador je <mask>.	angleščina	Litovščina, bolgarščina, Islandščina, Katalonščina, armenščina, španščina, Kitajščina, Nizozemščina, švedščina, angleščina	Nova Fundlandija in Labrador
Uradni jezik Evropska unija je <mask>.	Estonščina	Litovščina, Romunščina, Perzijščina, grščina, indonezijščina, tajščina, bolgarščina, nemščina, Češčina, Estonščina	Evropska unija
Uradni jezik Organizacija združenih narodov je <mask>.	španščina	poljščina, Japonščina, Estonščina, nemščina, Srbščina, madžarščina, hrvaščina, Urdujščina, Islandščina, španščina	Organizacija združenih narodov
Uradni jezik Jakutija je <mask>.	ruščina	tajščina, Češčina, angleščina, francoščina, grščina, portugalščina, armenščina, finščina, Katalonščina, ruščina	Jakutija
Uradni jezik Evropska unija je <mask>.	poljščina	Kitajščina, Litovščina, Slovaščina, Perzijščina, ruščina, Češčina, Estonščina, azerbajdžanščina, Japonščina, poljščina	Evropska unija
Uradni jezik Dominikanska republika je <mask>.	španščina	hrvaščina, Kitajščina, Nizozemščina, grščina, italijanščina, Gruzinščina, slovenščina, nemščina, albanščina, španščina	Dominikanska republika
Uradni jezik Britanska Kolumbija je <mask>.	angleščina	francoščina, Nizozemščina, Korejščina, bolgarščina, Katalonščina, hrvaščina, italijanščina, grščina, ruščina, angleščina	Britanska Kolumbija
Uradni jezik Belgija je <mask>.	Nizozemščina	Baskovščina, Romunščina, grščina, francoščina, Litovščina, poljščina, švedščina, albanščina, portugalščina, Nizozemščina	Belgija
Uradni jezik Bizantinsko cesarstvo je <mask>.	latinščina	španščina, Hebrejščina, Romunščina, Japonščina, Estonščina, tajščina, Danščina, turščina, indonezijščina, latinščina	Bizantinsko cesarstvo
Uradni jezik Irska je <mask>.	angleščina	Srbščina, nemščina, italijanščina, madžarščina, ruščina, azerbajdžanščina, Gruzinščina, Islandščina, španščina, angleščina	Irska
Uradni jezik Nizozemska je <mask>.	Nizozemščina	Gruzinščina, Češčina, turščina, Estonščina, Ukrajinščina, madžarščina, Baskovščina, indonezijščina, portugalščina, Nizozemščina	Nizozemska
Uradni jezik Kansas je <mask>.	angleščina	poljščina, Slovaščina, turščina, Srbščina, Katalonščina, armenščina, Estonščina, Ukrajinščina, tajščina, angleščina	Kansas
Uradni jezik Republika Južna Afrika je <mask>.	angleščina	Ukrajinščina, latinščina, Gruzinščina, tajščina, Kitajščina, nemščina, ruščina, italijanščina, Estonščina, angleščina	Republika Južna Afrika
