Prompt	Ans	Candidate Ans	Subject
Namatay si Michelangelo sa <mask>.	Roma	Venecia, Roma	Michelangelo
Namatay si Richard Wagner sa <mask>.	Venecia	Roma, Venecia	Richard Wagner
Ang Sulat Inarabigo usa ka subclass sa <mask>.	Alpabeto	Biyolohiya, Alpabeto	Sulat Inarabigo
Ang Ekolohiya usa ka subclass sa <mask>.	Biyolohiya	Alpabeto, Biyolohiya	Ekolohiya
Ang opisyal nga sinultian sa French Polynesia mao ang <mask>.	Prinanses	Pinulongang Albanes, Inindonesyo, Pinulongang Rumano, Pinulongang Serbyo, Inebreo, Pinulongang Turko, Pinulongang Heyorhiyano, Pinulongang Bulgaro, Inaleman, Prinanses	French Polynesia
Ang opisyal nga sinultian sa Uttar Pradesh mao ang <mask>.	Pinulongang Urdu	Hinapones, Rinuso, Pinulongang Turko, Linatin, Pinulongang Eslobeno, Pinulongang Kroata, Pinulongang Thai, Pinulongang Katalan, Pinulongang Albanes, Pinulongang Urdu	Uttar Pradesh
Ang opisyal nga sinultian sa Unyong Uropeyo mao ang <mask>.	Pinulongang Pines	Pinulongang Turko, Pinulongang Tsekyo, Prinanses, Kinastila, Pinulongang Sweko, Inolandes, Pinulongang Griyego, Pinulongang Polako, Pinulongang Estonyo, Pinulongang Pines	Unyong Uropeyo
Ang opisyal nga sinultian sa Unyong Uropeyo mao ang <mask>.	Pinulongang Eslobeno	Linatin, Pinulongang Griyego, Pinulongang Koreano, Iningles, Pinulongang Eslobako, Pinulongang Kroata, Pinulongang Polako, Pinulongang Urdu, Inaleman, Pinulongang Eslobeno	Unyong Uropeyo
Ang opisyal nga sinultian sa Haiti mao ang <mask>.	Prinanses	Rinuso, Inaleman, Pinulongang Kroata, Pinulongang Urdu, Pinulongang Persiyano, Pinulongang Heyorhiyano, Inolandes, Pinulongang Turko, Pinulongang Armenyanhon, Prinanses	Haiti
Ang opisyal nga sinultian sa Wyoming mao ang <mask>.	Iningles	Pinulongang Ukranyano, Pinulongang Kroata, Pinulongang Eslobako, Pinulongang Tsekyo, Pinulongang Litwano, Pinulongang Pines, Hinapones, Pinulongang Urdu, Pinulongang Turko, Iningles	Wyoming
Ang opisyal nga sinultian sa Uruguay mao ang <mask>.	Kinastila	Inaleman, Pinulongang Turko, Pinulongang Serbyo, Inolandes, Pinulongang Urdu, Pinulongang Thai, Iningles, Pinulongang Sweko, Pinulongang Estonyo, Kinastila	Uruguay
Ang opisyal nga sinultian sa Habagatang Ossetia mao ang <mask>.	Pinulongang Heyorhiyano	Pinulongang Bulgaro, Iningles, Pinulongang Tsekyo, Pinulongang Eslobako, Pinulongang Turko, Inolandes, Pinulongang Portuges, Pinulongang Armenyanhon, Pinulongang Koreano, Pinulongang Heyorhiyano	Habagatang Ossetia
