Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti è morto in <mask>.	Roma	Venezia, Roma	Michelangelo Buonarroti
Richard Wagner è morto in <mask>.	Venezia	Roma, Venezia	Richard Wagner
alfabeto arabo è una sottoclasse di <mask>.	alfabeto	biologia, alfabeto	alfabeto arabo
ecologia è una sottoclasse di <mask>.	biologia	alfabeto, biologia	ecologia
La lingua ufficiale di Polinesia francese è <mask>.	francese	albanese, indonesiano, romeno, serbo, ebraico, turco, georgiano, bulgaro, tedesco, francese	Polinesia francese
La lingua ufficiale di Uttar Pradesh è <mask>.	urdu	giapponese, russo, turco, latino, sloveno, croato, thailandese, catalano, albanese, urdu	Uttar Pradesh
La lingua ufficiale di Unione europea è <mask>.	finlandese	turco, ceco, francese, spagnolo, svedese, olandese, greco, polacco, estone, finlandese	Unione europea
La lingua ufficiale di Unione europea è <mask>.	sloveno	latino, greco, coreano, inglese, slovacco, croato, polacco, urdu, tedesco, sloveno	Unione europea
La lingua ufficiale di Haiti è <mask>.	francese	russo, tedesco, croato, urdu, persiano, georgiano, olandese, turco, armeno, francese	Haiti
La lingua ufficiale di Wyoming è <mask>.	inglese	ucraino, croato, slovacco, ceco, lituano, finlandese, giapponese, urdu, turco, inglese	Wyoming
La lingua ufficiale di Uruguay è <mask>.	spagnolo	tedesco, turco, serbo, olandese, urdu, thailandese, inglese, svedese, estone, spagnolo	Uruguay
La lingua ufficiale di Ossezia del Sud è <mask>.	georgiano	bulgaro, inglese, ceco, slovacco, turco, olandese, portoghese, armeno, coreano, georgiano	Ossezia del Sud
La lingua ufficiale di Repubblica del Congo è <mask>.	francese	polacco, ebraico, thailandese, croato, estone, latino, greco, giapponese, turco, francese	Repubblica del Congo
La lingua ufficiale di Isole Salomone è <mask>.	inglese	francese, ungherese, thailandese, slovacco, islandese, bulgaro, coreano, cinese, russo, inglese	Isole Salomone
La lingua ufficiale di Isola di Pasqua è <mask>.	spagnolo	russo, ceco, latino, danese, giapponese, ungherese, islandese, georgiano, svedese, spagnolo	Isola di Pasqua
La lingua ufficiale di Brasile è <mask>.	portoghese	urdu, islandese, serbo, thailandese, finlandese, georgiano, basco, slovacco, lituano, portoghese	Brasile
La lingua ufficiale di Messico è <mask>.	spagnolo	italiano, cinese, estone, romeno, armeno, catalano, basco, francese, urdu, spagnolo	Messico
La lingua ufficiale di Gambia è <mask>.	inglese	serbo, russo, azero, polacco, spagnolo, estone, italiano, latino, slovacco, inglese	Gambia
La lingua ufficiale di Isola di Man è <mask>.	inglese	croato, coreano, finlandese, cinese, francese, thailandese, giapponese, serbo, basco, inglese	Isola di Man
La lingua ufficiale di Mississippi è <mask>.	inglese	greco, giapponese, danese, cinese, romeno, olandese, croato, urdu, armeno, inglese	Mississippi
La lingua ufficiale di Macao è <mask>.	cinese	svedese, albanese, ceco, indonesiano, francese, tedesco, thailandese, croato, romeno, cinese	Macao
La lingua ufficiale di Israele è <mask>.	ebraico	islandese, romeno, inglese, catalano, slovacco, greco, ungherese, polacco, bulgaro, ebraico	Israele
La lingua ufficiale di Samoa è <mask>.	inglese	ebraico, slovacco, armeno, spagnolo, ungherese, coreano, urdu, cinese, giapponese, inglese	Samoa
La lingua ufficiale di Svizzera è <mask>.	francese	croato, ebraico, latino, tedesco, ungherese, azero, spagnolo, ucraino, olandese, francese	Svizzera
La lingua ufficiale di Belgio è <mask>.	tedesco	finlandese, italiano, azero, islandese, greco, cinese, armeno, georgiano, albanese, tedesco	Belgio
La lingua ufficiale di Nauru è <mask>.	inglese	azero, ungherese, ucraino, albanese, ebraico, croato, danese, francese, italiano, inglese	Nauru
La lingua ufficiale di Isole Falkland è <mask>.	inglese	indonesiano, greco, ebraico, latino, slovacco, cinese, armeno, georgiano, islandese, inglese	Isole Falkland
La lingua ufficiale di Guinea è <mask>.	francese	ceco, giapponese, romeno, estone, turco, islandese, indonesiano, finlandese, spagnolo, francese	Guinea
La lingua ufficiale di Australia è <mask>.	inglese	svedese, islandese, slovacco, latino, coreano, croato, turco, francese, azero, inglese	Australia
La lingua ufficiale di Perù è <mask>.	spagnolo	polacco, ungherese, islandese, olandese, armeno, svedese, bulgaro, ebraico, ceco, spagnolo	Perù
La lingua ufficiale di Lesotho è <mask>.	inglese	estone, lituano, serbo, portoghese, finlandese, russo, francese, thailandese, ungherese, inglese	Lesotho
La lingua ufficiale di India è <mask>.	inglese	bulgaro, lituano, thailandese, albanese, olandese, cinese, polacco, estone, spagnolo, inglese	India
La lingua ufficiale di Zimbabwe è <mask>.	inglese	ebraico, lituano, albanese, bulgaro, polacco, georgiano, turco, danese, francese, inglese	Zimbabwe
La lingua ufficiale di Gibuti è <mask>.	francese	sloveno, olandese, inglese, islandese, ebraico, italiano, ucraino, slovacco, finlandese, francese	Gibuti
La lingua ufficiale di Montana è <mask>.	inglese	slovacco, azero, ceco, albanese, bulgaro, russo, giapponese, olandese, sloveno, inglese	Montana
La lingua ufficiale di Bahamas è <mask>.	inglese	serbo, basco, persiano, indonesiano, bulgaro, georgiano, spagnolo, ungherese, ucraino, inglese	Bahamas
La lingua ufficiale di Ontario è <mask>.	inglese	tedesco, ungherese, coreano, ceco, urdu, serbo, italiano, russo, polacco, inglese	Ontario
La lingua ufficiale di Alberta è <mask>.	inglese	greco, ceco, danese, latino, ucraino, tedesco, sloveno, svedese, catalano, inglese	Alberta
La lingua ufficiale di Montenegro è <mask>.	serbo	estone, latino, italiano, urdu, catalano, azero, francese, georgiano, spagnolo, serbo	Montenegro
La lingua ufficiale di Swaziland è <mask>.	inglese	ebraico, persiano, bulgaro, basco, albanese, svedese, francese, coreano, slovacco, inglese	Swaziland
La lingua ufficiale di Unione europea è <mask>.	olandese	greco, lituano, islandese, latino, ucraino, polacco, croato, inglese, estone, olandese	Unione europea
La lingua ufficiale di Grenada è <mask>.	inglese	ungherese, lituano, serbo, latino, portoghese, ebraico, armeno, bulgaro, greco, inglese	Grenada
La lingua ufficiale di Cecenia è <mask>.	russo	finlandese, portoghese, slovacco, basco, ungherese, latino, azero, thailandese, romeno, russo	Cecenia
La lingua ufficiale di Ruanda è <mask>.	inglese	indonesiano, polacco, portoghese, urdu, thailandese, ebraico, greco, svedese, francese, inglese	Ruanda
La lingua ufficiale di Finlandia è <mask>.	finlandese	svedese, estone, coreano, giapponese, islandese, cinese, ebraico, azero, danese, finlandese	Finlandia
La lingua ufficiale di Nebraska è <mask>.	inglese	ceco, bulgaro, lituano, russo, finlandese, cinese, catalano, coreano, armeno, inglese	Nebraska
La lingua ufficiale di Polonia è <mask>.	polacco	sloveno, svedese, thailandese, croato, ceco, inglese, cinese, armeno, italiano, polacco	Polonia
La lingua ufficiale di Basilea è <mask>.	tedesco	finlandese, romeno, serbo, danese, cinese, urdu, estone, persiano, giapponese, tedesco	Basilea
La lingua ufficiale di Arkansas è <mask>.	inglese	italiano, basco, islandese, ceco, cinese, ungherese, slovacco, serbo, danese, inglese	Arkansas
La lingua ufficiale di Romania è <mask>.	romeno	russo, albanese, olandese, latino, cinese, inglese, urdu, ucraino, danese, romeno	Romania
La lingua ufficiale di Unione europea è <mask>.	greco	islandese, ucraino, basco, cinese, portoghese, finlandese, danese, azero, svedese, greco	Unione europea
La lingua ufficiale di Kenya è <mask>.	inglese	lituano, tedesco, basco, indonesiano, ebraico, croato, ucraino, spagnolo, finlandese, inglese	Kenya
La lingua ufficiale di Ghana è <mask>.	inglese	romeno, georgiano, italiano, estone, danese, bulgaro, ceco, indonesiano, ungherese, inglese	Ghana
La lingua ufficiale di Slovenia è <mask>.	sloveno	serbo, armeno, persiano, islandese, turco, polacco, estone, urdu, ucraino, sloveno	Slovenia
