Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti va morir a <mask>.	Roma	Venècia, Roma	Michelangelo Buonarroti
Richard Wagner va morir a <mask>.	Venècia	Roma, Venècia	Richard Wagner
alfabet àrab és una subclasse de <mask>.	alfabet	biologia, alfabet	alfabet àrab
ecologia és una subclasse de <mask>.	biologia	alfabet, biologia	ecologia
La llengua oficial de Polinèsia Francesa és <mask>.	francès	albanès, indonesi, romanès, serbi, hebreu, turc, georgià, búlgar, alemany, francès	Polinèsia Francesa
La llengua oficial de Uttar Pradesh és <mask>.	urdú	japonès, rus, turc, llatí, eslovè, croat, tailandès, català, albanès, urdú	Uttar Pradesh
La llengua oficial de Unió Europea és <mask>.	finès	turc, txec, francès, castellà, suec, neerlandès, grec, polonès, estonià, finès	Unió Europea
La llengua oficial de Unió Europea és <mask>.	eslovè	llatí, grec, coreà, anglès, eslovac, croat, polonès, urdú, alemany, eslovè	Unió Europea
La llengua oficial de Haití és <mask>.	francès	rus, alemany, croat, urdú, persa, georgià, neerlandès, turc, armeni, francès	Haití
La llengua oficial de Wyoming és <mask>.	anglès	ucraïnès, croat, eslovac, txec, lituà, finès, japonès, urdú, turc, anglès	Wyoming
La llengua oficial de Uruguai és <mask>.	castellà	alemany, turc, serbi, neerlandès, urdú, tailandès, anglès, suec, estonià, castellà	Uruguai
La llengua oficial de Ossètia del Sud és <mask>.	georgià	búlgar, anglès, txec, eslovac, turc, neerlandès, portuguès, armeni, coreà, georgià	Ossètia del Sud
La llengua oficial de República del Congo és <mask>.	francès	polonès, hebreu, tailandès, croat, estonià, llatí, grec, japonès, turc, francès	República del Congo
La llengua oficial de Salomó és <mask>.	anglès	francès, hongarès, tailandès, eslovac, islandès, búlgar, coreà, xinès, rus, anglès	Salomó
La llengua oficial de illa de Pasqua és <mask>.	castellà	rus, txec, llatí, danès, japonès, hongarès, islandès, georgià, suec, castellà	illa de Pasqua
La llengua oficial de Brasil és <mask>.	portuguès	urdú, islandès, serbi, tailandès, finès, georgià, basc, eslovac, lituà, portuguès	Brasil
La llengua oficial de Mèxic és <mask>.	castellà	italià, xinès, estonià, romanès, armeni, català, basc, francès, urdú, castellà	Mèxic
La llengua oficial de Gàmbia és <mask>.	anglès	serbi, rus, àzeri, polonès, castellà, estonià, italià, llatí, eslovac, anglès	Gàmbia
La llengua oficial de Illa de Man és <mask>.	anglès	croat, coreà, finès, xinès, francès, tailandès, japonès, serbi, basc, anglès	Illa de Man
La llengua oficial de Mississipí és <mask>.	anglès	grec, japonès, danès, xinès, romanès, neerlandès, croat, urdú, armeni, anglès	Mississipí
La llengua oficial de Macau és <mask>.	xinès	suec, albanès, txec, indonesi, francès, alemany, tailandès, croat, romanès, xinès	Macau
La llengua oficial de Israel és <mask>.	hebreu	islandès, romanès, anglès, català, eslovac, grec, hongarès, polonès, búlgar, hebreu	Israel
La llengua oficial de Samoa és <mask>.	anglès	hebreu, eslovac, armeni, castellà, hongarès, coreà, urdú, xinès, japonès, anglès	Samoa
La llengua oficial de Suïssa és <mask>.	francès	croat, hebreu, llatí, alemany, hongarès, àzeri, castellà, ucraïnès, neerlandès, francès	Suïssa
