Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti stierf in <mask>.	Rome	Venetië, Rome	Michelangelo Buonarroti
Richard Wagner stierf in <mask>.	Venetië	Rome, Venetië	Richard Wagner
Arabisch alfabet is een subklasse van <mask>.	alfabet	biologie, alfabet	Arabisch alfabet
ecologie is een subklasse van <mask>.	biologie	alfabet, biologie	ecologie
De officiële taal van Frans-Polynesië is <mask>.	Frans	Albanees, Indonesisch, Roemeens, Servisch, Hebreeuws, Turks, Georgisch, Bulgaars, Duits, Frans	Frans-Polynesië
De officiële taal van Uttar Pradesh is <mask>.	Urdu	Japans, Russisch, Turks, Latijn, Sloveens, Kroatisch, Thai, Catalaans, Albanees, Urdu	Uttar Pradesh
De officiële taal van Europese Unie is <mask>.	Fins	Turks, Tsjechisch, Frans, Spaans, Zweeds, Nederlands, Grieks, Pools, Estisch, Fins	Europese Unie
De officiële taal van Europese Unie is <mask>.	Sloveens	Latijn, Grieks, Koreaans, Engels, Slowaaks, Kroatisch, Pools, Urdu, Duits, Sloveens	Europese Unie
De officiële taal van Haïti is <mask>.	Frans	Russisch, Duits, Kroatisch, Urdu, Perzisch, Georgisch, Nederlands, Turks, Armeens, Frans	Haïti
De officiële taal van Wyoming is <mask>.	Engels	Oekraïens, Kroatisch, Slowaaks, Tsjechisch, Litouws, Fins, Japans, Urdu, Turks, Engels	Wyoming
De officiële taal van Uruguay is <mask>.	Spaans	Duits, Turks, Servisch, Nederlands, Urdu, Thai, Engels, Zweeds, Estisch, Spaans	Uruguay
De officiële taal van Zuid-Ossetië is <mask>.	Georgisch	Bulgaars, Engels, Tsjechisch, Slowaaks, Turks, Nederlands, Portugees, Armeens, Koreaans, Georgisch	Zuid-Ossetië
De officiële taal van Congo-Brazzaville is <mask>.	Frans	Pools, Hebreeuws, Thai, Kroatisch, Estisch, Latijn, Grieks, Japans, Turks, Frans	Congo-Brazzaville
De officiële taal van Salomonseilanden is <mask>.	Engels	Frans, Hongaars, Thai, Slowaaks, IJslands, Bulgaars, Koreaans, Chinese talen, Russisch, Engels	Salomonseilanden
De officiële taal van Paaseiland is <mask>.	Spaans	Russisch, Tsjechisch, Latijn, Deens, Japans, Hongaars, IJslands, Georgisch, Zweeds, Spaans	Paaseiland
De officiële taal van Brazilië is <mask>.	Portugees	Urdu, IJslands, Servisch, Thai, Fins, Georgisch, Baskisch, Slowaaks, Litouws, Portugees	Brazilië
De officiële taal van Mexico is <mask>.	Spaans	Italiaans, Chinese talen, Estisch, Roemeens, Armeens, Catalaans, Baskisch, Frans, Urdu, Spaans	Mexico
De officiële taal van Gambia is <mask>.	Engels	Servisch, Russisch, Azerbeidzjaans, Pools, Spaans, Estisch, Italiaans, Latijn, Slowaaks, Engels	Gambia
De officiële taal van Man is <mask>.	Engels	Kroatisch, Koreaans, Fins, Chinese talen, Frans, Thai, Japans, Servisch, Baskisch, Engels	Man
De officiële taal van Mississippi is <mask>.	Engels	Grieks, Japans, Deens, Chinese talen, Roemeens, Nederlands, Kroatisch, Urdu, Armeens, Engels	Mississippi
De officiële taal van Macau is <mask>.	Chinese talen	Zweeds, Albanees, Tsjechisch, Indonesisch, Frans, Duits, Thai, Kroatisch, Roemeens, Chinese talen	Macau
De officiële taal van Israël is <mask>.	Hebreeuws	IJslands, Roemeens, Engels, Catalaans, Slowaaks, Grieks, Hongaars, Pools, Bulgaars, Hebreeuws	Israël
De officiële taal van Samoa is <mask>.	Engels	Hebreeuws, Slowaaks, Armeens, Spaans, Hongaars, Koreaans, Urdu, Chinese talen, Japans, Engels	Samoa
De officiële taal van Zwitserland is <mask>.	Frans	Kroatisch, Hebreeuws, Latijn, Duits, Hongaars, Azerbeidzjaans, Spaans, Oekraïens, Nederlands, Frans	Zwitserland
De officiële taal van België is <mask>.	Duits	Fins, Italiaans, Azerbeidzjaans, IJslands, Grieks, Chinese talen, Armeens, Georgisch, Albanees, Duits	België
De officiële taal van Nauru is <mask>.	Engels	Azerbeidzjaans, Hongaars, Oekraïens, Albanees, Hebreeuws, Kroatisch, Deens, Frans, Italiaans, Engels	Nauru
De officiële taal van Falklandeilanden is <mask>.	Engels	Indonesisch, Grieks, Hebreeuws, Latijn, Slowaaks, Chinese talen, Armeens, Georgisch, IJslands, Engels	Falklandeilanden
De officiële taal van Guinee is <mask>.	Frans	Tsjechisch, Japans, Roemeens, Estisch, Turks, IJslands, Indonesisch, Fins, Spaans, Frans	Guinee
De officiële taal van Australië is <mask>.	Engels	Zweeds, IJslands, Slowaaks, Latijn, Koreaans, Kroatisch, Turks, Frans, Azerbeidzjaans, Engels	Australië
De officiële taal van Peru is <mask>.	Spaans	Pools, Hongaars, IJslands, Nederlands, Armeens, Zweeds, Bulgaars, Hebreeuws, Tsjechisch, Spaans	Peru
De officiële taal van Lesotho is <mask>.	Engels	Estisch, Litouws, Servisch, Portugees, Fins, Russisch, Frans, Thai, Hongaars, Engels	Lesotho
De officiële taal van India is <mask>.	Engels	Bulgaars, Litouws, Thai, Albanees, Nederlands, Chinese talen, Pools, Estisch, Spaans, Engels	India
De officiële taal van Zimbabwe is <mask>.	Engels	Hebreeuws, Litouws, Albanees, Bulgaars, Pools, Georgisch, Turks, Deens, Frans, Engels	Zimbabwe
De officiële taal van Djibouti is <mask>.	Frans	Sloveens, Nederlands, Engels, IJslands, Hebreeuws, Italiaans, Oekraïens, Slowaaks, Fins, Frans	Djibouti
De officiële taal van Montana is <mask>.	Engels	Slowaaks, Azerbeidzjaans, Tsjechisch, Albanees, Bulgaars, Russisch, Japans, Nederlands, Sloveens, Engels	Montana
De officiële taal van Bahama's is <mask>.	Engels	Servisch, Baskisch, Perzisch, Indonesisch, Bulgaars, Georgisch, Spaans, Hongaars, Oekraïens, Engels	Bahama's
De officiële taal van Ontario is <mask>.	Engels	Duits, Hongaars, Koreaans, Tsjechisch, Urdu, Servisch, Italiaans, Russisch, Pools, Engels	Ontario
De officiële taal van Alberta is <mask>.	Engels	Grieks, Tsjechisch, Deens, Latijn, Oekraïens, Duits, Sloveens, Zweeds, Catalaans, Engels	Alberta
De officiële taal van Montenegro is <mask>.	Servisch	Estisch, Latijn, Italiaans, Urdu, Catalaans, Azerbeidzjaans, Frans, Georgisch, Spaans, Servisch	Montenegro
De officiële taal van Swaziland is <mask>.	Engels	Hebreeuws, Perzisch, Bulgaars, Baskisch, Albanees, Zweeds, Frans, Koreaans, Slowaaks, Engels	Swaziland
De officiële taal van Europese Unie is <mask>.	Nederlands	Grieks, Litouws, IJslands, Latijn, Oekraïens, Pools, Kroatisch, Engels, Estisch, Nederlands	Europese Unie
De officiële taal van Grenada is <mask>.	Engels	Hongaars, Litouws, Servisch, Latijn, Portugees, Hebreeuws, Armeens, Bulgaars, Grieks, Engels	Grenada
De officiële taal van Tsjetsjenië is <mask>.	Russisch	Fins, Portugees, Slowaaks, Baskisch, Hongaars, Latijn, Azerbeidzjaans, Thai, Roemeens, Russisch	Tsjetsjenië
De officiële taal van Rwanda is <mask>.	Engels	Indonesisch, Pools, Portugees, Urdu, Thai, Hebreeuws, Grieks, Zweeds, Frans, Engels	Rwanda
De officiële taal van Finland is <mask>.	Fins	Zweeds, Estisch, Koreaans, Japans, IJslands, Chinese talen, Hebreeuws, Azerbeidzjaans, Deens, Fins	Finland
De officiële taal van Nebraska is <mask>.	Engels	Tsjechisch, Bulgaars, Litouws, Russisch, Fins, Chinese talen, Catalaans, Koreaans, Armeens, Engels	Nebraska
De officiële taal van Polen is <mask>.	Pools	Sloveens, Zweeds, Thai, Kroatisch, Tsjechisch, Engels, Chinese talen, Armeens, Italiaans, Pools	Polen
De officiële taal van Basel is <mask>.	Duits	Fins, Roemeens, Servisch, Deens, Chinese talen, Urdu, Estisch, Perzisch, Japans, Duits	Basel
De officiële taal van Arkansas is <mask>.	Engels	Italiaans, Baskisch, IJslands, Tsjechisch, Chinese talen, Hongaars, Slowaaks, Servisch, Deens, Engels	Arkansas
De officiële taal van Roemenië is <mask>.	Roemeens	Russisch, Albanees, Nederlands, Latijn, Chinese talen, Engels, Urdu, Oekraïens, Deens, Roemeens	Roemenië
De officiële taal van Europese Unie is <mask>.	Grieks	IJslands, Oekraïens, Baskisch, Chinese talen, Portugees, Fins, Deens, Azerbeidzjaans, Zweeds, Grieks	Europese Unie
De officiële taal van Kenia is <mask>.	Engels	Litouws, Duits, Baskisch, Indonesisch, Hebreeuws, Kroatisch, Oekraïens, Spaans, Fins, Engels	Kenia
De officiële taal van Ghana is <mask>.	Engels	Roemeens, Georgisch, Italiaans, Estisch, Deens, Bulgaars, Tsjechisch, Indonesisch, Hongaars, Engels	Ghana
De officiële taal van Slovenië is <mask>.	Sloveens	Servisch, Armeens, Perzisch, IJslands, Turks, Pools, Estisch, Urdu, Oekraïens, Sloveens	Slovenië
De officiële taal van Moldavië is <mask>.	Roemeens	Baskisch, Frans, Zweeds, Portugees, Koreaans, Duits, Servisch, Japans, Deens, Roemeens	Moldavië
De officiële taal van Frans-Guyana is <mask>.	Frans	Spaans, Georgisch, Servisch, Indonesisch, Urdu, Italiaans, IJslands, Baskisch, Grieks, Frans	Frans-Guyana
De officiële taal van Litouwen is <mask>.	Litouws	Russisch, Sloveens, Catalaans, Slowaaks, Roemeens, Portugees, Baskisch, Oekraïens, Duits, Litouws	Litouwen
De officiële taal van Belize is <mask>.	Engels	Nederlands, Turks, Roemeens, Italiaans, Baskisch, Servisch, Kroatisch, Russisch, Bulgaars, Engels	Belize
De officiële taal van Spanje is <mask>.	Catalaans	Tsjechisch, Frans, Nederlands, Indonesisch, Baskisch, Oekraïens, Roemeens, Italiaans, Hongaars, Catalaans	Spanje
De officiële taal van Barbados is <mask>.	Engels	Portugees, Italiaans, Japans, Georgisch, Catalaans, Baskisch, Sloveens, Roemeens, Turks, Engels	Barbados
