Prompt	Ans	Candidate Ans	Subject
Bu farw Michelangelo yn <mask>.	Rhufain	Fenis, Rhufain	Michelangelo
Bu farw Richard Wagner yn <mask>.	Fenis	Rhufain, Fenis	Richard Wagner
Mae Yr wyddor Arabeg yn is-ddosbarth o <mask>.	gwyddor	bioleg, gwyddor	Yr wyddor Arabeg
Mae Ecoleg yn is-ddosbarth o <mask>.	bioleg	gwyddor, bioleg	Ecoleg
Iaith swyddogol Polynesia Ffrengig yw <mask>.	Ffrangeg	Albaneg, Indoneseg, Rwmaneg, Serbeg, Hebraeg, Tyrceg, Georgeg, Bwlgareg, Almaeneg, Ffrangeg	Polynesia Ffrengig
Iaith swyddogol Uttar Pradesh yw <mask>.	Wrdw	Japaneg, Rwseg, Tyrceg, Lladin, Slofeneg, Croateg, Thai, Catalaneg, Albaneg, Wrdw	Uttar Pradesh
Iaith swyddogol yr Undeb Ewropeaidd yw <mask>.	Ffinneg	Tyrceg, Tsieceg, Ffrangeg, Sbaeneg, Swedeg, Iseldireg, Groeg, Pwyleg, Estoneg, Ffinneg	yr Undeb Ewropeaidd
Iaith swyddogol yr Undeb Ewropeaidd yw <mask>.	Slofeneg	Lladin, Groeg, Corëeg, Saesneg, Slofaceg, Croateg, Pwyleg, Wrdw, Almaeneg, Slofeneg	yr Undeb Ewropeaidd
Iaith swyddogol Haiti yw <mask>.	Ffrangeg	Rwseg, Almaeneg, Croateg, Wrdw, Perseg, Georgeg, Iseldireg, Tyrceg, Armeneg, Ffrangeg	Haiti
Iaith swyddogol Wyoming yw <mask>.	Saesneg	Wcreineg, Croateg, Slofaceg, Tsieceg, Lithwaneg, Ffinneg, Japaneg, Wrdw, Tyrceg, Saesneg	Wyoming
Iaith swyddogol Wrwgwái yw <mask>.	Sbaeneg	Almaeneg, Tyrceg, Serbeg, Iseldireg, Wrdw, Thai, Saesneg, Swedeg, Estoneg, Sbaeneg	Wrwgwái
Iaith swyddogol De Ossetia yw <mask>.	Georgeg	Bwlgareg, Saesneg, Tsieceg, Slofaceg, Tyrceg, Iseldireg, Portiwgaleg, Armeneg, Corëeg, Georgeg	De Ossetia
Iaith swyddogol Gweriniaeth y Congo yw <mask>.	Ffrangeg	Pwyleg, Hebraeg, Thai, Croateg, Estoneg, Lladin, Groeg, Japaneg, Tyrceg, Ffrangeg	Gweriniaeth y Congo
Iaith swyddogol Ynysoedd Solomon yw <mask>.	Saesneg	Ffrangeg, Hwngareg, Thai, Slofaceg, Islandeg, Bwlgareg, Corëeg, Tsieineeg, Rwseg, Saesneg	Ynysoedd Solomon
Iaith swyddogol Ynys y Pasg yw <mask>.	Sbaeneg	Rwseg, Tsieceg, Lladin, Daneg, Japaneg, Hwngareg, Islandeg, Georgeg, Swedeg, Sbaeneg	Ynys y Pasg
Iaith swyddogol Brasil yw <mask>.	Portiwgaleg	Wrdw, Islandeg, Serbeg, Thai, Ffinneg, Georgeg, Basgeg, Slofaceg, Lithwaneg, Portiwgaleg	Brasil
Iaith swyddogol Mecsico yw <mask>.	Sbaeneg	Eidaleg, Tsieineeg, Estoneg, Rwmaneg, Armeneg, Catalaneg, Basgeg, Ffrangeg, Wrdw, Sbaeneg	Mecsico
