Prompt	Ans	Candidate Ans	Subject
Μιχαήλ Άγγελος πέθανε το <mask>.	Ρώμη	Βενετία, Ρώμη	Μιχαήλ Άγγελος
Ρίχαρντ Βάγκνερ πέθανε το <mask>.	Βενετία	Ρώμη, Βενετία	Ρίχαρντ Βάγκνερ
Το Αραβικό αλφάβητο είναι μια υποκατηγορία του <mask>.	Αλφάβητο	βιολογία, Αλφάβητο	Αραβικό αλφάβητο
Το οικολογία είναι μια υποκατηγορία του <mask>.	βιολογία	Αλφάβητο, βιολογία	οικολογία
Η επίσημη γλώσσα του Γαλλική Πολυνησία είναι <mask>.	Γαλλικά	Αλβανικά, Ινδονησιακά, Ρουμανικά, Σερβικά, Εβραϊκά, Τουρκικά, Γεωργιανή γλώσσα, Βουλγαρικά, Γερμανικά, Γαλλικά	Γαλλική Πολυνησία
Η επίσημη γλώσσα του Ούταρ Πραντές είναι <mask>.	Ουρντού	Ιαπωνικά, Ρωσικά, Τουρκικά, λατινική γλώσσα, Σλοβενικά, Κροατικά, Ταϊλανδικά, Καταλανικά, Αλβανικά, Ουρντού	Ούταρ Πραντές
Η επίσημη γλώσσα του Ευρωπαϊκή Ένωση είναι <mask>.	Φινλανδικά	Τουρκικά, Τσεχικά, Γαλλικά, Ισπανικά, σουηδικά, Ολλανδικά, Ελληνικά, Πολωνικά, Εσθονικά, Φινλανδικά	Ευρωπαϊκή Ένωση
Η επίσημη γλώσσα του Ευρωπαϊκή Ένωση είναι <mask>.	Σλοβενικά	λατινική γλώσσα, Ελληνικά, Κορεατική γλώσσα, Αγγλικά, Σλοβακικά, Κροατικά, Πολωνικά, Ουρντού, Γερμανικά, Σλοβενικά	Ευρωπαϊκή Ένωση
Η επίσημη γλώσσα του Αϊτή είναι <mask>.	Γαλλικά	Ρωσικά, Γερμανικά, Κροατικά, Ουρντού, Περσικά, Γεωργιανή γλώσσα, Ολλανδικά, Τουρκικά, Aρμενικά, Γαλλικά	Αϊτή
Η επίσημη γλώσσα του Ουαϊόμινγκ είναι <mask>.	Αγγλικά	Ουκρανικά, Κροατικά, Σλοβακικά, Τσεχικά, Λιθουανικά, Φινλανδικά, Ιαπωνικά, Ουρντού, Τουρκικά, Αγγλικά	Ουαϊόμινγκ
Η επίσημη γλώσσα του Ουρουγουάη είναι <mask>.	Ισπανικά	Γερμανικά, Τουρκικά, Σερβικά, Ολλανδικά, Ουρντού, Ταϊλανδικά, Αγγλικά, σουηδικά, Εσθονικά, Ισπανικά	Ουρουγουάη
Η επίσημη γλώσσα του Νότια Οσσετία είναι <mask>.	Γεωργιανή γλώσσα	Βουλγαρικά, Αγγλικά, Τσεχικά, Σλοβακικά, Τουρκικά, Ολλανδικά, Πορτογαλικά, Aρμενικά, Κορεατική γλώσσα, Γεωργιανή γλώσσα	Νότια Οσσετία
