Prompt	Ans	Candidate Ans	Subject
Fuair ​​Michelangelo bás i <mask>.	An Róimh	An Veinéis, An Róimh	Michelangelo
Fuair ​​Richard Wagner bás i <mask>.	An Veinéis	An Róimh, An Veinéis	Richard Wagner
Is fo-aicme de <mask> é Aibítir Arabach.	aibítir	bitheolaíocht, aibítir	Aibítir Arabach
Is fo-aicme de <mask> é éiceolaíocht.	bitheolaíocht	aibítir, bitheolaíocht	éiceolaíocht
Is í <mask> teanga oifigiúil Polainéis na Fraince.	An Fhraincis	An Albáinis, An Indinéisis, An Rómáinis, An tSeirbis, An Eabhrais, An Tuircis, Seoirsis, An Bhulgáiris, An Ghearmáinis, An Fhraincis	Polainéis na Fraince
Is í <mask> teanga oifigiúil Uttar Pradesh.	An Urdais	An tSeapáinis, An Rúisis, An Tuircis, An Laidin, An tSlóivéinis, An Chróitis, An Téalainnis, An Chatalóinis, An Albáinis, An Urdais	Uttar Pradesh
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Fhionlainnis	An Tuircis, An tSeicis, An Fhraincis, An Spáinnis, An tSualainnis, An Ollainnis, An Ghréigis, An Pholainnis, An Eastóinis, An Fhionlainnis	An tAontas Eorpach
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An tSlóivéinis	An Laidin, An Ghréigis, An Chóiréis, An Béarla, An tSlóvaicis, An Chróitis, An Pholainnis, An Urdais, An Ghearmáinis, An tSlóivéinis	An tAontas Eorpach
Is í <mask> teanga oifigiúil Háítí.	An Fhraincis	An Rúisis, An Ghearmáinis, An Chróitis, An Urdais, An Pheirsis, Seoirsis, An Ollainnis, An Tuircis, An Airméinis, An Fhraincis	Háítí
Is í <mask> teanga oifigiúil Wyoming.	An Béarla	An Úcráinis, An Chróitis, An tSlóvaicis, An tSeicis, An Liotuáinis, An Fhionlainnis, An tSeapáinis, An Urdais, An Tuircis, An Béarla	Wyoming
Is í <mask> teanga oifigiúil Uragua.	An Spáinnis	An Ghearmáinis, An Tuircis, An tSeirbis, An Ollainnis, An Urdais, An Téalainnis, An Béarla, An tSualainnis, An Eastóinis, An Spáinnis	Uragua
Is í <mask> teanga oifigiúil An Oiséit Theas.	Seoirsis	An Bhulgáiris, An Béarla, An tSeicis, An tSlóvaicis, An Tuircis, An Ollainnis, An Phortaingéilis, An Airméinis, An Chóiréis, Seoirsis	An Oiséit Theas
Is í <mask> teanga oifigiúil Poblacht an Chongó.	An Fhraincis	An Pholainnis, An Eabhrais, An Téalainnis, An Chróitis, An Eastóinis, An Laidin, An Ghréigis, An tSeapáinis, An Tuircis, An Fhraincis	Poblacht an Chongó
Is í <mask> teanga oifigiúil Oileáin Sholamón.	An Béarla	An Fhraincis, An Ungáiris, An Téalainnis, An tSlóvaicis, An Íoslainnis, An Bhulgáiris, An Chóiréis, An tSínis, An Rúisis, An Béarla	Oileáin Sholamón
Is í <mask> teanga oifigiúil Oileán na Cásca.	An Spáinnis	An Rúisis, An tSeicis, An Laidin, An Danmhairgis, An tSeapáinis, An Ungáiris, An Íoslainnis, Seoirsis, An tSualainnis, An Spáinnis	Oileán na Cásca
Is í <mask> teanga oifigiúil An Bhrasaíl.	An Phortaingéilis	An Urdais, An Íoslainnis, An tSeirbis, An Téalainnis, An Fhionlainnis, Seoirsis, An Bhascais, An tSlóvaicis, An Liotuáinis, An Phortaingéilis	An Bhrasaíl
Is í <mask> teanga oifigiúil Meicsiceo.	An Spáinnis	An Iodáilis, An tSínis, An Eastóinis, An Rómáinis, An Airméinis, An Chatalóinis, An Bhascais, An Fhraincis, An Urdais, An Spáinnis	Meicsiceo
Is í <mask> teanga oifigiúil An Ghaimbia.	An Béarla	An tSeirbis, An Rúisis, An Asarbaiseáinis, An Pholainnis, An Spáinnis, An Eastóinis, An Iodáilis, An Laidin, An tSlóvaicis, An Béarla	An Ghaimbia
Is í <mask> teanga oifigiúil Oileán Mhanann.	An Béarla	An Chróitis, An Chóiréis, An Fhionlainnis, An tSínis, An Fhraincis, An Téalainnis, An tSeapáinis, An tSeirbis, An Bhascais, An Béarla	Oileán Mhanann
Is í <mask> teanga oifigiúil Mississippi.	An Béarla	An Ghréigis, An tSeapáinis, An Danmhairgis, An tSínis, An Rómáinis, An Ollainnis, An Chróitis, An Urdais, An Airméinis, An Béarla	Mississippi
Is í <mask> teanga oifigiúil Macau.	An tSínis	An tSualainnis, An Albáinis, An tSeicis, An Indinéisis, An Fhraincis, An Ghearmáinis, An Téalainnis, An Chróitis, An Rómáinis, An tSínis	Macau
Is í <mask> teanga oifigiúil Iosrael.	An Eabhrais	An Íoslainnis, An Rómáinis, An Béarla, An Chatalóinis, An tSlóvaicis, An Ghréigis, An Ungáiris, An Pholainnis, An Bhulgáiris, An Eabhrais	Iosrael
Is í <mask> teanga oifigiúil Samó.	An Béarla	An Eabhrais, An tSlóvaicis, An Airméinis, An Spáinnis, An Ungáiris, An Chóiréis, An Urdais, An tSínis, An tSeapáinis, An Béarla	Samó
Is í <mask> teanga oifigiúil An Eilvéis.	An Fhraincis	An Chróitis, An Eabhrais, An Laidin, An Ghearmáinis, An Ungáiris, An Asarbaiseáinis, An Spáinnis, An Úcráinis, An Ollainnis, An Fhraincis	An Eilvéis
Is í <mask> teanga oifigiúil An Bheilg.	An Ghearmáinis	An Fhionlainnis, An Iodáilis, An Asarbaiseáinis, An Íoslainnis, An Ghréigis, An tSínis, An Airméinis, Seoirsis, An Albáinis, An Ghearmáinis	An Bheilg
Is í <mask> teanga oifigiúil Nárú.	An Béarla	An Asarbaiseáinis, An Ungáiris, An Úcráinis, An Albáinis, An Eabhrais, An Chróitis, An Danmhairgis, An Fhraincis, An Iodáilis, An Béarla	Nárú
Is í <mask> teanga oifigiúil Oileáin Fháclainne.	An Béarla	An Indinéisis, An Ghréigis, An Eabhrais, An Laidin, An tSlóvaicis, An tSínis, An Airméinis, Seoirsis, An Íoslainnis, An Béarla	Oileáin Fháclainne
Is í <mask> teanga oifigiúil An Ghuine.	An Fhraincis	An tSeicis, An tSeapáinis, An Rómáinis, An Eastóinis, An Tuircis, An Íoslainnis, An Indinéisis, An Fhionlainnis, An Spáinnis, An Fhraincis	An Ghuine
Is í <mask> teanga oifigiúil An Astráil.	An Béarla	An tSualainnis, An Íoslainnis, An tSlóvaicis, An Laidin, An Chóiréis, An Chróitis, An Tuircis, An Fhraincis, An Asarbaiseáinis, An Béarla	An Astráil
Is í <mask> teanga oifigiúil Peiriú.	An Spáinnis	An Pholainnis, An Ungáiris, An Íoslainnis, An Ollainnis, An Airméinis, An tSualainnis, An Bhulgáiris, An Eabhrais, An tSeicis, An Spáinnis	Peiriú
Is í <mask> teanga oifigiúil Leosóta.	An Béarla	An Eastóinis, An Liotuáinis, An tSeirbis, An Phortaingéilis, An Fhionlainnis, An Rúisis, An Fhraincis, An Téalainnis, An Ungáiris, An Béarla	Leosóta
Is í <mask> teanga oifigiúil An India.	An Béarla	An Bhulgáiris, An Liotuáinis, An Téalainnis, An Albáinis, An Ollainnis, An tSínis, An Pholainnis, An Eastóinis, An Spáinnis, An Béarla	An India
Is í <mask> teanga oifigiúil An tSiombáib.	An Béarla	An Eabhrais, An Liotuáinis, An Albáinis, An Bhulgáiris, An Pholainnis, Seoirsis, An Tuircis, An Danmhairgis, An Fhraincis, An Béarla	An tSiombáib
Is í <mask> teanga oifigiúil Diobúití.	An Fhraincis	An tSlóivéinis, An Ollainnis, An Béarla, An Íoslainnis, An Eabhrais, An Iodáilis, An Úcráinis, An tSlóvaicis, An Fhionlainnis, An Fhraincis	Diobúití
