Prompt	Ans	Candidate Ans	Subject
Michelangelo starb in <mask>.	Rom	Venedig, Rom	Michelangelo
Richard Wagner starb in <mask>.	Venedig	Rom, Venedig	Richard Wagner
arabisches Alphabet ist eine Unterklasse von <mask>.	Alphabet	Biologie, Alphabet	arabisches Alphabet
Ökologie ist eine Unterklasse von <mask>.	Biologie	Alphabet, Biologie	Ökologie
Die offizielle Sprache von Französisch-Polynesien ist <mask>.	Französisch	Albanisch, Indonesisch, Rumänisch, Serbisch, Hebräisch, Türkisch, Georgisch, Bulgarisch, Deutsch, Französisch	Französisch-Polynesien
Die offizielle Sprache von Uttar Pradesh ist <mask>.	Urdu	Japanisch, Russisch, Türkisch, Latein, Slowenisch, Kroatisch, Thailändisch, Katalanisch, Albanisch, Urdu	Uttar Pradesh
Die offizielle Sprache von Europäische Union ist <mask>.	Finnisch	Türkisch, Tschechisch, Französisch, Spanisch, Schwedisch, Niederländisch, Griechisch, Polnisch, Estnisch, Finnisch	Europäische Union
Die offizielle Sprache von Europäische Union ist <mask>.	Slowenisch	Latein, Griechisch, Koreanisch, Englisch, Slowakisch, Kroatisch, Polnisch, Urdu, Deutsch, Slowenisch	Europäische Union
Die offizielle Sprache von Haiti ist <mask>.	Französisch	Russisch, Deutsch, Kroatisch, Urdu, Persisch, Georgisch, Niederländisch, Türkisch, Armenisch, Französisch	Haiti
Die offizielle Sprache von Wyoming ist <mask>.	Englisch	Ukrainisch, Kroatisch, Slowakisch, Tschechisch, Litauisch, Finnisch, Japanisch, Urdu, Türkisch, Englisch	Wyoming
Die offizielle Sprache von Uruguay ist <mask>.	Spanisch	Deutsch, Türkisch, Serbisch, Niederländisch, Urdu, Thailändisch, Englisch, Schwedisch, Estnisch, Spanisch	Uruguay
Die offizielle Sprache von Südossetien ist <mask>.	Georgisch	Bulgarisch, Englisch, Tschechisch, Slowakisch, Türkisch, Niederländisch, Portugiesisch, Armenisch, Koreanisch, Georgisch	Südossetien
