Prompt	Ans	Candidate Ans	Subject
Mikelandželo nomira <mask>.	Roma	Venēcija, Roma	Mikelandželo
Rihards Vāgners nomira <mask>.	Venēcija	Roma, Venēcija	Rihards Vāgners
arābu alfabēts ir <mask> apakšklase.	alfabēts	bioloģija, alfabēts	arābu alfabēts
ekoloģija ir <mask> apakšklase.	bioloģija	alfabēts, bioloģija	ekoloģija
Franču Polinēzija oficiālā valoda ir <mask>.	franču valoda	albāņu valoda, indonēziešu valoda, rumāņu valoda, serbu valoda, ivrits, turku valoda, gruzīnu valoda, bulgāru valoda, vācu valoda, franču valoda	Franču Polinēzija
Utarpradēša oficiālā valoda ir <mask>.	urdu	japāņu valoda, krievu valoda, turku valoda, latīņu valoda, slovēņu valoda, horvātu valoda, Taju valoda, katalāņu valoda, albāņu valoda, urdu	Utarpradēša
Eiropas Savienība oficiālā valoda ir <mask>.	somu valoda	turku valoda, čehu valoda, franču valoda, spāņu valoda, zviedru valoda, nīderlandiešu valoda, grieķu valoda, poļu valoda, igauņu valoda, somu valoda	Eiropas Savienība
Eiropas Savienība oficiālā valoda ir <mask>.	slovēņu valoda	latīņu valoda, grieķu valoda, korejiešu valoda, angļu valoda, slovāku valoda, horvātu valoda, poļu valoda, urdu, vācu valoda, slovēņu valoda	Eiropas Savienība
Haiti oficiālā valoda ir <mask>.	franču valoda	krievu valoda, vācu valoda, horvātu valoda, urdu, persiešu valoda, gruzīnu valoda, nīderlandiešu valoda, turku valoda, armēņu valoda, franču valoda	Haiti
Vaiominga oficiālā valoda ir <mask>.	angļu valoda	ukraiņu valoda, horvātu valoda, slovāku valoda, čehu valoda, lietuviešu valoda, somu valoda, japāņu valoda, urdu, turku valoda, angļu valoda	Vaiominga
Urugvaja oficiālā valoda ir <mask>.	spāņu valoda	vācu valoda, turku valoda, serbu valoda, nīderlandiešu valoda, urdu, Taju valoda, angļu valoda, zviedru valoda, igauņu valoda, spāņu valoda	Urugvaja
Dienvidosetija oficiālā valoda ir <mask>.	gruzīnu valoda	bulgāru valoda, angļu valoda, čehu valoda, slovāku valoda, turku valoda, nīderlandiešu valoda, portugāļu valoda, armēņu valoda, korejiešu valoda, gruzīnu valoda	Dienvidosetija
Kongo Republika oficiālā valoda ir <mask>.	franču valoda	poļu valoda, ivrits, Taju valoda, horvātu valoda, igauņu valoda, latīņu valoda, grieķu valoda, japāņu valoda, turku valoda, franču valoda	Kongo Republika
Zālamana Salas oficiālā valoda ir <mask>.	angļu valoda	franču valoda, ungāru valoda, Taju valoda, slovāku valoda, islandiešu valoda, bulgāru valoda, korejiešu valoda, ķīniešu valoda, krievu valoda, angļu valoda	Zālamana Salas
Lieldienu sala oficiālā valoda ir <mask>.	spāņu valoda	krievu valoda, čehu valoda, latīņu valoda, dāņu valoda, japāņu valoda, ungāru valoda, islandiešu valoda, gruzīnu valoda, zviedru valoda, spāņu valoda	Lieldienu sala
Brazīlija oficiālā valoda ir <mask>.	portugāļu valoda	urdu, islandiešu valoda, serbu valoda, Taju valoda, somu valoda, gruzīnu valoda, basku valoda, slovāku valoda, lietuviešu valoda, portugāļu valoda	Brazīlija
Meksika oficiālā valoda ir <mask>.	spāņu valoda	itāļu valoda, ķīniešu valoda, igauņu valoda, rumāņu valoda, armēņu valoda, katalāņu valoda, basku valoda, franču valoda, urdu, spāņu valoda	Meksika
Gambija oficiālā valoda ir <mask>.	angļu valoda	serbu valoda, krievu valoda, azerbaidžāņu valoda, poļu valoda, spāņu valoda, igauņu valoda, itāļu valoda, latīņu valoda, slovāku valoda, angļu valoda	Gambija
Menas Sala oficiālā valoda ir <mask>.	angļu valoda	horvātu valoda, korejiešu valoda, somu valoda, ķīniešu valoda, franču valoda, Taju valoda, japāņu valoda, serbu valoda, basku valoda, angļu valoda	Menas Sala
Misisipi oficiālā valoda ir <mask>.	angļu valoda	grieķu valoda, japāņu valoda, dāņu valoda, ķīniešu valoda, rumāņu valoda, nīderlandiešu valoda, horvātu valoda, urdu, armēņu valoda, angļu valoda	Misisipi
Makao oficiālā valoda ir <mask>.	ķīniešu valoda	zviedru valoda, albāņu valoda, čehu valoda, indonēziešu valoda, franču valoda, vācu valoda, Taju valoda, horvātu valoda, rumāņu valoda, ķīniešu valoda	Makao
Izraēla oficiālā valoda ir <mask>.	ivrits	islandiešu valoda, rumāņu valoda, angļu valoda, katalāņu valoda, slovāku valoda, grieķu valoda, ungāru valoda, poļu valoda, bulgāru valoda, ivrits	Izraēla
