Prompt	Ans	Candidate Ans	Subject
மைக்கலாஞ்சலோ <mask> இல் இறந்தார்.	உரோமை நகரம்	வெனிசு, உரோமை நகரம்	மைக்கலாஞ்சலோ
ரிச்சார்ட் வாக்னர் <mask> இல் இறந்தார்.	வெனிசு	உரோமை நகரம், வெனிசு	ரிச்சார்ட் வாக்னர்
அறபு எழுத்துமுறை என்பது <mask> இன் துணைப்பிரிவு.	அகரவரிசை	உயிரியல், அகரவரிசை	அறபு எழுத்துமுறை
சூழலியல் என்பது <mask> இன் துணைப்பிரிவு.	உயிரியல்	அகரவரிசை, உயிரியல்	சூழலியல்
பிரெஞ்சு பொலினீசியா இன் அதிகாரப்பூர்வ மொழி <mask>.	பிரான்சிய மொழி	அல்பானிய மொழி, இந்தோனேசியம், உருமானிய மொழி, செருபிய மொழி, எபிரேயம், துருக்கிய மொழி, சியார்சிய மொழி, பல்கேரிய மொழி, இடாய்ச்சு மொழி, பிரான்சிய மொழி	பிரெஞ்சு பொலினீசியா
உத்தரப் பிரதேசம் இன் அதிகாரப்பூர்வ மொழி <mask>.	உருது	யப்பானியம், உருசியம், துருக்கிய மொழி, இலத்தீன், சுலோவேனிய மொழி, குரோவாசிய மொழி, தாய், காட்டலான் மொழி, அல்பானிய மொழி, உருது	உத்தரப் பிரதேசம்
ஐரோப்பிய ஒன்றியம் இன் அதிகாரப்பூர்வ மொழி <mask>.	பின்னிய மொழி	துருக்கிய மொழி, செக் மொழி, பிரான்சிய மொழி, எசுப்பானியம், சுவீடிய மொழி, டச்சு மொழி, கிரேக்கம், போலிய மொழி, எசுத்தோனிய மொழி, பின்னிய மொழி	ஐரோப்பிய ஒன்றியம்
ஐரோப்பிய ஒன்றியம் இன் அதிகாரப்பூர்வ மொழி <mask>.	சுலோவேனிய மொழி	இலத்தீன், கிரேக்கம், கொரிய மொழி, ஆங்கிலம், சுலோவாக்கிய மொழி, குரோவாசிய மொழி, போலிய மொழி, உருது, இடாய்ச்சு மொழி, சுலோவேனிய மொழி	ஐரோப்பிய ஒன்றியம்
எயிட்டி இன் அதிகாரப்பூர்வ மொழி <mask>.	பிரான்சிய மொழி	உருசியம், இடாய்ச்சு மொழி, குரோவாசிய மொழி, உருது, பாரசீக மொழி, சியார்சிய மொழி, டச்சு மொழி, துருக்கிய மொழி, அருமேனிய மொழி, பிரான்சிய மொழி	எயிட்டி
வயோமிங் இன் அதிகாரப்பூர்வ மொழி <mask>.	ஆங்கிலம்	உக்குரேனிய மொழி, குரோவாசிய மொழி, சுலோவாக்கிய மொழி, செக் மொழி, இலித்துவானிய மொழி, பின்னிய மொழி, யப்பானியம், உருது, துருக்கிய மொழி, ஆங்கிலம்	வயோமிங்
உருகுவை இன் அதிகாரப்பூர்வ மொழி <mask>.	எசுப்பானியம்	இடாய்ச்சு மொழி, துருக்கிய மொழி, செருபிய மொழி, டச்சு மொழி, உருது, தாய், ஆங்கிலம், சுவீடிய மொழி, எசுத்தோனிய மொழி, எசுப்பானியம்	உருகுவை
தெற்கு ஒசேத்தியா இன் அதிகாரப்பூர்வ மொழி <mask>.	சியார்சிய மொழி	பல்கேரிய மொழி, ஆங்கிலம், செக் மொழி, சுலோவாக்கிய மொழி, துருக்கிய மொழி, டச்சு மொழி, போர்த்துக்கீச மொழி, அருமேனிய மொழி, கொரிய மொழி, சியார்சிய மொழி	தெற்கு ஒசேத்தியா
கொங்கோ குடியரசு இன் அதிகாரப்பூர்வ மொழி <mask>.	பிரான்சிய மொழி	போலிய மொழி, எபிரேயம், தாய், குரோவாசிய மொழி, எசுத்தோனிய மொழி, இலத்தீன், கிரேக்கம், யப்பானியம், துருக்கிய மொழி, பிரான்சிய மொழி	கொங்கோ குடியரசு
சொலமன் தீவுகள் இன் அதிகாரப்பூர்வ மொழி <mask>.	ஆங்கிலம்	பிரான்சிய மொழி, அங்கேரிய மொழி, தாய், சுலோவாக்கிய மொழி, இசுலேன்சுக மொழி, பல்கேரிய மொழி, கொரிய மொழி, சீன மொழி, உருசியம், ஆங்கிலம்	சொலமன் தீவுகள்
ஈஸ்டர் தீவு இன் அதிகாரப்பூர்வ மொழி <mask>.	எசுப்பானியம்	உருசியம், செக் மொழி, இலத்தீன், டேனிய மொழி, யப்பானியம், அங்கேரிய மொழி, இசுலேன்சுக மொழி, சியார்சிய மொழி, சுவீடிய மொழி, எசுப்பானியம்	ஈஸ்டர் தீவு
பிரேசில் இன் அதிகாரப்பூர்வ மொழி <mask>.	போர்த்துக்கீச மொழி	உருது, இசுலேன்சுக மொழி, செருபிய மொழி, தாய், பின்னிய மொழி, சியார்சிய மொழி, பாஸ்க் மொழி, சுலோவாக்கிய மொழி, இலித்துவானிய மொழி, போர்த்துக்கீச மொழி	பிரேசில்
மெக்சிக்கோ இன் அதிகாரப்பூர்வ மொழி <mask>.	எசுப்பானியம்	இத்தாலிய மொழி, சீன மொழி, எசுத்தோனிய மொழி, உருமானிய மொழி, அருமேனிய மொழி, காட்டலான் மொழி, பாஸ்க் மொழி, பிரான்சிய மொழி, உருது, எசுப்பானியம்	மெக்சிக்கோ
