Prompt	Ans	Candidate Ans	Subject
Michał Anioł zmarł w <mask>.	Rzym	Wenecja, Rzym	Michał Anioł
Richard Wagner zmarł w <mask>.	Wenecja	Rzym, Wenecja	Richard Wagner
alfabet arabski jest podklasą <mask>.	alfabet	biologia, alfabet	alfabet arabski
ekologia jest podklasą <mask>.	biologia	alfabet, biologia	ekologia
Oficjalnym językiem Polinezja Francuska jest <mask>.	język francuski	język albański, język indonezyjski, język rumuński, język serbski, język hebrajski, język turecki, język gruziński, język bułgarski, język niemiecki, język francuski	Polinezja Francuska
Oficjalnym językiem Uttar Pradesh jest <mask>.	język urdu	język japoński, język rosyjski, język turecki, język łaciński, język słoweński, język chorwacki, język tajski, język kataloński, język albański, język urdu	Uttar Pradesh
Oficjalnym językiem Unia Europejska jest <mask>.	język fiński	język turecki, język czeski, język francuski, język hiszpański, język szwedzki, język niderlandzki, język grecki, język polski, język estoński, język fiński	Unia Europejska
Oficjalnym językiem Unia Europejska jest <mask>.	język słoweński	język łaciński, język grecki, język koreański, język angielski, język słowacki, język chorwacki, język polski, język urdu, język niemiecki, język słoweński	Unia Europejska
Oficjalnym językiem Haiti jest <mask>.	język francuski	język rosyjski, język niemiecki, język chorwacki, język urdu, język perski, język gruziński, język niderlandzki, język turecki, język ormiański, język francuski	Haiti
Oficjalnym językiem Wyoming jest <mask>.	język angielski	język ukraiński, język chorwacki, język słowacki, język czeski, język litewski, język fiński, język japoński, język urdu, język turecki, język angielski	Wyoming
Oficjalnym językiem Urugwaj jest <mask>.	język hiszpański	język niemiecki, język turecki, język serbski, język niderlandzki, język urdu, język tajski, język angielski, język szwedzki, język estoński, język hiszpański	Urugwaj
Oficjalnym językiem Osetia Południowa jest <mask>.	język gruziński	język bułgarski, język angielski, język czeski, język słowacki, język turecki, język niderlandzki, język portugalski, język ormiański, język koreański, język gruziński	Osetia Południowa
Oficjalnym językiem Kongo jest <mask>.	język francuski	język polski, język hebrajski, język tajski, język chorwacki, język estoński, język łaciński, język grecki, język japoński, język turecki, język francuski	Kongo
Oficjalnym językiem Wyspy Salomona jest <mask>.	język angielski	język francuski, język węgierski, język tajski, język słowacki, język islandzki, język bułgarski, język koreański, język chiński, język rosyjski, język angielski	Wyspy Salomona
Oficjalnym językiem Wyspa Wielkanocna jest <mask>.	język hiszpański	język rosyjski, język czeski, język łaciński, język duński, język japoński, język węgierski, język islandzki, język gruziński, język szwedzki, język hiszpański	Wyspa Wielkanocna
Oficjalnym językiem Brazylia jest <mask>.	język portugalski	język urdu, język islandzki, język serbski, język tajski, język fiński, język gruziński, język baskijski, język słowacki, język litewski, język portugalski	Brazylia
Oficjalnym językiem Meksyk jest <mask>.	język hiszpański	język włoski, język chiński, język estoński, język rumuński, język ormiański, język kataloński, język baskijski, język francuski, język urdu, język hiszpański	Meksyk
Oficjalnym językiem Gambia jest <mask>.	język angielski	język serbski, język rosyjski, język azerski, język polski, język hiszpański, język estoński, język włoski, język łaciński, język słowacki, język angielski	Gambia
Oficjalnym językiem Wyspa Man jest <mask>.	język angielski	język chorwacki, język koreański, język fiński, język chiński, język francuski, język tajski, język japoński, język serbski, język baskijski, język angielski	Wyspa Man
Oficjalnym językiem Missisipi jest <mask>.	język angielski	język grecki, język japoński, język duński, język chiński, język rumuński, język niderlandzki, język chorwacki, język urdu, język ormiański, język angielski	Missisipi
Oficjalnym językiem Makau jest <mask>.	język chiński	język szwedzki, język albański, język czeski, język indonezyjski, język francuski, język niemiecki, język tajski, język chorwacki, język rumuński, język chiński	Makau
Oficjalnym językiem Izrael jest <mask>.	język hebrajski	język islandzki, język rumuński, język angielski, język kataloński, język słowacki, język grecki, język węgierski, język polski, język bułgarski, język hebrajski	Izrael
Oficjalnym językiem Samoa jest <mask>.	język angielski	język hebrajski, język słowacki, język ormiański, język hiszpański, język węgierski, język koreański, język urdu, język chiński, język japoński, język angielski	Samoa
Oficjalnym językiem Szwajcaria jest <mask>.	język francuski	język chorwacki, język hebrajski, język łaciński, język niemiecki, język węgierski, język azerski, język hiszpański, język ukraiński, język niderlandzki, język francuski	Szwajcaria
Oficjalnym językiem Belgia jest <mask>.	język niemiecki	język fiński, język włoski, język azerski, język islandzki, język grecki, język chiński, język ormiański, język gruziński, język albański, język niemiecki	Belgia
Oficjalnym językiem Nauru jest <mask>.	język angielski	język azerski, język węgierski, język ukraiński, język albański, język hebrajski, język chorwacki, język duński, język francuski, język włoski, język angielski	Nauru
Oficjalnym językiem Falklandy jest <mask>.	język angielski	język indonezyjski, język grecki, język hebrajski, język łaciński, język słowacki, język chiński, język ormiański, język gruziński, język islandzki, język angielski	Falklandy
Oficjalnym językiem Gwinea jest <mask>.	język francuski	język czeski, język japoński, język rumuński, język estoński, język turecki, język islandzki, język indonezyjski, język fiński, język hiszpański, język francuski	Gwinea
Oficjalnym językiem Australia jest <mask>.	język angielski	język szwedzki, język islandzki, język słowacki, język łaciński, język koreański, język chorwacki, język turecki, język francuski, język azerski, język angielski	Australia
Oficjalnym językiem Peru jest <mask>.	język hiszpański	język polski, język węgierski, język islandzki, język niderlandzki, język ormiański, język szwedzki, język bułgarski, język hebrajski, język czeski, język hiszpański	Peru
Oficjalnym językiem Lesotho jest <mask>.	język angielski	język estoński, język litewski, język serbski, język portugalski, język fiński, język rosyjski, język francuski, język tajski, język węgierski, język angielski	Lesotho
Oficjalnym językiem Indie jest <mask>.	język angielski	język bułgarski, język litewski, język tajski, język albański, język niderlandzki, język chiński, język polski, język estoński, język hiszpański, język angielski	Indie
