Prompt	Ans	Candidate Ans	Subject
Michael Angelus Bonarotius mortuus apud <mask>.	Roma	Venetiae, Roma	Michael Angelus Bonarotius
Ricardus Wagner mortuus apud <mask>.	Venetiae	Roma, Venetiae	Ricardus Wagner
abecedarium Arabicum Est genus of discomycetes <mask>.	abecedarium	Biologia, abecedarium	abecedarium Arabicum
Oecologia Est genus of discomycetes <mask>.	Biologia	abecedarium, Biologia	Oecologia
Officialis lingua est Polynesia Francica autem <mask>.	lingua Francogallica	lingua Albanica, lingua Indonesia, lingua Dacoromanica, Lingua Serbica, Lingua Hebraica, lingua turcica, lingua Georgiana, lingua Bulgarica, lingua Theodisca, lingua Francogallica	Polynesia Francica
Officialis lingua est Uttar Pradesh autem <mask>.	lingua Urdu	lingua Iaponica, Russica, lingua turcica, lingua Latina, lingua Slovena, lingua Croatica, lingua Thai, lingua Catalana, lingua Albanica, lingua Urdu	Uttar Pradesh
Officialis lingua est Unio Europaea autem <mask>.	lingua Finnica	lingua turcica, lingua Bohemica, lingua Francogallica, lingua Hispanica, lingua Suecica, lingua Batava, lingua Graeca, lingua Polonica, lingua Estonica, lingua Finnica	Unio Europaea
Officialis lingua est Unio Europaea autem <mask>.	lingua Slovena	lingua Latina, lingua Graeca, lingua Coreana, lingua Anglica, lingua Slovaca, lingua Croatica, lingua Polonica, lingua Urdu, lingua Theodisca, lingua Slovena	Unio Europaea
Officialis lingua est Haitia autem <mask>.	lingua Francogallica	Russica, lingua Theodisca, lingua Croatica, lingua Urdu, lingua Persica, lingua Georgiana, lingua Batava, lingua turcica, lingua Armenia, lingua Francogallica	Haitia
Officialis lingua est Vyomina autem <mask>.	lingua Anglica	lingua Ucrainica, lingua Croatica, lingua Slovaca, lingua Bohemica, lingua Lithuanica, lingua Finnica, lingua Iaponica, lingua Urdu, lingua turcica, lingua Anglica	Vyomina
Officialis lingua est Uraquaria autem <mask>.	lingua Hispanica	lingua Theodisca, lingua turcica, Lingua Serbica, lingua Batava, lingua Urdu, lingua Thai, lingua Anglica, lingua Suecica, lingua Estonica, lingua Hispanica	Uraquaria
Officialis lingua est Alania Meridiana autem <mask>.	lingua Georgiana	lingua Bulgarica, lingua Anglica, lingua Bohemica, lingua Slovaca, lingua turcica, lingua Batava, lingua Lusitana, lingua Armenia, lingua Coreana, lingua Georgiana	Alania Meridiana
Officialis lingua est Respublica Congoliae autem <mask>.	lingua Francogallica	lingua Polonica, Lingua Hebraica, lingua Thai, lingua Croatica, lingua Estonica, lingua Latina, lingua Graeca, lingua Iaponica, lingua turcica, lingua Francogallica	Respublica Congoliae
Officialis lingua est Insulae Salomonis autem <mask>.	lingua Anglica	lingua Francogallica, Lingua Hungarica, lingua Thai, lingua Slovaca, lingua Islandica, lingua Bulgarica, lingua Coreana, lingua Sinica, Russica, lingua Anglica	Insulae Salomonis
Officialis lingua est Insula Paschalis autem <mask>.	lingua Hispanica	Russica, lingua Bohemica, lingua Latina, lingua Danica, lingua Iaponica, Lingua Hungarica, lingua Islandica, lingua Georgiana, lingua Suecica, lingua Hispanica	Insula Paschalis
Officialis lingua est Brasilia autem <mask>.	lingua Lusitana	lingua Urdu, lingua Islandica, Lingua Serbica, lingua Thai, lingua Finnica, lingua Georgiana, lingua Vasconica, lingua Slovaca, lingua Lithuanica, lingua Lusitana	Brasilia
Officialis lingua est Mexicum autem <mask>.	lingua Hispanica	lingua Italiana, lingua Sinica, lingua Estonica, lingua Dacoromanica, lingua Armenia, lingua Catalana, lingua Vasconica, lingua Francogallica, lingua Urdu, lingua Hispanica	Mexicum
Officialis lingua est Gambia autem <mask>.	lingua Anglica	Lingua Serbica, Russica, Lingua Atropatenica, lingua Polonica, lingua Hispanica, lingua Estonica, lingua Italiana, lingua Latina, lingua Slovaca, lingua Anglica	Gambia
Officialis lingua est Monapia autem <mask>.	lingua Anglica	lingua Croatica, lingua Coreana, lingua Finnica, lingua Sinica, lingua Francogallica, lingua Thai, lingua Iaponica, Lingua Serbica, lingua Vasconica, lingua Anglica	Monapia
Officialis lingua est Mississippia autem <mask>.	lingua Anglica	lingua Graeca, lingua Iaponica, lingua Danica, lingua Sinica, lingua Dacoromanica, lingua Batava, lingua Croatica, lingua Urdu, lingua Armenia, lingua Anglica	Mississippia
Officialis lingua est Macaum autem <mask>.	lingua Sinica	lingua Suecica, lingua Albanica, lingua Bohemica, lingua Indonesia, lingua Francogallica, lingua Theodisca, lingua Thai, lingua Croatica, lingua Dacoromanica, lingua Sinica	Macaum
Officialis lingua est Israel autem <mask>.	Lingua Hebraica	lingua Islandica, lingua Dacoromanica, lingua Anglica, lingua Catalana, lingua Slovaca, lingua Graeca, Lingua Hungarica, lingua Polonica, lingua Bulgarica, Lingua Hebraica	Israel
Officialis lingua est Samoa autem <mask>.	lingua Anglica	Lingua Hebraica, lingua Slovaca, lingua Armenia, lingua Hispanica, Lingua Hungarica, lingua Coreana, lingua Urdu, lingua Sinica, lingua Iaponica, lingua Anglica	Samoa
Officialis lingua est Helvetia autem <mask>.	lingua Francogallica	lingua Croatica, Lingua Hebraica, lingua Latina, lingua Theodisca, Lingua Hungarica, Lingua Atropatenica, lingua Hispanica, lingua Ucrainica, lingua Batava, lingua Francogallica	Helvetia
Officialis lingua est Belgica autem <mask>.	lingua Theodisca	lingua Finnica, lingua Italiana, Lingua Atropatenica, lingua Islandica, lingua Graeca, lingua Sinica, lingua Armenia, lingua Georgiana, lingua Albanica, lingua Theodisca	Belgica
Officialis lingua est Nauru autem <mask>.	lingua Anglica	Lingua Atropatenica, Lingua Hungarica, lingua Ucrainica, lingua Albanica, Lingua Hebraica, lingua Croatica, lingua Danica, lingua Francogallica, lingua Italiana, lingua Anglica	Nauru
Officialis lingua est Insulae Malvinae autem <mask>.	lingua Anglica	lingua Indonesia, lingua Graeca, Lingua Hebraica, lingua Latina, lingua Slovaca, lingua Sinica, lingua Armenia, lingua Georgiana, lingua Islandica, lingua Anglica	Insulae Malvinae
Officialis lingua est Guinea autem <mask>.	lingua Francogallica	lingua Bohemica, lingua Iaponica, lingua Dacoromanica, lingua Estonica, lingua turcica, lingua Islandica, lingua Indonesia, lingua Finnica, lingua Hispanica, lingua Francogallica	Guinea
Officialis lingua est Australia autem <mask>.	lingua Anglica	lingua Suecica, lingua Islandica, lingua Slovaca, lingua Latina, lingua Coreana, lingua Croatica, lingua turcica, lingua Francogallica, Lingua Atropatenica, lingua Anglica	Australia
Officialis lingua est Peruvia autem <mask>.	lingua Hispanica	lingua Polonica, Lingua Hungarica, lingua Islandica, lingua Batava, lingua Armenia, lingua Suecica, lingua Bulgarica, Lingua Hebraica, lingua Bohemica, lingua Hispanica	Peruvia
Officialis lingua est Lesothum autem <mask>.	lingua Anglica	lingua Estonica, lingua Lithuanica, Lingua Serbica, lingua Lusitana, lingua Finnica, Russica, lingua Francogallica, lingua Thai, Lingua Hungarica, lingua Anglica	Lesothum
Officialis lingua est India autem <mask>.	lingua Anglica	lingua Bulgarica, lingua Lithuanica, lingua Thai, lingua Albanica, lingua Batava, lingua Sinica, lingua Polonica, lingua Estonica, lingua Hispanica, lingua Anglica	India
Officialis lingua est Zimbabua autem <mask>.	lingua Anglica	Lingua Hebraica, lingua Lithuanica, lingua Albanica, lingua Bulgarica, lingua Polonica, lingua Georgiana, lingua turcica, lingua Danica, lingua Francogallica, lingua Anglica	Zimbabua
Officialis lingua est Gibutum autem <mask>.	lingua Francogallica	lingua Slovena, lingua Batava, lingua Anglica, lingua Islandica, Lingua Hebraica, lingua Italiana, lingua Ucrainica, lingua Slovaca, lingua Finnica, lingua Francogallica	Gibutum
Officialis lingua est Montana autem <mask>.	lingua Anglica	lingua Slovaca, Lingua Atropatenica, lingua Bohemica, lingua Albanica, lingua Bulgarica, Russica, lingua Iaponica, lingua Batava, lingua Slovena, lingua Anglica	Montana
Officialis lingua est Insulae Bahamenses autem <mask>.	lingua Anglica	Lingua Serbica, lingua Vasconica, lingua Persica, lingua Indonesia, lingua Bulgarica, lingua Georgiana, lingua Hispanica, Lingua Hungarica, lingua Ucrainica, lingua Anglica	Insulae Bahamenses
Officialis lingua est Ontario autem <mask>.	lingua Anglica	lingua Theodisca, Lingua Hungarica, lingua Coreana, lingua Bohemica, lingua Urdu, Lingua Serbica, lingua Italiana, Russica, lingua Polonica, lingua Anglica	Ontario
Officialis lingua est Alberta autem <mask>.	lingua Anglica	lingua Graeca, lingua Bohemica, lingua Danica, lingua Latina, lingua Ucrainica, lingua Theodisca, lingua Slovena, lingua Suecica, lingua Catalana, lingua Anglica	Alberta
Officialis lingua est Mons Niger autem <mask>.	Lingua Serbica	lingua Estonica, lingua Latina, lingua Italiana, lingua Urdu, lingua Catalana, Lingua Atropatenica, lingua Francogallica, lingua Georgiana, lingua Hispanica, Lingua Serbica	Mons Niger
Officialis lingua est Swazia autem <mask>.	lingua Anglica	Lingua Hebraica, lingua Persica, lingua Bulgarica, lingua Vasconica, lingua Albanica, lingua Suecica, lingua Francogallica, lingua Coreana, lingua Slovaca, lingua Anglica	Swazia
Officialis lingua est Unio Europaea autem <mask>.	lingua Batava	lingua Graeca, lingua Lithuanica, lingua Islandica, lingua Latina, lingua Ucrainica, lingua Polonica, lingua Croatica, lingua Anglica, lingua Estonica, lingua Batava	Unio Europaea
Officialis lingua est Granata autem <mask>.	lingua Anglica	Lingua Hungarica, lingua Lithuanica, Lingua Serbica, lingua Latina, lingua Lusitana, Lingua Hebraica, lingua Armenia, lingua Bulgarica, lingua Graeca, lingua Anglica	Granata
Officialis lingua est Tsetsenia autem <mask>.	Russica	lingua Finnica, lingua Lusitana, lingua Slovaca, lingua Vasconica, Lingua Hungarica, lingua Latina, Lingua Atropatenica, lingua Thai, lingua Dacoromanica, Russica	Tsetsenia
Officialis lingua est Ruanda autem <mask>.	lingua Anglica	lingua Indonesia, lingua Polonica, lingua Lusitana, lingua Urdu, lingua Thai, Lingua Hebraica, lingua Graeca, lingua Suecica, lingua Francogallica, lingua Anglica	Ruanda
Officialis lingua est Finnia autem <mask>.	lingua Finnica	lingua Suecica, lingua Estonica, lingua Coreana, lingua Iaponica, lingua Islandica, lingua Sinica, Lingua Hebraica, Lingua Atropatenica, lingua Danica, lingua Finnica	Finnia
Officialis lingua est Nebrasca autem <mask>.	lingua Anglica	lingua Bohemica, lingua Bulgarica, lingua Lithuanica, Russica, lingua Finnica, lingua Sinica, lingua Catalana, lingua Coreana, lingua Armenia, lingua Anglica	Nebrasca
Officialis lingua est Polonia autem <mask>.	lingua Polonica	lingua Slovena, lingua Suecica, lingua Thai, lingua Croatica, lingua Bohemica, lingua Anglica, lingua Sinica, lingua Armenia, lingua Italiana, lingua Polonica	Polonia
Officialis lingua est Basilia autem <mask>.	lingua Theodisca	lingua Finnica, lingua Dacoromanica, Lingua Serbica, lingua Danica, lingua Sinica, lingua Urdu, lingua Estonica, lingua Persica, lingua Iaponica, lingua Theodisca	Basilia
Officialis lingua est Arcansia autem <mask>.	lingua Anglica	lingua Italiana, lingua Vasconica, lingua Islandica, lingua Bohemica, lingua Sinica, Lingua Hungarica, lingua Slovaca, Lingua Serbica, lingua Danica, lingua Anglica	Arcansia
Officialis lingua est Romania autem <mask>.	lingua Dacoromanica	Russica, lingua Albanica, lingua Batava, lingua Latina, lingua Sinica, lingua Anglica, lingua Urdu, lingua Ucrainica, lingua Danica, lingua Dacoromanica	Romania
Officialis lingua est Unio Europaea autem <mask>.	lingua Graeca	lingua Islandica, lingua Ucrainica, lingua Vasconica, lingua Sinica, lingua Lusitana, lingua Finnica, lingua Danica, Lingua Atropatenica, lingua Suecica, lingua Graeca	Unio Europaea
Officialis lingua est Kenia autem <mask>.	lingua Anglica	lingua Lithuanica, lingua Theodisca, lingua Vasconica, lingua Indonesia, Lingua Hebraica, lingua Croatica, lingua Ucrainica, lingua Hispanica, lingua Finnica, lingua Anglica	Kenia
Officialis lingua est Gana autem <mask>.	lingua Anglica	lingua Dacoromanica, lingua Georgiana, lingua Italiana, lingua Estonica, lingua Danica, lingua Bulgarica, lingua Bohemica, lingua Indonesia, Lingua Hungarica, lingua Anglica	Gana
Officialis lingua est Slovenia autem <mask>.	lingua Slovena	Lingua Serbica, lingua Armenia, lingua Persica, lingua Islandica, lingua turcica, lingua Polonica, lingua Estonica, lingua Urdu, lingua Ucrainica, lingua Slovena	Slovenia
Officialis lingua est Moldavia autem <mask>.	lingua Dacoromanica	lingua Vasconica, lingua Francogallica, lingua Suecica, lingua Lusitana, lingua Coreana, lingua Theodisca, Lingua Serbica, lingua Iaponica, lingua Danica, lingua Dacoromanica	Moldavia
Officialis lingua est Guiana Francica autem <mask>.	lingua Francogallica	lingua Hispanica, lingua Georgiana, Lingua Serbica, lingua Indonesia, lingua Urdu, lingua Italiana, lingua Islandica, lingua Vasconica, lingua Graeca, lingua Francogallica	Guiana Francica
Officialis lingua est Lituania autem <mask>.	lingua Lithuanica	Russica, lingua Slovena, lingua Catalana, lingua Slovaca, lingua Dacoromanica, lingua Lusitana, lingua Vasconica, lingua Ucrainica, lingua Theodisca, lingua Lithuanica	Lituania
Officialis lingua est Beliza autem <mask>.	lingua Anglica	lingua Batava, lingua turcica, lingua Dacoromanica, lingua Italiana, lingua Vasconica, Lingua Serbica, lingua Croatica, Russica, lingua Bulgarica, lingua Anglica	Beliza
Officialis lingua est Hispania autem <mask>.	lingua Catalana	lingua Bohemica, lingua Francogallica, lingua Batava, lingua Indonesia, lingua Vasconica, lingua Ucrainica, lingua Dacoromanica, lingua Italiana, Lingua Hungarica, lingua Catalana	Hispania
Officialis lingua est Barbata autem <mask>.	lingua Anglica	lingua Lusitana, lingua Italiana, lingua Iaponica, lingua Georgiana, lingua Catalana, lingua Vasconica, lingua Slovena, lingua Dacoromanica, lingua turcica, lingua Anglica	Barbata
Officialis lingua est Columbia autem <mask>.	lingua Hispanica	lingua Georgiana, lingua Lusitana, lingua Batava, lingua Dacoromanica, lingua Latina, Lingua Hungarica, lingua Finnica, lingua Ucrainica, lingua Croatica, lingua Hispanica	Columbia
Officialis lingua est Bruneium autem <mask>.	lingua Anglica	lingua Slovena, Lingua Hungarica, lingua turcica, lingua Sinica, lingua Georgiana, lingua Slovaca, lingua Bohemica, lingua Estonica, lingua Latina, lingua Anglica	Bruneium
Officialis lingua est Pakistania autem <mask>.	lingua Urdu	Lingua Hungarica, lingua Persica, lingua Theodisca, lingua Francogallica, lingua Lusitana, lingua Croatica, lingua Slovena, lingua Iaponica, lingua Thai, lingua Urdu	Pakistania
Officialis lingua est Senegalia autem <mask>.	lingua Francogallica	lingua Dacoromanica, lingua Bulgarica, lingua Slovena, lingua turcica, lingua Estonica, lingua Ucrainica, lingua Vasconica, lingua Lusitana, lingua Hispanica, lingua Francogallica	Senegalia
