Prompt	Ans	Candidate Ans	Subject
Mikelancelo <mask> -də öldü.	Roma	Venesiya, Roma	Mikelancelo
Rixard Vaqner <mask> -də öldü.	Venesiya	Roma, Venesiya	Rixard Vaqner
Ərəb əlifbası <mask> alt sinifidir.	Əlifba	biologiya, Əlifba	Ərəb əlifbası
Ekologiya <mask> alt sinifidir.	biologiya	Əlifba, biologiya	Ekologiya
Fransa Polineziyası -ın rəsmi dili <mask> -dir.	Fransız dili	Alban dili, İndoneziya dili, Rumın dili, Serb dili, İvrit dili, türk dili, Gürcü dili, Bolqar dili, Alman dili, Fransız dili	Fransa Polineziyası
Uttar Pradeş -ın rəsmi dili <mask> -dir.	Urdu dili	Yapon dili, rus dili, türk dili, Latın dili, Sloven dili, Xorvat dili, Tay dili, Katalan dili, Alban dili, Urdu dili	Uttar Pradeş
Avropa İttifaqı -ın rəsmi dili <mask> -dir.	Fin dili	türk dili, Çex dili, Fransız dili, ispan dili, İsveç dili, Niderland dili, Yunan dili, Polyak dili, Eston dili, Fin dili	Avropa İttifaqı
Avropa İttifaqı -ın rəsmi dili <mask> -dir.	Sloven dili	Latın dili, Yunan dili, Koreya dili, İngilis dili, Slovak dili, Xorvat dili, Polyak dili, Urdu dili, Alman dili, Sloven dili	Avropa İttifaqı
Haiti -ın rəsmi dili <mask> -dir.	Fransız dili	rus dili, Alman dili, Xorvat dili, Urdu dili, Fars dili, Gürcü dili, Niderland dili, türk dili, erməni dili, Fransız dili	Haiti
Vayominq -ın rəsmi dili <mask> -dir.	İngilis dili	Ukrayna dili, Xorvat dili, Slovak dili, Çex dili, Litva dili, Fin dili, Yapon dili, Urdu dili, türk dili, İngilis dili	Vayominq
Uruqvay -ın rəsmi dili <mask> -dir.	ispan dili	Alman dili, türk dili, Serb dili, Niderland dili, Urdu dili, Tay dili, İngilis dili, İsveç dili, Eston dili, ispan dili	Uruqvay
Cənubi Osetiya -ın rəsmi dili <mask> -dir.	Gürcü dili	Bolqar dili, İngilis dili, Çex dili, Slovak dili, türk dili, Niderland dili, Portuqal dili, erməni dili, Koreya dili, Gürcü dili	Cənubi Osetiya
Konqo Respublikası -ın rəsmi dili <mask> -dir.	Fransız dili	Polyak dili, İvrit dili, Tay dili, Xorvat dili, Eston dili, Latın dili, Yunan dili, Yapon dili, türk dili, Fransız dili	Konqo Respublikası
Solomon adaları -ın rəsmi dili <mask> -dir.	İngilis dili	Fransız dili, Macar dili, Tay dili, Slovak dili, İsland dili, Bolqar dili, Koreya dili, Çin dili, rus dili, İngilis dili	Solomon adaları
Pasxa adası -ın rəsmi dili <mask> -dir.	ispan dili	rus dili, Çex dili, Latın dili, Danimarka dili, Yapon dili, Macar dili, İsland dili, Gürcü dili, İsveç dili, ispan dili	Pasxa adası
Braziliya -ın rəsmi dili <mask> -dir.	Portuqal dili	Urdu dili, İsland dili, Serb dili, Tay dili, Fin dili, Gürcü dili, Bask dili, Slovak dili, Litva dili, Portuqal dili	Braziliya
Meksika -ın rəsmi dili <mask> -dir.	ispan dili	İtalyan dili, Çin dili, Eston dili, Rumın dili, erməni dili, Katalan dili, Bask dili, Fransız dili, Urdu dili, ispan dili	Meksika
Qambiya -ın rəsmi dili <mask> -dir.	İngilis dili	Serb dili, rus dili, Azərbaycan dili, Polyak dili, ispan dili, Eston dili, İtalyan dili, Latın dili, Slovak dili, İngilis dili	Qambiya
Men adası -ın rəsmi dili <mask> -dir.	İngilis dili	Xorvat dili, Koreya dili, Fin dili, Çin dili, Fransız dili, Tay dili, Yapon dili, Serb dili, Bask dili, İngilis dili	Men adası
Missisipi -ın rəsmi dili <mask> -dir.	İngilis dili	Yunan dili, Yapon dili, Danimarka dili, Çin dili, Rumın dili, Niderland dili, Xorvat dili, Urdu dili, erməni dili, İngilis dili	Missisipi
Makao -ın rəsmi dili <mask> -dir.	Çin dili	İsveç dili, Alban dili, Çex dili, İndoneziya dili, Fransız dili, Alman dili, Tay dili, Xorvat dili, Rumın dili, Çin dili	Makao
İsrail -ın rəsmi dili <mask> -dir.	İvrit dili	İsland dili, Rumın dili, İngilis dili, Katalan dili, Slovak dili, Yunan dili, Macar dili, Polyak dili, Bolqar dili, İvrit dili	İsrail
Samoa -ın rəsmi dili <mask> -dir.	İngilis dili	İvrit dili, Slovak dili, erməni dili, ispan dili, Macar dili, Koreya dili, Urdu dili, Çin dili, Yapon dili, İngilis dili	Samoa
İsveçrə -ın rəsmi dili <mask> -dir.	Fransız dili	Xorvat dili, İvrit dili, Latın dili, Alman dili, Macar dili, Azərbaycan dili, ispan dili, Ukrayna dili, Niderland dili, Fransız dili	İsveçrə
Belçika -ın rəsmi dili <mask> -dir.	Alman dili	Fin dili, İtalyan dili, Azərbaycan dili, İsland dili, Yunan dili, Çin dili, erməni dili, Gürcü dili, Alban dili, Alman dili	Belçika
Nauru -ın rəsmi dili <mask> -dir.	İngilis dili	Azərbaycan dili, Macar dili, Ukrayna dili, Alban dili, İvrit dili, Xorvat dili, Danimarka dili, Fransız dili, İtalyan dili, İngilis dili	Nauru
Folklend adaları -ın rəsmi dili <mask> -dir.	İngilis dili	İndoneziya dili, Yunan dili, İvrit dili, Latın dili, Slovak dili, Çin dili, erməni dili, Gürcü dili, İsland dili, İngilis dili	Folklend adaları
Qvineya -ın rəsmi dili <mask> -dir.	Fransız dili	Çex dili, Yapon dili, Rumın dili, Eston dili, türk dili, İsland dili, İndoneziya dili, Fin dili, ispan dili, Fransız dili	Qvineya
Avstraliya -ın rəsmi dili <mask> -dir.	İngilis dili	İsveç dili, İsland dili, Slovak dili, Latın dili, Koreya dili, Xorvat dili, türk dili, Fransız dili, Azərbaycan dili, İngilis dili	Avstraliya
Peru -ın rəsmi dili <mask> -dir.	ispan dili	Polyak dili, Macar dili, İsland dili, Niderland dili, erməni dili, İsveç dili, Bolqar dili, İvrit dili, Çex dili, ispan dili	Peru
