Prompt	Ans	Candidate Ans	Subject
Michelangelo Buonarroti umro u <mask>.	Rim	Venecija, Rim	Michelangelo Buonarroti
Richard Wagner umro u <mask>.	Venecija	Rim, Venecija	Richard Wagner
arapski alfabet je potklasa od <mask>.	Abeceda	biologija, Abeceda	arapski alfabet
Ekologija je potklasa od <mask>.	biologija	Abeceda, biologija	Ekologija
Službeni jezik Francuska Polinezija je <mask>.	francuski jezik	Albanski jezik, Indonezijski jezik, Rumunjski jezik, srpski jezik, hebrejski jezik, turski jezik, Gruzijski jezik, bugarski jezik, njemački jezik, francuski jezik	Francuska Polinezija
Službeni jezik Uttar Pradesh je <mask>.	Urdu jezik	japanski jezik, ruski jezik, turski jezik, latinski jezik, Slovenski jezik, hrvatski jezik, Tajski jezik, Katalonski jezik, Albanski jezik, Urdu jezik	Uttar Pradesh
Službeni jezik Europska unija je <mask>.	Finski jezik	turski jezik, Češki jezik, francuski jezik, španjolski jezik, Švedski jezik, Nizozemski jezik, Grčki jezik, Poljski jezik, Estonski jezik, Finski jezik	Europska unija
Službeni jezik Europska unija je <mask>.	Slovenski jezik	latinski jezik, Grčki jezik, Korejski jezik, engleski jezik, Slovački jezik, hrvatski jezik, Poljski jezik, Urdu jezik, njemački jezik, Slovenski jezik	Europska unija
Službeni jezik Haiti je <mask>.	francuski jezik	ruski jezik, njemački jezik, hrvatski jezik, Urdu jezik, Perzijski jezik, Gruzijski jezik, Nizozemski jezik, turski jezik, armenski jezik, francuski jezik	Haiti
Službeni jezik Wyoming je <mask>.	engleski jezik	Ukrajinski jezik, hrvatski jezik, Slovački jezik, Češki jezik, Litavski jezik, Finski jezik, japanski jezik, Urdu jezik, turski jezik, engleski jezik	Wyoming
Službeni jezik Urugvaj je <mask>.	španjolski jezik	njemački jezik, turski jezik, srpski jezik, Nizozemski jezik, Urdu jezik, Tajski jezik, engleski jezik, Švedski jezik, Estonski jezik, španjolski jezik	Urugvaj
Službeni jezik Južna Osetija je <mask>.	Gruzijski jezik	bugarski jezik, engleski jezik, Češki jezik, Slovački jezik, turski jezik, Nizozemski jezik, Portugalski jezik, armenski jezik, Korejski jezik, Gruzijski jezik	Južna Osetija
Službeni jezik Republika Kongo je <mask>.	francuski jezik	Poljski jezik, hebrejski jezik, Tajski jezik, hrvatski jezik, Estonski jezik, latinski jezik, Grčki jezik, japanski jezik, turski jezik, francuski jezik	Republika Kongo
Službeni jezik Salomonski Otoci je <mask>.	engleski jezik	francuski jezik, Mađarski jezik, Tajski jezik, Slovački jezik, Islandski jezik, bugarski jezik, Korejski jezik, kineski jezik, ruski jezik, engleski jezik	Salomonski Otoci
Službeni jezik Uskršnji otok je <mask>.	španjolski jezik	ruski jezik, Češki jezik, latinski jezik, Danski jezik, japanski jezik, Mađarski jezik, Islandski jezik, Gruzijski jezik, Švedski jezik, španjolski jezik	Uskršnji otok
Službeni jezik Brazil je <mask>.	Portugalski jezik	Urdu jezik, Islandski jezik, srpski jezik, Tajski jezik, Finski jezik, Gruzijski jezik, Baskijski jezik, Slovački jezik, Litavski jezik, Portugalski jezik	Brazil
Službeni jezik Meksiko je <mask>.	španjolski jezik	talijanski jezik, kineski jezik, Estonski jezik, Rumunjski jezik, armenski jezik, Katalonski jezik, Baskijski jezik, francuski jezik, Urdu jezik, španjolski jezik	Meksiko
Službeni jezik Gambija je <mask>.	engleski jezik	srpski jezik, ruski jezik, Azerski jezik, Poljski jezik, španjolski jezik, Estonski jezik, talijanski jezik, latinski jezik, Slovački jezik, engleski jezik	Gambija
Službeni jezik Otok Man je <mask>.	engleski jezik	hrvatski jezik, Korejski jezik, Finski jezik, kineski jezik, francuski jezik, Tajski jezik, japanski jezik, srpski jezik, Baskijski jezik, engleski jezik	Otok Man
Službeni jezik Mississippi je <mask>.	engleski jezik	Grčki jezik, japanski jezik, Danski jezik, kineski jezik, Rumunjski jezik, Nizozemski jezik, hrvatski jezik, Urdu jezik, armenski jezik, engleski jezik	Mississippi
Službeni jezik Makao je <mask>.	kineski jezik	Švedski jezik, Albanski jezik, Češki jezik, Indonezijski jezik, francuski jezik, njemački jezik, Tajski jezik, hrvatski jezik, Rumunjski jezik, kineski jezik	Makao
