Prompt	Ans	Candidate Ans	Subject
מיכלאנג'לו נפטר ב- <mask>.	רומא	ונציה, רומא	מיכלאנג'לו
ריכרד וגנר נפטר ב- <mask>.	ונציה	רומא, ונציה	ריכרד וגנר
אלפבית ערבי היא תת-סוג של <mask>.	אלפבית	ביולוגיה, אלפבית	אלפבית ערבי
אקולוגיה היא תת-סוג של <mask>.	ביולוגיה	אלפבית, ביולוגיה	אקולוגיה
השפה הרשמית של פולינזיה הצרפתית היא <mask>.	צרפתית	אלבנית, אינדונזית, רומנית, סרבית, עברית, טורקית, גאורגית, בולגרית, גרמנית, צרפתית	פולינזיה הצרפתית
השפה הרשמית של אוטר פרדש היא <mask>.	אורדו	יפנית, רוסית, טורקית, לטינית, סלובנית, קרואטית, תאית, קטלאנית, אלבנית, אורדו	אוטר פרדש
השפה הרשמית של האיחוד האירופי היא <mask>.	פינית	טורקית, צ'כית, צרפתית, ספרדית, שוודית, הולנדית, יוונית, פולנית, אסטונית, פינית	האיחוד האירופי
השפה הרשמית של האיחוד האירופי היא <mask>.	סלובנית	לטינית, יוונית, קוריאנית, אנגלית, סלובקית, קרואטית, פולנית, אורדו, גרמנית, סלובנית	האיחוד האירופי
השפה הרשמית של האיטי היא <mask>.	צרפתית	רוסית, גרמנית, קרואטית, אורדו, פרסית, גאורגית, הולנדית, טורקית, ארמנית, צרפתית	האיטי
השפה הרשמית של ויומינג היא <mask>.	אנגלית	אוקראינית, קרואטית, סלובקית, צ'כית, ליטאית, פינית, יפנית, אורדו, טורקית, אנגלית	ויומינג
השפה הרשמית של אורוגוואי היא <mask>.	ספרדית	גרמנית, טורקית, סרבית, הולנדית, אורדו, תאית, אנגלית, שוודית, אסטונית, ספרדית	אורוגוואי
השפה הרשמית של דרום אוסטיה היא <mask>.	גאורגית	בולגרית, אנגלית, צ'כית, סלובקית, טורקית, הולנדית, פורטוגזית, ארמנית, קוריאנית, גאורגית	דרום אוסטיה
השפה הרשמית של הרפובליקה של קונגו היא <mask>.	צרפתית	פולנית, עברית, תאית, קרואטית, אסטונית, לטינית, יוונית, יפנית, טורקית, צרפתית	הרפובליקה של קונגו
השפה הרשמית של איי שלמה היא <mask>.	אנגלית	צרפתית, הונגרית, תאית, סלובקית, איסלנדית, בולגרית, קוריאנית, שפות סיניות, רוסית, אנגלית	איי שלמה
השפה הרשמית של אי הפסחא היא <mask>.	ספרדית	רוסית, צ'כית, לטינית, דנית, יפנית, הונגרית, איסלנדית, גאורגית, שוודית, ספרדית	אי הפסחא
השפה הרשמית של ברזיל היא <mask>.	פורטוגזית	אורדו, איסלנדית, סרבית, תאית, פינית, גאורגית, בסקית, סלובקית, ליטאית, פורטוגזית	ברזיל
השפה הרשמית של מקסיקו היא <mask>.	ספרדית	איטלקית, שפות סיניות, אסטונית, רומנית, ארמנית, קטלאנית, בסקית, צרפתית, אורדו, ספרדית	מקסיקו
השפה הרשמית של גמביה היא <mask>.	אנגלית	סרבית, רוסית, אזרית, פולנית, ספרדית, אסטונית, איטלקית, לטינית, סלובקית, אנגלית	גמביה
השפה הרשמית של האי מאן היא <mask>.	אנגלית	קרואטית, קוריאנית, פינית, שפות סיניות, צרפתית, תאית, יפנית, סרבית, בסקית, אנגלית	האי מאן
השפה הרשמית של מיסיסיפי היא <mask>.	אנגלית	יוונית, יפנית, דנית, שפות סיניות, רומנית, הולנדית, קרואטית, אורדו, ארמנית, אנגלית	מיסיסיפי
השפה הרשמית של מקאו היא <mask>.	שפות סיניות	שוודית, אלבנית, צ'כית, אינדונזית, צרפתית, גרמנית, תאית, קרואטית, רומנית, שפות סיניות	מקאו
השפה הרשמית של ישראל היא <mask>.	עברית	איסלנדית, רומנית, אנגלית, קטלאנית, סלובקית, יוונית, הונגרית, פולנית, בולגרית, עברית	ישראל
השפה הרשמית של סמואה היא <mask>.	אנגלית	עברית, סלובקית, ארמנית, ספרדית, הונגרית, קוריאנית, אורדו, שפות סיניות, יפנית, אנגלית	סמואה
השפה הרשמית של שווייץ היא <mask>.	צרפתית	קרואטית, עברית, לטינית, גרמנית, הונגרית, אזרית, ספרדית, אוקראינית, הולנדית, צרפתית	שווייץ
השפה הרשמית של בלגיה היא <mask>.	גרמנית	פינית, איטלקית, אזרית, איסלנדית, יוונית, שפות סיניות, ארמנית, גאורגית, אלבנית, גרמנית	בלגיה
השפה הרשמית של נאורו היא <mask>.	אנגלית	אזרית, הונגרית, אוקראינית, אלבנית, עברית, קרואטית, דנית, צרפתית, איטלקית, אנגלית	נאורו
