Prompt	Ans	Candidate Ans	Subject
Michelangelo døde i <mask>.	Rom	Venedig, Rom	Michelangelo
Richard Wagner døde i <mask>.	Venedig	Rom, Venedig	Richard Wagner
Arabiske alfabet er en underklasse på <mask>.	Alfabet	biologi, Alfabet	Arabiske alfabet
økologi er en underklasse på <mask>.	biologi	Alfabet, biologi	økologi
Det officielle sprog for Fransk Polynesien er <mask>.	fransk	albansk, indonesisk, rumænsk, serbisk, hebraisk, tyrkisk, georgisk, bulgarsk, tysk, fransk	Fransk Polynesien
Det officielle sprog for Uttar Pradesh er <mask>.	urdu	japansk, russisk, tyrkisk, latin, slovensk, kroatisk, thai, catalansk, albansk, urdu	Uttar Pradesh
Det officielle sprog for Den Europæiske Union er <mask>.	finsk	tyrkisk, tjekkisk, fransk, spansk, svensk, nederlandsk, græsk, polsk, estisk, finsk	Den Europæiske Union
Det officielle sprog for Den Europæiske Union er <mask>.	slovensk	latin, græsk, koreansk, engelsk, slovakisk, kroatisk, polsk, urdu, tysk, slovensk	Den Europæiske Union
Det officielle sprog for Haiti er <mask>.	fransk	russisk, tysk, kroatisk, urdu, persisk, georgisk, nederlandsk, tyrkisk, armensk, fransk	Haiti
Det officielle sprog for Wyoming er <mask>.	engelsk	ukrainsk, kroatisk, slovakisk, tjekkisk, litauisk, finsk, japansk, urdu, tyrkisk, engelsk	Wyoming
Det officielle sprog for Uruguay er <mask>.	spansk	tysk, tyrkisk, serbisk, nederlandsk, urdu, thai, engelsk, svensk, estisk, spansk	Uruguay
Det officielle sprog for Sydossetien er <mask>.	georgisk	bulgarsk, engelsk, tjekkisk, slovakisk, tyrkisk, nederlandsk, portugisisk, armensk, koreansk, georgisk	Sydossetien
Det officielle sprog for Republikken Congo er <mask>.	fransk	polsk, hebraisk, thai, kroatisk, estisk, latin, græsk, japansk, tyrkisk, fransk	Republikken Congo
Det officielle sprog for Salomonøerne er <mask>.	engelsk	fransk, ungarsk, thai, slovakisk, islandsk, bulgarsk, koreansk, kinesisk, russisk, engelsk	Salomonøerne
Det officielle sprog for Påskeøen er <mask>.	spansk	russisk, tjekkisk, latin, dansk, japansk, ungarsk, islandsk, georgisk, svensk, spansk	Påskeøen
Det officielle sprog for Brasilien er <mask>.	portugisisk	urdu, islandsk, serbisk, thai, finsk, georgisk, baskisk, slovakisk, litauisk, portugisisk	Brasilien
