Prompt	Ans	Candidate Ans	Subject
Мікеланджело Буонарроті помер у <mask>.	Рим	Венеція, Рим	Мікеланджело Буонарроті
Ріхард Вагнер помер у <mask>.	Венеція	Рим, Венеція	Ріхард Вагнер
арабська абетка - підклас <mask>.	абетка	біологія, абетка	арабська абетка
екологія - підклас <mask>.	біологія	абетка, біологія	екологія
Офіційною мовою Французька Полінезія є <mask>.	французька мова	албанська мова, індонезійська мова, румунська мова, сербська мова, іврит, турецька мова, грузинська мова, болгарська мова, німецька мова, французька мова	Французька Полінезія
Офіційною мовою Уттар-Прадеш є <mask>.	урду	японська мова, російська мова, турецька мова, латинська мова, словенська мова, хорватська мова, тайська мова, каталанська, албанська мова, урду	Уттар-Прадеш
Офіційною мовою Європейський Союз є <mask>.	фінська мова	турецька мова, чеська мова, французька мова, іспанська мова, шведська мова, нідерландська мова, грецька мова, польська мова, естонська мова, фінська мова	Європейський Союз
Офіційною мовою Європейський Союз є <mask>.	словенська мова	латинська мова, грецька мова, корейська мова, англійська мова, словацька мова, хорватська мова, польська мова, урду, німецька мова, словенська мова	Європейський Союз
Офіційною мовою Гаїті є <mask>.	французька мова	російська мова, німецька мова, хорватська мова, урду, перська мова, грузинська мова, нідерландська мова, турецька мова, вірменська мова, французька мова	Гаїті
Офіційною мовою Вайомінг є <mask>.	англійська мова	українська мова, хорватська мова, словацька мова, чеська мова, литовська, фінська мова, японська мова, урду, турецька мова, англійська мова	Вайомінг
Офіційною мовою Уругвай є <mask>.	іспанська мова	німецька мова, турецька мова, сербська мова, нідерландська мова, урду, тайська мова, англійська мова, шведська мова, естонська мова, іспанська мова	Уругвай
Офіційною мовою Південна Осетія є <mask>.	грузинська мова	болгарська мова, англійська мова, чеська мова, словацька мова, турецька мова, нідерландська мова, португальська, вірменська мова, корейська мова, грузинська мова	Південна Осетія
Офіційною мовою Республіка Конго є <mask>.	французька мова	польська мова, іврит, тайська мова, хорватська мова, естонська мова, латинська мова, грецька мова, японська мова, турецька мова, французька мова	Республіка Конго
Офіційною мовою Соломонові Острови є <mask>.	англійська мова	французька мова, угорська мова, тайська мова, словацька мова, ісландська мова, болгарська мова, корейська мова, китайська мова, російська мова, англійська мова	Соломонові Острови
Офіційною мовою Острів Пасхи є <mask>.	іспанська мова	російська мова, чеська мова, латинська мова, данська мова, японська мова, угорська мова, ісландська мова, грузинська мова, шведська мова, іспанська мова	Острів Пасхи
Офіційною мовою Бразилія є <mask>.	португальська	урду, ісландська мова, сербська мова, тайська мова, фінська мова, грузинська мова, баскська мова, словацька мова, литовська, португальська	Бразилія
