Prompt	Ans	Candidate Ans	Subject
Michelangelo <mask> 'da öldü.	Roma	Venedik, Roma	Michelangelo
Richard Wagner <mask> 'da öldü.	Venedik	Roma, Venedik	Richard Wagner
Arap alfabesi, <mask> 'nin bir alt sınıfıdır.	alfabe	biyoloji, alfabe	Arap alfabesi
ekoloji, <mask> 'nin bir alt sınıfıdır.	biyoloji	alfabe, biyoloji	ekoloji
Fransız Polinezyası 'un resmi dili <mask>' dir.	Fransızca	Arnavutça, Endonezce, Rumence, Sırpça, İbranice, Türkçe, Gürcüce, bulgarca, Almanca, Fransızca	Fransız Polinezyası
Uttar Pradeş 'un resmi dili <mask>' dir.	Urduca	Japonca, Rusça, Türkçe, Latince, Slovence, Hırvatça, Tayca, Katalanca, Arnavutça, Urduca	Uttar Pradeş
Avrupa Birliği 'un resmi dili <mask>' dir.	Fince	Türkçe, Çekçe, Fransızca, İspanyolca, İsveççe, Felemenkçe, Yunanca, Lehçe, Estonca, Fince	Avrupa Birliği
Avrupa Birliği 'un resmi dili <mask>' dir.	Slovence	Latince, Yunanca, Korece, İngilizce, Slovakça, Hırvatça, Lehçe, Urduca, Almanca, Slovence	Avrupa Birliği
Haiti 'un resmi dili <mask>' dir.	Fransızca	Rusça, Almanca, Hırvatça, Urduca, Farsça, Gürcüce, Felemenkçe, Türkçe, ermenice, Fransızca	Haiti
Wyoming 'un resmi dili <mask>' dir.	İngilizce	Ukraynaca, Hırvatça, Slovakça, Çekçe, Litvanca, Fince, Japonca, Urduca, Türkçe, İngilizce	Wyoming
Uruguay 'un resmi dili <mask>' dir.	İspanyolca	Almanca, Türkçe, Sırpça, Felemenkçe, Urduca, Tayca, İngilizce, İsveççe, Estonca, İspanyolca	Uruguay
Güney Osetya 'un resmi dili <mask>' dir.	Gürcüce	bulgarca, İngilizce, Çekçe, Slovakça, Türkçe, Felemenkçe, Portekizce, ermenice, Korece, Gürcüce	Güney Osetya
Kongo Cumhuriyeti 'un resmi dili <mask>' dir.	Fransızca	Lehçe, İbranice, Tayca, Hırvatça, Estonca, Latince, Yunanca, Japonca, Türkçe, Fransızca	Kongo Cumhuriyeti
Solomon Adaları 'un resmi dili <mask>' dir.	İngilizce	Fransızca, Macarca, Tayca, Slovakça, İzlandaca, bulgarca, Korece, Çince, Rusça, İngilizce	Solomon Adaları
Paskalya Adası 'un resmi dili <mask>' dir.	İspanyolca	Rusça, Çekçe, Latince, Danca, Japonca, Macarca, İzlandaca, Gürcüce, İsveççe, İspanyolca	Paskalya Adası
Brezilya 'un resmi dili <mask>' dir.	Portekizce	Urduca, İzlandaca, Sırpça, Tayca, Fince, Gürcüce, Baskça, Slovakça, Litvanca, Portekizce	Brezilya
Meksika 'un resmi dili <mask>' dir.	İspanyolca	İtalyanca, Çince, Estonca, Rumence, ermenice, Katalanca, Baskça, Fransızca, Urduca, İspanyolca	Meksika
Gambiya 'un resmi dili <mask>' dir.	İngilizce	Sırpça, Rusça, Azerice, Lehçe, İspanyolca, Estonca, İtalyanca, Latince, Slovakça, İngilizce	Gambiya
Man Adası 'un resmi dili <mask>' dir.	İngilizce	Hırvatça, Korece, Fince, Çince, Fransızca, Tayca, Japonca, Sırpça, Baskça, İngilizce	Man Adası
Mississippi 'un resmi dili <mask>' dir.	İngilizce	Yunanca, Japonca, Danca, Çince, Rumence, Felemenkçe, Hırvatça, Urduca, ermenice, İngilizce	Mississippi
Makao 'un resmi dili <mask>' dir.	Çince	İsveççe, Arnavutça, Çekçe, Endonezce, Fransızca, Almanca, Tayca, Hırvatça, Rumence, Çince	Makao
İsrail 'un resmi dili <mask>' dir.	İbranice	İzlandaca, Rumence, İngilizce, Katalanca, Slovakça, Yunanca, Macarca, Lehçe, bulgarca, İbranice	İsrail
Samoa 'un resmi dili <mask>' dir.	İngilizce	İbranice, Slovakça, ermenice, İspanyolca, Macarca, Korece, Urduca, Çince, Japonca, İngilizce	Samoa
İsviçre 'un resmi dili <mask>' dir.	Fransızca	Hırvatça, İbranice, Latince, Almanca, Macarca, Azerice, İspanyolca, Ukraynaca, Felemenkçe, Fransızca	İsviçre
Belçika 'un resmi dili <mask>' dir.	Almanca	Fince, İtalyanca, Azerice, İzlandaca, Yunanca, Çince, ermenice, Gürcüce, Arnavutça, Almanca	Belçika
Nauru 'un resmi dili <mask>' dir.	İngilizce	Azerice, Macarca, Ukraynaca, Arnavutça, İbranice, Hırvatça, Danca, Fransızca, İtalyanca, İngilizce	Nauru
Falkland Adaları 'un resmi dili <mask>' dir.	İngilizce	Endonezce, Yunanca, İbranice, Latince, Slovakça, Çince, ermenice, Gürcüce, İzlandaca, İngilizce	Falkland Adaları
Gine 'un resmi dili <mask>' dir.	Fransızca	Çekçe, Japonca, Rumence, Estonca, Türkçe, İzlandaca, Endonezce, Fince, İspanyolca, Fransızca	Gine
Avustralya 'un resmi dili <mask>' dir.	İngilizce	İsveççe, İzlandaca, Slovakça, Latince, Korece, Hırvatça, Türkçe, Fransızca, Azerice, İngilizce	Avustralya
Peru 'un resmi dili <mask>' dir.	İspanyolca	Lehçe, Macarca, İzlandaca, Felemenkçe, ermenice, İsveççe, bulgarca, İbranice, Çekçe, İspanyolca	Peru
Lesotho 'un resmi dili <mask>' dir.	İngilizce	Estonca, Litvanca, Sırpça, Portekizce, Fince, Rusça, Fransızca, Tayca, Macarca, İngilizce	Lesotho
Hindistan 'un resmi dili <mask>' dir.	İngilizce	bulgarca, Litvanca, Tayca, Arnavutça, Felemenkçe, Çince, Lehçe, Estonca, İspanyolca, İngilizce	Hindistan
Zimbabve 'un resmi dili <mask>' dir.	İngilizce	İbranice, Litvanca, Arnavutça, bulgarca, Lehçe, Gürcüce, Türkçe, Danca, Fransızca, İngilizce	Zimbabve
Cibuti 'un resmi dili <mask>' dir.	Fransızca	Slovence, Felemenkçe, İngilizce, İzlandaca, İbranice, İtalyanca, Ukraynaca, Slovakça, Fince, Fransızca	Cibuti
Montana 'un resmi dili <mask>' dir.	İngilizce	Slovakça, Azerice, Çekçe, Arnavutça, bulgarca, Rusça, Japonca, Felemenkçe, Slovence, İngilizce	Montana
Bahamalar 'un resmi dili <mask>' dir.	İngilizce	Sırpça, Baskça, Farsça, Endonezce, bulgarca, Gürcüce, İspanyolca, Macarca, Ukraynaca, İngilizce	Bahamalar
Ontario 'un resmi dili <mask>' dir.	İngilizce	Almanca, Macarca, Korece, Çekçe, Urduca, Sırpça, İtalyanca, Rusça, Lehçe, İngilizce	Ontario
Alberta 'un resmi dili <mask>' dir.	İngilizce	Yunanca, Çekçe, Danca, Latince, Ukraynaca, Almanca, Slovence, İsveççe, Katalanca, İngilizce	Alberta
Karadağ 'un resmi dili <mask>' dir.	Sırpça	Estonca, Latince, İtalyanca, Urduca, Katalanca, Azerice, Fransızca, Gürcüce, İspanyolca, Sırpça	Karadağ
Esvatini 'un resmi dili <mask>' dir.	İngilizce	İbranice, Farsça, bulgarca, Baskça, Arnavutça, İsveççe, Fransızca, Korece, Slovakça, İngilizce	Esvatini
Avrupa Birliği 'un resmi dili <mask>' dir.	Felemenkçe	Yunanca, Litvanca, İzlandaca, Latince, Ukraynaca, Lehçe, Hırvatça, İngilizce, Estonca, Felemenkçe	Avrupa Birliği
Grenada 'un resmi dili <mask>' dir.	İngilizce	Macarca, Litvanca, Sırpça, Latince, Portekizce, İbranice, ermenice, bulgarca, Yunanca, İngilizce	Grenada
Çeçenistan 'un resmi dili <mask>' dir.	Rusça	Fince, Portekizce, Slovakça, Baskça, Macarca, Latince, Azerice, Tayca, Rumence, Rusça	Çeçenistan
Ruanda 'un resmi dili <mask>' dir.	İngilizce	Endonezce, Lehçe, Portekizce, Urduca, Tayca, İbranice, Yunanca, İsveççe, Fransızca, İngilizce	Ruanda
Finlandiya 'un resmi dili <mask>' dir.	Fince	İsveççe, Estonca, Korece, Japonca, İzlandaca, Çince, İbranice, Azerice, Danca, Fince	Finlandiya
Nebraska 'un resmi dili <mask>' dir.	İngilizce	Çekçe, bulgarca, Litvanca, Rusça, Fince, Çince, Katalanca, Korece, ermenice, İngilizce	Nebraska
Polonya 'un resmi dili <mask>' dir.	Lehçe	Slovence, İsveççe, Tayca, Hırvatça, Çekçe, İngilizce, Çince, ermenice, İtalyanca, Lehçe	Polonya
Basel 'un resmi dili <mask>' dir.	Almanca	Fince, Rumence, Sırpça, Danca, Çince, Urduca, Estonca, Farsça, Japonca, Almanca	Basel
Arkansas 'un resmi dili <mask>' dir.	İngilizce	İtalyanca, Baskça, İzlandaca, Çekçe, Çince, Macarca, Slovakça, Sırpça, Danca, İngilizce	Arkansas
Romanya 'un resmi dili <mask>' dir.	Rumence	Rusça, Arnavutça, Felemenkçe, Latince, Çince, İngilizce, Urduca, Ukraynaca, Danca, Rumence	Romanya
Avrupa Birliği 'un resmi dili <mask>' dir.	Yunanca	İzlandaca, Ukraynaca, Baskça, Çince, Portekizce, Fince, Danca, Azerice, İsveççe, Yunanca	Avrupa Birliği
Kenya 'un resmi dili <mask>' dir.	İngilizce	Litvanca, Almanca, Baskça, Endonezce, İbranice, Hırvatça, Ukraynaca, İspanyolca, Fince, İngilizce	Kenya
Gana 'un resmi dili <mask>' dir.	İngilizce	Rumence, Gürcüce, İtalyanca, Estonca, Danca, bulgarca, Çekçe, Endonezce, Macarca, İngilizce	Gana
Slovenya 'un resmi dili <mask>' dir.	Slovence	Sırpça, ermenice, Farsça, İzlandaca, Türkçe, Lehçe, Estonca, Urduca, Ukraynaca, Slovence	Slovenya
Moldova 'un resmi dili <mask>' dir.	Rumence	Baskça, Fransızca, İsveççe, Portekizce, Korece, Almanca, Sırpça, Japonca, Danca, Rumence	Moldova
Fransız Guyanası 'un resmi dili <mask>' dir.	Fransızca	İspanyolca, Gürcüce, Sırpça, Endonezce, Urduca, İtalyanca, İzlandaca, Baskça, Yunanca, Fransızca	Fransız Guyanası
Litvanya 'un resmi dili <mask>' dir.	Litvanca	Rusça, Slovence, Katalanca, Slovakça, Rumence, Portekizce, Baskça, Ukraynaca, Almanca, Litvanca	Litvanya
