Prompt	Ans	Candidate Ans	Subject
Michelangelo dog i <mask>.	Rom	Venedig, Rom	Michelangelo
Richard Wagner dog i <mask>.	Venedig	Rom, Venedig	Richard Wagner
arabiska alfabetet är en underklass av <mask>.	alfabet	biologi, alfabet	arabiska alfabetet
ekologi är en underklass av <mask>.	biologi	alfabet, biologi	ekologi
Det officiella språket för Franska Polynesien är <mask>.	franska	albanska, indonesiska, rumänska, serbiska, hebreiska, turkiska, georgiska, bulgariska, tyska, franska	Franska Polynesien
Det officiella språket för Uttar Pradesh är <mask>.	urdu	japanska, ryska, turkiska, latin, slovenska, kroatiska, thai, katalanska, albanska, urdu	Uttar Pradesh
Det officiella språket för Europeiska unionen är <mask>.	finska	turkiska, tjeckiska, franska, spanska, svenska, nederländska, grekiska, polska, estniska, finska	Europeiska unionen
Det officiella språket för Europeiska unionen är <mask>.	slovenska	latin, grekiska, koreanska, engelska, slovakiska, kroatiska, polska, urdu, tyska, slovenska	Europeiska unionen
Det officiella språket för Haiti är <mask>.	franska	ryska, tyska, kroatiska, urdu, persiska, georgiska, nederländska, turkiska, armeniska, franska	Haiti
Det officiella språket för Wyoming är <mask>.	engelska	ukrainska, kroatiska, slovakiska, tjeckiska, litauiska, finska, japanska, urdu, turkiska, engelska	Wyoming
Det officiella språket för Uruguay är <mask>.	spanska	tyska, turkiska, serbiska, nederländska, urdu, thai, engelska, svenska, estniska, spanska	Uruguay
Det officiella språket för Sydossetien är <mask>.	georgiska	bulgariska, engelska, tjeckiska, slovakiska, turkiska, nederländska, portugisiska, armeniska, koreanska, georgiska	Sydossetien
Det officiella språket för Kongo-Brazzaville är <mask>.	franska	polska, hebreiska, thai, kroatiska, estniska, latin, grekiska, japanska, turkiska, franska	Kongo-Brazzaville
Det officiella språket för Salomonöarna är <mask>.	engelska	franska, ungerska, thai, slovakiska, isländska, bulgariska, koreanska, kinesiska, ryska, engelska	Salomonöarna
Det officiella språket för Påskön är <mask>.	spanska	ryska, tjeckiska, latin, danska, japanska, ungerska, isländska, georgiska, svenska, spanska	Påskön
Det officiella språket för Brasilien är <mask>.	portugisiska	urdu, isländska, serbiska, thai, finska, georgiska, baskiska, slovakiska, litauiska, portugisiska	Brasilien
Det officiella språket för Mexiko är <mask>.	spanska	italienska, kinesiska, estniska, rumänska, armeniska, katalanska, baskiska, franska, urdu, spanska	Mexiko
Det officiella språket för Gambia är <mask>.	engelska	serbiska, ryska, azerbajdzjanska, polska, spanska, estniska, italienska, latin, slovakiska, engelska	Gambia
Det officiella språket för Isle of Man är <mask>.	engelska	kroatiska, koreanska, finska, kinesiska, franska, thai, japanska, serbiska, baskiska, engelska	Isle of Man
Det officiella språket för Mississippi är <mask>.	engelska	grekiska, japanska, danska, kinesiska, rumänska, nederländska, kroatiska, urdu, armeniska, engelska	Mississippi
Det officiella språket för Macao är <mask>.	kinesiska	svenska, albanska, tjeckiska, indonesiska, franska, tyska, thai, kroatiska, rumänska, kinesiska	Macao
Det officiella språket för Israel är <mask>.	hebreiska	isländska, rumänska, engelska, katalanska, slovakiska, grekiska, ungerska, polska, bulgariska, hebreiska	Israel
Det officiella språket för Samoa är <mask>.	engelska	hebreiska, slovakiska, armeniska, spanska, ungerska, koreanska, urdu, kinesiska, japanska, engelska	Samoa
Det officiella språket för Schweiz är <mask>.	franska	kroatiska, hebreiska, latin, tyska, ungerska, azerbajdzjanska, spanska, ukrainska, nederländska, franska	Schweiz
Det officiella språket för Belgien är <mask>.	tyska	finska, italienska, azerbajdzjanska, isländska, grekiska, kinesiska, armeniska, georgiska, albanska, tyska	Belgien
Det officiella språket för Nauru är <mask>.	engelska	azerbajdzjanska, ungerska, ukrainska, albanska, hebreiska, kroatiska, danska, franska, italienska, engelska	Nauru
Det officiella språket för Falklandsöarna är <mask>.	engelska	indonesiska, grekiska, hebreiska, latin, slovakiska, kinesiska, armeniska, georgiska, isländska, engelska	Falklandsöarna
Det officiella språket för Guinea är <mask>.	franska	tjeckiska, japanska, rumänska, estniska, turkiska, isländska, indonesiska, finska, spanska, franska	Guinea
Det officiella språket för Australien är <mask>.	engelska	svenska, isländska, slovakiska, latin, koreanska, kroatiska, turkiska, franska, azerbajdzjanska, engelska	Australien
Det officiella språket för Peru är <mask>.	spanska	polska, ungerska, isländska, nederländska, armeniska, svenska, bulgariska, hebreiska, tjeckiska, spanska	Peru
Det officiella språket för Lesotho är <mask>.	engelska	estniska, litauiska, serbiska, portugisiska, finska, ryska, franska, thai, ungerska, engelska	Lesotho
Det officiella språket för Indien är <mask>.	engelska	bulgariska, litauiska, thai, albanska, nederländska, kinesiska, polska, estniska, spanska, engelska	Indien
Det officiella språket för Zimbabwe är <mask>.	engelska	hebreiska, litauiska, albanska, bulgariska, polska, georgiska, turkiska, danska, franska, engelska	Zimbabwe
Det officiella språket för Djibouti är <mask>.	franska	slovenska, nederländska, engelska, isländska, hebreiska, italienska, ukrainska, slovakiska, finska, franska	Djibouti
Det officiella språket för Montana är <mask>.	engelska	slovakiska, azerbajdzjanska, tjeckiska, albanska, bulgariska, ryska, japanska, nederländska, slovenska, engelska	Montana
Det officiella språket för Bahamas är <mask>.	engelska	serbiska, baskiska, persiska, indonesiska, bulgariska, georgiska, spanska, ungerska, ukrainska, engelska	Bahamas
Det officiella språket för Ontario är <mask>.	engelska	tyska, ungerska, koreanska, tjeckiska, urdu, serbiska, italienska, ryska, polska, engelska	Ontario
Det officiella språket för Alberta är <mask>.	engelska	grekiska, tjeckiska, danska, latin, ukrainska, tyska, slovenska, svenska, katalanska, engelska	Alberta
Det officiella språket för Montenegro är <mask>.	serbiska	estniska, latin, italienska, urdu, katalanska, azerbajdzjanska, franska, georgiska, spanska, serbiska	Montenegro
Det officiella språket för Swaziland är <mask>.	engelska	hebreiska, persiska, bulgariska, baskiska, albanska, svenska, franska, koreanska, slovakiska, engelska	Swaziland
Det officiella språket för Europeiska unionen är <mask>.	nederländska	grekiska, litauiska, isländska, latin, ukrainska, polska, kroatiska, engelska, estniska, nederländska	Europeiska unionen
Det officiella språket för Grenada är <mask>.	engelska	ungerska, litauiska, serbiska, latin, portugisiska, hebreiska, armeniska, bulgariska, grekiska, engelska	Grenada
Det officiella språket för Tjetjenien är <mask>.	ryska	finska, portugisiska, slovakiska, baskiska, ungerska, latin, azerbajdzjanska, thai, rumänska, ryska	Tjetjenien
