Prompt	Ans	Candidate Ans	Subject
Michaelangelo Buonarroti meninggal di <mask>.	Roma	Venesia, Roma	Michaelangelo Buonarroti
Richard Wagner meninggal di <mask>.	Venesia	Roma, Venesia	Richard Wagner
abjad Arab adalah subkelas dari <mask>.	Alfabet	biologi, Alfabet	abjad Arab
Ekologi adalah subkelas dari <mask>.	biologi	Alfabet, biologi	Ekologi
Bahasa resmi Polinesia Prancis adalah <mask>.	Prancis	Bahasa Albania, Indonesia, Bahasa Rumania, Bahasa Serbia, Bahasa Ibrani, Bahasa Turki, Bahasa Georgia, Bahasa Bulgaria, Jerman, Prancis	Polinesia Prancis
Bahasa resmi Uttar Pradesh adalah <mask>.	Bahasa Urdu	Jepang, Rusia, Bahasa Turki, bahasa Latin, Bahasa Slovenia, Bahasa Kroasia, Thai, Bahasa Katala, Bahasa Albania, Bahasa Urdu	Uttar Pradesh
Bahasa resmi Uni Eropa adalah <mask>.	Finlandia	Bahasa Turki, Bahasa Ceska, Prancis, Spanyol, Swedia, Belanda, Yunani, Polandia, Bahasa Esti, Finlandia	Uni Eropa
Bahasa resmi Uni Eropa adalah <mask>.	Bahasa Slovenia	bahasa Latin, Yunani, Korea, Inggris, Bahasa Slowakia, Bahasa Kroasia, Polandia, Bahasa Urdu, Jerman, Bahasa Slovenia	Uni Eropa
Bahasa resmi Haiti adalah <mask>.	Prancis	Rusia, Jerman, Bahasa Kroasia, Bahasa Urdu, Persia, Bahasa Georgia, Belanda, Bahasa Turki, Bahasa Armenia, Prancis	Haiti
Bahasa resmi Wyoming adalah <mask>.	Inggris	Bahasa Ukraina, Bahasa Kroasia, Bahasa Slowakia, Bahasa Ceska, Bahasa Lituavi, Finlandia, Jepang, Bahasa Urdu, Bahasa Turki, Inggris	Wyoming
Bahasa resmi Uruguay adalah <mask>.	Spanyol	Jerman, Bahasa Turki, Bahasa Serbia, Belanda, Bahasa Urdu, Thai, Inggris, Swedia, Bahasa Esti, Spanyol	Uruguay
Bahasa resmi Ossetia Selatan adalah <mask>.	Bahasa Georgia	Bahasa Bulgaria, Inggris, Bahasa Ceska, Bahasa Slowakia, Bahasa Turki, Belanda, Portugis, Bahasa Armenia, Korea, Bahasa Georgia	Ossetia Selatan
Bahasa resmi Republik Kongo adalah <mask>.	Prancis	Polandia, Bahasa Ibrani, Thai, Bahasa Kroasia, Bahasa Esti, bahasa Latin, Yunani, Jepang, Bahasa Turki, Prancis	Republik Kongo
