Prompt	Ans	Candidate Ans	Subject
توفي ميكيلانجيلو في <mask>.	روما	البندقية, روما	ميكيلانجيلو
توفي ريتشارد فاغنر في <mask>.	البندقية	روما, البندقية	ريتشارد فاغنر
أبجدية عربية هي فئة فرعية من <mask>.	ألفبائية	علم الأحياء, ألفبائية	أبجدية عربية
علم البيئة هي فئة فرعية من <mask>.	علم الأحياء	ألفبائية, علم الأحياء	علم البيئة
اللغة الرسمية لـ بولينزيا الفرنسية هي <mask>.	الفرنسية	الألبانية, الإندونيسية, الرومانية, الصربية, العبرية, التركية, الجورجية, البلغارية, الألمانية, الفرنسية	بولينزيا الفرنسية
اللغة الرسمية لـ أتر برديش هي <mask>.	الأردية	اليابانية, الروسية, التركية, اللاتينية, السلوفينية, الكرواتية, التايلندية, الكتالونية, الألبانية, الأردية	أتر برديش
اللغة الرسمية لـ الاتحاد الأوروبي هي <mask>.	الفنلندية	التركية, التشيكية, الفرنسية, الإسبانية, السويدية, الهولندية, اليونانية, البولندية, الإستونية, الفنلندية	الاتحاد الأوروبي
اللغة الرسمية لـ الاتحاد الأوروبي هي <mask>.	السلوفينية	اللاتينية, اليونانية, الكورية, الإنجليزية, السلوفاكية, الكرواتية, البولندية, الأردية, الألمانية, السلوفينية	الاتحاد الأوروبي
اللغة الرسمية لـ هايتي هي <mask>.	الفرنسية	الروسية, الألمانية, الكرواتية, الأردية, الفارسية, الجورجية, الهولندية, التركية, الأرمنية, الفرنسية	هايتي
اللغة الرسمية لـ وايومنغ هي <mask>.	الإنجليزية	الأوكرانية, الكرواتية, السلوفاكية, التشيكية, الليتوانية, الفنلندية, اليابانية, الأردية, التركية, الإنجليزية	وايومنغ
اللغة الرسمية لـ الأوروغواي هي <mask>.	الإسبانية	الألمانية, التركية, الصربية, الهولندية, الأردية, التايلندية, الإنجليزية, السويدية, الإستونية, الإسبانية	الأوروغواي
اللغة الرسمية لـ أوسيتيا الجنوبية هي <mask>.	الجورجية	البلغارية, الإنجليزية, التشيكية, السلوفاكية, التركية, الهولندية, البرتغالية, الأرمنية, الكورية, الجورجية	أوسيتيا الجنوبية
اللغة الرسمية لـ جمهورية الكونغو هي <mask>.	الفرنسية	البولندية, العبرية, التايلندية, الكرواتية, الإستونية, اللاتينية, اليونانية, اليابانية, التركية, الفرنسية	جمهورية الكونغو
اللغة الرسمية لـ جزر سليمان هي <mask>.	الإنجليزية	الفرنسية, المجرية, التايلندية, السلوفاكية, الآيسلندية, البلغارية, الكورية, الصينية, الروسية, الإنجليزية	جزر سليمان
اللغة الرسمية لـ جزيرة القيامة هي <mask>.	الإسبانية	الروسية, التشيكية, اللاتينية, الدنماركية, اليابانية, المجرية, الآيسلندية, الجورجية, السويدية, الإسبانية	جزيرة القيامة
اللغة الرسمية لـ البرازيل هي <mask>.	البرتغالية	الأردية, الآيسلندية, الصربية, التايلندية, الفنلندية, الجورجية, الباسكية, السلوفاكية, الليتوانية, البرتغالية	البرازيل
اللغة الرسمية لـ المكسيك هي <mask>.	الإسبانية	الإيطالية, الصينية, الإستونية, الرومانية, الأرمنية, الكتالونية, الباسكية, الفرنسية, الأردية, الإسبانية	المكسيك
