Prompt	Ans	Candidate Ans	Subject
Carles II de Castella va néixer a <mask>.	Madrid	Toronto, Londres, Belgrad, Manchester, Nàpols, Brooklyn, Viena, Istanbul, Ginebra, Madrid	Carles II de Castella
David Coulthard va néixer a <mask>.	Escòcia	Brooklyn, Viena, Pequín, Belfast, París, Istanbul, Houston, Milà, Westminster, Escòcia	David Coulthard
Christina Rossetti va néixer a <mask>.	Londres	Belfast, Como, Moscou, Istanbul, Berlín, Escòcia, Roma, Manchester, Armènia, Londres	Christina Rossetti
Kenny Rogers va néixer a <mask>.	Houston	Istanbul, Belgrad, Chicago, Madrid, París, Londres, Milà, Viena, Brooklyn, Houston	Kenny Rogers
al-Hussayn ibn Alí ibn Abi-Tàlib va néixer a <mask>.	Medina	París, Moscou, Berlín, Ginebra, Brooklyn, Roma, Escòcia, Pequín, Belgrad, Medina	al-Hussayn ibn Alí ibn Abi-Tàlib
William Thomson va néixer a <mask>.	Belfast	Moscou, Ginebra, Madrid, Westminster, París, Medina, Belgrad, Pequín, Roma, Belfast	William Thomson
Alfred Adler va néixer a <mask>.	Viena	París, Madrid, Toronto, Colònia, Como, Londres, Belfast, Istanbul, Munic, Viena	Alfred Adler
Chus Lampreave va néixer a <mask>.	Madrid	Nàpols, Roma, La Meca, Chicago, Armènia, Londres, Como, Escòcia, Istanbul, Madrid	Chus Lampreave
Serguei Lavrov va néixer a <mask>.	Moscou	Pequín, Ginebra, Medina, Istanbul, Belfast, Belgrad, Madrid, Westminster, Londres, Moscou	Serguei Lavrov
Konrad Lorenz va néixer a <mask>.	Viena	La Meca, Milà, Berlín, Belgrad, Londres, Chicago, Pequín, Istanbul, Belfast, Viena	Konrad Lorenz
Lou Reed va néixer a <mask>.	Brooklyn	Houston, Ginebra, Munic, Roma, Viena, Medina, Westminster, Colònia, Berlín, Brooklyn	Lou Reed
Lleó V l'Armeni va néixer a <mask>.	Armènia	Berlín, Toronto, Colònia, La Meca, Manchester, Moscou, Como, Istanbul, Madrid, Armènia	Lleó V l'Armeni
Marco Delvecchio va néixer a <mask>.	Milà	La Meca, Munic, Westminster, Colònia, Pequín, Belgrad, Ginebra, Toronto, Armènia, Milà	Marco Delvecchio
Carl Orff va néixer a <mask>.	Munic	Roma, Toronto, Houston, Manchester, Viena, Pequín, Colònia, Chicago, Berlín, Munic	Carl Orff
Plini el Vell va néixer a <mask>.	Como	Toronto, Munic, Ginebra, París, Milà, Westminster, Manchester, Berlín, Londres, Como	Plini el Vell
Frederic Guillem II de Prússia va néixer a <mask>.	Berlín	Armènia, Madrid, Toronto, Belfast, Westminster, Escòcia, Houston, París, Colònia, Berlín	Frederic Guillem II de Prússia
Bonifaci III va néixer a <mask>.	Roma	Brooklyn, Nàpols, Houston, Como, Moscou, Manchester, Milà, Belgrad, París, Roma	Bonifaci III
Claudio Abbado va néixer a <mask>.	Milà	Madrid, Colònia, Belgrad, Belfast, Viena, Chicago, Pequín, Londres, Berlín, Milà	Claudio Abbado
Enrico Caruso va néixer a <mask>.	Nàpols	Colònia, Roma, Como, Manchester, Viena, Berlín, París, Escòcia, Houston, Nàpols	Enrico Caruso
Mehmet VI va néixer a <mask>.	Istanbul	Madrid, Westminster, Munic, Belfast, Belgrad, Moscou, Ginebra, Toronto, Houston, Istanbul	Mehmet VI
Dennis Farina va néixer a <mask>.	Chicago	Moscou, Belfast, Toronto, Berlín, Madrid, Milà, Armènia, Nàpols, Istanbul, Chicago	Dennis Farina
Mark Strong va néixer a <mask>.	Londres	Milà, Madrid, Belfast, Ginebra, Roma, Brooklyn, Toronto, París, Houston, Londres	Mark Strong
Eduard I d'Anglaterra va néixer a <mask>.	Westminster	Colònia, Brooklyn, Moscou, Ginebra, Milà, Toronto, Viena, Armènia, Medina, Westminster	Eduard I d'Anglaterra
The Weeknd va néixer a <mask>.	Toronto	Manchester, Milà, Londres, Colònia, La Meca, Westminster, Berlín, Madrid, Houston, Toronto	The Weeknd
Larry King va néixer a <mask>.	Brooklyn	Ginebra, Como, Roma, Medina, París, Berlín, Colònia, Munic, Chicago, Brooklyn	Larry King
Arthur Harden va néixer a <mask>.	Manchester	Londres, Roma, Colònia, Belfast, Escòcia, La Meca, Istanbul, Toronto, Moscou, Manchester	Arthur Harden
marquès de Sade va néixer a <mask>.	París	Medina, Milà, Houston, Manchester, Nàpols, Istanbul, Toronto, La Meca, Roma, París	marquès de Sade
Zhang Ziyi va néixer a <mask>.	Pequín	Nàpols, Medina, Chicago, Berlín, Belgrad, Madrid, Roma, Moscou, La Meca, Pequín	Zhang Ziyi
