Prompt	Ans	Candidate Ans	Subject
Michelangelo morreu em <mask>.	Roma	Veneza, Roma	Michelangelo
Richard Wagner morreu em <mask>.	Veneza	Roma, Veneza	Richard Wagner
alfabeto árabe é uma subclasse de <mask>.	alfabeto	biologia, alfabeto	alfabeto árabe
ecologia é uma subclasse de <mask>.	biologia	alfabeto, biologia	ecologia
O idioma oficial de Polinésia Francesa é <mask>.	francês	língua albanesa, língua indonésia, Língua romena, língua sérvia, hebraico, língua turca, Língua georgiana, língua búlgara, alemão, francês	Polinésia Francesa
O idioma oficial de Uttar Pradesh é <mask>.	Língua urdu	japonês, russo, língua turca, latim, língua eslovena, Língua croata, Língua tailandesa, língua catalã, língua albanesa, Língua urdu	Uttar Pradesh
O idioma oficial de União Europeia é <mask>.	finlandês	língua turca, checo, francês, espanhol, língua sueca, holandês, grego, polaco, estónio, finlandês	União Europeia
O idioma oficial de União Europeia é <mask>.	língua eslovena	latim, grego, coreano, inglês, eslovaco, Língua croata, polaco, Língua urdu, alemão, língua eslovena	União Europeia
O idioma oficial de Haiti é <mask>.	francês	russo, alemão, Língua croata, Língua urdu, língua persa, Língua georgiana, holandês, língua turca, língua arménia, francês	Haiti
O idioma oficial de Wyoming é <mask>.	inglês	ucraniano, Língua croata, eslovaco, checo, língua lituana, finlandês, japonês, Língua urdu, língua turca, inglês	Wyoming
O idioma oficial de Uruguai é <mask>.	espanhol	alemão, língua turca, língua sérvia, holandês, Língua urdu, Língua tailandesa, inglês, língua sueca, estónio, espanhol	Uruguai
O idioma oficial de Ossétia do Sul é <mask>.	Língua georgiana	língua búlgara, inglês, checo, eslovaco, língua turca, holandês, português, língua arménia, coreano, Língua georgiana	Ossétia do Sul
O idioma oficial de República do Congo é <mask>.	francês	polaco, hebraico, Língua tailandesa, Língua croata, estónio, latim, grego, japonês, língua turca, francês	República do Congo
O idioma oficial de Ilhas Salomão é <mask>.	inglês	francês, húngaro, Língua tailandesa, eslovaco, islandês, língua búlgara, coreano, língua chinesa, russo, inglês	Ilhas Salomão
O idioma oficial de Ilha de Páscoa é <mask>.	espanhol	russo, checo, latim, dinamarquês, japonês, húngaro, islandês, Língua georgiana, língua sueca, espanhol	Ilha de Páscoa
O idioma oficial de Brasil é <mask>.	português	Língua urdu, islandês, língua sérvia, Língua tailandesa, finlandês, Língua georgiana, basco, eslovaco, língua lituana, português	Brasil
O idioma oficial de México é <mask>.	espanhol	italiano, língua chinesa, estónio, Língua romena, língua arménia, língua catalã, basco, francês, Língua urdu, espanhol	México
O idioma oficial de Gâmbia é <mask>.	inglês	língua sérvia, russo, Língua azeri, polaco, espanhol, estónio, italiano, latim, eslovaco, inglês	Gâmbia
O idioma oficial de Ilha de Man é <mask>.	inglês	Língua croata, coreano, finlandês, língua chinesa, francês, Língua tailandesa, japonês, língua sérvia, basco, inglês	Ilha de Man
O idioma oficial de Mississippi é <mask>.	inglês	grego, japonês, dinamarquês, língua chinesa, Língua romena, holandês, Língua croata, Língua urdu, língua arménia, inglês	Mississippi
O idioma oficial de Macau é <mask>.	língua chinesa	língua sueca, língua albanesa, checo, língua indonésia, francês, alemão, Língua tailandesa, Língua croata, Língua romena, língua chinesa	Macau
O idioma oficial de Israel é <mask>.	hebraico	islandês, Língua romena, inglês, língua catalã, eslovaco, grego, húngaro, polaco, língua búlgara, hebraico	Israel
O idioma oficial de Samoa é <mask>.	inglês	hebraico, eslovaco, língua arménia, espanhol, húngaro, coreano, Língua urdu, língua chinesa, japonês, inglês	Samoa
