Prompt	Ans	Candidate Ans	Subject
მიქელანჯელო ბუანაროტი გარდაიცვალა <mask> -ში.	რომი	ვენეცია, რომი	მიქელანჯელო ბუანაროტი
რიხარდ ვაგნერი გარდაიცვალა <mask> -ში.	ვენეცია	რომი, ვენეცია	რიხარდ ვაგნერი
არაბული დამწერლობა არის <mask> ქვეკლასე.	ანბანი	ბიოლოგია, ანბანი	არაბული დამწერლობა
ეკოლოგია არის <mask> ქვეკლასე.	ბიოლოგია	ანბანი, ბიოლოგია	ეკოლოგია
საფრანგეთის პოლინეზია -ის ოფიციალური ენაა <mask>.	ფრანგული ენა	ალბანური ენა, ინდონეზიური ენა, რუმინული ენა, სერბული ენა, ებრაული ენა, თურქული ენა, ქართული ენა, ბულგარული ენა, გერმანული ენა, ფრანგული ენა	საფრანგეთის პოლინეზია
უტარ-პრადეში -ის ოფიციალური ენაა <mask>.	ურდუ ენა	იაპონური ენა, რუსული ენა, თურქული ენა, ლათინური ენა, სლოვენური ენა, ხორვატული ენა, ტაი ენა, კატალანური ენა, ალბანური ენა, ურდუ ენა	უტარ-პრადეში
ევროპის კავშირი -ის ოფიციალური ენაა <mask>.	ფინური ენა	თურქული ენა, ჩეხური ენა, ფრანგული ენა, ესპანური ენა, შვედური ენა, ნიდერლანდური ენა, ბერძნული ენა, პოლონური ენა, ესტონური ენა, ფინური ენა	ევროპის კავშირი
ევროპის კავშირი -ის ოფიციალური ენაა <mask>.	სლოვენური ენა	ლათინური ენა, ბერძნული ენა, კორეული ენა, ინგლისური ენა, სლოვაკური ენა, ხორვატული ენა, პოლონური ენა, ურდუ ენა, გერმანული ენა, სლოვენური ენა	ევროპის კავშირი
ჰაიტი -ის ოფიციალური ენაა <mask>.	ფრანგული ენა	რუსული ენა, გერმანული ენა, ხორვატული ენა, ურდუ ენა, სპარსული ენა, ქართული ენა, ნიდერლანდური ენა, თურქული ენა, სომხური ენა, ფრანგული ენა	ჰაიტი
ვაიომინგი -ის ოფიციალური ენაა <mask>.	ინგლისური ენა	უკრაინული ენა, ხორვატული ენა, სლოვაკური ენა, ჩეხური ენა, ლიტვური ენა, ფინური ენა, იაპონური ენა, ურდუ ენა, თურქული ენა, ინგლისური ენა	ვაიომინგი
