Prompt	Ans	Candidate Ans	Subject
มีเกลันเจโล เสียชีวิตใน <mask>	โรม	เวนิส, โรม	มีเกลันเจโล
ริชชาร์ท วากเนอร์ เสียชีวิตใน <mask>	เวนิส	โรม, เวนิส	ริชชาร์ท วากเนอร์
อักษรอาหรับ เป็นคลาสย่อยของ <mask>	อักษร	ชีววิทยา, อักษร	อักษรอาหรับ
นิเวศวิทยา เป็นคลาสย่อยของ <mask>	ชีววิทยา	อักษร, ชีววิทยา	นิเวศวิทยา
ภาษาราชการของ เฟรนช์พอลินีเชีย คือ <mask>	ภาษาฝรั่งเศส	ภาษาแอลเบเนีย, ภาษาอินโดนีเซีย, ภาษาโรมาเนีย, ภาษาเซอร์เบีย, ภาษาฮีบรู, ภาษาตุรกี, ภาษาจอร์เจีย, ภาษาบัลแกเรีย, ภาษาเยอรมัน, ภาษาฝรั่งเศส	เฟรนช์พอลินีเชีย
ภาษาราชการของ รัฐอุตตรประเทศ คือ <mask>	ภาษาอูรดู	ภาษาญี่ปุ่น, ภาษารัสเซีย, ภาษาตุรกี, ภาษาละติน, ภาษาสโลวีเนีย, ภาษาโครเอเชีย, ภาษาไทย, ภาษากาตาลา, ภาษาแอลเบเนีย, ภาษาอูรดู	รัฐอุตตรประเทศ
ภาษาราชการของ สหภาพยุโรป คือ <mask>	ภาษาฟินแลนด์	ภาษาตุรกี, ภาษาเช็ก, ภาษาฝรั่งเศส, ภาษาสเปน, ภาษาสวีเดน, ภาษาดัตช์, ภาษากรีก, ภาษาโปแลนด์, ภาษาเอสโตเนีย, ภาษาฟินแลนด์	สหภาพยุโรป
ภาษาราชการของ สหภาพยุโรป คือ <mask>	ภาษาสโลวีเนีย	ภาษาละติน, ภาษากรีก, ภาษาเกาหลี, ภาษาอังกฤษ, ภาษาสโลวัก, ภาษาโครเอเชีย, ภาษาโปแลนด์, ภาษาอูรดู, ภาษาเยอรมัน, ภาษาสโลวีเนีย	สหภาพยุโรป
ภาษาราชการของ ประเทศเฮติ คือ <mask>	ภาษาฝรั่งเศส	ภาษารัสเซีย, ภาษาเยอรมัน, ภาษาโครเอเชีย, ภาษาอูรดู, ภาษาเปอร์เซีย, ภาษาจอร์เจีย, ภาษาดัตช์, ภาษาตุรกี, ภาษาอาร์มีเนีย, ภาษาฝรั่งเศส	ประเทศเฮติ
ภาษาราชการของ รัฐไวโอมิง คือ <mask>	ภาษาอังกฤษ	ภาษายูเครน, ภาษาโครเอเชีย, ภาษาสโลวัก, ภาษาเช็ก, ภาษาลิทัวเนีย, ภาษาฟินแลนด์, ภาษาญี่ปุ่น, ภาษาอูรดู, ภาษาตุรกี, ภาษาอังกฤษ	รัฐไวโอมิง
ภาษาราชการของ ประเทศอุรุกวัย คือ <mask>	ภาษาสเปน	ภาษาเยอรมัน, ภาษาตุรกี, ภาษาเซอร์เบีย, ภาษาดัตช์, ภาษาอูรดู, ภาษาไทย, ภาษาอังกฤษ, ภาษาสวีเดน, ภาษาเอสโตเนีย, ภาษาสเปน	ประเทศอุรุกวัย
ภาษาราชการของ เซาท์ออสซีเชีย คือ <mask>	ภาษาจอร์เจีย	ภาษาบัลแกเรีย, ภาษาอังกฤษ, ภาษาเช็ก, ภาษาสโลวัก, ภาษาตุรกี, ภาษาดัตช์, ภาษาโปรตุเกส, ภาษาอาร์มีเนีย, ภาษาเกาหลี, ภาษาจอร์เจีย	เซาท์ออสซีเชีย
ภาษาราชการของ สาธารณรัฐคองโก คือ <mask>	ภาษาฝรั่งเศส	ภาษาโปแลนด์, ภาษาฮีบรู, ภาษาไทย, ภาษาโครเอเชีย, ภาษาเอสโตเนีย, ภาษาละติน, ภาษากรีก, ภาษาญี่ปุ่น, ภาษาตุรกี, ภาษาฝรั่งเศส	สาธารณรัฐคองโก
ภาษาราชการของ หมู่เกาะโซโลมอน คือ <mask>	ภาษาอังกฤษ	ภาษาฝรั่งเศส, ภาษาฮังการี, ภาษาไทย, ภาษาสโลวัก, ภาษาไอซ์แลนด์, ภาษาบัลแกเรีย, ภาษาเกาหลี, กลุ่มภาษาจีน, ภาษารัสเซีย, ภาษาอังกฤษ	หมู่เกาะโซโลมอน
ภาษาราชการของ เกาะอีสเตอร์ คือ <mask>	ภาษาสเปน	ภาษารัสเซีย, ภาษาเช็ก, ภาษาละติน, ภาษาเดนมาร์ก, ภาษาญี่ปุ่น, ภาษาฮังการี, ภาษาไอซ์แลนด์, ภาษาจอร์เจีย, ภาษาสวีเดน, ภาษาสเปน	เกาะอีสเตอร์
ภาษาราชการของ ประเทศบราซิล คือ <mask>	ภาษาโปรตุเกส	ภาษาอูรดู, ภาษาไอซ์แลนด์, ภาษาเซอร์เบีย, ภาษาไทย, ภาษาฟินแลนด์, ภาษาจอร์เจีย, ภาษาบาสก์, ภาษาสโลวัก, ภาษาลิทัวเนีย, ภาษาโปรตุเกส	ประเทศบราซิล
ภาษาราชการของ ประเทศเม็กซิโก คือ <mask>	ภาษาสเปน	ภาษาอิตาลี, กลุ่มภาษาจีน, ภาษาเอสโตเนีย, ภาษาโรมาเนีย, ภาษาอาร์มีเนีย, ภาษากาตาลา, ภาษาบาสก์, ภาษาฝรั่งเศส, ภาษาอูรดู, ภาษาสเปน	ประเทศเม็กซิโก
ภาษาราชการของ ประเทศแกมเบีย คือ <mask>	ภาษาอังกฤษ	ภาษาเซอร์เบีย, ภาษารัสเซีย, ภาษาอาเซอร์ไบจาน, ภาษาโปแลนด์, ภาษาสเปน, ภาษาเอสโตเนีย, ภาษาอิตาลี, ภาษาละติน, ภาษาสโลวัก, ภาษาอังกฤษ	ประเทศแกมเบีย
ภาษาราชการของ ไอล์ออฟแมน คือ <mask>	ภาษาอังกฤษ	ภาษาโครเอเชีย, ภาษาเกาหลี, ภาษาฟินแลนด์, กลุ่มภาษาจีน, ภาษาฝรั่งเศส, ภาษาไทย, ภาษาญี่ปุ่น, ภาษาเซอร์เบีย, ภาษาบาสก์, ภาษาอังกฤษ	ไอล์ออฟแมน
ภาษาราชการของ รัฐมิสซิสซิปปี คือ <mask>	ภาษาอังกฤษ	ภาษากรีก, ภาษาญี่ปุ่น, ภาษาเดนมาร์ก, กลุ่มภาษาจีน, ภาษาโรมาเนีย, ภาษาดัตช์, ภาษาโครเอเชีย, ภาษาอูรดู, ภาษาอาร์มีเนีย, ภาษาอังกฤษ	รัฐมิสซิสซิปปี
ภาษาราชการของ มาเก๊า คือ <mask>	กลุ่มภาษาจีน	ภาษาสวีเดน, ภาษาแอลเบเนีย, ภาษาเช็ก, ภาษาอินโดนีเซีย, ภาษาฝรั่งเศส, ภาษาเยอรมัน, ภาษาไทย, ภาษาโครเอเชีย, ภาษาโรมาเนีย, กลุ่มภาษาจีน	มาเก๊า
ภาษาราชการของ ประเทศอิสราเอล คือ <mask>	ภาษาฮีบรู	ภาษาไอซ์แลนด์, ภาษาโรมาเนีย, ภาษาอังกฤษ, ภาษากาตาลา, ภาษาสโลวัก, ภาษากรีก, ภาษาฮังการี, ภาษาโปแลนด์, ภาษาบัลแกเรีย, ภาษาฮีบรู	ประเทศอิสราเอล
