Prompt	Ans	Candidate Ans	Subject
Carlos II của Tây Ban Nha được sinh ra trong <mask>.	Madrid	Toronto, Luân Đôn, Beograd, Manchester, Napoli, Brooklyn, Viên, Istanbul, Genève, Madrid	Carlos II của Tây Ban Nha
David Coulthard được sinh ra trong <mask>.	Scotland	Brooklyn, Viên, Bắc Kinh, Belfast, Paris, Istanbul, Houston, Milano, Westminster, Scotland	David Coulthard
Christina Rossetti được sinh ra trong <mask>.	Luân Đôn	Belfast, Como, Moskva, Istanbul, Berlin, Scotland, Roma, Manchester, Armenia, Luân Đôn	Christina Rossetti
Kenny Rogers được sinh ra trong <mask>.	Houston	Istanbul, Beograd, Chicago, Madrid, Paris, Luân Đôn, Milano, Viên, Brooklyn, Houston	Kenny Rogers
Hussein ibn Ali được sinh ra trong <mask>.	Medina	Paris, Moskva, Berlin, Genève, Brooklyn, Roma, Scotland, Bắc Kinh, Beograd, Medina	Hussein ibn Ali
William Thomson được sinh ra trong <mask>.	Belfast	Moskva, Genève, Madrid, Westminster, Paris, Medina, Beograd, Bắc Kinh, Roma, Belfast	William Thomson
Alfred Adler được sinh ra trong <mask>.	Viên	Paris, Madrid, Toronto, Köln, Como, Luân Đôn, Belfast, Istanbul, München, Viên	Alfred Adler
Chus Lampreave được sinh ra trong <mask>.	Madrid	Napoli, Roma, Mecca, Chicago, Armenia, Luân Đôn, Como, Scotland, Istanbul, Madrid	Chus Lampreave
Sergey Viktorovich Lavrov được sinh ra trong <mask>.	Moskva	Bắc Kinh, Genève, Medina, Istanbul, Belfast, Beograd, Madrid, Westminster, Luân Đôn, Moskva	Sergey Viktorovich Lavrov
Konrad Lorenz được sinh ra trong <mask>.	Viên	Mecca, Milano, Berlin, Beograd, Luân Đôn, Chicago, Bắc Kinh, Istanbul, Belfast, Viên	Konrad Lorenz
Lou Reed được sinh ra trong <mask>.	Brooklyn	Houston, Genève, München, Roma, Viên, Medina, Westminster, Köln, Berlin, Brooklyn	Lou Reed
Leon V được sinh ra trong <mask>.	Armenia	Berlin, Toronto, Köln, Mecca, Manchester, Moskva, Como, Istanbul, Madrid, Armenia	Leon V
Marco Delvecchio được sinh ra trong <mask>.	Milano	Mecca, München, Westminster, Köln, Bắc Kinh, Beograd, Genève, Toronto, Armenia, Milano	Marco Delvecchio
Carl Orff được sinh ra trong <mask>.	München	Roma, Toronto, Houston, Manchester, Viên, Bắc Kinh, Köln, Chicago, Berlin, München	Carl Orff
Gaius Plinius Secundus được sinh ra trong <mask>.	Como	Toronto, München, Genève, Paris, Milano, Westminster, Manchester, Berlin, Luân Đôn, Como	Gaius Plinius Secundus
Friedrich Wilhelm II của Phổ được sinh ra trong <mask>.	Berlin	Armenia, Madrid, Toronto, Belfast, Westminster, Scotland, Houston, Paris, Köln, Berlin	Friedrich Wilhelm II của Phổ
Giáo hoàng Bônifaciô III được sinh ra trong <mask>.	Roma	Brooklyn, Napoli, Houston, Como, Moskva, Manchester, Milano, Beograd, Paris, Roma	Giáo hoàng Bônifaciô III
Claudio Abbado được sinh ra trong <mask>.	Milano	Madrid, Köln, Beograd, Belfast, Viên, Chicago, Bắc Kinh, Luân Đôn, Berlin, Milano	Claudio Abbado
Enrico Caruso được sinh ra trong <mask>.	Napoli	Köln, Roma, Como, Manchester, Viên, Berlin, Paris, Scotland, Houston, Napoli	Enrico Caruso
Mehmed VI được sinh ra trong <mask>.	Istanbul	Madrid, Westminster, München, Belfast, Beograd, Moskva, Genève, Toronto, Houston, Istanbul	Mehmed VI
Dennis Farina được sinh ra trong <mask>.	Chicago	Moskva, Belfast, Toronto, Berlin, Madrid, Milano, Armenia, Napoli, Istanbul, Chicago	Dennis Farina
Mark Strong được sinh ra trong <mask>.	Luân Đôn	Milano, Madrid, Belfast, Genève, Roma, Brooklyn, Toronto, Paris, Houston, Luân Đôn	Mark Strong
