Prompt	Ans	Candidate Ans	Subject
Michel-Ange est décédé en <mask>.	Rome	Venise, Rome	Michel-Ange
Richard Wagner est décédé en <mask>.	Venise	Rome, Venise	Richard Wagner
alphabet arabe est une sous-classe de <mask>.	alphabet	biologie, alphabet	alphabet arabe
écologie est une sous-classe de <mask>.	biologie	alphabet, biologie	écologie
La langue officielle de Polynésie française est <mask>.	français	albanais, indonésien, roumain, serbe, hébreu, turc, géorgien, bulgare, allemand, français	Polynésie française
La langue officielle de Uttar Pradesh est <mask>.	ourdou	japonais, russe, turc, latin, slovène, croate, thaï, catalan, albanais, ourdou	Uttar Pradesh
La langue officielle de Union européenne est <mask>.	finnois	turc, tchèque, français, espagnol, suédois, néerlandais, grec, polonais, estonien, finnois	Union européenne
La langue officielle de Union européenne est <mask>.	slovène	latin, grec, coréen, anglais, slovaque, croate, polonais, ourdou, allemand, slovène	Union européenne
La langue officielle de Haïti est <mask>.	français	russe, allemand, croate, ourdou, persan, géorgien, néerlandais, turc, arménien, français	Haïti
La langue officielle de Wyoming est <mask>.	anglais	ukrainien, croate, slovaque, tchèque, lituanien, finnois, japonais, ourdou, turc, anglais	Wyoming
La langue officielle de Uruguay est <mask>.	espagnol	allemand, turc, serbe, néerlandais, ourdou, thaï, anglais, suédois, estonien, espagnol	Uruguay
La langue officielle de Ossétie du Sud-Alanie est <mask>.	géorgien	bulgare, anglais, tchèque, slovaque, turc, néerlandais, portugais, arménien, coréen, géorgien	Ossétie du Sud-Alanie
La langue officielle de République du Congo est <mask>.	français	polonais, hébreu, thaï, croate, estonien, latin, grec, japonais, turc, français	République du Congo
La langue officielle de Îles Salomon est <mask>.	anglais	français, hongrois, thaï, slovaque, islandais, bulgare, coréen, langues chinoises, russe, anglais	Îles Salomon
La langue officielle de île de Pâques est <mask>.	espagnol	russe, tchèque, latin, danois, japonais, hongrois, islandais, géorgien, suédois, espagnol	île de Pâques
La langue officielle de Brésil est <mask>.	portugais	ourdou, islandais, serbe, thaï, finnois, géorgien, basque, slovaque, lituanien, portugais	Brésil
La langue officielle de Mexique est <mask>.	espagnol	italien, langues chinoises, estonien, roumain, arménien, catalan, basque, français, ourdou, espagnol	Mexique
La langue officielle de Gambie est <mask>.	anglais	serbe, russe, azéri, polonais, espagnol, estonien, italien, latin, slovaque, anglais	Gambie
La langue officielle de île de Man est <mask>.	anglais	croate, coréen, finnois, langues chinoises, français, thaï, japonais, serbe, basque, anglais	île de Man
La langue officielle de Mississippi est <mask>.	anglais	grec, japonais, danois, langues chinoises, roumain, néerlandais, croate, ourdou, arménien, anglais	Mississippi
La langue officielle de Macao est <mask>.	langues chinoises	suédois, albanais, tchèque, indonésien, français, allemand, thaï, croate, roumain, langues chinoises	Macao
