Prompt	Ans	Candidate Ans	Subject
مائیکل اینجلو کی وفات <mask> میں ہوئی۔	روم	وینس, روم	مائیکل اینجلو
رچرڈ واگنر کی وفات <mask> میں ہوئی۔	وینس	روم, وینس	رچرڈ واگنر
عربی حروف تہجی <mask> کا ایک ذیلی طبقہ ہے۔	حروف تہجی	حیاتیات, حروف تہجی	عربی حروف تہجی
ماحولیات <mask> کا ایک ذیلی طبقہ ہے۔	حیاتیات	حروف تہجی, حیاتیات	ماحولیات
فرانسیسی پولینیشیا کی سرکاری زبان <mask> ہے۔	فرانسیسی	البانوی زبان, انڈونیشیائی زبان, رومانیانی زبان, سربیائی, عبرانی, ترک, جارجیائی زبان, بلغاری زبان, جرمن, فرانسیسی	فرانسیسی پولینیشیا
اتر پردیش کی سرکاری زبان <mask> ہے۔	اردو	جاپانی, روسی, ترک, لاطینی زبان, سلووین زبان, کروشیائی زبان, تھائی زبان, قیطلونی, البانوی زبان, اردو	اتر پردیش
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	فنش زبان	ترک, چیکی زبان, فرانسیسی, ہسپانوی, سونسکا, ولندیزی زبان, یونانی زبان, پولش زبان, استونیائی زبان, فنش زبان	یورپی اتحاد
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	سلووین زبان	لاطینی زبان, یونانی زبان, کوریائی زبان, انگریزی, سلوواک زبان, کروشیائی زبان, پولش زبان, اردو, جرمن, سلووین زبان	یورپی اتحاد
ہیٹی کی سرکاری زبان <mask> ہے۔	فرانسیسی	روسی, جرمن, کروشیائی زبان, اردو, فارسی, جارجیائی زبان, ولندیزی زبان, ترک, آرمینیائی زبان, فرانسیسی	ہیٹی
وائیومنگ کی سرکاری زبان <mask> ہے۔	انگریزی	یوکرینی زبان, کروشیائی زبان, سلوواک زبان, چیکی زبان, لیتھوانیائی زبان, فنش زبان, جاپانی, اردو, ترک, انگریزی	وائیومنگ
یوراگوئے کی سرکاری زبان <mask> ہے۔	ہسپانوی	جرمن, ترک, سربیائی, ولندیزی زبان, اردو, تھائی زبان, انگریزی, سونسکا, استونیائی زبان, ہسپانوی	یوراگوئے
جنوبی اوسیشیا کی سرکاری زبان <mask> ہے۔	جارجیائی زبان	بلغاری زبان, انگریزی, چیکی زبان, سلوواک زبان, ترک, ولندیزی زبان, پرتگالی, آرمینیائی زبان, کوریائی زبان, جارجیائی زبان	جنوبی اوسیشیا
جمہوریہ کانگو کی سرکاری زبان <mask> ہے۔	فرانسیسی	پولش زبان, عبرانی, تھائی زبان, کروشیائی زبان, استونیائی زبان, لاطینی زبان, یونانی زبان, جاپانی, ترک, فرانسیسی	جمہوریہ کانگو
جزائر سلیمان کی سرکاری زبان <mask> ہے۔	انگریزی	فرانسیسی, ہنگری زبان, تھائی زبان, سلوواک زبان, آئس لینڈی زبان, بلغاری زبان, کوریائی زبان, چینی زبان, روسی, انگریزی	جزائر سلیمان
جزیرہ ایسٹر کی سرکاری زبان <mask> ہے۔	ہسپانوی	روسی, چیکی زبان, لاطینی زبان, ڈینش زبان, جاپانی, ہنگری زبان, آئس لینڈی زبان, جارجیائی زبان, سونسکا, ہسپانوی	جزیرہ ایسٹر
برازیل کی سرکاری زبان <mask> ہے۔	پرتگالی	اردو, آئس لینڈی زبان, سربیائی, تھائی زبان, فنش زبان, جارجیائی زبان, باسک, سلوواک زبان, لیتھوانیائی زبان, پرتگالی	برازیل
میکسیکو کی سرکاری زبان <mask> ہے۔	ہسپانوی	اطالوی, چینی زبان, استونیائی زبان, رومانیانی زبان, آرمینیائی زبان, قیطلونی, باسک, فرانسیسی, اردو, ہسپانوی	میکسیکو
گیمبیا کی سرکاری زبان <mask> ہے۔	انگریزی	سربیائی, روسی, آذربائیجانی, پولش زبان, ہسپانوی, استونیائی زبان, اطالوی, لاطینی زبان, سلوواک زبان, انگریزی	گیمبیا
